LEGEND: Table 1
Data sources World Bank Doing Business data (Property rights); US State Investment Climate Statements & EIU Country Commerce (Investment freedom); EIU Country Commerce & Country Finance & IMF Staff Report ss. “Selected Issues” & “Article IV Consultation” (Financial freedom)																									
Heritage Foundation Index of Economic Freedom (HER)  																									
																									
Data Provider		Heritage Foundation																							
Description		"The Heritage Foundation is a nongovernmental research and educational institute headquartered in Washington, United States, advocating conservative public policies."																							
Website		www.heritage.org																							
Data Source		Index of Economic Freedom																							
Type		Expert Assessment																							
Respondents		Staff of Heritage Foundation																							
Frequency		Annual since 1995																							
Coverage		Global sample of countries																							
Public Access		Yes																							
Description		"Heritage constructs an Index of Economic Freedom consisting of 10 components.  There were major revisions to the methodology in 2006 and 2007.  We use data from the three of these components that are based on subjective assessments of Heritage staff and are comparable over time:  Investment Freedom, Financial Freedom, and Property Rights.  These indicators are scored on a 100-point scale.  Note that the indicators refer to data from the previous year:  we therefore lag the data from this source by one year.  In 2016 the methodology for the Property Rights indicator was changed so that it became a composite of existing data sources, many of which are already included in the WGI.  For this reason the Property Rights variable is not included in the WGI beginning in 2016."																							
																									
				2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2000	1998	1996	
		Voice and Accountability																							
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	
																									
		Political Stability and Absence of Violence																							
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	
																									
		Government Effectiveness																							
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	
																									
		Regulatory Quality																							
		Investment Freedom		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
		Financial Freedom		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
																									
		Rule of Law																							
		Property Rights		..	..	..	..	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	
																									
		Control of Corruption																							
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	
																									
		Country coverage		184	184	184	181	184	184	184	183	179	179	179	179	157	157	157	155	155	156	155	161	150	
		Year of Publication		2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2001	1999	1997	


WGI2019: Table 1
		Averaged Rescaled Data				Original Data			Rescaled Data							
						Investment Freedom 	Financial Freedom		Investment Freedom 	Financial Freedom						
					Max	100	100		100	100						
	  				Min	0	0		0	0			 			
					Orientation	1	1		1	1						
					Assigned to	RQ	RQ		RQ	RQ						
		HER19RQ			 							 				
AFG	Afghanistan	0.10				10	10		0.10	0.10						
ALB	Albania	0.70				70	70		0.70	0.70						
DZA	Algeria	0.30				30	30		0.30	0.30						
AGO	Angola	0.35				30	40		0.30	0.40						
ARG	Argentina	0.58				55	60		0.55	0.60						
ARM	Armenia	0.73				75	70		0.75	0.70						
AUS	Australia	0.85				80	90		0.80	0.90						
AUT	Austria	0.80				90	70		0.90	0.70						
AZE	Azerbaijan	0.65				70	60		0.70	0.60						
BHS	Bahamas	0.55				50	60		0.50	0.60						
BHR	Bahrain	0.78				75	80		0.75	0.80						
BGD	Bangladesh	0.38				45	30		0.45	0.30						
BRB	Barbados	0.65		 		70	60		0.70	0.60						
BLR	Belarus	0.25				30	20		0.30	0.20						
BEL	Belgium	0.78		 		85	70		0.85	0.70						
BLZ	Belize	0.53				55	50		0.55	0.50						
BEN	Benin	0.55				60	50		0.60	0.50						
BTN	Bhutan	0.25				20	30		0.20	0.30						
BOL	Bolivia	0.28				15	40		0.15	0.40						
BIH	Bosnia and Herzegovina	0.63				65	60		0.65	0.60						
BWA	Botswana	0.68				65	70		0.65	0.70						
BRA	Brazil	0.55				60	50		0.60	0.50						
BGR	Bulgaria	0.65				70	60		0.70	0.60						
BFA	Burkina Faso	0.53				65	40		0.65	0.40						
MMR	Burma	0.25				30	20		0.30	0.20						
BDI	Burundi	0.40				50	30		0.50	0.30						
KHM	Cambodia	0.50				50	50		0.50	0.50						
CMR	Cameroon	0.40				30	50		0.30	0.50						
CAN	Canada	0.80				80	80		0.80	0.80						
CPV	Cabo Verde	0.70				80	60		0.80	0.60						
CAF	Central African Republic	0.38				45	30		0.45	0.30						
TCD	Chad	0.50				60	40		0.60	0.40						
CHL	Chile	0.78				85	70		0.85	0.70						
CHN	China	0.20				20	20		0.20	0.20						
COL	Colombia	0.75				80	70		0.80	0.70						
COM	Comoros	0.38				45	30		0.45	0.30						
ZAR	"Congo, Democratic Republic of the Congo"	0.25				30	20		0.30	0.20						
COG	"Congo, Republic of"	0.38				45	30		0.45	0.30						
CRI	Costa Rica	0.60				70	50		0.70	0.50						
CIV	Côte d'Ivoire	0.63				75	50		0.75	0.50						
HRV	Croatia	0.68				75	60		0.75	0.60						
CUB	Cuba	0.10				10	10		0.10	0.10						
CYP	Cyprus	0.68				75	60		0.75	0.60						
CZE	Czech Republic	0.80				80	80		0.80	0.80						
DNK	Denmark	0.85				90	80		0.90	0.80						
DJI	Djibouti	0.65				80	50		0.80	0.50						
DMA	Dominica	0.50				70	30		0.70	0.30						
DOM	Dominican Republic	0.55				70	40		0.70	0.40						
ECU	Ecuador	0.38				35	40		0.35	0.40						
EGY	Egypt	0.55				60	50		0.60	0.50						
