LEGEND: Table 1
Data sources = own questionnaires; general population poll by Borge y Asociados (n ≥ 1500)																									
																									
																									
Vanderbilt University's Americas Barometer (VAB) 																									
																									
Data Provider		Vanderbilt University																							
Description		United States university																							
Website		www.lapopsurveys.org																							
Data Source		Americas' Barometer 																							
Type		Survey																							
Respondents		Households																							
Frequency		Bi-annual since 2004																							
Coverage		Sample of Latin American countries																							
Public Access		"Some country-level aggregates are freely available, the rest of the dataset is  available via subscription"																							
Description		"The AmericasBarometer is an effort by LAPOP to measure democratic values and behaviors in the Americas using common questionnaires to households in Latin America with questions on areas such as Democracy, Politics and Institutions, Social Policies, Civic Culture, and other Current Issues."																							
																									
				2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2000	1998	1996	
		Voice and Accountability																							
		Trust in parliament		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	
		Satisfaction with democracy		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	
																									
		Political Stability and Absence of Violence																							
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	
																									
		Government Effectiveness																							
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	
																									
		Regulatory Quality																							
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	
																									
		Rule of Law																							
		Trust in supreme court		X	X	..	..	..	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	
		Trust in justice system		X	X	..	..	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	
		Trust in police		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	
		Have you been a victim of crime?		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	
																									
		Control of Corruption																							
		Frequency of corruption among government officials		..	..	..	..	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	
		Perception of politicians to be corrupt -- % of respondents agreeing with statements: more than half & all politicians are corrupt		X	X	X	X																		
		"Thinking of the politicians, how many of them do you believe are involved in corruption?"		X	X																				
																									
		Country coverage		20	20	29	29	28	28	26	26	25	25	23	23	22	20	11	11	..	..	..	..	..	
		Year of Publication		2019	2019	2017	2017	2014	2014	2012	2012	2010	2010	2008	2008	2006	2006	2004	2004	..	..	..	..	..	


WGI1819: Table 1
		Averaged Rescaled Data						Original Data									Rescaled Data							
				  				Trust in Congress	Satisfied Democracy	Trust in supreme court	Victim of crime	Trust in justice	Trust in police	Perception of politicians to be corrupt -- % of respondents agreeing with statements: half of politicians & more than half & all politicians are corrupt	"Thinking of the politicians, how many of them do you believe are
involved in corruption?"	 	Trust in Congress	Satisfied Democracy	Trust in supreme court	Victim of crime	Trust in justice	Trust in police	Perception of politicians to be corrupt -- % of respondents agreeing with statements: half of politicians & more than half & all politicians are corrupt	"Thinking of the politicians, how many of them do you believe are
involved in corruption?"
	 						Max	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1
							Min	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0
							Orientation	1	1	1	0	1	1	0	1		1	1	1	0	1	1	0	1
							Assigned to	VA	VA	RL	RL	RL	RL	CC	CC		VA	VA	RL	RL	RL	RL	CC	CC
		VAB1819VA	VAB1819RL	VAB1819CC																				
ARG	Argentina	0.32	0.43	0.14				" 	0.29 "	" 	0.35 "	" 	0.24 "	" 	0.31 "		" 	0.35 "	0.81	0.09		0.29	0.35	0.24	0.69	..	0.35	0.19	0.09
BOL	Bolivia	0.39	0.37	0.18				" 	0.38 "	" 	0.41 "	" 	0.27 "	" 	0.28 "	" 	0.25 "	" 	0.24 "	0.72	0.08		0.38	0.41	0.27	0.72	0.25	0.24	0.28	0.08
BRA	Brazil	0.37	0.60	0.22				" 	0.31 "	" 	0.42 "	" 	0.45 "	" 	0.19 "		" 	0.53 "	0.62	0.06		0.31	0.42	0.45	0.81	..	0.53	0.38	0.06
CAN	Canada	0.63	0.72	..				" 	0.49 "	" 	0.77 "	" 	0.62 "	" 	0.13 "		" 	0.66 "				0.49	0.77	0.62	0.87	..	0.66	..	..
CHL	Chile	0.31	0.50	0.19				" 	0.20 "	" 	0.41 "	" 	0.26 "	" 	0.24 "		" 	0.47 "	0.76	0.13		0.20	0.41	0.26	0.76	..	0.47	0.24	0.13
COL	Colombia	0.26	0.46	0.17				" 	0.24 "	" 	0.29 "	" 	0.34 "	" 	0.24 "	" 	0.30 "	" 	0.42 "	0.74	0.08		0.24	0.29	0.34	0.76	0.30	0.42	0.26	0.08
CRI	Costa Rica	0.38	0.58	0.24				" 	0.30 "	" 	0.46 "	" 	0.47 "	" 	0.22 "		" 	0.48 "	0.73	0.22		0.30	0.46	0.47	0.78	..	0.48	0.27	0.22
ECU	Ecuador	0.36	0.51	0.22				" 	0.33 "	" 	0.39 "	" 	0.32 "	" 	0.29 "		" 	0.50 "	0.68	0.12		0.33	0.39	0.32	0.71	..	0.50	0.32	0.12
SLV	El Salvador	0.34	0.53	0.25				" 	0.32 "	" 	0.37 "	" 	0.34 "	" 	0.21 "		" 	0.44 "	0.66	0.15		0.32	0.37	0.34	0.79	..	0.44	0.34	0.15
USA	United States	0.42	0.85	0.21			 	" 	0.28 "	" 	0.56 "		" 	0.15 "			0.85	0.28		0.28	0.56	..	0.85	..	..	0.15	0.28
GTM	Guatemala	0.35	0.48	0.24				" 	0.29 "	" 	0.41 "	" 	0.35 "	" 	0.20 "		" 	0.31 "	0.61	0.10		0.29	0.41	0.35	0.80	..	0.31	0.39	0.10
HND	Honduras	0.31	0.47	0.28				" 	0.26 "	" 	0.36 "	" 	0.26 "	" 	0.19 "		" 	0.34 "	0.55	0.10		0.26	0.36	0.26	0.81	..	0.34	0.45	0.10
JAM	Jamaica	0.29	0.54	0.17				" 	0.26 "	" 	0.32 "	" 	0.44 "	" 	0.12 "		" 	0.30 "	0.85	0.19		0.26	0.32	0.44	0.88	..	0.30	0.15	0.19
MEX	Mexico	0.45	0.46	0.19				" 	0.44 "	" 	0.46 "	" 	0.49 "	" 	0.33 "		" 	0.22 "	0.73	0.10		0.44	0.46	0.49	0.67	..	0.22	0.27	0.10
NIC	Nicaragua	0.42	0.51	0.33				" 	0.38 "	" 	0.46 "	" 	0.38 "	" 	0.18 "	" 	0.43 "	" 	0.40 "	0.57	0.23		0.38	0.46	0.38	0.82	0.43	0.40	0.43	0.23
PAN	Panama	0.22	0.49	0.20				" 	0.18 "	" 	0.26 "	" 	0.19 "	" 	0.22 "		" 	0.49 "	0.66	0.06		0.18	0.26	0.19	0.78	..	0.49	0.34	0.06
PRY	Paraguay	0.36	0.45	0.19				" 	0.29 "	" 	0.43 "	" 	0.29 "	" 	0.22 "		" 	0.29 "	0.71	0.10		0.29	0.43	0.29	0.78	..	0.29	0.29	0.10
PER	Peru	0.18	0.32	0.14				" 	0.09 "	" 	0.28 "	" 	0.18 "	" 	0.36 "	" 	0.15 "	" 	0.31 "	0.76	0.05		0.09	0.28	0.18	0.64	0.15	0.31	0.24	0.05
DOM	Dominican Republic	0.37	0.45	0.19				" 	0.32 "	" 	0.43 "	" 	0.31 "	" 	0.26 "		" 	0.30 "	0.74	0.13		0.32	0.43	0.31	0.74	..	0.30	0.26	0.13
URY	Uruguay	0.50	0.55	0.31				" 	0.40 "	" 	0.59 "	" 	0.41 "	" 	0.29 "		" 	0.52 "	0.67	0.29		0.40	0.59	0.41	0.71	..	0.52	0.33	0.29
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
										 														


WGI1617: Table 1
		Averaged Rescaled Data						Original Data								Rescaled Data						
				  				Trust in Congress	Satisfied Democracy	Trust in supreme court	Victim of crime	Trust in justice	Trust in police	Perception of politicians to be corrupt -- % of respondents agreeing with statements: half of politicians & more than half & all politicians are corrupt	 	Trust in Congress	Satisfied Democracy	Trust in supreme court	Victim of crime	Trust in justice	Trust in police	Perception of politicians to be corrupt -- % of respondents agreeing with statements: half of politicians & more than half & all politicians are corrupt
	 						Max	1	1	1	1	1	1	1		1	1	1	1	1	1	1
							Min	0	0	0	0	0	0	0		0	0	0	0	0	0	0
							Orientation	1	1	1	0	1	1	0		1	1	1	0	1	1	0
							Assigned to	VA	VA	RL	RL	RL	RL	CC		VA	VA	RL	RL	RL	RL	CC
		VAB1617VA	VAB1617RL	VAB1617CC																		
ATG	Antigua and Barbuda	0.52	0.63	..				" 	0.38 "	" 	0.66 "	..	" 	0.07 "	..	" 	0.32 "	..		0.38	0.66	..	0.93	..	0.32	..
ARG	Argentina	0.42	0.53	0.10				" 	0.37 "	" 	0.48 "	..	" 	0.26 "	..	" 	0.32 "	0.90		0.37	0.48	..	0.74	..	0.32	0.10
BOL	Bolivia	0.42	0.48	0.12				" 	0.40 "	" 	0.45 "	..	" 	0.29 "	..	" 	0.25 "	0.88		0.40	0.45	..	0.71	..	0.25	0.12
BRA	Brazil	0.22	0.60	0.05				" 	0.21 "	" 	0.22 "	..	" 	0.24 "	..	" 	0.45 "	0.95		0.21	0.22	..	0.76	..	0.45	0.05
CAN	Canada	0.63	0.80	0.53				" 	0.47 "	" 	0.79 "	..	" 	0.11 "	..	" 	0.70 "	0.47		0.47	0.79	..	0.89	..	0.70	0.53
CHL	Chile	0.25	0.65	0.10				" 	0.18 "	" 	0.32 "	..	" 	0.22 "	..	" 	0.52 "	0.90		0.18	0.32	..	0.78	..	0.52	0.10
COL	Colombia	0.28	0.55	0.08				" 	0.24 "	" 	0.31 "	..	" 	0.25 "	..	" 	0.35 "	0.92		0.24	0.31	..	0.75	..	0.35	0.08
CRI	Costa Rica	0.48	0.64	0.25				" 	0.45 "	" 	0.50 "	..	" 	0.22 "	..	" 	0.51 "	0.75		0.45	0.50	..	0.78	..	0.51	0.25
DMA	Dominica	0.36	0.61	..				" 	0.33 "	" 	0.40 "	..	" 	0.12 "	..	" 	0.34 "	..		0.33	0.40	..	0.88	..	0.34	..
DOM	Dominican Republic	0.38	0.50	0.16			 	" 	0.37 "	" 	0.38 "	..	" 	0.26 "	..	" 	0.26 "	0.84		0.37	0.38	..	0.74	..	0.26	0.16
ECU	Ecuador	0.47	0.63	0.16				" 	0.42 "	" 	0.52 "	..	" 	0.31 "	..	" 	0.57 "	0.84		0.42	0.52	..	0.69	..	0.57	0.16
SLV	El Salvador	0.37	0.64	0.20				" 	0.34 "	" 	0.41 "	..	" 	0.23 "	..	" 	0.50 "	0.80		0.34	0.41	..	0.77	..	0.50	0.20
GRD	Grenada	0.48	0.71	..				" 	0.33 "	" 	0.63 "	..	" 	0.07 "	..	" 	0.49 "	..		0.33	0.63	..	0.93	..	0.49	..
GTM	Guatemala	0.36	0.55	0.11				" 	0.31 "	" 	0.42 "	..	" 	0.24 "	..	" 	0.34 "	0.89		0.31	0.42	..	0.76	..	0.34	0.11
GUY	Guyana	0.63	0.71	..				" 	0.61 "	" 	0.65 "	..	" 	0.07 "	..	" 	0.49 "	..		0.61	0.65	..	0.93	..	0.49	..
HTI	Haiti	0.20	0.60	0.14				" 	0.16 "	" 	0.24 "	..	" 	0.22 "	..	" 	0.42 "	0.86		0.16	0.24	..	0.78	..	0.42	0.14
HND	Honduras	0.37	0.60	0.16				" 	0.36 "	" 	0.39 "	..	" 	0.22 "	..	" 	0.42 "	0.84		0.36	0.39	..	0.78	..	0.42	0.16
JAM	Jamaica	0.32	0.62	0.25				" 	0.28 "	" 	0.37 "	..	" 	0.11 "	..	" 	0.34 "	0.76		0.28	0.37	..	0.89	..	0.34	0.25
MEX	Mexico	0.31	0.45	0.07				" 	0.36 "	" 	0.26 "	..	" 	0.31 "	..	" 	0.20 "	0.93		0.36	0.26	..	0.69	..	0.20	0.07
NIC	Nicaragua	0.57	0.67	0.27				" 	0.52 "	" 	0.62 "	..	" 	0.18 "	..	" 	0.53 "	0.73		0.52	0.62	..	0.82	..	0.53	0.27
PAN	Panama	0.31	0.68	0.08				" 	0.23 "	" 	0.38 "	..	" 	0.16 "	..	" 	0.52 "	0.92		0.23	0.38	..	0.84	..	0.52	0.08
PRY	Paraguay	0.29	0.51	0.08				" 	0.26 "	" 	0.33 "	..	" 	0.24 "	..	" 	0.26 "	0.92		0.26	0.33	..	0.76	..	0.26	0.08
PER	Peru	0.23	0.47	0.09				" 	0.16 "	" 	0.31 "	..	" 	0.33 "	..	" 	0.28 "	0.91		0.16	0.31	..	0.67	..	0.28	0.09
KNA	Saint Kitts and Nevis	0.49	0.64	..				" 	0.38 "	" 	0.59 "	..	" 	0.06 "	..	" 	0.34 "	..		0.38	0.59	..	0.94	..	0.34	..
LCA	Saint Lucia	0.33	0.61	..				" 	0.24 "	" 	0.42 "	..	" 	0.12 "	..	" 	0.34 "	..		0.24	0.42	..	0.88	..	0.34	..
VCT	Saint Vincent and the Grenadine	0.42	0.65	..				" 	0.35 "	" 	0.49 "	..	" 	0.08 "	..	" 	0.38 "	..		0.35	0.49	..	0.92	..	0.38	..
USA	United States	0.39	0.72	0.29				" 	0.25 "	" 	0.52 "	..	" 	0.14 "	..	" 	0.59 "	0.71		0.25	0.52	..	0.86	..	0.59	0.29
URY	Uruguay	0.56	0.63	0.35				" 	0.43 "	" 	0.68 "	..	" 	0.23 "	..	" 	0.50 "	0.65		0.43	0.68	..	0.77	..	0.50	0.35
VEN	Venezuela	0.37	0.40	0.08				" 	0.48 "	" 	0.26 "	..	" 	0.40 "	..	" 	0.20 "	0.92		0.48	0.26	..	0.60	..	0.20	0.08
																						
																						
																						
																						
																						
																						
																						
																						
										 												


WGI1415: Table 1
		Averaged Rescaled Data						Original Data								Rescaled Data						
				  				Trust in Congress	satisfied democracy	Trust in supreme court	Victim of crime	Trust in justice	Trust in police	Frequency of corruption		Trust in Congress	satisfied democracy	Trust in supreme court	Victim of crime	Trust in justice	Trust in police	Frequency of corruption
	 						Max	1	1	1	1	1	1	1		1	1	1	1	1	1	1
							Min	0	0	0	0	0	0	0		0	0	0	0	0	0	0
							Orientation	1	1	1	0	1	1	0		1	1	1	0	1	1	0
							Assigned to	VA	VA	RL	RL	RL	RL	CC		VA	VA	RL	RL	RL	RL	CC
		VAB1415VA	VAB1415RL	VAB1415CC																		
ARG	Argentina	0.47	0.49	0.09				0.36	0.59		0.24	0.34	0.37	0.91		0.36	0.59	..	0.76	0.34	0.37	0.09
BHS	Bahamas	0.63	0.68	..				0.50	0.77		0.10	0.55	0.59			0.50	0.77	..	0.90	0.55	0.59	..
BRB	Barbados	0.45	0.60	..				" 	0.29 "	" 	0.61 "		" 	0.08 "	" 	0.43 "	" 	0.44 "			0.29	0.61	..	0.92	0.43	0.44	..
BLZ	Belize	0.43	0.47	0.12				0.36	0.51		0.14	0.28	0.29	0.88		0.36	0.51	..	0.86	0.28	0.29	0.12
BOL	Bolivia	0.43	0.41	0.24				0.31	0.56		0.21	0.22	0.23	0.76		0.31	0.56	..	0.79	0.22	0.23	0.24
BRA	Brazil	0.31	0.49	..				0.21	0.41		0.16	0.26	0.38			0.21	0.41	..	0.84	0.26	0.38	..
CAN	Canada	0.58	0.72	0.30				0.40	0.76		0.12	0.57	0.71	0.70		0.40	0.76	..	0.88	0.57	0.71	0.30
