LEGEND: Table 1
		Sources = Own questionnaire. Household poll by CID-Gallup Latin America face-to-face poll (n ≥ 1000) + local legal professionals poll (n ≥ 8 + unknown number of anonymous contributers).																									
																											
																											
																											
World Justice Project Rule of Law Index																											
																											
Data Provider		World Justice Project Rule of Law Index																									
Description		"Nonprofit organization headquartered in Washington, United States, specializing in rule of law worldwide. "																									
Website		www.worldjusticeproject.org																									
Data Source		WJP Rule of Law Index																									
Type		Combination of expert assessment and general public poll. 																									
Respondents		"Panel of local respondents in each country, subject to centralized review, as well as general public poll"																									
Frequency		Annual since 2009 but for a rotating set of countries.  We use data only from 2011 and 2012 as earlier rounds not comparable.																									
Coverage		Global country sample																									
Public Access		Yes																									
Description		"ROLI rates countries on a variety of subcomponents relating to rule of law based on over 500 questions, some of which are answered by expert respondents annually, others answered in a general population survey once every three years. "																									
																											
				2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2000					
		Voice and Accountability																									
		Factor 1: Constraints on Government Powers		X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..	..	..	..	..	..			
		Factor 4: Fundamental Rights		X	X	X	X	X	X	X	X	X										 					
		Factor 3: Open Government 		X	X	X	X	X	X	X	X	X															
																											
		Political Stability and Absence of Violence																									
		Factor 5.2: Civil conflict is effectively limited		X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..	..	..	..	..	..			
																											
		Government Effectiveness																									
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..			
																											
		Regulatory Quality																									
		Factor 6: Regulatory Enforcement		X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..	..	..	..	..	..			
																											
		Rule of Law																									
		Factor 5.1: Crime is effectively controlled		X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..	..	..	..	..	..			
		Factor 7: Civil Justice		X	X	X	X	X	X	X	X	X															
		Factor 8: Criminal Justice		X	X	X	X	X	X	X	X	X															
																											
		Control of Corruption																									
		Factor 2: Absence of Corruption		X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..	..	..	..	..	..			
																											
		Country Coverage		113	113	113	113	113	102	99	97	66	..	..	..	..	..	..	..	..	..	..	..	..			
		Year of publication		2020	2019	2017	2016	2016	2015	2014	2013	2012	..	..	..	..	..	..	..	..	..	..	..	..			
																											
																											
																									 		
																											 
																											
																											
																											
																											
																											
											 																

WGI2019: Table 1
		Averaged Rescaled Data							Original Data										Rescaled Data																																						
				 				  	Factor 1: Constraints on Government Powers	Factor 2: Absence of Corruption	5.1 Crime is effectively controlled	5.2 Civil conflict is effectively limited	Factor 4: Fundamental Rights	Factor 3: Open Government 	Factor 6: Regulatory Enforcement	Factor 7: Civil Justice	Factor 8: Criminal Justice		Factor 1: Limited Government Powers	Factor 2: Absence of Corruption	Factor 5.1: Crime is effectively controlled (Order and Security)	Factor 5.2: Civil conflict is effectively limited (Order and Security)	Factor 4: Fundamental Rights	Factor 3: Open Government 	Factor 6: Regulatory Enforcement	Factor 7: Civil Justice	Factor 8: Criminal Justice																														
								Max	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																														
								Min	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0																														
								Orientation	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1																														
								Assigned to	VA	CC	RL	PV	VA	VA	RQ	RL	RL		VA	CC	RL	PV	VA	VA	RQ	RL	RL																														
		WJP19VA	WJP19CC	WJP19RL	WJP19PV	WJP19RQ																																																			
AFG	Afghanistan	0.42	0.30	0.37	0.04	0.37			0.44	0.30	0.45	0.04	0.41	0.41	0.37	0.37	0.31		0.44	0.30	0.45	0.04	0.41	0.41	0.37	0.37	0.31																														
ALB	Albania	0.50	0.37	0.59	1.00	0.44			0.45	0.37	0.87	1.00	0.59	0.47	0.44	0.48	0.43	 	0.45	0.37	0.87	1.00	0.59	0.47	0.44	0.48	0.43																														
ATG	Antigua and Barbuda	0.61	0.61	0.68	1.00	0.60			0.62	0.61	0.81	1.00	0.70	0.52	0.60	0.66	0.56		0.62	0.61	0.81	1.00	0.70	0.52	0.60	0.66	0.56																														
ARG	Argentina	0.65	0.52	0.53	1.00	0.53			0.61	0.52	0.56	1.00	0.70	0.64	0.53	0.59	0.44		0.61	0.52	0.56	1.00	0.70	0.64	0.53	0.59	0.44																														
AUS	Australia	0.81	0.82	0.79	0.98	0.82			0.82	0.82	0.89	0.98	0.79	0.81	0.82	0.76	0.73		0.82	0.82	0.89	0.98	0.79	0.81	0.82	0.76	0.73																														
AUT	Austria	0.80	0.82	0.83	1.00	0.84			0.85	0.82	0.92	1.00	0.85	0.71	0.84	0.77	0.80		0.85	0.82	0.92	1.00	0.85	0.71	0.84	0.77	0.80																														
BHS	The Bahamas	0.59	0.63	0.65	1.00	0.51			0.61	0.63	0.76	1.00	0.66	0.50	0.51	0.57	0.61		0.61	0.63	0.76	1.00	0.66	0.50	0.51	0.57	0.61																														
