Introduction: Table 1
						
						
						
						
	Discordance and ambiguity re earliest English settlement in Belize					
						
	To be addressed	settlement as pirate / buccaneer haven vs logging				
		earliest presence by pirates				
		earliest logging by pirates				
		earliest settlement in Mosquito Shore				
		earliest settlement in Bay Islands				
		earliest settlement in Belize proper				
		earliest settlement in Yucatan				
		earliest settlement in Mexico Gulf				
		tipu revolt & spanish withdrawal				


Events: Table 1
ID	OID	PIR	CLG_0	CLG_1	FLR_0	FLR_1	NAME	DESC	ROUTE	ACTORS_0	FORCE_0	ACTORS_1	FORCE_1	SEC	PRIM 0	PRIM_1	NOTE	SOURCE	URL	END	
^^^	E 99	^^^	1 Jan 1549	^^^	^^^	^^^	Sp logwood begins	"Sp in Yuc start logging [first in west coast of Yuc and probably Bahía de Ascención, later by Champoton River] and exporting logwood"	Campeachy / Veracruz / Havanna / Puerto Caballos	Marcos de Ayala Trujeque	^^^	^^^	^^^	"McJunkin pp 88–90, 104–107"	PT 80 num 3 ram 4 /// IN 1530	^^^	"First exports probably went through Veracruz [fm Campeachy], some informally shipped through Havana, and some fraction shipped to Puerto Caballos [most likely from lower reaches of Bahía de la Ascención or northern Belize] /v McJunkin pp 88–90"	AN - Historical series re Belize - Introduction and series v 1.4	https://dataverse.harvard.edu/privateurl.xhtml?token=135a1006-cd54-4d9e-ba7b-d961b93f1bc4	###	
^^^	E 1805	^^^	1 Jan 1550	^^^	^^^	^^^	Sta Barbara built	Construction of Fortaleza de Santa Bárbara in Truxillo	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	POSSIBLY CF MACK 15 JUL 2022	AN - Wikipedia - Timeline of piracy in the Bay of Honduras	https://en.wikipedia.org/wiki/Timeline_of_piracy_in_the_Bay_of_Honduras	###	
^^^	E 1823	^^^	1 Jan 1580	^^^	^^^	^^^	Eng logwood prohibition	"Eng Parl pass An Acte for abolishing of certen deceitfull Stuff used in dyeing of Clothes &c. = 23 Eliz 1 ch 9, prohibiting use of logwood in dyeing cloths"	London	^^^	^^^	^^^	^^^	^^^	^^^	Statutes 4 p 671 = 23 Eliz 1 ch 9	"See 1597 Act for the better Execution of the Statute made in the Three and twentyth years of the Queenes Majesties Reigne for the abolyshing of Logwood alias Blockwood, in the dyeing of Cloth Wooll or Yarne in Statutes 4 pp 911–912 = 39 Eliz 1 ch 11 /v Statutes 10 p 56"	AN - Historical series re Belize - Introduction and series v 1.4	https://dataverse.harvard.edu/privateurl.xhtml?token=135a1006-cd54-4d9e-ba7b-d961b93f1bc4	###	
^^^	E 175	^^^	1 Jan 1602	^^^	^^^	^^^	Mos as pir haven	Mosquito shore becomes a pirates’ haven with Capt Blaeuvelt basing operations in Bluefields Bay	^^^	^^^	^^^	^^^	^^^	Reichert p 23	^^^	^^^	1589 Bluefields [Mos Shore]. Pirate base est /v L Munoz 2 p 822 /// POSSIBLY CF RELEVANT AN - WIKIPEDIA PAGE	AN - Historical series re Belize - Introduction and series v 1.4	https://dataverse.harvard.edu/privateurl.xhtml?token=135a1006-cd54-4d9e-ba7b-d961b93f1bc4	###	
^^^	^^^	1	1 Jan 1536	^^^	31 Dec 1537	^^^	^^^	La nao gala zarpó de San Juan de Luz en Francia con cerca de 100 tripulantes	Saint-Jean-de-Luz / Nombre de Dios / Havana / Saint-Jean-de-Luz	Sagre de Saavedra	≥ 1 ship [c 100 men]	^^^	^^^	"O Torres pp 170-171 / Ullivarri pp 49, 53 / O Torres bb p 39"	"PT 267 ram 1 num 6 ff 1r-v [Testimonio de una información que hizo el licenciado Pedro Vázquez, Panamá a 15 de enero de 1537] /// SD 49 ram 8 num 54 / SD 49 ram 8 num 58A / SD 99 ram 1 num 12 ff 2v-3r [Carta de Gonzalo de Guzmán, governador de Cuba, Santiago a 8 de abril de 1537]"	"R Morel pp 275, 303"	"Primera Fase de Focalización Antillana, 1536-1543 Distribución inglesa y francesa en la subregión Panamá = 1 francesa, 0 inglesa = 1 total /v O Torres p p 176 /// Nov 1536. A lone French corsair vessel cuts out a Spanish ship anchored at Chagres (Panama). Feb 1537. Apparently the same single Fr corsair ship is sighted between Cartagena (Colombia) and Nombre de Dios (Panama), where it captures a Sp merchantman near the latter port as it is arriving with a consignment of horses fm Santo Domingo. 15 Mar 1537. This same Fr vessel materialises before Havana, prompting Gov. Gonzalo de Guzmán to order three of five 200-tn Sp merchantmen anchored in his port to sortie under Lt. Juan Velázquez. They overtake and trap the shallow-draught intruder inside the harbour at Mariel (then known as ""Puerto de Tablas""), only to run aground when the Fr vessel escapes out to sea, and so are boarded when this raider reverses course [...] Other Fr trespassers are also sighted near Santo Domingo. /v Marley 1 pp 78-79 /// 27 Oct. 1540 Real cedula directs Honduras-Higueras to build strong fortress given possible attack by French bc of Habsburg-Valois wars /GT 402 leg 2 [cedula 27 oct. 1540] /v Chamberlain p 253"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	1	1 Jan 1537	^^^	^^^	^^^	^^^	"On May 3rd 1537 from ten to a dozen French corsair vessels seen in Bay of Hon by Garcia de Celis, reported taken ten ships"	^^^	^^^	^^^	^^^	^^^	Winzerling p 16	^^^	^^^	^^^	^^^	^^^	###	
^^^	^^^	1	1 Jan 1544	^^^	^^^	^^^	^^^	"Un conjunto naval compuesto por tres naves francesas capitaneadas, según Bermúdez Bermúdez, por Pedro Braques llegó en noviembre de 1544"	France / San Germán [Puerto Rico] / Cabo de la Vela [Colombia] / Santa Marta [Colombia] / Honduras / Matanzas [Cuba] / France	Pedro Braques	4 ships [>> 22 men]	^^^	"sn [nave] / sn [nave] / sn [nave] / sn [patax, 22 men]"	O Torres p 183 / B Bermudez pp 46-48 / O Torres bb p 43 / Winzerling p 16	"PA 30 num 6 f 1r [Carta del cabildo de Nombre de Dios, Nombre de Dios a 29 de diciembre de 1544] /// SD 49 ram 15 num 96"	H Tordesillas bb 7 lib x cap xviii pp 241-242 / R Morel p 439	"Fase de Focalización Compartida, 1543-1548 Distribución inglesa y francesa en la subregión Guatemala = 0 inglesas, 1 francesas = 1 total /v O Torres p 186 /// Segunda Fase de Focalización Antillana, 1548-1554 Totales por subregión de las entradas corsarias = 0 en subregión Guatemala, 33 total /v O Torres p 197 /// cf SD 49 [Audiencia of Santo Domingo to R, 1545], ""tenemos nueva q. ... se apartaron los dhos. corsarios y el un parte de los qu. llevava con veynte dos frances fue apartar a honduras donde fue tomada y los tienen presos y otra nao q. hazia mucha agua fue a reparar a la ysla de cuba de cabo al puerto q. dizen de matanza"" /v Chamberlain p 225 /// 27 Oct. 1540 Real cedula directs Honduras-Higueras to build strong fortress given possible attack by French bc of Habsburg-Valois wars /GT 402 leg 2 [cedula 27 oct. 1540] /v Chamberlain p 253"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1552	^^^	^^^	^^^	^^^	"JUNE 18, 1552. A French ship becomes becalmed before Nombre de Dios; its 14-man crew is captured"	^^^	^^^	^^^	^^^	^^^	Marley 1 p 83	^^^			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1558	^^^	^^^	^^^	^^^	"SPRING 1558. Four French ships out of Bayonne and Saint-Jean-de-Luz sack Puerto Caballos (modern Puerto Cortés, Honduras)."	France / Trujillo	^^^	2 ships [200 men]	^^^	^^^	Marley 1 p 88 / Reichert aa pp 120-121 / Winzerling p 16	"AGCA A1 A1.23 leg 1512 f 285 [Real cédula de Felipe II para que se pongase mayor atención a las defensas de la provincia de Honduras, Madrid a 25 de marzo de 1561]"			AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
^^^	^^^	^^^	1 Jan 1559	^^^	^^^	^^^	^^^	Ese año una armada gala con cuatro navíos y seis zabras se hizo presente en el Golfo-Caribe	France / Isla de Margarita [Venezuela] / Santa Marta [Colombia] / Cartagena [Colombia] / Dzilam [Yucatan] / Canquel [Yucatan] / Mastunil [Yucatan] / Campeche [Yucatan] / Mexico [Mexico]	^^^	10 ships [>> 27 men]	^^^	sn [navío] / sn [navío] / sn [navío] / sn [navío] / sn [zabra] / sn [zabra] / sn [zabra] / sn [zabra] / sn [zabra] / sn [zabra]	"O Torres pp 215-216 / B Bermudez p 58 / O Torres aa pp 50, 95-96"	"PT 267 num 1 ram 34 ff 2r-8v [Información sobre el ataque corsario a Cartagena, Cartagena a 1 de junio de 1559] / PT 154 num 1 ram 2 ff 2r-4r [Información sobre el ataque corsario a Cartagena, Cartagena a 5 de junio de 1559] /// SF 49 ram 5 num 15 ff 1r-v [Carta de Rafael de Figueroa, Santa Marta a 21 de junio de 1559] /// MX 215 num 25 ff 1r-2r [Probanza de Francisco Hernández Pacho, Mérida a 10 de septiembre de 1580] /// AGN INQ vol 32 exp 1 ff 19r-v [Confesión de Pedro Buxel, Mérida de Yucatán a 18 de abril de 1560]"	Academia aa 13 pp 246-247	"Though see Segunda Fase de Focalización Antillana, 1548-1554 Totales por subregión de las entradas corsarias = 0 en subregión Guatemala, 33 total /v O Torres p 197 /// Though see Primera Fase de Actividad Generalizada en el Golfo-Caribe, 1555-1561 Distribución inglesa y francesa en la subregión Guatemala = 8 entradas francesas, 0 entradas inglesas = 8 total /v O Torres p 220"	AN - orig data events 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data events 1.2.numbers	###	
