CasualtySearch_13_01_2021_34
Id	Surname	Forename	Initials	AgeAtDeath	Honours	DateOfDeath	DateOfDeath2	Rank	Regiment	SecondaryRegiment	Unit	CountryOfService	ServiceNumber	Burial	Cemetery	GraveRef	AdditionalInfo
428882	ARNOLD	WALTER	W	19		04/01/1919		Private	British Honduras Territorial Force			United Kingdom	'5021'	Belize	FORT GEORGE MEMORIAL		"Son of Mrs. Juanita Flores, of Belize."
428881	ARNOLD		R	0		29/06/1916		Private	British Honduras Territorial Force			United Kingdom	'1037'	Belize	FORT GEORGE MEMORIAL		
2001475	AWE		A	0		10/11/1918		Private	British Honduras Territorial Force			United Kingdom	'4019'	Belize	FORT GEORGE MEMORIAL		
428883	BELISLE		H A	21		29/05/1916		Private	British Honduras Territorial Force			United Kingdom	''	Belize	FORT GEORGE MEMORIAL		
428884	BENNETT		C N	0		24/11/1917		Private	British Honduras Territorial Force			United Kingdom	'1112'	Belize	FORT GEORGE MEMORIAL		
4040925	BURNS		J A	0		08/11/1918		Private	British Honduras Territorial Force			United Kingdom	'4034'	Belize	FORT GEORGE MEMORIAL		
428906	COELLO		P	0		19/11/1918		Private	British Honduras Territorial Force			United Kingdom	'4513'	Belize	FORT GEORGE MEMORIAL		
428885	FAIRWEATHER		W H	45		16/01/1917		Colour Serjeant	British Honduras Territorial Force			United Kingdom	'85'	Belize	FORT GEORGE MEMORIAL		
428886	FELIX		J	0		22/08/1915		Private	British Honduras Territorial Force			United Kingdom	'72'	Belize	FORT GEORGE MEMORIAL		
428911	FLORES	GREGORIA	G	19		11/05/1917		Private	British Honduras Territorial Force			United Kingdom	'3272'	Belize	FORT GEORGE MEMORIAL		"Son of Louis Flores and Silveria Annie Flores, of Stann Creek, British Honduras."
428910	FLORES		F	0		18/11/1918		Private	British Honduras Territorial Force			United Kingdom	'3372'	Belize	FORT GEORGE MEMORIAL		
428912	FLORES		S J	0		29/04/1918		Private	British Honduras Territorial Force			United Kingdom	'3248'	Belize	FORT GEORGE MEMORIAL		
2001477	FLOWERS		R	0		20/11/1918		Bugler	British Honduras Territorial Force			United Kingdom	'5002'	Belize	FORT GEORGE MEMORIAL		
428888	HAMILTON	WILLIAM	W	17		04/08/1919		Private	British West Indies Regiment	British Honduras Territorial Force		United Kingdom	'5154'	Belize	FORT GEORGE MEMORIAL		"Son of William A. and Naomi Hamilton, of Belize."
428887	HAMILTON		A E	0		09/12/1918		Private	British Honduras Territorial Force			United Kingdom	'1337'	Belize	FORT GEORGE MEMORIAL		
428889	HARRISON		J H H	53		26/04/1916		Surgeon Captain	British Honduras Territorial Force			United Kingdom	''	Belize	FORT GEORGE MEMORIAL		
2001479	HUDSON		J L	0		08/05/1920		Lieutenant	British Honduras Territorial Force			United Kingdom	''	Belize	FORT GEORGE MEMORIAL		
428890	HULSE		L R	38		28/04/1918		Captain	British Honduras Territorial Force			United Kingdom	''	Belize	FORT GEORGE MEMORIAL		
428892	MAITLAND	JAMES	J	39		12/03/1918		Serjeant	British Honduras Territorial Force			United Kingdom	'2072'	Belize	FORT GEORGE MEMORIAL		
428891	McCORD		N W	45		17/08/1914		Corporal	British Honduras Territorial Force			United Kingdom	'229'	Belize	FORT GEORGE MEMORIAL		
428913	McNAB		W	0		03/10/1918		Private	British Honduras Territorial Force			United Kingdom	'3338'	Belize	FORT GEORGE MEMORIAL		
428894	MEJIA		P	24		13/11/1918		Private	British Honduras Territorial Force			United Kingdom	'796'	Belize	FORT GEORGE MEMORIAL		
428893	MEJIA		N	21		24/03/1917		Private	British Honduras Territorial Force			United Kingdom	'797'	Belize	FORT GEORGE MEMORIAL		
428895	MENZIES		J A	17		17/09/1914		Private	British Honduras Territorial Force			United Kingdom	'810'	Belize	FORT GEORGE MEMORIAL		
428914	MILLER		W G	0		10/03/1918		Lance Corporal	British Honduras Territorial Force			United Kingdom	'3210'	Belize	FORT GEORGE MEMORIAL		
428905	ORLAYNETO		P	0		27/11/1918		Private	British Honduras Territorial Force			United Kingdom	'3131'	Belize	FORT GEORGE MEMORIAL		
428907	PALOMA		E	0		11/11/1918		Private	British Honduras Territorial Force			United Kingdom	'4535'	Belize	FORT GEORGE MEMORIAL		
4040926	PATTEN	JAMES	J	0		14/11/1918		Private	British Honduras Territorial Force			United Kingdom	'4085'	Belize	FORT GEORGE MEMORIAL		
428896	PEEBLES		R A	52		06/11/1918		Serjeant	British Honduras Territorial Force			United Kingdom	'43'	Belize	FORT GEORGE MEMORIAL		
428897	PERDOMO		M E	36		11/11/1918		Private	British Honduras Territorial Force			United Kingdom	'1455'	Belize	FORT GEORGE MEMORIAL		
428908	PERDOMO		S A	0		16/07/1921		Second Lieutenant	British Honduras Territorial Force			United Kingdom	''	Belize	FORT GEORGE MEMORIAL		
428898	RENEAU		A W	0		06/05/1921		Private	British Honduras Territorial Force			United Kingdom	'297'	Belize	FORT GEORGE MEMORIAL		
