LEGEND: Table 1
Economist Intelligence Unit (EIU)																																																																				
																																																																				
Data Provider		Economist Intelligence Unit																																																																		
Description		"Commercial business information provider headquartered in London, United Kingdom"																																																																		
Website		www.eiu.com																																																																		
Data Source		Country Viewswire Service																																																																		
Type		Expert Assessment																																																																		
Respondents		"Network of over 500 correspondents, reviewed for consistency by panels of regional experts"																																																																		
Frequency		Monthly since 1997 - Democracy Index annually since 2006																																																																		
Coverage		Global sample of countries																																																																		
Public Access		"The full dataset is commercially available. The indicators range from 1 through 4 (bad).  Only the averages of subindicators are publicly available in this spreadsheet.  Democracy index is publicly available,and ranges from 0 through 10 (good). "																																																																		
Description		For the Country Viewswire Service we use data from December of each year.																																																																		
																																																																				
				2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2000	1998	1996																																												
		Voice and Accountability																																																																		
		Democracy Index		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..																																												
		Vested interests		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Accountablity of Public Officials		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Human Rights		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Freedom of association		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
																																																																				
		Political Stability and Absence of Violence																																																																		
		Orderly transfers		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Armed conflict		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Violent demonstrations		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Social Unrest		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		International tensions / terrorist threat		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
																																																																				
		Government Effectiveness																																																																		
		Quality of bureaucracy / institutional effectiveness		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Excessive bureacucracy / red tape		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
																																																																				
		Regulatory Quality																																																																		
		Unfair competitive practices		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Price controls		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Discriminatory tariffs		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Excessive protections		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Discriminatory taxes		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
																																																																				
		Rule of Law																																																																		
		Violent crime		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Organized crime		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Fairness of judicial process		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Enforceability of contracts		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Speediness of judicial process		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Confiscation/expropriation		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Intellectual property rights protection		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
		Private property protection		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
																																																																				
		Control of Corruption																																																																		
		Corruption among public officials		X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X																																												
																																																																				
		Country coverage		180	180	180	180	180	182	182	183	180	179	177	150	150	152	127	125	120	120	120	120	120																																												
		Country coverage (democracy Index)		167	166	167	167	167	168	168	166	166	167	167	167	167	167	..	..	..	..	..	..	..																																												
		Year of Publication		2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2000	1998	1996																																												


MERGEPublic: Table 1
	Code	EIU19VA	EIU19PV	EIU19GE	EIU19RQ	EIU19RL	EIU19CC	EIU18VA	EIU18PV	EIU18GE	EIU18RQ	EIU18RL	EIU18CC	EIU17VA	EIU17PV	EIU17GE	EIU17RQ	EIU17RL	EIU17CC	EIU16VA	EIU16PV	EIU16GE	EIU16RQ	EIU16RL	EIU16CC	EIU15VA	EIU15PV	EIU15GE	EIU15RQ	EIU15RL	EIU15CC	EIU14VA	EIU14PV	EIU14GE	EIU14RQ	EIU14RL	EIU14CC	EIU13VA	EIU13PV	EIU13GE	EIU13RQ	EIU13RL	EIU13CC	EIU12VA	EIU12PV	EIU12GE	EIU12RQ	EIU12RL	EIU12CC	EIU11VA	EIU11PV	EIU11GE	EIU11RQ	EIU11RL	EIU11CC	EIU10VA	EIU10PV	EIU10GE	EIU10RQ	EIU10RL	EIU10CC	EIU09VA	EIU09PV	EIU09GE	EIU09RQ	EIU09RL	EIU09CC	EIU08VA	EIU08PV	EIU08GE	EIU08RQ	EIU08RL	EIU08CC	EIU07VA	EIU07PV	EIU07GE	EIU07RQ	EIU07RL	EIU07CC	EIU06VA	EIU06PV	EIU06GE	EIU06RQ	EIU06RL	EIU06CC	EIU05VA	EIU05PV	EIU05GE	EIU05RQ	EIU05RL	EIU05CC	EIU04VA	EIU04PV	EIU04GE	EIU04RQ	EIU04RL	EIU04CC	EIU03VA	EIU03PV	EIU03GE	EIU03RQ	EIU03RL	EIU03CC	EIU02VA	EIU02PV	EIU02GE	EIU02RQ	EIU02RL	EIU02CC	EIU00VA	EIU00PV	EIU00GE	EIU00RQ	EIU00RL	EIU00CC	EIU98VA	EIU98PV	EIU98GE	EIU98RQ	EIU98RL	EIU98CC	EIU96VA	EIU96PV	EIU96GE	EIU96RQ	EIU96RL	EIU96CC
 	Year	2019	2019	2019	2019	2019	2019	2018	2018	2018	2018	2018	2018	2017	2017	2017	2017	2017	2017	2016	2016	2016	2016	2016	2016	2015	2015	2015	2015	2015	2015	2014	2014	2014	2014	2014	2014	2013	2013	2013	2013	2013	2013	2012	2012	2012	2012	2012	2012	2011	2011	2011	2011	2011	2011	2010	2010	2010	2010	2010	2010	2009	2009	2009	2009	2009	2009	2008	2008	2008	2008	2008	2008	2007	2007	2007	2007	2007	2007	2006	2006	2006	2006	2006	2006	2005	2005	2005	2005	2005	2005	2004	2004	2004	2004	2004	2004	2003	2003	2003	2003	2003	2003	2002	2002	2002	2002	2002	2002	2000	2000	2000	2000	2000	2000	1998	1998	1998	1998	1998	1998	1996	1996	1996	1996	1996	1996
Aruba	ABW	0.813	0.750	0.625	0.700	0.844	0.750	0.813	0.750	0.625	0.700	0.844	0.750	0.813	0.800	0.625	0.850	0.844	0.750	0.813	0.800	0.625	0.900	0.844	0.750	0.813	0.800	0.625	0.900	0.844	0.750	0.813	0.800	0.625	0.900	0.844	0.750	0.813	0.800	0.625	0.900	0.844	0.750	0.813	0.800	0.625	0.900	0.844	0.750	0.813	0.750	0.625	0.900	0.844	0.750	0.813	0.750	0.625	0.900	0.875	0.750	0.813	0.800	0.750	0.900	0.875	0.750																																																												
Afghanistan	AFG	0.174	0.100	0.000	0.200	0.094	0.000	0.180	0.100	0.000	0.200	0.094	0.000	0.159	0.100	0.000	0.200	0.094	0.000	0.159	0.100	0.000	0.200	0.094	0.000	0.170	0.100	0.000	0.200	0.094	0.000	0.170	0.100	0.000	0.150	0.094	0.000	0.155	0.100	0.000	0.150	0.094	0.000	0.155	0.100	0.000	0.150	0.094	0.000	0.155	0.100	0.000	0.150	0.094	0.000	0.155	0.100	0.000	0.150	0.094	0.000	0.182	0.100	0.000	0.150	0.094	0.000	0.302	..	..	..	..	..	0.306	..	..	..	..	..	0.184	0.050	0.000	0.150	0.031	0.000	0.063	0.050	0.125	0.150	0.094	0.000	0.063	0.150	0.125	0.150	0.094	0.000																														
Angola	AGO	0.342	0.600	0.125	0.400	0.281	0.000	0.337	0.600	0.125	0.400	0.281	0.000	0.306	0.550	0.125	0.400	0.281	0.000	0.295	0.500	0.125	0.400	0.281	0.000	0.293	0.500	0.125	0.450	0.281	0.000	0.293	0.550	0.125	0.450	0.281	0.000	0.293	0.550	0.125	0.500	0.281	0.000	0.293	0.550	0.250	0.550	0.281	0.000	0.291	0.550	0.250	0.550	0.281	0.000	0.291	0.600	0.250	0.550	0.281	0.000	0.293	0.600	0.250	0.500	0.313	0.000	0.324	0.650	0.125	0.500	0.281	0.000	0.246	0.425	0.000	0.500	0.250	0.000	0.214	0.350	0.000	0.450	0.281	0.000	0.188	0.350	0.125	0.150	0.156	0.000	0.125	0.450	0.000	0.200	0.156	0.000	0.063	0.300	0.000	0.200	0.063	0.000	0.063	0.200	0.000	0.200	0.063	0.000	0.063	0.150	0.000	0.200	0.063	0.000	0.063	0.150	0.000	0.200	0.063	0.000	0.063	0.150	0.000	0.200	0.063	0.000
Albania	ALB	0.576	0.550	0.250	0.650	0.375	0.250	0.580	0.600	0.250	0.600	0.375	0.250	0.580	0.600	0.250	0.600	0.375	0.250	0.577	0.550	0.250	0.600	0.375	0.250	0.577	0.550	0.250	0.550	0.375	0.000	0.565	0.550	0.250	0.550	0.375	0.000	0.565	0.450	0.250	0.550	0.375	0.000	0.534	0.350	0.250	0.550	0.375	0.000	0.541	0.300	0.250	0.550	0.375	0.000	0.543	0.450	0.250	0.550	0.375	0.250	0.546	0.450	0.250	0.550	0.375	0.250	0.546	0.500	0.250	0.550	0.375	0.250	0.546	0.500	0.250	0.550	0.375	0.250	0.546	0.550	0.250	0.550	0.375	0.250																																										
United Arab Emirates	ARE	0.232	0.800	0.750	0.750	0.719	0.750	0.232	0.800	0.750	0.700	0.688	0.750	0.228	0.800	0.750	0.700	0.688	0.750	0.231	0.750	0.750	0.700	0.688	0.750	0.231	0.750	0.625	0.700	0.625	0.500	0.226	0.750	0.500	0.650	0.594	0.500	0.220	0.750	0.500	0.650	0.594	0.500	0.223	0.750	0.500	0.650	0.594	0.500	0.223	0.750	0.500	0.650	0.594	0.500	0.220	0.750	0.500	0.700	0.594	0.500	0.224	0.750	0.500	0.700	0.594	0.500	0.255	0.650	0.500	0.700	0.625	0.750	0.246	0.650	0.500	0.775	0.516	0.750	0.246	0.750	0.500	0.800	0.531	0.750	0.250	0.750	0.500	0.800	0.531	0.750	0.250	0.750	0.500	0.800	0.531	0.750	0.250	0.750	0.500	0.800	0.531	0.750	0.250	0.700	0.500	0.800	0.531	0.750	0.250	0.750	0.500	0.750	0.563	0.250	0.250	0.750	0.500	0.750	0.563	0.250	0.250	0.750	0.500	0.750	0.563	0.250
Argentina	ARG	0.632	0.550	0.375	0.450	0.438	0.500	0.632	0.600	0.500	0.550	0.531	0.500	0.629	0.650	0.500	0.450	0.531	0.500	0.629	0.550	0.500	0.350	0.531	0.500	0.601	0.550	0.375	0.200	0.375	0.250	0.592	0.500	0.375	0.200	0.344	0.250	0.592	0.500	0.375	0.200	0.344	0.250	0.592	0.500	0.375	0.200	0.344	0.250	0.623	0.500	0.375	0.300	0.375	0.250	0.623	0.550	0.375	0.300	0.375	0.250	0.613	0.550	0.375	0.300	0.375	0.250	0.613	0.650	0.375	0.300	0.406	0.250	0.613	0.600	0.375	0.275	0.391	0.250	0.613	0.550	0.375	0.250	0.375	0.250	0.563	0.600	0.375	0.350	0.375	0.250	0.563	0.550	0.375	0.400	0.375	0.250	0.500	0.500	0.375	0.400	0.344	0.250	0.500	0.350	0.375	0.350	0.344	0.250	0.375	0.600	0.375	0.650	0.438	0.250	0.375	0.550	0.500	0.650	0.500	0.250	0.375	0.550	0.625	0.650	0.500	0.250
Armenia	ARM	0.496	0.400	0.375	0.500	0.500	0.250	0.458	0.400	0.375	0.500	0.500	0.250	0.393	0.400	0.375	0.500	0.500	0.250	0.382	0.450	0.375	0.450	0.500	0.250	0.388	0.450	0.375	0.500	0.500	0.250	0.363	0.400	0.375	0.450	0.500	0.250	0.326	0.400	0.375	0.450	0.438	0.250	0.330	0.350	0.250	0.650	0.406	0.250	0.330	0.350	0.250	0.650	0.406	0.250	0.330	0.400	0.250	0.650	0.406	0.250	0.349	0.250	0.250	0.650	0.406	0.250	0.349	0.300	0.250	0.650	0.438	0.250	0.333	0.400	0.250	0.650	0.438	0.250	0.333	0.350	0.250	0.650	0.438	0.250																																										
Australia	AUS	0.861	0.850	1.000	0.900	0.938	1.000	0.861	0.850	1.000	0.900	0.938	1.000	0.861	0.850	1.000	0.900	0.938	1.000	0.857	0.850	1.000	0.950	0.938	1.000	0.857	0.850	1.000	0.900	0.938	1.000	0.857	0.850	1.000	0.900	0.938	1.000	0.863	0.850	0.875	0.900	0.938	0.750	0.867	0.850	0.750	0.850	0.906	1.000	0.867	0.850	0.750	0.800	0.906	1.000	0.867	0.850	0.750	0.750	0.906	1.000	0.861	0.850	0.750	0.800	0.906	1.000	0.861	0.900	0.750	0.800	0.906	1.000	0.861	0.875	0.750	0.800	0.906	0.875	0.861	0.850	0.750	0.800	0.906	0.750	0.813	0.950	0.750	0.850	0.906	0.750	0.750	0.950	0.875	0.850	0.906	0.750	0.688	0.900	0.750	0.750	0.938	0.750	0.688	0.900	0.750	0.750	0.938	0.750	0.688	0.900	0.750	0.750	0.938	0.750	0.688	0.950	0.625	0.750	0.938	0.750	0.688	0.950	0.625	0.700	0.938	0.750
Austria	AUT	0.852	0.850	0.750	0.800	0.969	0.750	0.852	0.850	0.750	0.800	0.969	0.750	0.859	0.950	0.750	0.850	0.969	0.750	0.858	0.950	0.750	0.850	0.969	0.750	0.865	0.950	0.750	0.800	0.969	0.750	0.865	0.950	0.750	0.800	0.969	0.750	0.862	0.950	0.750	0.800	0.969	0.750	0.869	0.950	0.750	0.800	0.969	0.750	0.862	0.850	0.750	0.800	0.938	0.750	0.893	0.850	0.875	0.800	0.906	0.750	0.893	0.850	0.750	0.800	0.906	1.000	0.893	0.900	0.750	0.800	0.938	1.000	0.903	0.900	0.750	0.800	0.938	1.000	0.903	0.950	0.750	0.800	0.938	1.000	0.813	0.950	0.875	0.850	0.938	1.000	0.875	0.950	0.875	0.800	0.938	1.000	0.813	0.950	1.000	0.800	0.938	1.000	0.813	0.950	1.000	0.800	0.938	1.000	0.750	0.950	1.000	0.750	0.938	1.000	0.813	0.950	1.000	0.750	0.938	1.000	0.813	0.950	1.000	0.750	0.938	1.000
