LEGEND: Table 1
Data source = own questionnaire face-to-face poll by unknown company (n = 502)																											
																											
Gallup World Poll (GWP)  																											
																											
Data Provider		The Gallup Organization																									
Description		"Commercial survey firm based in Washington, United States"																									
Website		www.gallupworldpoll.com																									
Data Source		Gallup World Poll																									
Type		Survey																									
Respondents		Households																									
Frequency		Annual starting in 2006												  													
Coverage		Global sample of countries																									
Public Access		Full dataset is commercially available.  Averages of sub-indicators are publicly available in this spreadsheet.  Country level averages of variables from the core questionnaire are freely available through the Gallup World View website (worldview.gallup.com)																									
Description		"The Gallup World Poll is a survey polling representative samples of households in a large sample of countries.  The core survey instrument asks a wide range of questions, including some related to governance as indicated below.  Note that  we have carried forward scores for those countries that were covered in previous years but not in current year, up to a maximum of two years."																									
																											
				2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2000	1998	1996			
		Voice and Accountability																									
		Confidence in honesty of elections		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
		 																									
		Political Stability and Absence of Violence																									
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..			
																											
		Government Effectiveness																									
		Satisfaction with public transportation system		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
		Satisfaction with roads and highways		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
		Satisfaction with education system		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
																											
		Regulatory Quality																									
		NA		..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..	..			
																											
		Rule of Law																									
		Confidence in the police force		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
		Confidence in judicial system		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			 
		Have you had money property stolen from you or another household member?		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
		Have you been assaulted or mugged?		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
																											
		Control of Corruption																									
		Is corruption in governmnent widespread?		X	X	X	X	X	X	X	X	X	X	X	X	X	X	..	..	..	..	..	..	..			
																											
		Country coverage *		139	141	146	152	151	162	163	161	156	155	153	143	138	129	..	..	..	..	..	..	..			
		Year of Publication		2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	..	..	..	..	..	..	..			
																											
		* includes countries carried forward from previous years																									


Data: Table 1
Code	Country	GWP19VA	GWP19GE	GWP19RL	GWP19CC	GWP18VA	GWP18GE	GWP18RL	GWP18CC	GWP17VA	GWP17GE	GWP17RL	GWP17CC	GWP16VA	GWP16GE	GWP16RL	GWP16CC	GWP15VA	GWP15GE	GWP15RL	GWP15CC	GWP14VA	GWP14GE	GWP14RL	GWP14CC	GWP13VA	GWP13GE	GWP13RL	GWP13CC	GWP12VA	GWP12GE	GWP12RL	GWP12CC	GWP11VA	GWP11GE	GWP11RL	GWP11CC	GWP10VA	GWP10GE	GWP10RL	GWP10CC	GWP09VA	GWP09GE	GWP09RL	GWP09CC	GWP08VA	GWP08GE	GWP08RL	GWP08CC	GWP07VA	GWP07GE	GWP07RL	GWP07CC	GWP06VA	GWP06GE	GWP06RL	GWP06CC				
AFG	Afghanistan	0.16	0.38	0.38	0.13	0.19	0.44	0.35	0.09	0.10	0.48	0.41	0.08	0.19	0.54	0.61	0.26	0.11	0.46	0.57	0.15	0.25	0.47	0.50	0.15	0.18	0.48	0.54	0.18	0.21	0.52	0.55	0.23	0.19	0.41	0.49	0.22	0.27	0.47	0.53	0.23	0.34	0.49	0.57	0.19	0.54	0.56	0.62	0.30	0.54	0.56	0.62	0.30	0.54	0.56	0.62	0.30				
AGO	Angola														0.40	0.62			0.40	0.62		0.27	0.40	0.62	0.13	0.27	0.43	0.63	0.13	0.27	0.42	0.49	0.13	0.54	0.50	0.60	0.29	0.54	0.56	0.57	0.29	0.54	0.56	0.57	0.29	0.37	0.41	0.58	0.31	0.35	0.35	0.52	0.30	0.37	0.41	0.59	0.31				
ALB	Albania	0.25	0.54	0.59	0.19	0.33	0.55	0.63	0.18	0.40	0.56	0.63	0.23	0.29	0.51	0.62	0.20	0.41	0.51	0.63	0.24	0.36	0.50	0.55	0.30	0.21	0.50	0.52	0.28	0.22	0.57	0.59	0.18	0.24	0.56	0.63	0.14	0.24	0.56	0.58	0.31	0.24	0.53	0.60	0.27	0.24	0.51	0.60	0.27	0.24	0.49	0.59	0.30	0.24	0.49	0.59	0.30				
ARE	United Arab Emirates		0.83	0.91			0.81	0.94			0.81	0.93			0.81	0.93			0.80	0.91			0.80	0.90			0.80	0.90			0.87	0.90			0.86	0.90			0.82	0.91			0.67	0.90			0.77	0.90			0.77	0.90	..	..	0.77	0.90	..				
ARG	Argentina	0.34	0.60	0.54	0.22	0.35	0.58	0.53	0.23	0.31	0.52	0.51	0.22	0.41	0.53	0.52	0.22	0.31	0.60	0.55	0.20	0.42	0.58	0.51	0.20	0.48	0.54	0.56	0.23	0.37	0.55	0.54	0.24	0.53	0.62	0.59	0.36	0.33	0.59	0.52	0.21	0.32	0.54	0.50	0.15	0.30	0.48	0.50	0.21	0.32	0.48	0.50	0.17	0.36	0.50	0.52	0.24				
ARM	Armenia	0.51	0.54	0.65	0.67	0.38	0.46	0.63	0.59	0.15	0.51	0.58	0.27	0.08	0.52	0.59	0.22	0.09	0.46	0.59	0.23	0.11	0.49	0.59	0.19	0.14	0.49	0.61	0.23	0.18	0.51	0.61	0.26	0.13	0.46	0.58	0.25	0.14	0.51	0.60	0.30	0.16	0.55	0.63	0.27	0.16	0.55	0.64	0.23	0.15	0.48	0.64	0.18	0.10	0.59	0.59	0.21				
AUS	Australia	0.62	0.62	0.80	0.63	0.65	0.60	0.78	0.64	0.66	0.60	0.78	0.66	0.61	0.60	0.78	0.66	0.66	0.58	0.78	0.69	0.63	0.60	0.78	0.59	0.63	0.60	0.78	0.59	0.67	0.60	0.77	0.68	0.68	0.59	0.79	0.69	0.69	0.65	0.79	0.68	0.66	0.60	0.75	0.66	0.66	0.60	0.75	0.66	0.59	0.60	0.75	0.60	0.65	0.63	0.76	0.68				
AUT	Austria	0.72	0.78	0.87	0.57	0.66	0.74	0.85	0.51	0.59	0.76	0.83	0.50	0.64	0.76	0.83	0.50	0.65	0.74	0.81	0.48	0.57	0.76	0.81	0.38	0.57	0.76	0.81	0.38	0.68	0.71	0.80	0.34	0.67	0.72	0.81	0.43	0.61	0.77	0.80	0.58	0.57	0.71	0.81	0.47	0.57	0.71	0.81	0.47	0.70	0.74	0.82	0.64	0.70	0.74	0.82	0.64				
AZE	Azerbaijan	0.60	0.68	0.78	0.64	0.53	0.62	0.74	0.64	0.46	0.61	0.70	0.64	0.48	0.61	0.72	0.61	0.52	0.64	0.73	0.55	0.48	0.58	0.71	0.53	0.47	0.58	0.69	0.49	0.53	0.55	0.69	0.39	0.56	0.52	0.71	0.33	0.47	0.52	0.72	0.25	0.59	0.56	0.68	0.35	0.39	0.50	0.62	0.27	0.36	0.49	0.61	0.44	0.36	0.49	0.61	0.44				
BDI	Burundi														0.40	0.67			0.40	0.67		0.83	0.40	0.67	0.32	0.83	0.45	0.74	0.32	0.83	0.45	0.74	0.32	0.83	0.45	0.74	0.32	0.66	0.52	0.73	0.32	0.66	0.52	0.73	0.32	0.56	0.34	0.67	0.18	0.66	0.39	0.63	0.40	0.66	0.39	0.63	0.40				
