Storms: Storms w/in 150 nautical miles of Belize.
Name	Start	Parliament	Rainfall	150 mi	50 mi	0 mi	EM-DAT	EM-DAT Loss	EM-DAT Deaths	Max wind	Min press	Max cat	Max cat w/in	Data	Loss	Loss / GDP unit	GDP Prev yr	Ratio 00	Loss 2020 BZD	Deaths	Pop	Ratio 000	Impact sx	Impact f	Cost f	Impact c
U	6 Sep 1931	Council		1	1	1	1	"7,500,000"	1500	115	-1	4	4	1	"7,500,000"	USD	"15,837,856.05"	47.35	255256578.947368	2500	51347	48.69	70 PC			
JANET	21 Sep 1955	12		1	1		1	"5,000,000"	16	150	914	5	5	1	"5,000,000"	USD	"25,511,277.10"	19.60	96514925.3731343	16	77097	0.21				
ABBY	9 Jul 1960	13		1	1	1				70	995	1	1	1	"81,000"	BHD	"19,318,390.875"	0.42	1173030.04018461	0						
HATTIE	26 Oct 1961	14	301.092	1	1	1	1	"60,000,000"	275	145	914	5	5	1	"60,000,000"	USD	28071888.5622288	213.74	1038389741	307	90505	3.39	70 PC			
CARMEN	29 Aug 1974	17		1	1					130	928	4	4	1						1	"129,729.8"	0.01				
FIFI	14 Sep 1974	17		1	1	1	1	"4,000,000"		95	971	2	2	1	"4,000,000"	USD	78343558.2822086	5.11	41966131	0			200*			
GRETA	13 Sep 1978	17		1	1	1	1	"6,000,000"	5	115	947	4	4	1	"25,000,000"	USD	117650000.0000000	21.25	198257537	4	"137,293.4"	0.03	125			
MITCH	22 Oct 1998	22		1			1	"50,000"	9	155	905		5	1	"50,000"	USD	654314350.0000000	0.01	158679	9	221580	0.04				
KEITH	28 Sep 2000	22		1	1	1	1	"277,460,000"	14	120	939	4	4	1	"280,046,900"	USD	732750000.0000000	38.22	841311628	19	238988	0.08	3279			
CHANTAL	14 Aug 2001	22		1	1	1	1			60	997	S		1	"10,180,000"	USD	832050000.0000000	1.22	29742005							
IRIS	4 Oct 2001	22		1	1	1	1	"250,000,000"	30	125	948	4	4	1	"480,000,000"	BZD	"1,664,144,929.3 "	28.84	644295433.698425	24	247315	0.10	3178			
GAMMA	14 Nov 2005	23		1			1		3	45	1002			1						3	276504	0.01				
DEAN	13 Aug 2007	23		1	1		1	"14,847,000"		150	905	5	5	1	"96,680,000"	USD	1210150000.0000000	7.99	241216913	0						
ARTHUR	31 May 2008	23		1	1	1	1		7	40	1004	S		1	"78,000,000"	USD	1271600000.0000000	6.13	187415195	5	299025	0.02	714			
ALEX	24 Jun 2010	24		1	1	1				95	946			1	"1,250,000"	USD	1317300000.0000000	0.09	2965529							
RICHARD	19 Oct 2010	24		1	1	1				85	977	2	2	1	"70,476,982"	BZD	"2,634,622,616.7 "	2.68	74554351.4460466	1	314655	0.00	890	1128		
ERNESTO	1 Aug 2012	25		1	1					85	973	2	2	1	"762,800"	BZD	"2,921,600,424.0 "	0.03	784010.427943809	0						
EARL	2 Aug 2016	26		1	1	1	1			75	979	1	1	1	"188,678,394"	BZD	"3,447,570,713.1 "	5.47	191040276	0			1099	3109	1196.84	5454
U	29 Jun 1851			1						80	-1															
U	21 Sep 1852			1	1	1				55	-1	S														
U	26 Aug 1864	3		1	1	1				70	-1	1	1													
U	13 Aug 1866	4		1	1					90	-1	2	1													
U	30 Oct 1870	Council		1	1					70	-1	1	1													
U	17 Jul 1876	Council		1	1	1				75	-1	1	1													
U	19 Aug 1879	Council		1						90	964		1													
U	4 Aug 1880	Council		1						95	-1		1													
U	4 Jul 1893	Council		1	1	1				85	-1	2	1													
U	2 Sep 1898	Council		1	1	1				75	-1	1	1													
U	28 Sep 1904	Council		1	1	1				70	-1	1	1													
U	8 Oct 1906	Council		1	1	1				105	953	3	1													
U	22 Aug 1918	Council		1	1	1				90	968	2	1													
U	10 Sep 1933	Council		1	1					95	960	2	1													
U	4 Jun 1934	Council		1	1	1				85	966		1													
U	23 Sep 1941	8		1	1	1				115	-1	4	1													
U	16 Aug 1944	9		1						105	973		1													
U	2 Oct 1945	10		1	1	1				80	982	1	1													
ANNA	17 Jul 1961	14	555.654	1	1	1				90	976	2	1													
EDITH	5 Sep 1971	16	146.073	1	1	1				140	943	5	1													
DOLLY	19 Aug 1996	21		1	1					70	989	1	1													
ISIDORE	14 Sep 2002	22		1						110	934		1													
U	20 Jul 1887	Council		1						85	-1		2													
U	6 Oct 1887	Council		1	1					65	-1	1	2													
U	12 Sep 1889	Council		1						95	-1	2	2													
U	5 Oct 1891	Council		1						120	951		2													
U	5 Oct 1892	Council		1	1	1				85	-1	2	2													
U	27 Oct 1898	Council		1						85	-1	2	2													
U	9 Oct 1916	Council		1	1					95	970	2	2													
U	11 Oct 1922	Council		1						95	-1		2													
U	5 Nov 1942	9		1	1	1				95	-1	2	2													
ORLENE	21 Sep 1974	17		1	1	1				90	-1		2													
PAULA	11 Oct 2010	24		1						90	981		2													
U	9 Oct 1887	Council		1						100	-1		3													
U	14 Sep 1889	Council		1						100	-1	3	3													
U	14 Oct 1924	Council		1						145	910	5	3													
U	23 Aug 1938	7		1						105	979		3													
HILDA	12 Sep 1955	12		1						105	952		3													
FRANCELIA	29 Aug 1969	16	459.212	1	1	1				100	973	3	3													
ROXANNE	7 Oct 1995	21		1						100	956		3													
RINA	22 Oct 2011	24		1						100	966	3	3													
U	16 Sep 1933	Council		1						140	929		4													
CHARLIE	12 Aug 1951	11		1						115	68		4													
EMILY	11 Jul 2005	23		1						140	929		4													
WILMA	15 Oct 2005	23		1			1			160	882		4													
U	16 Aug 1857	2		1						65	-1															
U	7 Sep 1857	2		1	1	1				55	-1															
U	10 Jun 1858	2		1						55	-1															
U	20 Jun 1859	2		1	1					80	990															
U	25 Jul 1860	2		1						75	-1															
U	28 Jul 1861	3		1	1	1				45	-1															
U	17 Aug 1866	4		1						65	-1															
U	16 Sep 1871	Council		1	1	1				45	-1	S														
U	25 Sep 1874	Council		1	1					80	980															
U	10 Sep 1879	Council		1	1	1				80	-1	1														
U	9 Jun 1880	Council		1	1	1				45	-1	S														
U	5 Oct 1880	Council		1						70	-1															
U	16 Aug 1881	Council		1						70	-1															
U	16 Sep 1883	Council		1						50	-1															
U	2 Aug 1887	Council		1	1	1				55	-1															
U	6 Oct 1887	Council		1						50	-1															
U	19 Aug 1888	Council		1						45	-1															
U	8 Oct 1888	Council		1	1					60	-1															
U	15 Oct 1889	Council		1	1	1				50	-1	S														
U	14 Oct 1891	Council		1	1	1				55	-1	S														
U	23 Oct 1891	Council		1	1					55	-1															
U	23 Sep 1892	Council		1						55	-1															
U	4 Sep 1893	Council		1						85	-1															
U	9 Sep 1894	Council		1	1	1				55	-1	S														
U	25 Sep 1895	Council		1	1	1				55	982	S														
U	28 Sep 1895	Council		1						50	-1															
U	2 Oct 1895	Council		1						35	-1															
U	12 Sep 1898	Council		1	1	1				50	-1	S														
U	20 Sep 1898	Council		1						50	-1															
U	21 Oct 1898	Council		1						40	-1															
U	27 Oct 1898	Council		1	1	1				50	-1															
U	24 Sep 1905	Council		1						45	-1															
U	6 Aug 1909	Council		1						40	1004															
U	21 Jun 1913	Council		1						65	-1															
U	28 Oct 1913	Council		1						65	1003															
U	27 Aug 1916	Council		1	1	1				70	986	1														
U	11 Nov 1916	Council		1						60	1002															
U	6 Jul 1917	Council		1	1	1				45	-1	S														
U	16 Sep 1920	Council		1	1					85	975															
U	16 Jun 1921	Council		1	1	1				80	980	1														
U	12 Jun 1922	Council		1	1					45	1006															
U	18 Jun 1924	Council		1	1	1				40	-1	S														
U	27 Sep 1924	Council		1						55	999															
U	3 Oct 1926	Council		1	1	1				35	-1	S														
U	12 Nov 1926	Council		1						35	-1															
U	16 Oct 1927	Council		1	1					40	-1															
U	1 Sep 1928	Council		1						50	-1															
U	24 Jun 1931	Council		1	1					45	-1															
U	11 Jul 1931	Council		1	1					60	1000															
U	10 Aug 1931	Council		1	1	1				50	-1	S														
U	8 Sep 1931	Council		1	1					85	987															
U	18 Oct 1931	Council		1						40	-1															
U	11 Nov 1931	Council		1	1	1				45	-1	S														
U	25 Sep 1932	Council		1	1	1				125	943	4														
U	7 Oct 1932	Council		1	1	1				60	-1	S														
U	14 Jul 1933	Council		1	1	1				45	-1	S														
U	30 Aug 1935	Council		1						50	-1															
U	18 Oct 1935	Council		1						75	988															
U	12 Jun 1936	7		1	1					40	996															
U	28 Aug 1936	7		1	1					70	-1															
U	10 Oct 1938	7		1	1	1				50	996															
U	12 Jun 1939	8		1	1	1				55	-1															
U	18 Sep 1940	8		1	1					45	1004															
U	3 Aug 1942	9		1	1	1				50	-1	S														
U	15 Sep 1942	9		1	1	1				45	-1															
U	20 Oct 1943	9		1	1	1				40	-1	S														
U	20 Jun 1945	10		1						85	-1															
U	29 Aug 1945	10		1	1	1				60	990															
U	5 Oct 1946	10		1	1					85	977															
U	9 Aug 1947	10		1						95	977															
U	27 Sep 1949	11		1						95	965															
U	2 Feb 1952	11		1	1					60	-1															
GILDA	24 Sep 1954	12		1	1	1				60	998															
FLOSSY	20 Sep 1956	12		1	1	1				80	974															
GERDA	14 Sep 1958	13		1	1	1				50	1001															
U	3 Jun 1964	14	348.236	1						60	992															
U	5 Nov 1964	14	195.727	1	1	1				60	997	S														
DEBBIE	24 Sep 1965	15	294.141	1						50	1000															
ABBY	1 Jun 1968	15	260.99	1						65	965															
LAURIE	17 Oct 1969	16	193.001	1						90	973															
ELLA	8 Sep 1970	16	283.532	1						110	967															
CHLOE	18 Aug 1971	16	278.268	1	1	1				55	1004															
U	6 Oct 1971	16	156.818	1						25	-1															
LAURA	12 Nov 1971	16	273.197	1	1	1				60	994	S														
AGNES	14 Jun 1972	16		1						75	977															
U	6 Sep 1973	16		1						30	-1															
U	25 Sep 1975	17		1	1	1				25	-1	D														
U	27 Oct 1975	17		1	1					25	-1															
U	8 Nov 1975	17		1						30	-1															
FRIEDA	16 Oct 1977	17		1	1	1				50	1005	S														
U	12 Oct 1979	18		1	1					30	-1															
HERMINE	20 Sep 1980	18		1	1	1				60	993	S														
U	16 Oct 1980	18		1	1					25	-1															
PAUL	18 Sep 1982	18		1						95	-1															
U	1 Sep 1986	19		1	1	1				30	-1															
KAREN	28 Nov 1989	20		1						50	1000															
DIANA	4 Aug 1990	20		1	1					85	980															
FABIAN	15 Oct 1991	20		1						40	1002															
GERT	14 Sep 1993	21		1	1	1				85	970	2														
U	21 Sep 1993	21		1	1	1				30	-1	D														
U	24 Sep 1994	21		1	1	1				30	1004															
OPAL	27 Sep 1995	21		1						130	916															
KYLE	11 Oct 1996	21		1	1					45	1001															
KATRINA	28 Oct 1999	22		1	1	1				35	999															
GORDON	14 Sep 2000	22		1						70	981															
BILL	28 Jun 2003	23		1						50	997															
LARRY	27 Sep 2003	23		1						55	993															
CINDY	3 Jul 2005	23		1	1					65	991															
STAN	1 Oct 2005	23		1						70	977															
BARRY	31 May 2007	23		1	1					50	990															
FELIX	31 Aug 2007	23		1	1	1				150	929															
ALMA	29 May 2008	23		1						55	994															
AGATHA	28 May 2010	24		1						40	1001															
KARL	13 Sep 2010	24		1	1					110	956															
MATTHEW	23 Sep 2010	24		1	1	1	1			50	998	S														
HARVEY	19 Aug 2011	24		1	1	1				55	994	S														
HELENE	9 Aug 2012	25		1	1	1				40	1004	S														
BARRY	16 Jun 2013	25		1	1	1				40	1003	S														
HANNA	21 Oct 2014	25		1	1	1				35	1000	S														
FRANKLIN	6 Aug 2017	26		1						75	981															
HARVEY	16 Aug 2017	26		1	1					115	937															
ALBERTO	25 May 2018	26		1						55	990															
MICHAEL	6 Oct 2018	26		1	1					140	919															
note	1 BHD = 0.70 USD rate used; 1 BZD = 0.50 USD rate used. CPI for BZD  from SIB/ via Central Bank. CPI for USD from BLS/ via Alioth LLC																									
note	"Centroid coordinates for Belize from Prof. Kelly O’Neill at Harvard, 2018 file."																									
note	NMS has conflicting data. ORLENE expunged (record contained under FIFI).																									
cf	NOAA data at NOAA Hurricane Tracks																									
note	U = unnamed / S = tropical storm / D = tropical depression. Wind speeds in kt / Pressure in mb																									


Storms-2: Storms w/in 150 nautical miles of Belize.
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
										1801	15.1 									
										1802	11.6 									
										1803	11.0 									
										1804	11.3 									
										1805	13.1 									
										1806	12.6 									
										1807	12.3 									
										1808	12.8 									
										1809	14.0 									
										1810	14.4 									
										1811	14.0 									
										1812	15.9 									
										1813	16.3 									
										1814	14.2 									
										1815	12.7 									
										1816	11.6 									
										1817	13.2 									
										1818	13.2 									
										1819	12.9 									
										1820	11.7 									
										1821	10.3 									
										1822	8.9 									
										1823	9.5 									
										1824	10.3 									
										1825	12.1 									
										1826	11.4 									
										1827	10.7 									
										1828	10.4 									
										1829	10.3 									
										1830	9.9 									
										1831	10.9 									
										1832	10.1 									
										1833	9.5 									
										1834	8.7 									
										1835	8.9 									
										1836	9.9 									
										8	10.1 									
										8	10.2 									
										8	10.9 									
										9	11.1 									
										9	10.9 									
										9	10.0 									
										9	8.9 									
										9	8.9 									
										10	9.3 									
										10	9.7 									
										10	10.9 									
										10	9.5 									
										10	8.9 									
										11	8.4 									
										11	8.1 									
											8.1 									
											8.9 									
											10.2 									
											10.5 									
											10.5 									
											10.0 									
											9.1 									
											9.0 									
											9.3 									
											9.5 									
											9.3 									
											9.0 									
											8.9 									
											9.0 									
											9.5 									
											10.1 									
											10.0 									
											9.5 									
											9.5 									
											9.6 									
											10.0 									
											10.4 									
											10.0 									
											9.8 									
											9.8 									
											9.7 									
											9.5 									
											9.1 									
											9.4 									
											9.3 									
											9.4 									
											9.3 									
											9.1 									
											8.8 									
											8.7 									
											8.6 									
											8.7 									
											8.8 									
											8.8 									
											8.9 									
											8.9 									
											8.8 									
											8.7 									
											8.6 									
											8.5 									
											8.7 									
											8.7 									
											8.8 									
											9.2 									
											9.2 									
											9.2 									
											9.3 									
											9.3 									
											9.3 									
											9.3 									
											9.4 									
											9.4 									
											9.5 									
											9.6 									
											9.6 									
											9.9 									
											9.8 									
											9.8 									
											11.0 									
											13.0 									
											16.3 									
											19.9 									
											21.9 									
											25.3 									
											23.1 									
											19.9 									
											18.7 									
											18.6 									
											18.6 									
											18.5 									
											18.0 									
											18.0 									
											17.8 									
											17.3 									
											16.6 									
											16.2 									
											15.8 									
											15.8 									
											15.9 									
											16.0 									
											16.6 									
											16.8 									
											17.3 									
											20.2 									
											22.4 									
											24.0 									
											24.8 									
											25.5 									
											26.2 									
											27.0 									
											28.9 									
											31.1 									
											32.0 									
											33.0 									
											36.0 									
											39.3 									
											40.5 									
										1	43.1 									
										1	45.3 									
										1	46.9 									
										1	48.4 									
										1	48.4 									
										1	48.6 									
										2	49.1 									
										2	50.8 									
										2	53.0 									
										2	54.0 									
										2	54.0 									
										2	55.8 									
										3	58.4 									
										3	60.7 									
										3	62.3 									
										3	65.2 									
										3	65.2 									
										3	68.7 									
