Metadata: Table 1
Sheet	Column	Source	Notes
Storms	Name	US NOAA National Hurricane Centre. US NOAA National Centres for Environmental Information.	U = “unnamed” or “not named”
	Start		
	150 mi		
	50 mi		
	0 mi		
	Max wind		
	Min press		-1 = missing data
	Max cat w/in		
Storms	Parliament	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	Public Meeting counted as first Parliament. Legislative Council counted as one Parliament.
Storms	EM-DAT	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters 	1 = yes
	EM-DAT Loss		Figures in current currency
	EM-DAT Deaths		
Storms	Loss	Belgium Université catholique de Louvain Centre for Research on the Epidemiology of Disasters. Belize NEMO. World Bank “Advancing Disaster Risk Finance in Belize” 2018 by Ishizawa & Gunasekera et al. US NOAA National Hurricane Centre.	Figures in current currency
	Deaths		
Trade + GDP	Imports	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. British Honduras / Belize Government Gazette.	Figures in current currency
	Import units		
	Exports		Figures in current currency
	Export units		
	GDP	World Bank.	Figures in current currency
CPI	US	US Bureau of Labour Statistics.	1967 = 100
	UK	UK Office for National Statistics.	1974 = 100. CPI for 2020 excludes December.
	Belize	Belize Statistical Institute of Belize.	2011 = 100. CPI for 2020 excludes November and December.
FX	S$ to Lsd	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade.	S$ = Spanish dollar
	G$ to Lsd		G$ = US gold dollar
	USD to GBP	"EU European Central Bank. US Federal Reserve. UK Bank of England. via FXTOP sarl, France."	
	Lsd to BHD	"GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade; Sir J.A. Burdon, Archives v 3, p. 318"	BHD = British Honduras dollar
	USD to BHD		BHD = British Honduras dollar
Population	Censuses	GB / UK War & Colonial Office / Colonial Office / Commonwealth Office / Foreign & Commonwealth Office. GB / UK House of Commons. GB / UK Board of Trade & Plantations / Board of Trade. 	
	Estimates	"Author’s estimates from census data prior to 1960. World Bank beginning in 1960. Prior to 1841 = “The Growth and Development of Belize City” J.C. Everitt 2009; “British Honduras: The invention of a colonial territory” Odile Hoffmann 2014; The Diplomatic history of British Honduras, 1638-1901 by Robert Arthur Humphreys ; Belize SIB; Savanna-la-Mar Gazette (Jamaica) 15 Jul 1788 p. 3"	

Disasterssdsdf: Table 1
Start	Type	Deaths	Damage	unit	Multiplier	Damage	unit	year	Damage 2020	Description	Source for non-storm disasters	Source for multiplier	
1701	Anthropological	0	90	pc houses	100	1350	Lsd	1856	"365,687"	"Raid on Belize River by the Spanish; “have burnt Houses, and drove away the People”"	"Flying Post, 24 to 27 May 1701 p. 1 issue 944"	"Houses est. at 15; cost at 100L; Account of logwood sold at 4/10/0 Jamaica 1712 currency per tonne, in Nathaniel Uring A history of the voyages and travels of Capt. Nathaniel Uring 1726 p. 246; later average given as 5/0/0 Jamaica 1719 currency per tonne, in ibid. p. 355"	
1715		7								Famine from unknown causes; “several Negroes dyed”	The Boston News-Letter 19 Sep 1715 p. 2		
1716		0			600	0			0	"Raid in Feb on Belize River by the Spanish; “captivated 150 Men Whites and Blacks, burnt all the Logwood, destroy’d the Craft, took a Pink and Sloop … burnt the Hulks and a Snow … took also a Vessel of Marooners that belonged to the Bay”"	The Boston News-Letter 7 May 1716 p. 2 issue 629		
1717					600	0			0	"Raid on Belize River by the Spanish; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1718 in AB); “Log-Wood Bay was cut off, Anno 1717”"	"The state of the island of Jamaica by A. B. 1726 p. 15; A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88"	"5863 tonnes logwood imported into Port London, at 5L per tonne; per A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88"	
1723	Anthropological	0	7	sloops	600	4200	Lsd	1826	"1,047,876"	Raid on Belize River by the Spanish; “seized 7 or 8 English Sloops … the Men were taken … as slaves”; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1724 in AB)	"Parker’s London News / Impartial Intelligencer issue 883; Daily Post, issue 1169; Weekly Journal / Saturday’s Post issue 248; New England Courant 13 to 20 May 1723 94; The state of the island of Jamaica by A. B. 1726 p. 15; The BOSTON News-Letter 16 May 1723 p. 4 issue 1007"		
1723	Technological	0	1	ships	600	600	Lsd	1826	"149,697"	Shipwreck “Elizabeth” of Liverpool	Daily Courant 6791		
1725	Anthropological	0	11	ships	600	6600	Lsd	1826	"1,646,663"	Raid & confrontation with pirates; “took 10 or 12 English Ships” 	Weekly Journal / Saturday’s Post its 327		
1725	Technological	0	3	ships	600	1800	Lsd	1826	"449,090"	Shipwreck off Glover’s Reef	Daily Post 1808		
1725	Anthropological	7	3	ships	600	1800	Lsd	1826	"449,090"	Confrontation with Spanish; “had taken several small Craft … murdered their [Crafts’] People”	British Journal 179		
1726	Anthropological	0	0	Lsd		0	Lsd	1826	0	"Confrontation with Spanish, losses recovered"	Daily Courant 7701	"price of logwood given as 5L per tonne 1726 currency, 12000 tonnes export upper bound or average from settlement at Belize River, 108,000L in trade, in The state of the island of Jamaica by A. B. 1726 p. 16"	
