Series T 1—781 / Foreign markets.
ID	NO	START 1	US GDP	CF 13	UK GDO	CF 14	END	
T 1	1	1630	xnp	xnp	xnp	xnp	###	
T 3	3	1631	xnp	xnp	xnp	xnp	###	
T 5	5	1632	xnp	xnp	xnp	xnp	###	
T 7	7	1633	xnp	xnp	xnp	xnp	###	
T 9	9	1634	xnp	xnp	xnp	xnp	###	
T 11	11	1635	xnp	xnp	xnp	xnp	###	
T 13	13	1636	xnp	xnp	xnp	xnp	###	
T 15	15	1637	xnp	xnp	xnp	xnp	###	
T 17	17	1638	xnp	xnp	xnp	xnp	###	
T 19	19	1639	xnp	xnp	xnp	xnp	###	
T 21	21	1640	xnp	xnp	xnp	xnp	###	
T 23	23	1641	xnp	xnp	xnp	xnp	###	
T 25	25	1642	xnp	xnp	xnp	xnp	###	
T 27	27	1643	xnp	xnp	xnp	xnp	###	
T 29	29	1644	xnp	xnp	xnp	xnp	###	
T 31	31	1645	xnp	xnp	xnp	xnp	###	
T 33	33	1646	xnp	xnp	xnp	xnp	###	
T 35	35	1647	xnp	xnp	xnp	xnp	###	
T 37	37	1648	xnp	xnp	xnp	xnp	###	
T 39	39	1649	xnp	xnp	xnp	xnp	###	
T 41	41	1650	xnp	xnp	xnp	xnp	###	
T 43	43	1651	xnp	xnp	xnp	xnp	###	
T 45	45	1652	xnp	xnp	xnp	xnp	###	
T 47	47	1653	xnp	xnp	xnp	xnp	###	
T 49	49	1654	xnp	xnp	xnp	xnp	###	
T 51	51	1655	xnp	xnp	xnp	xnp	###	
T 53	53	1656	xnp	xnp	xnp	xnp	###	
T 55	55	1657	xnp	xnp	xnp	xnp	###	
T 57	57	1658	xnp	xnp	xnp	xnp	###	
T 59	59	1659	xnp	xnp	xnp	xnp	###	
T 61	61	1660	xnp	xnp	xnp	xnp	###	
T 63	63	1661	xnp	xnp	xnp	xnp	###	
T 65	65	1662	xnp	xnp	xnp	xnp	###	
T 67	67	1663	xnp	xnp	xnp	xnp	###	
T 69	69	1664	xnp	xnp	xnp	xnp	###	
T 71	71	1665	xnp	xnp	xnp	xnp	###	
T 73	73	1666	xnp	xnp	xnp	xnp	###	
T 75	75	1667	xnp	xnp	xnp	xnp	###	
T 77	77	1668	xnp	xnp	xnp	xnp	###	
T 79	79	1669	xnp	xnp	xnp	xnp	###	
T 81	81	1670	xnp	xnp	xnp	xnp	###	
T 83	83	1671	xnp	xnp	xnp	xnp	###	
T 85	85	1672	xnp	xnp	xnp	xnp	###	
T 87	87	1673	xnp	xnp	xnp	xnp	###	
T 89	89	1674	xnp	xnp	xnp	xnp	###	
T 91	91	1675	xnp	xnp	xnp	xnp	###	
T 93	93	1676	xnp	xnp	xnp	xnp	###	
T 95	95	1677	xnp	xnp	xnp	xnp	###	
T 97	97	1678	xnp	xnp	xnp	xnp	###	
T 99	99	1679	xnp	xnp	xnp	xnp	###	
T 101	101	1680	xnp	xnp	xnp	xnp	###	
T 103	103	1681	xnp	xnp	xnp	xnp	###	
T 105	105	1682	xnp	xnp	xnp	xnp	###	
T 107	107	1683	xnp	xnp	xnp	xnp	###	
T 109	109	1684	xnp	xnp	xnp	xnp	###	
T 111	111	1685	xnp	xnp	xnp	xnp	###	
T 113	113	1686	xnp	xnp	xnp	xnp	###	
T 115	115	1687	xnp	xnp	xnp	xnp	###	
T 117	117	1688	xnp	xnp	xnp	xnp	###	
T 119	119	1689	xnp	xnp	xnp	xnp	###	
T 121	121	1690	xnp	xnp	xnp	xnp	###	
T 123	123	1691	xnp	xnp	xnp	xnp	###	
T 125	125	1692	xnp	xnp	xnp	xnp	###	
T 127	127	1693	xnp	xnp	xnp	xnp	###	
T 129	129	1694	xnp	xnp	xnp	xnp	###	
T 131	131	1695	xnp	xnp	xnp	xnp	###	
T 133	133	1696	xnp	xnp	xnp	xnp	###	
T 135	135	1697	xnp	xnp	xnp	xnp	###	
T 137	137	1698	xnp	xnp	xnp	xnp	###	
T 139	139	1699	xnp	xnp	xnp	xnp	###	
T 141	141	1700	xnp	xnp	xnp	xnp	###	
T 143	143	1701	xnp	xnp	xnp	xnp	###	
T 145	145	1702	xnp	xnp	xnp	xnp	###	
T 147	147	1703	xnp	xnp	xnp	xnp	###	
T 149	149	1704	xnp	xnp	xnp	xnp	###	
T 151	151	1705	xnp	xnp	xnp	xnp	###	
T 153	153	1706	xnp	xnp	xnp	xnp	###	
T 155	155	1707	xnp	xnp	xnp	xnp	###	
T 157	157	1708	xnp	xnp	xnp	xnp	###	
T 159	159	1709	xnp	xnp	xnp	xnp	###	
T 161	161	1710	xnp	xnp	xnp	xnp	###	
T 163	163	1711	xnp	xnp	xnp	xnp	###	
T 165	165	1712	xnp	xnp	xnp	xnp	###	
T 167	167	1713	xnp	xnp	xnp	xnp	###	
T 169	169	1714	xnp	xnp	xnp	xnp	###	
T 171	171	1715	xnp	xnp	xnp	xnp	###	
