Series W 1—7167 / Sub-annually resolved meteorological data
ID	NO	START 2	YBC D13C	CF 3	START 3	ATM D13C	CF 4	END	
W 1	1	6 Aug 1983	-8.72498547572081	Ridley [Supp]	4 Oct 2000	-8.364	Frappier N [Supp]	###	
W 3	3	1 Jul 1983	-8.50405598940741	Ridley [Supp]	3 Aug 2000	-8.37	Frappier N [Supp]	###	
W 5	5	23 May 1983	-8.47950826870592	Ridley [Supp]	2 Jun 2000	-8.805	Frappier N [Supp]	###	
W 7	7	11 Apr 1983	-8.36069730051071	Ridley [Supp]	4 Apr 2000	-8.826	Frappier N [Supp]	###	
W 9	9	24 Feb 1983	-8.57278960737158	Ridley [Supp]	22 Jan 2000	-8.701	Frappier N [Supp]	###	
W 11	11	5 Jan 1983	-8.61992123111843	Ridley [Supp]	27 Dec 1999	-8.704	Frappier N [Supp]	###	
W 13	13	14 Nov 1982	-8.89190997649093	Ridley [Supp]	2 Dec 1999	-8.849	Frappier N [Supp]	###	
W 15	15	24 Sep 1982	-9.0067933093739	Ridley [Supp]	6 Nov 1999	-8.784	Frappier N [Supp]	###	
W 17	17	6 Aug 1982	-9.33128413017759	Ridley [Supp]	11 Oct 1999	-9.136	Frappier N [Supp]	###	
W 19	19	26 Jun 1982	-9.34585692228512	Ridley [Supp]	21 Aug 1999	-9.241	Frappier N [Supp]	###	
W 21	21	22 May 1982	-9.16418278067789	Ridley [Supp]	27 Jul 1999	-10.178	Frappier N [Supp]	###	
W 23	23	11 Apr 1982	-8.5045210579436	Ridley [Supp]	1 Jul 1999	-10.567	Frappier N [Supp]	###	
W 25	25	28 Jan 1982	-8.74934396535014	Ridley [Supp]	11 May 1999	-10.199	Frappier N [Supp]	###	
W 27	27	22 Oct 1981	-8.58515717427194	Ridley [Supp]	15 Apr 1999	-8.069	Frappier N [Supp]	###	
W 29	29	6 Aug 1981	-8.75905916008849	Ridley [Supp]	14 Mar 1999	-6.604	Frappier N [Supp]	###	
W 31	31	24 Jun 1981	-8.6113882000655	Ridley [Supp]	10 Mar 1999	-7.138	Frappier N [Supp]	###	
W 33	33	22 May 1981	-8.60070148585331	Ridley [Supp]	17 Feb 1999	-5.57	Frappier N [Supp]	###	
W 35	35	11 Apr 1981	-8.43554317530128	Ridley [Supp]	8 Jan 1999	-5.698	Frappier N [Supp]	###	
W 37	37	13 Feb 1981	-8.53269512268483	Ridley [Supp]	20 Dec 1998	-5.442	Frappier N [Supp]	###	
W 39	39	8 Dec 1980	-8.46566027899018	Ridley [Supp]	28 Nov 1998	-5.608	Frappier N [Supp]	###	
W 41	41	3 Oct 1980	-8.68716671902467	Ridley [Supp]	19 Oct 1998	-5.622	Frappier N [Supp]	###	
W 43	43	6 Aug 1980	-8.84552439325985	Ridley [Supp]	27 Sep 1998	-5.927	Frappier N [Supp]	###	
W 45	45	1 Jul 1980	-8.7046540695537	Ridley [Supp]	9 Sep 1998	-5.739	Frappier N [Supp]	###	
W 47	47	17 Jun 1980	-8.65996417375727	Ridley [Supp]	18 Aug 1998	-5.864	Frappier N [Supp]	###	
W 49	49	9 Jun 1980	-8.30827412422883	Ridley [Supp]	30 Jul 1998	-5.97	Frappier N [Supp]	###	
W 51	51	23 May 1980	-8.35296402002526	Ridley [Supp]	8 Jul 1998	-6.514	Frappier N [Supp]	###	
W 53	53	11 Apr 1980	-8.30147348791198	Ridley [Supp]	20 Jun 1998	-6.918	Frappier N [Supp]	###	
W 55	55	24 Jan 1980	-8.50937865531277	Ridley [Supp]	7 May 1998	-6.438	Frappier N [Supp]	###	
W 57	57	22 Oct 1979	-8.45303052583032	Ridley [Supp]	19 Apr 1998	-6.12	Frappier N [Supp]	###	
W 59	59	6 Aug 1979	-8.67745152428631	Ridley [Supp]	28 Mar 1998	-5.802	Frappier N [Supp]	###	
W 61	61	8 Jun 1979	-8.51520777215579	Ridley [Supp]	17 Mar 1998	-6.412	Frappier N [Supp]	###	
W 63	63	11 Apr 1979	-8.25095447527254	Ridley [Supp]	6 Mar 1998	-6.712	Frappier N [Supp]	###	
