Series W 0—1042 / Annually-resolved meteorological data.
ID	NO	START 0	STOP 0	BH TC	CF 0	START 1	STOP 1	GUAT HI	CF 1	NINO MQ	NINA MQ	CF 2	END	
W 0	0	1 Jun 2021	30 Nov 2021	xnp	xnp	1 May 2021	30 Oct 2021	xnp	xnp	xnp	xnp	xnp	###	
W 2	2	1 Jun 2020	30 Nov 2020	xnp	xnp	1 May 2020	30 Oct 2020	xnp	xnp	xnp	xnp	xnp	###	
W 4	4	1 Jun 2019	30 Nov 2019	xnp	xnp	1 May 2019	30 Oct 2019	xnp	xnp	xnp	xnp	xnp	###	
W 6	6	1 Jun 2018	30 Nov 2018	xnp	xnp	1 May 2018	30 Oct 2018	xnp	xnp	xnp	xnp	xnp	###	
W 8	8	1 Jun 2017	30 Nov 2017	1	Schmitt [Supp 1]	1 May 2017	30 Oct 2017	xnp	xnp	xnp	xnp	xnp	###	
W 10	10	1 Jun 2016	30 Nov 2016	1	Schmitt [Supp 1]	1 May 2016	30 Oct 2016	xnp	xnp	xnp	xnp	xnp	###	
W 12	12	1 Jun 2015	30 Nov 2015	1	Schmitt [Supp 1]	1 May 2015	30 Oct 2015	xnp	xnp	xnp	xnp	xnp	###	
W 14	14	1 Jun 2014	30 Nov 2014	0	Schmitt [Supp 1]	1 May 2014	30 Oct 2014	xnp	xnp	xnp	xnp	xnp	###	
W 16	16	1 Jun 2013	30 Nov 2013	1	Schmitt [Supp 1]	1 May 2013	30 Oct 2013	xnp	xnp	xnp	xnp	xnp	###	
W 18	18	1 Jun 2012	30 Nov 2012	0	Schmitt [Supp 1]	1 May 2012	30 Oct 2012	xnp	xnp	xnp	xnp	xnp	###	
W 20	20	1 Jun 2011	30 Nov 2011	0	Schmitt [Supp 1]	1 May 2011	30 Oct 2011	xnp	xnp	xnp	xnp	xnp	###	
W 22	22	1 Jun 2010	30 Nov 2010	1	Schmitt [Supp 1]	1 May 2010	30 Oct 2010	xnp	xnp	xnp	xnp	xnp	###	
W 24	24	1 Jun 2009	30 Nov 2009	0	Schmitt [Supp 1]	1 May 2009	30 Oct 2009	xnp	xnp	xnp	xnp	xnp	###	
W 26	26	1 Jun 2008	30 Nov 2008	0	Schmitt [Supp 1]	1 May 2008	30 Oct 2008	xnp	xnp	xnp	xnp	xnp	###	
W 28	28	1 Jun 2007	30 Nov 2007	1	Schmitt [Supp 1]	1 May 2007	30 Oct 2007	xnp	xnp	xnp	xnp	xnp	###	
W 30	30	1 Jun 2006	30 Nov 2006	0	Schmitt [Supp 1]	1 May 2006	30 Oct 2006	xnp	xnp	xnp	xnp	xnp	###	
W 32	32	1 Jun 2005	30 Nov 2005	1	Schmitt [Supp 1]	1 May 2005	30 Oct 2005	xnp	xnp	xnp	xnp	xnp	###	
W 34	34	1 Jun 2004	30 Nov 2004	0	Schmitt [Supp 1]	1 May 2004	30 Oct 2004	xnp	xnp	xnp	xnp	xnp	###	
W 36	36	1 Jun 2003	30 Nov 2003	1	Schmitt [Supp 1]	1 May 2003	30 Oct 2003	xnp	xnp	xnp	xnp	xnp	###	
W 38	38	1 Jun 2002	30 Nov 2002	0	Schmitt [Supp 1]	1 May 2002	30 Oct 2002	xnp	xnp	74	0	Gergis [Table 9]	###	
W 40	40	1 Jun 2001	30 Nov 2001	0	Schmitt [Supp 1]	1 May 2001	30 Oct 2001	xnp	xnp	0	0	Gergis [Table 9]	###	
W 42	42	1 Jun 2000	30 Nov 2000	0	Schmitt [Supp 1]	1 May 2000	30 Oct 2000	xnp	xnp	0	37	Gergis [Table 9]	###	
W 44	44	1 Jun 1999	30 Nov 1999	0	Schmitt [Supp 1]	1 May 1999	30 Oct 1999	xnp	xnp	0	0	Gergis [Table 9]	###	
W 46	46	1 Jun 1998	30 Nov 1998	0	Schmitt [Supp 1]	1 May 1998	30 Oct 1998	xnp	xnp	0	51	Gergis [Table 9]	###	
W 48	48	1 Jun 1997	30 Nov 1997	0	Schmitt [Supp 1]	1 May 1997	30 Oct 1997	xnp	xnp	25	0	Gergis [Table 9]	###	
W 50	50	1 Jun 1996	30 Nov 1996	0	Schmitt [Supp 1]	1 May 1996	30 Oct 1996	xnp	xnp	0	29	Gergis [Table 9]	###	
W 52	52	1 Jun 1995	30 Nov 1995	0	Schmitt [Supp 1]	1 May 1995	30 Oct 1995	xnp	xnp	0	33	Gergis [Table 9]	###	
W 54	54	1 Jun 1994	30 Nov 1994	0	Schmitt [Supp 1]	1 May 1994	30 Oct 1994	xnp	xnp	0	0	Gergis [Table 9]	###	
W 56	56	1 Jun 1993	30 Nov 1993	0	Schmitt [Supp 1]	1 May 1993	30 Oct 1993	xnp	xnp	0	0	Gergis [Table 9]	###	
W 58	58	1 Jun 1992	30 Nov 1992	0	Schmitt [Supp 1]	1 May 1992	30 Oct 1992	xnp	xnp	44	0	Gergis [Table 9]	###	
W 60	60	1 Jun 1991	30 Nov 1991	0	Schmitt [Supp 1]	1 May 1991	30 Oct 1991	xnp	xnp	42	0	Gergis [Table 9]	###	
W 62	62	1 Jun 1990	30 Nov 1990	0	Schmitt [Supp 1]	1 May 1990	30 Oct 1990	xnp	xnp	0	39	Gergis [Table 9]	###	
W 64	64	1 Jun 1989	30 Nov 1989	1	Schmitt [Supp 1]	1 May 1989	30 Oct 1989	xnp	xnp	0	49	Gergis [Table 9]	###	
W 66	66	1 Jun 1988	30 Nov 1988	0	Schmitt [Supp 1]	1 May 1988	30 Oct 1988	xnp	xnp	0	29	Gergis [Table 9]	###	
W 68	68	1 Jun 1987	30 Nov 1987	0	Schmitt [Supp 1]	1 May 1987	30 Oct 1987	xnp	xnp	37	0	Gergis [Table 9]	###	
W 70	70	1 Jun 1986	30 Nov 1986	1	Schmitt [Supp 1]	1 May 1986	30 Oct 1986	xnp	xnp	0	29	Gergis [Table 9]	###	
W 72	72	1 Jun 1985	30 Nov 1985	0	Schmitt [Supp 1]	1 May 1985	30 Oct 1985	xnp	xnp	22	24	Gergis [Table 9]	###	
W 74	74	1 Jun 1984	30 Nov 1984	0	Schmitt [Supp 1]	1 May 1984	30 Oct 1984	xnp	xnp	0	27	Gergis [Table 9]	###	
