Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
War 13				1 Jan 1625	30 Dec 1630	Sp		England declares war on Spain					
Hos 13			Providence Reprisals	1 Apr 1636	30 Aug 1677	 	Ai Bu Du	"Buccaneers or privateers, at times with non-English and Amerindian allies, raid Spanish and Amerindian settlements along Bay of Hon coast"					
Hos 19			Tortuga Slavery	1 Jan 1638			Ai Bu	Buccaneers or privateers impress or enslave Amerindians				"Upper End possibly = 1665 /v Bialuschewski 20 p239 /GUATEMALA,22,R.1,N.11"	
War 10			Cromwell’s	15 Dec 1654	23 May 1667	Sp	Bu Fr	England declares war on Spain					
War 14			Portuguese Restoration	1 Jan 1662	13 Feb 1668	Sp		England declares war on Spain					
Hos 1			Soberanis y Centeno Offensives	1 Jan 1694	30 Dec 1710	Sp	Ai	"Guatemala launch 2 military campaigns against Settlement / Yucatan launch 4 paramilitary campaigns against Settlement / Baymen, possibly with Amerindian allies, raid Spanish and Amerindian settlements in Guatemala or Yucatan"					
War 1			Spanish Succession	1 Jul 1701	11 Sep 1714	Sp	Fr	England declares war on Spain				"Alvaro Rivaguda [Gov of Yuc 1703–1706], mandó por aquel tiempo [War of Sp Succession] á practicar un reconocimiento de toda la costa [de Belice], y se descubrió el verdadero lugar en que estaban guarecidos los bandidos [piratas ingléses], y aunque insistió [a Corona española] en que se les atacase y destruyese una pequeña fortificacion que habian construido, se le informó que aquello no era posible porque eran desconocidos aquellos lugares y estaban llenos de arrecifes y cayos que hacian peligrosa la entrada al rio [Walis]. /v Peniche 220 citing ""Ojeada histórica sobre el establecimiento británico de Belice,"" Fénix, xxx"	
Hos 20			Mosquito Slavery	1 Jan 1702			Ai	"Miskito and possibly other Amerindians, at times with Baymen’s aid, enslave Amerindians"		"Lon 24
Arthur
HCP 522"		"HCP 522 = https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1828-011315/usgLogRstClick!!?accountid=11311

See, eg, 30 Jun 1829 Mags to Sup. List of slaves of Indian origin on 22 Jan 1822. Exact number not clear from lists, total slightly increased from 1822 to 1828, to about 100 slaves valued at 19,800 pounds [Sterl? Jam?]. /v Burdon 2 309 /IP

See George Arthur Papers RCMS 270 Link: http://www.frontierlife.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/MS-RCMS-00270-00009 / Link: http://www.frontierlife.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/MS-RCMS-00270-00010"	
Hos 2			Golden Age of Piracy	10 Jan 1718	28 Feb 1725		Bu	Buccaneers surprise Fleet					
War 2			Quadruple Alliance	2 Aug 1718	17 Feb 1720	Sp	 	Great Britain declares war on Spain					
Hos 16			Jamaica Slavery	1 Jan 1722	1 Jul 1838	 	Af Du Fr Po	"Jamaicans and others, with Baymen’s aid, enslave Africans"					
Hos 14			Cortaire y Terreros Siege	1 Aug 1722	21 Feb 1733	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 8 military campaigns against Settlement /  Royal Navy, Fleet and Baymen engage"					
War 3				1 Mar 1726	9 Nov 1729	Sp	 	Great Britain declares war on Spain					
Hos 3			Salcedo Siege	10 Mar 1734	30 Jun 1741	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet, and Baymen, at times with Amerindian allies, engage"	Read’s Weekly Journal or British Gazetteer 375 p3			"Extract of a Letter from Campeche, dated 24 Nov 1731. As to the State of the Bay of Honduras, I shall give it you as briefly as possible. The ancient City of Bacalar, situate in that Part of the Province of Yucatan, which lies on the Bay of Honduras, was twice sack'd, and at last totally ruined by the English many Years ago; on which the Logwood-Cutters of that nation, who had settled on the River of Valis, possessed themselves of the new River and that of Hondo; which last is distant form the Ruins of Bacalar about five Leagues. Here they built a great many Houses and Hutts, and employ'd Multitudes of Negroes in cutting Logwood, which was transported to Jamaica and Europe by Numbers of Vessels trading form thence to the Bay. But our present [Sp] Governor, who is a Field-Marshal, and an old Officer, having resolv'd to rebuild and fortify Bacalar, after it had lain in Ruins for a long time, thereby to hinder the English from cutting Wood in those Parts, went thither in Person, and accomplished his Design; And thereafer with the Forces he carried with him from Campeche, and other he drew together from the Lake of Bacalar, he attacked the New Settlements of the English on these two last mentioned Rivers, burnt their Habitations, seiz'd all their Instruments for cutting Wood, and other Craft for carrying on their Trade, and the Year following served their Settlement on the River of Valis n the same Manner: So that in the Space of two Years, it is computed, he has taken about 140 Vessels of one sort or other, burnt upwards of 300,000 Quintals of Logwood, ready cut and piled upon the Shore, and made a great many of the English and their Negroes Prisoners. Upon this such as had escaped into the Woods came to this Resolution: They wrote to the Governor in June last, acquainting his Excellency, that they were wiling to abandon these Places and begg'd of him that he would allow them Time to transport themselves tot he Colonies of Great Britain; which he agreed to, and gave them to the last Day of January next for that Purpose: And this Agreement they have so far fulfilled, that at present by th east Accounts there scarce now remains in all those Parts 30 Persons, and these under such Hardships, that they wish for nothing more, than an Opportunity to be gone. This is the present Condition of the Bay of Honduras, which in all probability must continue, our Governor being resolved to protect the Trade, and defend the Possessions, which his Catholick Majesty has been pleased to commit to his Care and Government. /RWJBG 375"	
Ill 1			Diphtheria	1 Jun 1737	30 Dec 1737	 	 	Epidemic among Baymen and Fleet					
War 4			Jenkins' Ear	22 Oct 1739	18 Oct 1748	Sp	 	Great Britain declares war on Spain			Sorsby 15	"Directive to ""commit all Sorts of Hostilities against the Spaniards"" in WI issued 19 Jul 1739 /via Sorsby 15 /SP 94/248 f 88
King Philip V [of Sp] orders operations ""to dislodge and exterminate these Indians [the Mosquitos] and the English and other foreigners who sustain them"" on 30 Aug 1739 /via Sorsby 15 /GUATEMALA,391 [Corona a Ribera a 30 ago 1739]"	
Hos 4			Bazán y Molina Siege	1 Mar 1744	30 Jun 1761	Sp	 	"Yucatan lay siege to Settlement / Cuba, Guatemala and Yucatan launch xxx military campaigns against Settlement / Fleet and Baymen, possibly with Amerindian allies, engage"					
Ill 2			Malaria	7 Mar 1750	30 Sep 1750	 	 	Epidemic among Baymen					
Ill 3			Measles	1 Nov 1751	30 May 1752	 	 	Epidemic among Baymen and Fleet					
