Govt: Table 1
	1836					
Viceroy sanction for Acts	1					
Parliament	1					
Viceroy						


Military: Table 1
	unit	1836	note			
Colony	Lsd	0				
Commissariat	Lsd	15225/1/7				
Ordnance	Lsd	18596/1/7				
Militia	tally	884				
Public works	Lsd	0				
	tally	0				
Pensions wo serv	Lsd	339/1/2	<d amts excluded			
	tally	18				
Civil list	Lsd	3177/17/1				
Judicial	Lsd	0				
Church	Lsd	554/1/0				
Schools	Lsd	424/16/3				
Population						
"m, w"						
"f, w"						
"m, coloured"						
"f, coloured"						


Sheet 1-1-1: Table 1
						
						


Sheet 1-1-1-1: Table 1
						
						
