All: Table 1
	ID	Lvl	Alt ID	Par	Est	Event	Hist	Hist	Cf	Def	Notes	Pre	Stable	Stable	Pre	Styles	Head	Head Civ Serv	FY 2018 BZD	FY 2018 Staff	FY 2019 BZD	FY 2019 Staff	Cf	Note	S Law 2011	S Law 2001	
		0	Crown										Crown	Crown in right of Belize					"BZD	1,220,414,715"	"15,245"	"BZD	1,327,877,534"	"15,339"	Budget 2021 19				
		1	Govt	Crown									Government						"BZD	1,207,525,490"	"15,051"	"BZD	1,315,513,906"	"15,142"		Uncertain = Charities Fund			
		1	Judy	Crown									Judiciary	Courts					"BZD	10,294,173"	138	"BZD	9,662,366"	141	Budget 2021 18				
		1	Legl	Crown									Parliament						"BZD	2,595,052"	56	"BZD	2,701,262"	56	Budget 2021 18				
		2	Cabt	Govt	≤ 1722	Appointment or election of Magistrate for English settlement in Bay of Honduras		Magistrate / Magistrates / Magistracy / Bench of Magistrates / xxx	Hist 1.3 Events 2 E 597	Crown or parliamentary servants heading executive departments of government			Cabinet			Cabinet	Prime Minister	Secretary							"ch 4 ss 44, 47"		
		2	GG	Govt	1 Dec 1784	Appointment of Superintendent for English settlement in Bay of Honduras		Superintendent / Lieutenant Governor / Governor	Hist 1.3 Events 2 E 827	Viceroy			Governor General		Office of the	Governor General	Governor General	xxx	"BZD	436,695"	16	"BZD	476,816"	16	Budget 2021 18		ch 4 s 30		
		2	GOE	Govt	6 Dec 1825	Establishment of a printing press ordered by Magistrates			Hist 1.3 Events 2 E 1173	"Body or enterprise substantially owned or operated by government, not substantially involved in governmental, judicial or parliamentary processes, and not properly part of government"			Government-owned enterprises														
		2	Oppsn	Govt	20 Aug 1787	Magistrates under arms preclude Superintendent's release of Joshua Jones			Hist 1.3 Events 2 E 853	"Crown or parliamentary servants opposed to prevailing policies, practices, decisions or actions of government"			Opposition		Office of the	Leader of the Opposition	Leader of the Opposition	xxx							ch 4 s 47		
		2	Quan	Govt	xxx					"Body or enterprise involved in governmental, judicial or parliamentary processes but not properly part of government"			Non-departmental public bodies											Agencies or other public or high-profile bodies not properly being departments of government			
		2	Queen	Govt	≤ 1638	Establishment of semi-permanent English or Scottish buccaneering camps in Bay of Honduras			Hist 1.3 Events 2 E 341	Sovereign			Queen	Queen in right of Belize			Queen		"BZD	0"	0	"BZD	0"	0			ch 4 s 36		
		2	Stat	Govt	xxx					Departments of government not headed by members of cabinet			Non-ministerial government departments											Statutory or non-ministerial departments of government			
		2	App Ct	Judy	xxx					Court of judicature of neither first instance nor last resort			Court of Appeals			Court of Appeals	xxx		"BZD	1,417,225"	6	"BZD	1,043,044"	6	"Budget 2021 26, 28"		ch 4 s 94		
		2	Gen Reg	Judy	≤ 1638	Establishment of semi-permanent English or Scottish buccaneering camps in Bay of Honduras			Hist 1.3 Events 2 E 341	Department charged with keeping or creating judicial records			General Registry			General Registry	Registrar General		"BZD	1,997,147"	36	"BZD	1,772,918"	39	Budget 2021 26–27				
