Rule of Law: Table 1
	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Cingranelli	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1						
Economist								0.47	0.47	0.41	0.38	0.38	0.38	0.34	0.34	0.31	0.31	0.31	0.31	0.31	0.31
Gallup									0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.51	0.51				
Heritage	0.7	0.5	0.7	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.3	0.3	0.3	0.3	0.35				
IFAD						0.39	0.39	0.42	0.42	0.43	0.42	0.42	0.44	0.44	0.44		0.46	0.46	0.46	0.54	0.54
IHS	0.56	0.56	0.56	0.56	0.63	0.56	0.63	0.63	0.63	0.63	0.56	0.63	0.56	0.56	0.56	0.44	0.44	0.44	0.39	0.44	0.44
LA Public Opinion										0.66	0.66	0.57	0.57	0.64	0.64	0.47	0.47				
US State Dept Trafficking				0	0.33	0.33	0	0.67	0.67	0.33	0.33	0.67	0.67	0.67	0.33	0	0	0	0	0.33	0.33
World Economic Forum													0.4								
World Justice Project																0.48	0.48	0.48	0.5	0.51	0.51
																					
Tally	3	3	3	4	4	5	5	6	7	8	8	8	9	8	8	7	8	5	5	5	5
Mean	0.753333333333333	0.686666666666667	0.753333333333333	0.515	0.615	0.556	0.504	0.615	0.598571428571429	0.5575	0.53125	0.57125	0.535555555555556	0.55625	0.51375	0.358571428571429	0.3775	0.338	0.332	0.426	0.426


Regulatory Quality: Table 1
	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Economist								0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
Heritage	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.45	0.45	0.5	0.53	0.5	0.53	0.53	0.53
IFAD						0.52	0.52	0.53	0.53	0.54	0.55	0.53	0.54	0.54	0.54		0.62	0.62	0.62	0.36	0.36
IHS	0.56	0.56	0.63	0.63	0.63	0.55	0.63	0.56	0.56	0.56	0.56	0.63	0.63	0.63	0.63	0.5	0.5	0.5	0.5	0.5	0.58
World Economic Forum													0.4								
World Justice Project																0.44	0.43	0.43	0.39	0.42	0.43
																					
																					
																					
																					
																					
Tally	2	2	2	2	2	3	3	4	4	4	4	4	5	4	4	4	5	5	5	5	5
Mean	0.58	0.58	0.565	0.565	0.565	0.523333333333333	0.55	0.485	0.485	0.4875	0.49	0.5025	0.484	0.4925	0.4925	0.4475	0.486	0.48	0.478	0.432	0.45


Govt Effectiveness: Table 1
	1996	1998	2000	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Economist								0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25	0.25
Gallup									0.43	0.43	0.43	0.43	0.43	0.43	0.43	0.5	0.5	0.5			
IFAD						0.52	0.52	0.47	0.47	0.4	0.4	0.4	0.4	0.4	0.4		0.5	0.5	0.5	0.32	0.32
IHS	0.63	0.63	0.63	0.63	0.63	0.61	0.63	0.63	0.63	0.63	0.63	0.69	0.69	0.69	0.69	0.5	0.5	0.5	0.5	0.5	0.5
World Economic Forum													0.45								
																					
																					
																					
																					
																					
																					
Tally	1	1	1	1	1	2	2	3	4	4	4	4	5	4	4	3	4	4	3	3	3
Mean	0.63	0.63	0.63	0.63	0.63	0.565	0.575	0.45	0.445	0.4275	0.4275	0.4425	0.444	0.4425	0.4425	0.416666666666667	0.4375	0.4375	0.416666666666667	0.356666666666667	0.356666666666667


RL: Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.08	0.35	-0.27	0.43	3	
98	-0.04	0.3	-0.34	0.26	4	
00	0.13	0.26	-0.13	0.39	4	
02	-0.09	0.27	-0.36	0.18	5	
03	0.1	0.25	-0.15	0.35	5	
04	-0.19	0.23	-0.42	0.04	6	
05	-0.16	0.24	-0.4	0.08	6	
06	-0.04	0.2	-0.24	0.16	7	
07	-0.11	0.19	-0.3	0.08	8	
08	-0.21	0.17	-0.38	-0.04	9	
09	-0.37	0.17	-0.54	-0.2	9	
10	-0.34	0.17	-0.51	-0.17	9	
11	-0.49	0.16	-0.65	-0.33	10	
12	-0.46	0.17	-0.63	-0.29	9	
13	-0.47	0.17	-0.64	-0.3	9	
14	-0.75	0.18	-0.93	-0.57	8	
15	-0.72	0.17	-0.89	-0.55	9	
16	-0.86	0.19	-1.05	-0.67	7	
17	-0.96	0.2	-1.16	-0.76	5	
18	-0.82	0.19	-1.01	-0.63	5	
19	-0.78	0.17	-0.95	-0.61	6	
						
					-1.04347826086957	


VA: Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.82	0.29	0.53	1.11	3	
98	0.88	0.29	0.59	1.17	3	
00	0.98	0.29	0.69	1.27	3	
02	0.8	0.27	0.53	1.07	3	
03	0.84	0.27	0.57	1.11	3	
04	0.74	0.26	0.48	1	4	
05	0.69	0.26	0.43	0.95	4	
06	0.54	0.19	0.35	0.73	5	
07	0.53	0.19	0.34	0.72	6	
08	0.65	0.18	0.47	0.83	7	
09	0.74	0.18	0.56	0.92	7	
10	0.69	0.18	0.51	0.87	7	
11	0.70	0.17	0.53	0.87	8	
12	0.70	0.17	0.53	0.87	7	
13	0.71	0.16	0.55	0.87	8	
14	0.52	0.16	0.36	0.68	6	
15	0.58	0.17	0.41	0.75	7	
16	0.57	0.16	0.41	0.73	6	
17	0.57	0.17	0.4	0.74	5	
18	0.45	0.17	0.28	0.62	5	
19	0.53	0.16	0.37	0.69	5	


PS: Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.56	0.48	0.08	1.04	2	
98	0.6	0.44	0.16	1.04	2	
00	0.18	0.46	-0.28	0.64	2	
02	0.42	0.44	-0.02	0.86	2	
03	0.49	0.35	0.14	0.84	2	
04	0.4	0.33	0.07	0.73	3	
05	0.1	0.33	-0.23	0.43	3	
06	0.08	0.29	-0.21	0.37	4	
07	0.19	0.28	-0.09	0.47	4	
08	0.19	0.29	-0.1	0.48	4	
09	0.03	0.29	-0.26	0.32	4	
10	0.07	0.28	-0.21	0.35	4	
11	0.15	0.27	-0.12	0.42	5	
12	0.18	0.25	-0.07	0.43	4	
13	0.18	0.26	-0.08	0.44	4	
14	0.05	0.21	-0.16	0.26	5	
15	0.04	0.22	-0.18	0.26	5	
16	0.06	0.22	-0.16	0.28	5	
17	0.04	0.23	-0.19	0.27	5	
18	0.01	0.23	-0.22	0.24	5	
19	0.07	0.25	-0.18	0.32	5	


GE: Table 1
	u	SE	u-SE	u+SE	Source tally	
96	0.39	0.19	0.2	0.58	1	
98	0.09	0.27	-0.18	0.36	2	
00	0.06	0.28	-0.22	0.34	2	
02	0.06	0.26	-0.2	0.32	2	
03	-0.06	0.3	-0.36	0.24	2	
04	-0.26	0.3	-0.56	0.04	3	
05	-0.09	0.27	-0.36	0.18	3	
06	-0.33	0.28	-0.61	-0.05	4	
07	-0.45	0.27	-0.72	-0.18	5	
08	-0.51	0.27	-0.78	-0.24	5	
09	-0.45	0.26	-0.71	-0.19	5	
10	-0.43	0.26	-0.69	-0.17	5	
11	-0.38	0.24	-0.62	-0.14	6	
12	-0.32	0.26	-0.58	-0.06	5	
13	-0.33	0.25	-0.58	-0.08	5	
14	-0.66	0.29	-0.95	-0.37	4	
15	-0.68	0.26	-0.94	-0.42	5	
