Upper Offices: Table 1
	Accounting Officer	2021 Recurrent Expenditure	2021 Total Staffing	Programmes	Programme List																					2021 Personal Emoluments	2021 Contracts and Consultancy	2021 Grants	
"Governor General, Office of"	Administrative Officer	"BZD	456,345"	16	2	Support to the Office of the Governor General	Belize Advisory Council																				"BZD	242,965"	"BZD	52,000"	"BZD	0"	
Judiciary	Registrar General	"BZD	9,024,967"	176	4	General Registry	Court of Appeal	Supreme Court	Magistrate Court																		"BZD	6,507,466"	"BZD	772,264"	"BZD	0"	
Legislature	Clerk of the National Assembly	"BZD	2,999,706"	64	4	National Assembly	Integrity Commission	Ombudsman	Contractor General																		"BZD	1,964,476"	"BZD	6,000"	"BZD	0"	
"Public Prosecutions, Director of"	Director of Public Prosecutions	"BZD	2,409,763"	47	1	Crown Prosecution Service																					"BZD	2,037,281"	"BZD	28,800"	"BZD	0"	
"Auditor General, Office of the"	Auditor General	"BZD	2,570,462"	57	1	Auditor General																					"BZD	2,049,669"	"BZD	0"	"BZD	0"	
"Prime Minister and Cabinet, Office of the"	Secretary of Cabinet	"BZD	7,628,763"	46	5	Strategic Management and Administration	Restore Belize Social Assistance Programme	Government Information Services	Private Sector Investor Programme	Belize Broadcasting Authority																	"BZD	2,682,204"	"BZD	279,400"	"BZD	1,760,000"	
"Finance, Labour, Local Government, Rural Development, Public Service, Energy and Public Utilities, Ministry of"	Financial Secretary	"BZD	358,253,721"	950	21	Strategic Management and Administration for MOF	Fiscal Policy and Budget Management	Procurement	Internal Audit	Treasury and Accounting Services	Internal Revenue	Customs and Excise Revenue	Information Communication and Technology	Office of the Supervisor of Insurance and Private Pensions	International Financial Services	Administered Items	Strategic Management and Administration for MOL	Rural Community Development	Labour Department	Local Government	Public Service Strategic Management and Administration	Human Resources Department - Training and Development	Public Service Commission	Human Resources Management Information System	Elections and Boundaries	Energy Management	"BZD	42,821,123"	"BZD	1,885,378"	"BZD	15,277,624"	
"Health, Ministry of"	Chief Executive Officer	"BZD	149,404,315"	2085	5	Strategic Management and Administration	Medicine and Technology	Primary Care Services	Hospital Services	Community Based Services																	"BZD	61,494,057"	"BZD	22,668,922"	"BZD	31,069,034"	
"Foreign Affairs, Ministry of"	Chief Executive Officer	"BZD	20,514,358"	2562	2	Foreign Policy - Strategic Management and Administration	Overseas Representation																				"BZD	9,737,535"	"BZD	3,144"	"BZD	30,000"	
"Education, Youth, Sports and Culture, Ministry of"	Chief Executive Officer	"BZD	279,909,626"	6935	9	Strategic Management and Administration	Pre-Primary and Primary Education	Secondary Education	Tertiary Education	National Library Services	Youth Support Services	Sports Development	National Institute of Culture and History	National Archives and Records Management													"BZD	141,199,185"	"BZD	4,821,722"	"BZD	107,969,105"	
"Food and Agriculture, Immigration, Fisheries, Forestry, the Environment and Sustainable Development, Ministries of"	Chief Executive Officer	"BZD	28,881,050"	698	12	Agriculture Research and Development	National Agriculture Extension Programme	Aquaculture	Cooperatives	Financial Assistance to Agricultural Producers	Strategic Management and Administration - FFSD	Fisheries Resources Management and Development	Forestry Resource Management	Environmental Management	Climate Change and Sustainable Development	Solid Waste Management	Immigration and Nationality										"BZD	21,268,336"	"BZD	65,000"	"BZD	2,100,937"	
"Natural Resources, Ministry of"	Chief Executive Officer	"BZD	8,786,764"	246	4	Strategic Management and Administration	Land Management and Administration	Mining	Hydrology																		"BZD	6,157,516"	"BZD	420,890"	"BZD	0"	
"Tourism and Civil Aviation, Ministry of"	Chief Executive Officer	"BZD	2,737,483"	67	3	Strategic Management and Administration	Tourism Development and Infrastructure	Civil Aviation																			"BZD	2,339,383"	"BZD	29,402"	"BZD	0"	
"Human Development, Social Transformation and Poverty Alleviation, Ministry of"	Chief Executive Officer	"BZD	16,613,003"	259	4	Strategic Management and Administration	Human Services	Women and Gender Services	Community Rehabilitation																		"BZD	6,392,560"	"BZD	138,100"	"BZD	7,364,475"	
"Transport and National Emergency Management, Ministry of"	Chief Executive Officer	"BZD	22,227,649"	601	5	Transport Administration and Enforcement	Office of Emergency Management	National Meterological Services	National Fire Services	Postal Services																	"BZD	18,315,393"	"BZD	43,750"	"BZD	0"	
"Works, Ministry of"	Chief Executive Officer	"BZD	21,477,072"	406	4	Strategic Management and Administration	Roads and Bridges Construction and Maintenance	Construction and Maintenance of Inland Waterways and Drains	Construction and Maintenance of Public Buildings																		"BZD	7,874,049"	"BZD	2,000,000"	"BZD	0"	
"National Security, Ministry of"	Chief Executive Officer	"BZD	151,379,765"	1539	8	Police Strategic Management and Administration	National Police Training Academy	Community Police Services and Crime Prevention	Criminal Investigation	National Security and Intelligence	Prison Services	Maritime Security	Defence														"BZD	109,243,775"	"BZD	6,318,150"	"BZD	138,000"	
Attorney General’s Ministry	Solicitor General	"BZD	7,603,226"	84	6	Strategic Management and Administration	Legal Services	Family Court	Revision and Drafting Services	Belize Intellectual Property Office	Belize Company Registry																"BZD	5,825,706"	"BZD	269,861"	"BZD	0"	
"Economic Development, Petroleum, Investment, Trade and Commerce, Ministry of"	Chief Executive Officer	"BZD	13,583,677"	148	7	Strategic Management and Administration	Investment Policy and Regulation	Belize Trade and Investment Development Services	Foreign Trade	Bureau of Standards	Economic Development	Geology and Petroleum															"BZD	4,352,928"	"BZD	0"	"BZD	7,717,334"	
"Housing and Urban Development, Ministry of"	Chief Executive Officer	"BZD	1,867,251"	58	2	Strategic Management and Administration	Housing Development and Construction																				"BZD	1,295,361"	"BZD	107,000"	"BZD	168,000"	
Official Charities Fund		"BZD	2,385,089"		1	Official Charities Fund																								


Payscale: Table 1
Payscale Number	Minimum	Increments	Maximum	Description				
30	"65,014"	"1,644"	"91,318"	Chief Justice				
29	"62,530"	"1,644"	"88,834"	Financial Secretary	Minister Advisor			
28	"60,021"	"1,644"	"86,325"	Director of Public Prosecutions	Justice of the Supreme Court	Puisne Judge	Solicitor General	
27	"57,524"	"1,644"	"83,828"	Cabinet Secretary	Deputy Financial Secretary			
26	"50,133"	"1,644"	"81,369"	Ambassador	Auditor General	Consular	National Emergency Coordinator	Clerk of National Assembly
25	"47,624"	"1,644"	"78,860"					
24	"42,000"	"1,644"	"73,236"	Teacher				
23	"40,615"	"1,644"	"71,851"	MD				
22	"39,206"	"1,644"	"70,442"					
21	"38,106"	"1,644"	"69,342"					
20	"35,770"	"1,644"	"67,006"					
19	"34,979"	"1,446"	"62,453"					
18	"32,470"	"1,409"	"59,241"					
17	"32,186"	"1,360"	"58,026"					
16	"30,171"	"1,310"	"55,061"	Teacher				
15	"29,689"	"1,187"	"52,242"					
14	"27,403"	"1,137"	"49,006"					
13	"23,670"	"1,063"	"43,867"					
12	"22,557"	"1,014"	"41,823"					
11	"21,445"	989	"40,236"					
10	"20,407"	976	"38,951"					
9	"20,024"	964	"38,340"					
8	"19,641"	952	"37,729"					
7	"17,675"	902	"34,813"					
6	"15,117"	865	"31,552"					
5	"13,152"	791	"28,181"					
4	"11,928"	729	"25,779"	Librarian				
3	"10,902"	692	"24,050"					
2	"9,740"	606	"21,254"					
1	"8,059"	531	"18,148"					


Programmes: Table 1
	Staffing	Duties			
"Governor General, Office of the"	8	Constitutional			
Belize Advisory Council	8	Constitutional			
General Registry	38	"Maintains register of public documents, licences, etc."	Apostilles documents	"Licensing, select"	"Stamp duty collection, select"
Court of Appeal	11	Hears and determines appeals from Supreme Court			
Supreme Court	31	Hears and determines civil and criminal cases			
Magistrate Court	80	"Hears and determines civil, traffic, juvenile cases"	Conducts coroners’ inquests		
National Assembly	41	Provides administrative services to MPs	Provides accounting services to select offices		
Integrity Commission	12	"Receives, examines and publishes declarations of persons in public life"			
Ombudsman	7	Records and investigates complaints	Reports findings and recommendations to NA		
Contractor General	4	"Monitors award, implementation and termination of public contracts"	Investigates irregularities regarding or mismanagement of public contracts		
"Director of Public Prosecutions, Office of the"	47	Prosecutes criminal offenders			
Auditor General	57	Audits public accounts			
Strategic Management and Administration - PM	16				
Restore Belize Social Assistance Programme	9	Helps prevent violence	Assists families and children in Belize City		
Government Information Services	14	Disseminates information on government policies and activities			
Private Sector Investment Programme	5	Promotes public-private cooperation	Regulates private sector		
Belize Broadcasting Authority	2	Regulates radio and TV stations			
Strategic Management and Administration - MOF	37				
Fiscal Policy and Budget Management	13	Provides government with fiscal analyses and advice			
Procurement	2	Oversees public contracts and their procurement			
Internal Audit	2	Audits the government			
Treasury and Accounting Services	117	Manages public finances			
Internal Revenue	210	Collects taxes	Issues tax refunds		
Customs and Excise Revenue	202	Collects customs and excise duties			
Information Communications and Technology	38	Provides government with IT sevices			
"Supervisor of Insurance and Private Pensions, Office of the"	16	Regulates insurance companies and private pensions			
International Financial Services	*	Develops overseas maritime services via IMMARBE	Promotes high seas fisheries via BHFSU		
Administered Items	*	Publishes government performance assessments			
Strategic Management and Administration - MOL	16				
Rural Community Development	30	Engages rural communities	Develops water and sewerage infrastructure in rural communities		
Labour Department	51	Develops human capital	Regulates labour		
Local Government	5	Provides local governments with guidance and support			
Strategic Management and Administration - Public Service	61				
Human Resources Department - Training and Development	68				
Public Service Commission	1	Regulates public service			
Human Resources Management Information System	6				
Elections and Boundaries	66	Ensures free and fair elections			
Energy Management	13	Regulates energy			
Strategic Management and Administration - MOH	98				
Medicine and Technology	86	"Provides pharmaceutical, laboratory, and technical support to health services"			
Primary Care Services	131	Provides primary care			
Hospital Services	1686	Provides in-patient and out-patient care			
Community Based Services	84	Ensure public health			
Strategic Management and Administration - MOFA	48	Promotes Belize’s interests abroad			
Overseas Representations	95	Represent Belize abroad	Assist Belizeans abroad		
Strategic Management and Administration - MOEYSC	421				
Pre-Primary and Primary Education	3752	Provides pre-primary and primary schooling			
Secondary Education	1838	Provides secondary schooling			
Tertiary Education	436	Provides sixth form and tertiary schooling			
National Library Service	127	Maintains public libraries			
Youth Support Services	108	Develops human capital in youth			
Sports Development	68	Promotes sports			
National Institute of Culture and History	150	Preserves culture and heritage			
National Archives and Records Management	35	Maintains archives			
Agricultural Research and Development	58	Researches and develops agricultural technology			
National Agricultural Extension Services	150	Provides technical support and training to agricultural sector	Gathers agricultural data		
Aquaculture	13	Promotes rural tilapia production			
Cooperatives	15	"Regulates industrial, artisanal, and service providers’ cooperatives"	Provides cooperatives with technical and administrative support		
Financial Assistance to Agricultural Producers	*				
Strategic Management and Administration - Forestry	26				
Fisheries Resources Management and Development	76	Regulates fisheries			
Forestry Resource Management	94	Manages the national forest estate			
Environmental Management	28	Ensures environmental protection			
Climate Change and Sustainable Development	7	*			
Solid Waste Managemetn	10	Regulates solid waste			
Immigration and Nationality	221	"Regulates naturalisation, immigration, emigration"	Secures borders		
Strategic Management and Administration - MNR	78				
Land Management and Administration	156	"Regulates supply, use, and taxation of land"	Resolves land related disputes		
Mining	5	Regulates mines			
Hydrology	7	Monitors national water resources	Publishes hydrological data		
Strategic Management and Administration - MTCA	10				
Tourism Development and Infrastructure	9	Develops tourism			
Civil Aviation	48	Regulates aviation			
Strategic Management and Administration - MHDSTPA	51				
Human Services	112	"Provides support and protective services for children, vulnerable groups, elderly, families"			
Women and Gender Services	17	Provides support services to women			
Community Rehabilitation	79	"Provides rehabilitation services to youth, first-time offenders, youth at risk, and families of"			
Transport Administration and Enforcement	209	Regulate transportation			
Office of Emergency Management	53				
National Meteorological Service	32				
National Fire Services	289				
Postal Services	83				
Strategic Management and Administration - Works	40				
Roads and Bridges Construction and Maintenance	340	"Builds and maintains roads, highways, bridges and ferries"			
Construction and Maintenance of Inland Waterways and Drains	8	Builds and maintains inland waterways and drains			
Construction and Maintenance of Public Buildings	18				
Strategic Management and Administration - Police	65				
National Police Training Academy	39				
Community Police Services and Crime Prevention	1712	Provides and promote community policing			
Criminal Investigation	228	Provides investigative services for criminal prosecutions			
National Security and Intelligence	372	Provides intelligence for national security			
Prison Services	3	Maintains prisons			
Maritime Security	225				
Defence	1314				
Strategic Management and Administration - Attorney General	24				
Legal Services - Attorney General	17	Provides government with legal services	Maintains treaties registry		
Family Court	31	Hears and determines family cases			
Revision and Drafting Services - Attorney General	12	Provides advice on revisions and drafting of bills and acts			
Belize Intellectual Property Office	9				
Belize Companies Registry	7				
Strategic Management and Administration - MEDPITC	21				
Investment Policy and Regulation	8	Regulates gaming and lottery sectors	Promotes private investment		
Belize Trade and Investment Development Services	42				
Foreign Trade	13	Promotes foreign trade			
Bureau of Standards	23	Regulates consumer market	Investigates consumer compaints		
Economic Development	27	Advises on economic development			
Geology and Petroleum	14	Regulates petroleum industry			
Strategic Management and Administration - MOHUD	12				
Housing Development and Construction	46	Provides for low-cost home improvements			


Sheet 1: Table 1
	Title	Functions	Est.	Accountable to	Address	City
Crown	Madam	sovereign	10th sovereign since 1749		Buckingham Palace	London SW1A 1AA
Governor General	Sir	viceroy	32nd viceroy since 1749			
Privy Council		advises GG on royal prerogative				
Cabinet			76th cabinet since 1638			
Parliament			76th legislature since 1638			
CCJ						
High Courts						
Lower Courts						
