Defaults: Table 1
Sovereign debt in default by issuer	Data reliability on 1 to 4 = least reliable	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19			
Multi- and bilateral creditors	3	0.2	0.5	3.2	4.8	0.5	1.9	1.2	1.9	1.4	10.3	1.8	3.0	3.3	5.1	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.8	0.9	1.3	5.7	6.7	7.0	7.1	9.7	6.7	7.4	5.3	6.2	6.0	7.3	4.1	6.8	13.0	****			
Foreign currency bonds	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	547.0	550.0	0.0	0.0	0.0	0.0	544.0	555.0	0.0	0.0	0.0	526.0	0.0	0.0			
Overseas private creditors	3	0.0	0.0	0.0	1.4	0.0	0.8	1.3	1.7	1.3	1.7	0.0	0.1	1.4	3.2	0.3	0.0	0.0	0.0	0.0	0.0	0.0	1.1	0.1	0.1	3.0	1.4	1.3	1.1	1.0	1.1	0.9	0.9	4.4	0.0	0.0	0.0	0.2	0.6	****			
Sum		0.2	0.5	3.2	6.1	0.5	2.7	2.5	3.6	2.6	12.0	1.8	3.0	4.7	8.3	1.5	1.2	0.0	0.0	0.0	0.0	0.0	1.9	1.0	1.3	8.7	555.1	558.3	8.2	10.8	7.8	8.3	550.2	565.6	6.0	7.3	4.1	532.9	13.6	0			
																																											
																																											
cf	Bank of Canada / Bank of England sovereign defaults database 2020																																										
note	**** = na																																										
unit	nominal USD m																																										
note	figures include interruptions in scheduled debt servicing and changes in debt payment terms that result in losses for creditors. some figures estimated.																																										
copyright	2014 to 2020 Bank of Canada																																										
cf	DOI: 10.2139/ssrn.2609162																																										


Ratings: Table 1
Sovereign ratings	Data reliability	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20
Moody’s																				Ba2	Ba2	Ba2	Ba2	Ba3	B2	Caa3	Caa3	Caa1	Caa1	B3	B3	B3	Ca	Caa2	Caa2	Caa2	Caa2	B3	B3	B3	Caa1
= investment grade?																				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S&P																					BB	BB-	B+	B+	B-	CCC-	SD	B	B	B	B	B-	SD	B-	B-	B-	CC	B-	B-	B-	CCC+
SD instance?																					0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1
= investment grade?																					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
																																									
																																									
																																									
																																									
note	Descriptive category from Moody’s and S&P																																								
cf	"Moody’s, S&P"																																								
note	end-of-year ratings of long-term foreign and local currency unsecured debt																																								


Yields: Table 1
						
						


Domestic: Table 1
T-Bills held by	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20				
Sum	3.65	12.10	7.70	15.00	16.89	19.00	37.63	44.98	48.97	59.26	62.16	62.16	62.16	62.16	62.05	64.15	64.16	70.00	70.00	70.00	70.00	70.00	70.00	70.00	70.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	175.00	175.00	175.00	175.00	175.00	200.00	215.00	245.00	245.00	245.00	245.00				
																																																
Disb. outstanding																																																
Advances																					59.75	64.76	54.29	56.71	96.10	35.22	119.78	141.9	115.5	129.0	151.1	152.0	139.4	46.0	59.3	68.4	64.5	54.6	69.4	52.8	141.5	145.3	149.4	167.0				
T-Bills																					69.98	70.00	70.00	70.02	70.00	100.00	100.00	100.0	100.0	100.0	100.0	100.0	100.0	175.0	175.0	175.0	175.0	175.0	200.0	215.0	245.0	245.0	234.0	245.0				
T-Notes																					22.00	24.00	24.00	24.00	24.00	24.00	24.00	24.0	24.0	55.8	55.8	65.8	70.8	136.8	136.5	136.5	136.5	136.5	225.0	480.0	640.0	655.0	720.0	877.8				
Bonds & Debentures																					22.20	21.20	21.20	21.20	21.20	15.00	15.00	15.0	15.0	15.0	15.0	15.0	10.0	10.0	10.0	10.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0				
																																																
Interest paid																																																
Advances																					6.20	5.22	5.94	6.54	7.28	7.20	7.01	11.18	11.33	17.44	15.98	14.65	14.88	7.24	5.33	6.46	6.18	5.93	4.80	6.36	4.73	4.02	5.49	4.05				
T-Bills																					2.44	2.56	5.56	3.62	5.34	2.62	2.72	2.47	3.30	3.21	3.22	2.85	3.23	4.17	4.55	3.40	2.26	1.08	0.16	0.07	1.45	1.93	2.84	2.16				
T-Notes																					1.80	2.22	1.13	0.00	2.16	0.96	2.16	1.13	2.44	1.30	5.00	5.22	5.92	5.97	7.67	6.69	7.13	6.87	9.73	10.33	26.62	28.58	27.63	23.34				
Bonds & Debentures																					2.02	2.42	0.74	0.82	1.47	0.74	0.00	1.25	1.88	1.25	1.24	1.25	1.25	0.80	0.80	0.80	0.80	0.80	0.80	0.00	0.00	0.00	0.00	0.00				
																																																
																																																
																																																
cf	CB																																															
unit	nominal BZD m																																															
note	04 to 20 may exclude debentures. Figure for last month available per year shown. Figs for GOB only shown																																															


Foreign: Table 1
Outstanding & disb.	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	00	01	02	03	04	05	06	07	08	09	10	11	12	13	14	15	16	17	18	19	20				
Multilateral											117.90	110.80	115.70	125.10	129.40	125.10	124.10	149.50	161.80	171.40	202.90	235.10	192.40	222.70	246.20	296.22	344.70	376.00	415.40	423.20	458.80	439.50	552.20	561.80	585.80	597.80	627.80	633.68	663.33	681.78	723.00	746.40	794.30	878.83				
