Calendar: Table 1
Date		Sp	Ot I	Ot II	War	Siege	Expulsion	Restriction	Trade	Sp	Ot I	Ot II
May Jun	1640	1640 Sp 1	1640 Ot I 1	1640 Ot II 1								
Jul Aug	1640	1640 Sp 2	1640 Ot I 2	1640 Ot II 2								
Sep Oct	1640	1640 Sp 3	1640 Ot I 3	1640 Ot II 3								
Nov Dec	1640	1640 Sp 4	1640 Ot I 4	1640 Ot II 4								
Jan Feb	1641	1641 Sp 5	1641 Ot I 5	1641 Ot II 5								
Mar Apr	1641	1641 Sp 6	1641 Ot I 6	1641 Ot II 6								
May Jun	1641	1641 Sp 7	1641 Ot I 7	1641 Ot II 7								
Jul Aug	1641	1641 Sp 8	1641 Ot I 8	1641 Ot II 8								
Sep Oct	1641	1641 Sp 9	1641 Ot I 9	1641 Ot II 9								
Nov Dec	1641	1641 Sp 10	1641 Ot I 10	1641 Ot II 10								
Jan Feb	1642	1642 Sp 11	1642 Ot I 11	1642 Ot II 11								
Mar Apr	1642	1642 Sp 12	1642 Ot I 12	1642 Ot II 12								
May Jun	1642	1642 Sp 13	1642 Ot I 13	1642 Ot II 13								
Jul Aug	1642	1642 Sp 14	1642 Ot I 14	1642 Ot II 14								
Sep Oct	1642	1642 Sp 15	1642 Ot I 15	1642 Ot II 15								
Nov Dec	1642	1642 Sp 16	1642 Ot I 16	1642 Ot II 16								
Jan Feb	1643	1643 Sp 17	1643 Ot I 17	1643 Ot II 17								
Mar Apr	1643	1643 Sp 18	1643 Ot I 18	1643 Ot II 18								
May Jun	1643	1643 Sp 19	1643 Ot I 19	1643 Ot II 19								
Jul Aug	1643	1643 Sp 20	1643 Ot I 20	1643 Ot II 20								
Sep Oct	1643	1643 Sp 21	1643 Ot I 21	1643 Ot II 21								
Nov Dec	1643	1643 Sp 22	1643 Ot I 22	1643 Ot II 22								
Jan Feb	1644	1644 Sp 23	1644 Ot I 23	1644 Ot II 23								
Mar Apr	1644	1644 Sp 24	1644 Ot I 24	1644 Ot II 24								
May Jun	1644	1644 Sp 25	1644 Ot I 25	1644 Ot II 25								
Jul Aug	1644	1644 Sp 26	1644 Ot I 26	1644 Ot II 26								
Sep Oct	1644	1644 Sp 27	1644 Ot I 27	1644 Ot II 27								
Nov Dec	1644	1644 Sp 28	1644 Ot I 28	1644 Ot II 28								
Jan Feb	1645	1645 Sp 29	1645 Ot I 29	1645 Ot II 29								
Mar Apr	1645	1645 Sp 30	1645 Ot I 30	1645 Ot II 30								
May Jun	1645	1645 Sp 31	1645 Ot I 31	1645 Ot II 31								
Jul Aug	1645	1645 Sp 32	1645 Ot I 32	1645 Ot II 32								
Sep Oct	1645	1645 Sp 33	1645 Ot I 33	1645 Ot II 33								
Nov Dec	1645	1645 Sp 34	1645 Ot I 34	1645 Ot II 34								
Jan Feb	1646	1646 Sp 35	1646 Ot I 35	1646 Ot II 35								
Mar Apr	1646	1646 Sp 36	1646 Ot I 36	1646 Ot II 36								
May Jun	1646	1646 Sp 37	1646 Ot I 37	1646 Ot II 37								
Jul Aug	1646	1646 Sp 38	1646 Ot I 38	1646 Ot II 38								
Sep Oct	1646	1646 Sp 39	1646 Ot I 39	1646 Ot II 39								
Nov Dec	1646	1646 Sp 40	1646 Ot I 40	1646 Ot II 40								
Jan Feb	1647	1647 Sp 41	1647 Ot I 41	1647 Ot II 41								
Mar Apr	1647	1647 Sp 42	1647 Ot I 42	1647 Ot II 42								
May Jun	1647	1647 Sp 43	1647 Ot I 43	1647 Ot II 43								
Jul Aug	1647	1647 Sp 44	1647 Ot I 44	1647 Ot II 44								
Sep Oct	1647	1647 Sp 45	1647 Ot I 45	1647 Ot II 45								
Nov Dec	1647	1647 Sp 46	1647 Ot I 46	1647 Ot II 46								
Jan Feb	1648	1648 Sp 47	1648 Ot I 47	1648 Ot II 47								
Mar Apr	1648	1648 Sp 48	1648 Ot I 48	1648 Ot II 48								
May Jun	1648	1648 Sp 49	1648 Ot I 49	1648 Ot II 49								
Jul Aug	1648	1648 Sp 50	1648 Ot I 50	1648 Ot II 50								
Sep Oct	1648	1648 Sp 51	1648 Ot I 51	1648 Ot II 51								
Nov Dec	1648	1648 Sp 52	1648 Ot I 52	1648 Ot II 52								
Jan Feb	1649	1649 Sp 53	1649 Ot I 53	1649 Ot II 53								
Mar Apr	1649	1649 Sp 54	1649 Ot I 54	1649 Ot II 54								
May Jun	1649	1649 Sp 55	1649 Ot I 55	1649 Ot II 55								
Jul Aug	1649	1649 Sp 56	1649 Ot I 56	1649 Ot II 56								
Sep Oct	1649	1649 Sp 57	1649 Ot I 57	1649 Ot II 57								
Nov Dec	1649	1649 Sp 58	1649 Ot I 58	1649 Ot II 58								
Jan Feb	1650	1650 Sp 59	1650 Ot I 59	1650 Ot II 59								
Mar Apr	1650	1650 Sp 60	1650 Ot I 60	1650 Ot II 60								
May Jun	1650	1650 Sp 61	1650 Ot I 61	1650 Ot II 61								
Jul Aug	1650	1650 Sp 62	1650 Ot I 62	1650 Ot II 62								
Sep Oct	1650	1650 Sp 63	1650 Ot I 63	1650 Ot II 63								
Nov Dec	1650	1650 Sp 64	1650 Ot I 64	1650 Ot II 64								
Jan Feb	1651	1651 Sp 65	1651 Ot I 65	1651 Ot II 65								
Mar Apr	1651	1651 Sp 66	1651 Ot I 66	1651 Ot II 66								
May Jun	1651	1651 Sp 67	1651 Ot I 67	1651 Ot II 67								
Jul Aug	1651	1651 Sp 68	1651 Ot I 68	1651 Ot II 68								
Sep Oct	1651	1651 Sp 69	1651 Ot I 69	1651 Ot II 69								
Nov Dec	1651	1651 Sp 70	1651 Ot I 70	1651 Ot II 70								
Jan Feb	1652	1652 Sp 71	1652 Ot I 71	1652 Ot II 71								
Mar Apr	1652	1652 Sp 72	1652 Ot I 72	1652 Ot II 72								
May Jun	1652	1652 Sp 73	1652 Ot I 73	1652 Ot II 73								
Jul Aug	1652	1652 Sp 74	1652 Ot I 74	1652 Ot II 74								
Sep Oct	1652	1652 Sp 75	1652 Ot I 75	1652 Ot II 75								
Nov Dec	1652	1652 Sp 76	1652 Ot I 76	1652 Ot II 76								
Jan Feb	1653	1653 Sp 77	1653 Ot I 77	1653 Ot II 77								
Mar Apr	1653	1653 Sp 78	1653 Ot I 78	1653 Ot II 78								
May Jun	1653	1653 Sp 79	1653 Ot I 79	1653 Ot II 79								
Jul Aug	1653	1653 Sp 80	1653 Ot I 80	1653 Ot II 80								
Sep Oct	1653	1653 Sp 81	1653 Ot I 81	1653 Ot II 81								
Nov Dec	1653	1653 Sp 82	1653 Ot I 82	1653 Ot II 82								
Jan Feb	1654	1654 Sp 83	1654 Ot I 83	1654 Ot II 83								
Mar Apr	1654	1654 Sp 84	1654 Ot I 84	1654 Ot II 84								
May Jun	1654	1654 Sp 85	1654 Ot I 85	1654 Ot II 85								
Jul Aug	1654	1654 Sp 86	1654 Ot I 86	1654 Ot II 86								
Sep Oct	1654	1654 Sp 87	1654 Ot I 87	1654 Ot II 87								
Nov Dec	1654	1654 Sp 88	1654 Ot I 88	1654 Ot II 88								
Jan Feb	1655	1655 Sp 89	1655 Ot I 89	1655 Ot II 89								
Mar Apr	1655	1655 Sp 90	1655 Ot I 90	1655 Ot II 90								
May Jun	1655	1655 Sp 91	1655 Ot I 91	1655 Ot II 91	Sp							
Jul Aug	1655	1655 Sp 92	1655 Ot I 92	1655 Ot II 92	Sp							
Sep Oct	1655	1655 Sp 93	1655 Ot I 93	1655 Ot II 93	Sp							
Nov Dec	1655	1655 Sp 94	1655 Ot I 94	1655 Ot II 94	Sp							
Jan Feb	1656	1656 Sp 95	1656 Ot I 95	1656 Ot II 95	Sp							
Mar Apr	1656	1656 Sp 96	1656 Ot I 96	1656 Ot II 96	Sp							
May Jun	1656	1656 Sp 97	1656 Ot I 97	1656 Ot II 97	Sp							
Jul Aug	1656	1656 Sp 98	1656 Ot I 98	1656 Ot II 98	Sp							
Sep Oct	1656	1656 Sp 99	1656 Ot I 99	1656 Ot II 99	Sp							
Nov Dec	1656	1656 Sp 100	1656 Ot I 100	1656 Ot II 100	Sp							
Jan Feb	1657	1657 Sp 101	1657 Ot I 101	1657 Ot II 101	Sp							
Mar Apr	1657	1657 Sp 102	1657 Ot I 102	1657 Ot II 102	Sp							
May Jun	1657	1657 Sp 103	1657 Ot I 103	1657 Ot II 103	Sp							
Jul Aug	1657	1657 Sp 104	1657 Ot I 104	1657 Ot II 104	Sp							
Sep Oct	1657	1657 Sp 105	1657 Ot I 105	1657 Ot II 105	Sp							
Nov Dec	1657	1657 Sp 106	1657 Ot I 106	1657 Ot II 106	Sp							
Jan Feb	1658	1658 Sp 107	1658 Ot I 107	1658 Ot II 107	Sp							
Mar Apr	1658	1658 Sp 108	1658 Ot I 108	1658 Ot II 108	Sp							
May Jun	1658	1658 Sp 109	1658 Ot I 109	1658 Ot II 109	Sp							
Jul Aug	1658	1658 Sp 110	1658 Ot I 110	1658 Ot II 110	Sp							
Sep Oct	1658	1658 Sp 111	1658 Ot I 111	1658 Ot II 111	Sp							
Nov Dec	1658	1658 Sp 112	1658 Ot I 112	1658 Ot II 112	Sp							
Jan Feb	1659	1659 Sp 113	1659 Ot I 113	1659 Ot II 113	Sp							
Mar Apr	1659	1659 Sp 114	1659 Ot I 114	1659 Ot II 114	Sp							
May Jun	1659	1659 Sp 115	1659 Ot I 115	1659 Ot II 115	Sp							
Jul Aug	1659	1659 Sp 116	1659 Ot I 116	1659 Ot II 116	Sp							
Sep Oct	1659	1659 Sp 117	1659 Ot I 117	1659 Ot II 117	Sp							
Nov Dec	1659	1659 Sp 118	1659 Ot I 118	1659 Ot II 118	Sp							
Jan Feb	1660	1660 Sp 119	1660 Ot I 119	1660 Ot II 119	Sp							
Mar Apr	1660	1660 Sp 120	1660 Ot I 120	1660 Ot II 120	Sp							
May Jun	1660	1660 Sp 121	1660 Ot I 121	1660 Ot II 121	Sp							
Jul Aug	1660	1660 Sp 122	1660 Ot I 122	1660 Ot II 122	Sp							
Sep Oct	1660	1660 Sp 123	1660 Ot I 123	1660 Ot II 123	Priv							
Nov Dec	1660	1660 Sp 124	1660 Ot I 124	1660 Ot II 124	Priv							
Jan Feb	1661	1661 Sp 125	1661 Ot I 125	1661 Ot II 125	Priv							
Mar Apr	1661	1661 Sp 126	1661 Ot I 126	1661 Ot II 126	Priv							
May Jun	1661	1661 Sp 127	1661 Ot I 127	1661 Ot II 127	Priv							
Jul Aug	1661	1661 Sp 128	1661 Ot I 128	1661 Ot II 128	Priv							
Sep Oct	1661	1661 Sp 129	1661 Ot I 129	1661 Ot II 129	Priv							
Nov Dec	1661	1661 Sp 130	1661 Ot I 130	1661 Ot II 130	Priv							
Jan Feb	1662	1662 Sp 131	1662 Ot I 131	1662 Ot II 131	Priv							
Mar Apr	1662	1662 Sp 132	1662 Ot I 132	1662 Ot II 132	Priv							
May Jun	1662	1662 Sp 133	1662 Ot I 133	1662 Ot II 133	Priv							
Jul Aug	1662	1662 Sp 134	1662 Ot I 134	1662 Ot II 134	Priv							
Sep Oct	1662	1662 Sp 135	1662 Ot I 135	1662 Ot II 135	Priv							
Nov Dec	1662	1662 Sp 136	1662 Ot I 136	1662 Ot II 136	Priv							
Jan Feb	1663	1663 Sp 137	1663 Ot I 137	1663 Ot II 137	Priv							
