Clustering: Table 1
	From	To	Ft	Ft	Name			
Ill 6	May 1520		 	 	Pánfilo de Narváez Plague			
Hos 15	Dec 1543	Dec 1544	Sp	Ma	Pacheco Conquest			
Rev 7	Jan 1547	Jun 1547	Sp	Ma	Chanlacan			
Rev 8	Jan 1568	Dec 1568	Sp	Ma	Tipu			
Hos 16	Apr 1568	Dec 1568	Sp	Ma	Garzón Reconquest			
Hos 17	Jan 1608	Dec 1620	Sp	Ma	New Reductions			
Hos 18	Jan 1619	Dec 1619	Sp	Ma	Franciscan Inquisition			
Hos 14	Apr 1622	Jul 1624	Sp	Ma	Mirones y Lescado Entrada			
Rev 10	Mar 1630	Dec 1630	Sp	Ma	Xibun and Soite			
Rev 9	Jul 1638	Dec 1642	Sp	Ma	Tipu Conspiracy			
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids			
Nat 4	Jan 1647	Dec 1650	 	 	Great Famine			
Hos 19	Nov 1652	Apr 1656	Sp	Ma	Pérez Entradas			
Hos 20	Jan 1678	Dec 1678	Sp	Ma	Porras Entrada			
Hos 21	Jan 1684	Dec 1684	Sp	Ma	Paliac Murders			
Hos 1	Jan 1696	Mar 1701	Sp	 	 			
Hos 22	Apr 1697	Dec 1708	Sp	Ma	Fall of Tipu			
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession			
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age of Pir			
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance			
Nat 5	Jan 1725	Dec 1727			Famine			
War 3	Mar 1726	Feb 1728	Sp	 	 			
Hos 3	Nov 1728	Aug 1732	Sp	 	Bacalar Offensives			
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Prelude			
Ill 1	Jun 1737		 	 	Diphtheria ?			
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear			
Ill 2	Mar 1750		 	 	Malaria ?			
Hos 5	May 1750	Feb 1755	Sp	 	Amphibious Siege			
Ill 3	Nov 1751		 	 	Measles ?			
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Prelude			
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’			
Hos 7	Dec 1763	Dec 1763	Sp	 	 			
Fin 1	Jun 1765		 	 	Tragedy of Commons			
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s			
Crs 2	Jan 1766		Sp	 	Sp Seduction			
Crs 1	Feb 1767	Dec 1770	 	Du Fr	Alien Logging			
Hos 8	Mar 1767	Apr 1767	Sp	 	 			
Hos 12	Jul 1767	Jul 1767		Ma	Naismith Raid			
Hos 9	Jul 1770	Mar 1772	Sp	 	 			
Nat 1	Jun 1771	Nov 1771	 	 	Great Famine			
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids			
Rev 2	May 1773	Aug 1773	 	 	Davidson’s			
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution			
Nat 2	Dec 1784	Nov 1785	 	 	 			
Crs 3	Feb 1785		Sp	 	 			
Rev 3	Jun 1786	Jun 1786	 	 	Old R			
Crs 4	Jun 1787	Apr 1791	 	 	 			
Ill 4	Feb 1788		 	 	Measles ?			
Nat 3	Nov 1792	Oct 1792	 	 	 			
Hos 11	Nov 1793	Nov 1793	 	Ma	 			
War 7	Aug 1796	Mar 1802	Sp	Fr	Fr Revolution			
Ill 5	Sep 1797		 	 	Yellow Fever			
War 8	May 1804	Jul 1808	Sp	Fr	Napoleonic			
War 9	Jun 1812	Feb 1815	 	Am	 			
Rev 4	Jan 1813				New R			
Rev 5	Apr 1820		 	 	Will & Sharper			


< 1820: Table 1
						Event	Event	Near	Sp	Ally	Ally	Lives	Held	Moved	Craft	Property	Other
Ill 6	May 1520	0	 	 	Pánfilo de Narváez Plague							"c 550,000 deaths in Yuc"					
Hos 15	Dec 1543	Dec 1544	Sp	Ma	Pacheco Conquest			"Chetumal, Dzuluinicob Provinces"	"Melchor Pacheco, Alonso Lopez Zarco, Sp soldiers [likely]"			"unheard of cruelties / many killed with garrote / sicced dogs on fleeing Ma / all died of hunger [Chetumal Province] / there were pueblos of 500 to 1,000 houses … now [1548] one of 100 houses is large"	lg number captured and moved to serve Sp families [in Merida? Valladolid?]	[likely] reductions to ?		"encomiendas est. 1544 for conquistador = cacao, cotton mantas to ? [est. 300 Ma tributaries in all Ma Provinces under Bacalar ie inc Yuc, c 150 pesos per yr ea.] / Cayo towns not charged tribute until 1622 /  later Corozal towns [inc near Bacalar] paying tribute of 9 cargas of cacao per year, Cayo towns paying 35 mantas [1622]"	
Rev 7	Jan 1547	Jun 1547	Sp	Ma	Chanlacan		Encomendero’s Death	Chanlacan				"min 1 Sp killed [Martin Rodriguez, encomendero] / little harm to the natives"					
Rev 7	Jan 1547	Jun 1547	Sp	Ma	Chanlacan	6 Feb 1547	Aguilar Entrada	Chanlacan	Capt. Juan de Aguilar 25 Sp soldiers				Cacique’s spouse [prev imprisoned] released by Sp for end to revolt				
Rev 8	Jan 1568	Dec 1568	Sp	Ma	Tipu			"Chet P, Dzu P"	Residents of Bacalar and nearby villas	lg numb of Ma		killed some Sp	kidnapped Ma servants of Sp residents	min some Ma servants escaped fm Sp households		"burned houses, robbed farms and other things [Bacalar]"	end tribute or econmienda until 1695 [probably ?]
Hos 16	Apr 1568	Dec 1568	Sp	Ma	Garzón Reconquest	1 Apr 1568		"Chet P, Dzu P"	"Juan de Garzon, Sp soldiers fm Merida [likely], Sp Bacalar residents, Ma allies, Franciscan friars"				captured men and women / brought to Bacalar as servants	[likely] reductions to ?		"destroyed rebel Ma towns and villages, leaving not a house standing, idols and books burnt"	
Hos 16	Apr 1568	Dec 1568	Sp	Ma	Garzón Reconquest	1 Dec 1568		"Tipu, Dzu P, southern Belize towns [likely]"	"Juan de Garzon, Sp soldiers fm Merida [likely], Sp Bacalar residents, Ma allies, Franciscan friars"				captured all those they could find near Tipu until there was no notice of more people / some [possibly] sold as slaves	Runaways and or remote Ma reduced to Tipu		idols and books burnt	
Hos 17	Jan 1608	Dec 1620	Sp	Ma	New Reductions	1 Jan 1608		"Old, Macal"	"Julio Sánchez de Aguilar, Bernardo Sánchez de la Seña [both of Bacalar cabildo]"					Ma migration fm towns or villages to woods / Sp move Ma to urban centres to better manage encomiendas			
Hos 17	Jan 1608	Dec 1620	Sp	Ma	New Reductions	1 Jan 1615		"Old, Macal"	"Julio Sánchez de Aguilar, Bernardo Sánchez de la Seña [both of Bacalar cabildo]"					Ma migration fm towns or villages to woods / Sp move Ma to urban centres to better manage encomiendas			
Hos 17	Jan 1608	Dec 1620	Sp	Ma	New Reductions	1 Jan 1620		"Old, Macal"	"Julio Sánchez de Aguilar, Bernardo Sánchez de la Seña [both of Bacalar cabildo]"					Ma migration fm towns or villages to woods / Sp move Ma to urban centres to better manage encomiendas			
Hos 18	Jan 1619	Dec 1619	Sp	Ma	Franciscan Inquisition			Tipu	"Friar Fuensalida, Friar Orbita"	Tipu residents			residents punished for holding idols			idols destroyed	
Hos 14	Apr 1622	Jul 1624	Sp	Ma	Mirones y Lescado Entrada	1 Jul 1623	Massacre at Tah Itza	Lake Itza ?		"Fray Diego Delgado, 12 Sp men, Don Cristobal Na (Tipu), 80 Tipuans / later 2 Sp men, sev Ma"		"13 Sp, 81 Tipuans killed / later 2 Sp, sev Ma"					
Rev 10	Mar 1630	Dec 1630	Sp	Ma	Xibun and Soite			"Xibun, Soite"						"Xibun, Soite residents flee town [possibly due to Sp abuses]"			
Rev 10	Mar 1630	Dec 1630	Sp	Ma	Xibun and Soite		"Reduccion of Xibun, Soite"	"Xibun, Soite"	Alcalde of Bacalar Juan Sanchez de Aguilar					"Xibun, Soite residents forced to return"			
Rev 9	Jul 1638	Dec 1642	Sp	Ma	Tipu Conspiracy	1 Jul 1638	Mass Flight	Tipu	Alcalde of Bacalar Juan Sanchez de Aguilar				"7 Ma captured at Chinam / later > 80 Chinam runaways captured, whipped at Bacalar / later Soite runaways captured"	"Tipu, Chinam, Zacatan, Xibun, Soite, Holpatin, Manan residents flee to woods [likely on threats or urging fm Tipu] / 3 towns reduced in 1638"			
Rev 9	Jul 1638	Dec 1642	Sp	Ma	Tipu Conspiracy	1 May 1641	Mass Gathering at Tipu	Tipu						8 rebel towns = c 300 families gathered at Tipu by 1642 [6 villages = c 150 families not in rebellion]		"abandoned towns burnt by Ma eg Lamanai, Zaczuz"	
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids	1 Jul 1638	Capture of Zacatan	Hondo									
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids	1 Jul 1641	Dutch Raids	"Old, Sittee"					2 Sp held for some time			"Soite, Cehake towns [hamlets?] raided"	
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids	1 Nov 1642	Diego Raids	Sittee		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped numb of [Maya] women / impressed men				
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids	1 Nov 1642	Diego Raids	Old		Diego Lucifer de los Reyes el Mulato 70 Pir					Pir took 3 or 4 Sp boats		
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids	22 Nov 1642	Assault of Bacalar	Bacalar		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped 3 Sp 2 Maya / Maya later released / Sp possibly died	Sp Maya residents forced into hiding by Lake Bacalar min. to early 1643		"stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"	
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids	1 Jun 1648	Abraham Sacks Bacalar	Bacalar	Capt. Bartolomé Palomino 27 men	Eng Pir or Bucc Abraham and co.		1 Sp killed	women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid			
Hos 13	Jan 1639	Nov 1652	 	Du Ma	Provid or Tort Raids	1 Nov 1652	Dutch Raids	"Chanlacan, Uatibal"					some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help		"Uatibal, Chanlacan sacked [likely, esp food]"	
Nat 4	Jan 1647	Dec 1650	 	 	Great Famine									Mass migration of Ma to Tipu			
Hos 19	Nov 1652	Apr 1656	Sp	Ma	Pérez Entradas	1 Oct 1654		"Chanlacan, Uatibal"	Capt. Francisco Perez of Bacalar 5 Sp men 15 Ma men					c 200 Uatibal or Chanlacan deserters reduced by Sp [likely to Bacalar at Pacha]			
