Press: Table 1
Date	Link	Headline	Paper	Desc	Desc				Add	
19 Feb 1667	Del sn	Spangien.	Oprechte Haarlemsche courant	Eng fort near Guat					"""SPANGIEN."". ""Oprechte Haerlemsche courant"". Haerlem, 1667/02/19 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010926740:mpeg21:p002"	
6 Dec 1668	Del sn	d’Amsterdam le 6 December.	La gazette d’Amsterdam	Bucc raid near Hon					"""d'Amsterdam le 6 Decembre."". ""La gazette d'Amsterdam"". Amsterdam, 1668/12/06 00:00:00, p. 4. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011014630:mpeg21:p004"	
13 Apr 1669	Del sn	Portugael.	Tijdinghe uyt verscheyde quartieren						"""PORTUGAEL."". ""Tĳdinghe uyt verscheyde quartieren"". Amsterdam, 1669/04/13 00:00:00, p. 1. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:010758936:mpeg21:p001"	
1 Jan 1688	Gal sn	"De Londres, le 10 Iun 1688."	Gazette	Sp battle Bucc					https://gallica.bnf.fr/ark:/12148/bpt6k64416791/f304.image.r=Honduras?rk=107296;4	
26 Feb 1695	Del sn	Nederlanden.	Amsterdamse courant						"""NEDERLANDEN."". ""Amsterdamse courant"". Amsterdam, 1695/02/26 00:00:00, p. 2. Geraadpleegd op Delpher op 13-02-2021, http://resolver.kb.nl/resolve?urn=ddd:011025707:mpeg21:p002"	
24 May 1701	Bur 944	"Hague, June 1."	Flying Post (944)	Sp raid					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001376136/GDCS?u=camb55135&sid=GDCS&xid=4e07aa4d	
26 Jul 1718	Bur 496	"London, July 29."	St. James’s Evening Post (496)	Pir assault Caesar					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001342325/GDCS?u=camb55135&sid=GDCS&xid=9039da26	
24 May 1722	Bur 4	London.	Compleat Set of St James’s Journals (4)	Pir assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001344843/GDCS?u=camb55135&sid=GDCS&xid=2470c3e9	
30 Jun 1722	Bur 2017	"London, July 3."	Evening Post (1709) (2017)	Lowder assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001372211/GDCS?u=camb55135&sid=GDCS&xid=e1ef25c5	
7 Jul 1722	Bur sn	"Boston in New-England, April 16."	Weekly Journal or British Gazetteer	Lowder assault					https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001588009/GDCS?u=camb55135&sid=GDCS&xid=85f9fbee	
7 Jul 1722	Bur sn	News	Weekly Journal or British Gazetteer	Lowder assault					"News. (1722, July 7). Weekly Journal or British Gazetteer. https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001588001/BBCN?u=camb55135&sid=BBCN&xid=4b4a0a76"	
28 Mar 1723	Pre 1000	"Rhode-Island, March 19."	Boston News-Letter (1000)	Storm at Sea			"Rhode-Island, March 19. (1723, March 28"	"Rhode-Island, March 19. (1723, March 28). Boston News-Letter (1000)"	"Rhode-Island, March 19. (1723, March 28). Boston News-Letter (1000), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663C57AD4F42F%402350459-105663C584965E2E%400-105663C5D983BB51%40Rhode-Island%252C%2BMarch%2B19."	
11 Apr 1723	Pre 1002	"Rhode-Island, April 4th."	Boston News-Letter (1002)	Pir at Sea			"Rhode-Island, April 4th. (1723, April 11"	"Rhode-Island, April 4th. (1723, April 11). Boston News-Letter (1002)"	"Rhode-Island, April 4th. (1723, April 11). Boston News-Letter (1002), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663C6A117F9E2%402350473-105663C6A95A82A5%400-105663C6E51651FC%40Rhode-Island%252C%2BApril%2B4th."	
13 May 1723	Bur 94	"Custom House, Boston."	New England Courant (94)						https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001394927/GDCS?u=camb55135&sid=GDCS&xid=c89985a0	
16 May 1723	Pre 1007	"Rhode-Island, May 9th."	Boston News-Letter (1007)	Sp seizures			"Rhode-Island, May 9th. (1723, May 16"	"Rhode-Island, May 9th. (1723, May 16). Boston News-Letter (1007)"	"Rhode-Island, May 9th. (1723, May 16). Boston News-Letter (1007), p. [4]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663C9419740CA%402350508-105663C987A00830%403-105663CA16AD57F0%40Rhode-Island%252C%2BMay%2B9th."	
27 Jun 1723	Bur 1169	"Boston, May 6."	Daily Post (1169)	Sp assault / siege	Pir mass				https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000266249/GDCS?u=camb55135&sid=GDCS&xid=d545bac1	
27 Jun 1723	Bur 248	"There is Advice from Rhode Island, dated May the 9th …"	Weekly Journal or Saturday’s Post (248)	Sp assault / siege	Pir mass				https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2001597849/GDCS?u=camb55135&sid=GDCS&xid=5a313df6	
22 Aug 1723	Pre 1021	"New Port, Rhode-Island, Aug. 15th."	Boston News-Letter (1021)	Sp at Sea			"New Port, Rhode-Island, Aug. 15th. (1723, August 22"	"New Port, Rhode-Island, Aug. 15th. (1723, August 22). Boston News-Letter (1021)"	"New Port, Rhode-Island, Aug. 15th. (1723, August 22). Boston News-Letter (1021), p. [1]. Available from Readex: America's Historical Newspapers: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1036CD221971FE08%40EANX-105663D3BA0F70E9%402350606-105663D3C4D52A8D%400-105663D41628E8CC%40New%2BPort%252C%2BRhode-Island%252C%2BAug.%2B15th."	
31 Aug 1723	Bur sn	"""News."""	British Journal	Pir assault			8	"""News."" British Journal, 31 Aug. 1723"	"""News."" British Journal, 31 Aug. 1723. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000121741/BBCN?u=camb55135&sid=BBCN&xid=eacaaa33. Accessed 16 Feb. 2021."	
31 Aug 1723	Bur sn	"""News."""	British Journal	Pir assault			8	"""News."" British Journal, 31 Aug. 1723"	"""News."" British Journal, 31 Aug. 1723. Seventeenth and Eighteenth Century Burney Newspapers Collection, link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/Z2000121741/BBCN?u=camb55135&sid=BBCN&xid=eacaaa33. Accessed 16 Feb. 2021."	
