Sheet 1: Table 1
S	E	Description	Unique	L	Cp	P	Cp	P	Cp	P	Cp	P	Cp
1688	1688	Sp assault Gulf buccaneers		lost 9 men	Gal sn								
1701	1701	Sp assault Bay				burnt Houses	Bur 944	drove away the People	Bur 944				
1718	1718	Blackbear attacks Ceasar				burnt Ceasar	Bur 496						
1722	1722	G Lowder assaults Bay						"burnt 1 ship, 2 brigs, 4 sloops … and all Wood laid up there"	Bur 4	Men of Greyhound barbarously used	"Bur 2017
Bur sn"	min 5 men forced into pirate service c 10 months	"Bur 2017
Bur sn
Press 1002"
1723	1723	"Low, Lowder massacre Sp"		c 45 to 53 Sp put to Sword … killed B. Wickham									
1724	1724	Sp assault Bay											
1724	1724	Spriggs assaults Bay		"c 6 pirates killed, c 5 or 6 mortally wounded"									
1724	1724	Shipton assaults Bay		1 pirate / sailor killed									
1725	1725	"Spriggs, Shipton assault Bay"											
1728	1728	"Sp, pirates assault Bay"											
1729	1735	Sp siege Bay											
1729	1729	Mos destroy Sp towns											
1731		Sp force Bay evacuation											
1729	1729	Sp assault Bay											
1731	1731	Sp assault Bay		2 killed									
1734	1734	Sp assault Bay											
1735	1735	Sp raid Bay											
1737	1738	Sp siege Bay											
1737	1737	Sp destroy Bay											
1737	1737	Sp assault Bay											
1739	1739	Sp assault Bay											
1737		Diphtheria ? in Bay											
1740	1740	Mos take Sp town Shasoon											
1741	1741	Sp assault Bay											
1745	1745	Sp take Bay											
1742	1742	Baymen charge Panama											
1743		Baymen’s Hope’s scheme											
1750	1753	Sp siege Bay											
1750		"Fever, ague in Bay"											
1751		"Measles ? in Bay, Fleet"											
1752		"Baymen, Fleet quit Bay"											
1752	1752	Bracall abduct slaves											
1750	1750	Sp assault Bay											
1751	1751	Sp assault Bay											
1752	1752	Sp assault Bay											
1752	1752	Sp assault Bay											
1753	1753	Sp assault Bay											
1753	1753	Sp assault Bay											
1754	1754	Sp assault Bay											
1754	1755	Sp siege Bay											
1756	1756	Guat / Sp siege Bay											
1758	1758	Sp siege Bay											
1759	1760	Sp siege Bay											
1759	1759	Sp assault Bay											
1759		Baymen quit Bay											
1763	1765	Sp restrict logging											
1765	1765	Cook’s slaves revolt											
1766	1766	Scarcity / famine											
1767	1767	Sp assault Bay											
1767	1767	Maya assault Bay											
1770	1770	Sp assault Bay											
1771		Baymen quit Bay											
1771	1771	Scarcity / famine											
1772		Thetis affair											
1773	1773	Davidson’s slaves revolt											
1773	1773	Maya assault Bay											
1775	1775	Sp assault Bay											
1777	1777	General Washington affair											
1779	1779	Sp assault St. George’s											
1779	1779	Baymen siege Omoa											
1781	1781	Baymen charge St. Pedro Snelo											
1784	1784	Distemper in New R.											
1786	1786	Old R. slaves revolt											
1787	1787	Colonel Despard affair											
1788		"Measles ? in Bay, Fleet"											
1789	1789	Sp destroy works											
1792	1792	Flood in Belize T.											
1793	1793	Maya assault Bay											
1798	1798	Battle of St. George’s											
1797	1797	Yellow fever in Fleet											
1797	1798	Baymen mobilise for Sp											
1819	1819	Mitchell siege											
1799		US embargo											


Sheet 1-1: Table 1
						
						


Sheet 1-1-1: Table 1
						
						
