D Citations: Table 1
Start	U Start	L Start	Type	Subtype	Description	Source	
1701			Anthropological	Raid	"Raid on Belize River by the Spanish; “have burnt Houses, and drove away the People”"	"Flying Post, 24 to 27 May 1701 p. 1 issue 944"	
1715			Natural	Famine	Famine from unknown causes; “several Negroes dyed”	The Boston News-Letter 19 Sep 1715 p. 2	
1716			Anthropological	Raid	"Raid in Feb on Belize River by the Spanish; “captivated 150 Men Whites and Blacks, burnt all the Logwood, destroy’d the Craft, took a Pink and Sloop … burnt the Hulks and a Snow … took also a Vessel of Marooners that belonged to the Bay”"	The Boston News-Letter 7 May 1716 p. 2 issue 629	
1717			Anthropological	Raid	"Raid in Oct. on Belize River by the Spanish; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1718 in AB); “Log-Wood Bay was cut off, Anno 1717”"	"The state of the island of Jamaica by A. B. 1726 p. 15; A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America by William Douglas v II part I p. 88; The Boston News-Letter 8 Apr 1717 p 2 issue 677"	
1723			Anthropological	Raid	Raid on Belize River by the Spanish; “seized 7 or 8 English Sloops … the Men were taken … as slaves”; “took upwards of 20 Sail … drove the People … from their Settlements” (date given 1724 in AB)	Parker’s London News / Impartial Intelligencer issue 883; Daily Post 27 Jun 1723 issue 1169; Weekly Journal / Saturday’s Post 27 Jul 1723 issue 248; New England Courant 13 to 20 May 1723 94; The state of the island of Jamaica by A. B. 1726 p. 15; The BOSTON News-Letter 16 May 1723 p. 4 issue 1007	
1725			Anthropological	Engagement	Confrontation with Spanish; “had taken several small Craft … murdered their [Crafts’] People”	British Journal 12 Feb 1726 179	
1726			Anthropological	Engagement	"Confrontation with Spanish, losses recovered"	Daily Courant 22 Jun 1726 7701	
1728			Anthropological	Engagement	Raid on Belize River by the Spanish; “sharp Engagement”	Daily Journal issue 28 Feb 1728 2224; 16 Jan 1729 2504	
1729			Anthropological	Raid	"Raid on New River & Hondo & in 1730 on Belize by Spanish; “taken all Vessels … burnt … about 12 to 16,000 Tons of Wood”; “they carried off about 30 White Men” from New River; “made a great many of the English and their Negroes Prisoners”; “several … ships and sloops … taken”; at least 1 ship, 2 brigantines, 2 sloops; expulsion of Baymen remaining in woods in Jun 1730 by 31 Jan 1731; by 23 May 1731 “all the Bay Men were gone except eight or nine”; “remains … 30 Persons”; in 8 Oct 1733 “two Families left in the Bay”; by 20 Oct 1735 “the Fleet was there [Belize River] … [and] had met no Disturbance from the Spaniards”; by 7 Sep 1736, letter signed by 7 settlers at “Rivers Mouth of Beleeze” re. counterfeit money used by William Bunn "	London Journal 11 Oct 1729 532 p. 5; Read’s Weekly Journal / British Gazetteer 375;  Grub Street Journal 70; London Evening Post 11 to 13 May 1731 p. 1 539; New England Weekly Journal 22 Jul 1731 issue CCXXVII p. 2; The Weekly Rehearsal 4 Oct 1731 p 2 issue 2; Universal Spectator / Weekly Journal 198; Read’s Weekly Journal / British Gazetteer 27 May 1732 375; The Boston Weekly News-Letter 21 Sep 1732 p 1 issue 1495; 5 Oct 1732 p 1 issue 1497; The Weekly Rehearsal 8 Oct 1733 p 2 issue 106; The Boston Gazette 20 Oct 1735 p 3 issue 824; The Boston Evening Post 22 Sep 1736 p 2 issue 67	
1730			Anthropological	Engagement	Confrontation in Feb with Spanish at Belize River; losses recovered	Daily Journal 13 Aug 1730 p. 2 2996	
