Table 1
	From	To	Ft	Ft	Name	Lives	Held	Moved	Craft / Cargo	Property	Trade	Prov
Hos 13	Jan 1639	Oct 1654	 	Bu Ma	Tortuga Raids	1 t 4	300 t 500 Ma fm Yuc [st Sp found 70 t 80 on 9 Feb 1654] for c ? m / c ? fm Bac for c 2 m	Bac for c 2 m	3 t 4 Sp / ? Ma	"12 t 16,000 pesos fm Bac / ? fm 4 Ma hamlets"		
Hos 1	Jan 1696	Mar 1701	Sp	 	First Offensives	sev		Hon for c ? thrice		c ? huts		
War 1	Jul 1701	Sep 1714	Sp	Fr	Sp Succession							
Hos 2	Jan 1718	Feb 1725	Sp	Pir	Golden Age	60 t 72	m 6 men + 2 crews impressed for ? m		53 t 73			
War 2	Aug 1718	Feb 1720	Sp	 	Quadruple Alliance							
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives		50 for ? m	Hon for ? m	5 + some	all ranchos burnt twice		
Hos 16	Jan 1724	Jul 1838	 	Af Du Fr Po 	Af Slavery		? for c ? m / [st ? died]					
War 3	Mar 1726	Feb 1728	Sp	 	 				1	? fm 2 Ma hamlets		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	2 + sev	39 + >> sev for ? m	Hon for 76.5 m	c 95 + sev twice / c 140 flats + all once	"32 + sev twice ranchos / 12 t 16,000 ton = 300,000 quintals + 245 Pilas Log"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Ear Offensives	7	3 t 4 + 3 crews imprisoned for ? m		23 t 24	sev t >> sev Log burnt		
Ill 1	Jun 1737		 	 	Diphtheria ?	sev t >> sev						
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	9 t 10 + sev + 1 crew	2 crews + some men twice for ? m		15 + some + sev / sev flats			
Ill 2	Mar 1750		 	 	Malaria ?						halt logging for ? m	
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	2	140 + sev + 1 crew + all Neg for ? m	Hon for < 15 m / Hon for < 11 m / Hon for 10 m	94 t 95 + sev / 18 t 30 + all flats in New	sev Log works + all Log works in New + sev houses sacked		
Ill 3	Nov 1751		 	 	Measles ?	sev t >> sev						
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives		60 + sev fm New + sev once + some twice for ? m	Hon for c 8 m	2.5 / sev t >> sev flats	sev t >> sev Log works / houses / Log		
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’							
Crs 5	Dec 1763	Mar 1765	Sp	 	Hondo R Prohibition			"New, Hondo for 12 m"				
Fin 1	Jun 1765		 	 	Logwood Exhaustion						Log v scarce for min 15 m	Prov v scarce for min 6 m
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	5 + sev twice		New for ? m		min 1 house robbed	New sieged for ? m	
Crs 2	Jan 1766		Sp	 	Sp Asylum							
Crs 1	Feb 1767	Dec 1770	 	Fr Du	Alien Logging					? logged by Fr Du loggers		
Hos 8	Mar 1767	Apr 1767	Sp	 	 	some	some Neg fm Hondo + sev Neg for ? m			? Log works at Hondo / ? cattle at Hondo / ? property		
Hos 12	Jul 1767	Jul 1767	 	Ma	Naismith Raid	1				1 house robbed		
Hos 9	Jul 1770	Mar 1772	Sp	 	 	sev	1 + 1 crew for ? m	mainland for min 5 m	1	sev houses in Ambergris burnt / all Mah burnt	halt logging for min 5 m	
Nat 1	Jun 1771	Nov 1771	 	 	Great Famine	"c 40,000 Ma fm Yuc"		? Ma refugees enter				Prov v scarce for ? m
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids	sev				some houses burnt / some to sev houses robbed		
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	13 t 14 + 1 family + ? of 40	min 14 impressed for 0.25 m / ? of 40 taken	c 70 Neg refugees exit	min 1	min 9 houses robbed	halt logging for ? m	
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	11 + sev	1 for 0.25 m / ? fm St. George’s for ? m	Hon for ? m	3	Prov demanded / ? houses St. George’s / ? wood destroyed		
Nat 2	Dec 1784	Nov 1785	 	 	 	sev at New				? houses / works flooded esp in New	halt logging for min 11 m	
Crs 3	Feb 1785		Sp	 	 			"New, Hondo for ? m"		"New, Hondo houses, stock lost"		Prov scarce for ? m
Rev 3	Jun 1786	Jun 1786	 	 	Old R	sev						
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair		sev turtlers for ? m			all plantain walks destroyed twice / all fished turtles seized once / much unrest for ? m twice	shipping v scarce for min 24 m / [price crash likely]	Prov v scarce for ? m twice
Hos 17	Jun 1787			Mos	Mos Slavery		? for c ? m					
Ill 4	Feb 1788		 	 	Measles ?	50 + >> 50						
Nat 3	Nov 1792	Oct 1792	 	 	 	sev		Old for c 0.25 m		"c 2,000,000 ft Mah loss / ? tons Log loss / all houses at Old flooded"		
Hos 11	Nov 1793	Nov 1793	 	Ma	 	4						
War 7	Aug 1796	Mar 1802	Sp	Fr	Fr Revolution	?		?		?	?	
Ill 5	Sep 1797		 	 	Yellow Fever	23						
War 8	May 1804	Jul 1808	Sp	Fr	Napoleonic							
War 9	Jun 1812	Feb 1815	 	Am	 							
Rev 4	Jan 1813				New R							
Rev 5	Apr 1820		 	 	Will & Sharper					sev houses robbed		
