< 1820: Table 1
	Type	By	On	At	Name	L	P	P	P	P	P	P	Cf	Cf	
27 May 1701	Assault	Spanish	Loggers	Coast of Hon			burnt Houses	drove away the People						Flying Post 944 London 1701 p 2	
15 Feb 1723	Assault	Spanish	Baymen	Bay of Hon			"seized 7 or 8 Eng Sloops, c upwards of 20 Sail"	the Men [of seized Sloops] were taken … as slaves	drove the People … from their Settlements					Boston News-Letter 1007 Boston 1723 p 4	
30 Jan 1725	Assault	Pirates	Sailors	Bay of Hon			took 10 or 12 Eng Ships							Weekly Journal or Saturday’s Post 327 London 1725 p 2	
21 Apr 1726	Assault	"Spanish, Pirates"	"Sailors, Spanish"	Coast of Hon	Double Coast massacres	"Sp murdered [sev sm Crafts’] People … pirates put all the Sp [1 galley, 2 periaugers] to Sword"	Sp taken several sm Craft							British Journal 179 London 1726 p 3	
16 Dec 1728	Raid	Spanish	Sailors	Bay of Hon			taken 6 Eng Ships and Sloops							Daily Journal 2504 London 1729 p 1	
18 Aug 1729	Assault	Spanish	Loggers	"New, Hondo, Belize R."	Bacalar assaults & mass evacuation of 1731		"taken all Vessels [New, Hondo] ≥ 1 ship, 2 brig, 2 sloops = c 140 Vessels throughout"	"burnt … about 12 to 16,000 Tons of Wood / c 300,000 quintals Logwood ready cut and piled"	carried of about 30 White Men [New] … made a great many of the Eng and their Neg Prisoners [Hon] ≤ ?	burnt all [the Baymen’s] Habitations	Sp Gov orders exp of Baymen by 31 Jan 31 ≤ 20 Oct 35	seized all logging tools		vars	
24 Mar 1731	Assault	Spanish	Sailors	Glover’s		several killed [of 30 Men … [and] some Women]	John & Jane [18 gun] ship seized							Daily Journal 3345 London 1731 p ?	
30 Apr 1736	Outbreak		"Baymen, Sailors"	Bay of Hon	Diphtheria [?]	abundance of Bay-Men have died … as well as those belonging to the vessels								New-York Weekly Journal 203 NYC 1737 p 3	
15 Apr 1737	Assault	Spanish	Loggers	Belize R.			burnt abundance of Logwood							New-England Weekly Journal 532 Boston 1737 p 2	
22 Oct 1739	Raid	Spanish	Sailors	Bay of Hon	War of Jenkins’ Ear		6 small Brigs seized = c 6*3000L loss							"vars, inc G.L. Rossano Down to the Bay jstor.org/stable/43460260"	
13 Aug 1747	Raid	Spanish	Loggers	Belize R.			taken sev Ships							vars	
10 Jul 1751	Assault	Spanish	Baymen	New R.			"took 18 Flatts, 7 sloops [New, Belize R]"	Eng taken by them are 129 [likely released unclothed at Mosq]						"Boston Gazette 16431 Boston 1751 p 2
New-York Mercury 16 NYC 1752 p 2"	
18 Apr 1752	Outbreak		Baymen	Bay of Hon	Measles [?]	left sev Vessels without Hands … two [women] left in the whole Bay								Covent-Garden Journal 31 London 1752 p ?	
1 May 1752	Crisis			Hon	Mass evacuation of 1752		"most of the Bay-men at Mosq = min 40, being daily routed by the Spaniards, about five Families left in the Bay ≤ 15 Sep 54"							"New-York Mercury 16 NYC 1752 p 2
Boston News-Letter 2757 Boston 3 Apr 1955 p 2
Boston Gazette 102 Boston 10 Dec 1954 p 3
Boston News-Letter 2772 Boston 21 Aug 1955 p 2, 3
"	
1 Sep 1752	Raid	Bracall Men	Slaves	Bay of Hon	Bracall abduction		19 slaves imprisoned	drove Mr. Wells into the Bushes for 3 Days						New-York Mercury 16 NYC 1752 p 2	
24 May 1754	Assault	Spanish	Baymen	Belize R.	Battle of Old R.		300 Spaniards came by Land … were repulsed and obliged to withdraw by the Attack of only 100 of the Inhabitants	"ransacked [Mr. Wells] of Provisions, Money, Plate, &c. to a considerable Value"						"Antigua Weekly Register XV 759 St. John’s (Antigua & Barbuda) 1818 p 4
Boston Evening-Post 987 Boston 29 Jul 1954 p 2
Boston News-Letter 2715 Boston 18 Jul 1754 p 7
New-York Mercury 100 NYC 8 Jul 1854 p 2, 3"	
2 Sep 1754	Raid	Spanish		Belize R.			[likely] sacked Belize R.	Expelled baymen ≤ 12 Apr 55	Number of Vessels … taken					vars	
19 Nov 1758	Crisis			Bay of Hon	Mass evacuation of 1758		Evacuation ≤ 24 Oct 59							Pennsylvania Gazette 1568 Philadelphia 1759 p 3	
24 Oct 1759	Assault	Spanish	Baymen	Bay of Hon			seized sev loaded Flatts	carried off a number of white People and Neg						Pennsylvania Gazette 1628 Philadelphia 1760 p 3	
29 Dec 1763	Crisis	Spanish	Baymen	"New, Hondo R."	New & Hondo R Expulsions		"≥ 20 gangs expelled fm New, Hondo"	"Property loss = 26,794 L"	Redress costs = 303 L				"CO 5/119 ff 94, Lon Gazette 10456, Lon Gazette 10530"		
31 Aug 1765	Riot	Slaves	Slave owners	New R.	Mr. Cook’s Slaves’ Revolt	Mr. Cook … [and] three Eng seamen killed … sev of the mutineers hanged	stopped trade on New R. ≤ 11 Feb 65	10s [JL likely] per day for bounty hunters	10t Log for every slave [mutineer?] brought in					"Newport Mercury 368 Newport (RI) 23 Sep 1765 p 3
Gazetteer and New Daily Advertiser 11 431 London 1765 p ?
Gazetteer and New Daily Advertiser 11 518 London 1766 p 2"	
1 Dec 1768	Crisis		Loggers	Hon	Crash of logwood prices 1768-1772		not above 5 or 6 Sails of Ships loaded at a time [St. Georges in 1770] vs 40 to 75 Sail of Ships loading continually in the Bay [likely 1764-66]							"D.M. McJunkin Logwood 1991 [UCLA thesis] p 145
G.F. Joseph British Loggers and Spanish Governors 1974 p 35
A. Bowett English Mahogany Trade 1996 [Brunel U. thesis] p 156"	
31 Aug 1770	Assault	Spanish	Baymen	Ambergris		sev baymen killed	destroyed all the mahogany	burnt sev sm Houses						General Evening Post 5757 London 1770 p ?	
6 Mar 1772	Assault	Spanish	Sailors	Glover’s										London Evening Post 6915 London 1772 p ?	
6 Dec 1772	Crisis	Baymen	Spanish	St. George’s	Thetis affair	?							CO 5/120 ff 231-63	"Pennsylvania Journal, or, Weekly Advertiser 1593 Philadelphia 16 Jun 1773 p 3"	
28 May 1773	Riot	Slaves	Slave owners	"Belize, New, Hondo R"	General Slave Revolt of 1773	6 white men killed … 1 revolt leader [likely] fatally wounded … 1 Bayman murdered by Baymen [St. George’s] in chaos … ? [slaves] killed	300 white men sent after insurgents on 1 Jun … 22 or 23 insurgents at first … about 50 insurgents on 21 Jun	there will be very little wood shipped from hence [Hon] this year … These disturbances will put a stop to business	several Neg in New taken to the bush	most people threaten to leave the country	plundered 1 Flat [Hondo] … great number of Neg have robbed their Masters & fled		CO 5/120 ff 47-51; 192-4	Rivington’s New York Gazetteer 16 NYC 5 Aug 1773 p 3	
30 Nov 1773	Assault	Maya	Loggers	Bay of Hon		massacred numbers								Middlesex Journal 730 London 1773 p 4	
2 Mar 1775	Assault	Spanish	Baymen	Bay of Hon		many baymen killed								London Evening Post 8258 London 1775 p ?	
19 Apr 1775	Raid	Americans	Sailors	?	American Revolution		?						NDAR 5 p 74	Naval Documents of the American Revolution 5-? Washington 1986-2019	
12 Sep 1777	Crisis	Americans	Baymen	St. George’s	Gen. Washington affair		1 Principal Inhabitant was retained as a hostage for the safe return of Commander Hezekiah Anthony	"[Anthony demanded] some Rum … and a pilot to carry him to Sherboon R [which, in case of refusal or opposition would lay their Habitation in ashes]"	3 brigs made prizes from R Sherboon … carried off 40 men	Anthony informed us [Baymen] he meant to make our harbor a place of Rendezvouze … we are now in the most distressful situation immaginable	We have … [hired] a Vessel at a very Considerable expence to give You [Vice Adm Jam] the earliest intelligence possible of this affair	Trade is rather at a Stand [1 Nov 77] ≤ 14 Jan 78	"NDAR 10 p 79, 372, 399"	"K. H. Breuer Colonies of happenstance [UT Arlington thesis] 1993 p 116
W.J. Morgan Naval Documents of the American Revolution 7 Washington 1986 p 237"	
2 Jun 1779	Assault	Spanish	Baymen	"St. George’s, R. Tinto, Hon"	Great Sp routing of 1779		95 to 100 imprisoned ≤ 31 Jul 82	"[baymen] deliver[ed] up our negroes, our money and our plate"					Lon Gazette 12040	vars	
16 Oct 1779	Assault	English; Baymen	Spanish	Omoa	Siege of Omoa								CO 5/237 ff 187-202	vars	
1 Jul 1784	Outbreak		Settlers	New R.	Distemper	proved fatal to many [New]								London Chronicle 4412 London 1785 p 7	
1 Jul 1784	Flood			New R.			?							London Chronicle 4412 London 1785 p 7	
16 Jul 1787	Crisis	Baymen	Government	Belize T.	Col. Despard affair		"Courts dissolved, Magistrates deprived of office on 30 May 89"	Plan of Police leads to state of anarchy ≤ 30 Sep 89 to ≤ 10 Nov 89	riots very common [likely by Shoremen] c 24 Jul 87				?	"A. Bowett English Mahogany Trade 1996 [Brunel U. thesis] p 170
Morning Chronicle 5680 London 1787 p ?"	
31 Jan 1788	Outbreak			Bay of Hon	Measles [?]	"50 white people dead, and a much greater number of negroes"								New-York Morning Post 1215 NYC 1788 p 2	
15 Jul 1792	Flood			Belize T.		many negroes perished	2 m [superficial?] ft mahogany lost							"Times 2530 London 1793 p 3
??? Monthly Magazine 7 London 1799 p 286"	
28 Dec 1793	Assault	Maya	Baymen	Hon		"1 Bayman shot, 4 raiders killed"	party of 70 people mustered and went against the enemy							Whitehall Evening Post 7135 London 1794 p ?	
11 Feb 1797	Crisis		Baymen	"St. George’s, Hon"	Spanish assault fears		martial law declared 11 Feb 97 [stopping all activities] ≤ 10 Sep 98							vars	
20 Sep 1797	Outbreak		Irish Brigade	St. George’s [likely]	Irish Brigade’s yellow fever	23 men die within weeks of arrival							Cmd. 7533 p 224	P.J.C. Elliot-Wright Officers of the Irish Brigade 1997 [U. Leeds thesis] p 246	
10 Sep 1798	Assault	Spanish	Baymen	St. George’s	Battle of St. George’s									vars	
25 Sep 1808	?				Spanish American Wars of Independence		?							?	


> 1820: Table 1
	Type	By	On	At	Name	L	P	P	P	P	P	P	P	P		Cf	Cf		
30 May 1823	Outbreak		Refugees	Belize T.	Poyais scheme	many persons have died	"4290L … spent in rescuing, nursing, feeding and clothing [Poyais victims]"										vars		
31 Mar 1824	Assault	Pirates	Sailors	Hon	Mr. Jeykill’s schooner massacre	crew of one schooner murdered	burnt one schooner belonging to Mr. Jeykill										Jamaica Journal II 5 Kingston 1824 p 15		
27 Jan 1827	Crisis		Loggers	Hon	Mah depression 27-34		"London Mah prices
0.1.1(1/2) to 0.1.4 p ft Jul 26
0.0.8 to 0.0.9 p ft Jan 27"	?									"Honduras Gazette and Commercial Advertiser I 1 Belize City 1 Jul 1826 p 4
Honduras Gazette and Commercial Advertiser I 28 Belize City 6 Jan 1827 p 8"		
11 Aug 1830	Outbreak		HMS Blossom	Belize T.	Yellow fever	"2 officers, 8 men died"	48 cases treated at garrison in Belize harbour									CP 1473 p 200			
6 Sep 1836	Outbreak		"Immigrants, Residents, Maya"	"Belize T., Hon"	Havana’s Cholera	c 400 died	fm Aug 36 shipment of liberated slaves fm Havana									CP 568—I p 74			
30 Jun 1847	Assault	Maya	Spanish	Yucatan	Caste War of Yucatan	"2 Sp in Hon abducted across Hondo by Maya [Jun 48] … [Sp Mex] Parties cross Hondo [fm Hon] at night to massacre some outpost of their enemies … 16 fm Hon abducted by Maya [17 Feb 58], killed at Bacalar 4 Mar 58"	"c 5 and 6,000 in 1855 … c 8,500 in 56 … c 8900 refugees, min. 18 new hamlets by 1857 … c 12,500 by Jan 1858 … c 17,500 by May 1858 … c 23 or 24,000 by 1859 [err likely] … 13,547 in 1861 Census"	min. $1544.20 for pursuit of offences / crimes by aliens in 1858	"3 constable, 1 Magistrate appt for North etc Jul 50"	trade w Yucatan down 1848-54	"Albion Island (OW) invaded by Mex [likely sacked] May 50 … Corozal T. invaded by Maya [fm Mex, likely sacked] 1 May 61"	Crisis / panic in Corozal T. over fears of assault 5 Mar 58 to 17 Apr 58 [likely]	"arms trade w Santa Cruz + Icaiche 47-55, w Santa Cruz 60-70 …

cien arrobas de pólvora y dos mil fusiles eg in 48

79 arrobas pólvora, 16 de plomo, y oras mercancias eg 49 by Austin W. Cox [prin inhabitant]"	warehouses est in Bacalar by Hon residents … to supply Indians in 49	Crew of 3 Neg of Four Sisters schooner seized in Hon R. and imprisoned & charged under strict military law … in 48	CP 2567 p 47; CP 2711 p 3	"vars, 
Siglo Diez y Nueve IV [Época] 208 Mex City 26 Dec 1848 p 4
Universal II 350 Mex City 31 Oct 1849 p 3
Siglo Diez y Nueve VIII 1908 Mex City 17 Mar 1854 p 1
Paetzold, C. (1994). The british participation in the caste war of yucatan, 1847-1901."		
2 Feb 1851	Crisis		Merchants	Hon	Guatemalan Battle of La Arada		"c / min. 550 refugees from Goat / Sp Hon, min. 1 new hamlet by 1857 … 2,346 by 61"	"trade w CA down 1848-54 = 
100,000L in 48
99,846L in 52"								CP 2567 p 47; CP 1693 p 40	?		
31 Oct 1852	Flood			Belize T.		"nine lives lost, and a great many missing"	thousands of cattle have been drowned	immense amt of property destroyed									Weekly Herald XVI 49 NYC 1852 p ?		
15 Jan 1854	Outbreak		Residents	Belize T.	Cholera	about 300 have died	public schools converted to hospitals									"CP 568—I p 74, Sir J.A. Burdon Archives 3 p 174"	vars		
13 Aug 1854	Fire			Belize T.	Great Fire of Mr. Dieseldorff	1 soldier died fm gunpowder explosion	c 90000 to 100000L damage = 100 houses and stores destroyed [inc merch]	considerable plunder [of stores] by populace during fire								"CP 2050 p 35
Sir J.A. Burdon Archives 3 p 179"	"vars
Universal XII 246 Mex City 1 Nov 1854 p 3"		
1 Mar 1856	Crisis				Central American Walker affair / Filibuster War		?									CP 2711 p 3	New York Herald 7259 NYC 1856 p 8		
17 Jul 1856	Fire			Belize T.	Mr. G.R. Ambrister’s fire		c $500000 loss = 50 houses destroyed	"min. 4,725L Sterl Pub Works [56]"								CP 2403 p 11	vars		
17 Jul 1856	Crisis			Belize T.	Arsony Fears											CP 2403 p 14	?		
21 May 1857	Outbreak		Creole	Belize T.	Smallpox	is very bad … confined to the lowest classes											New York Herald 7591 NYC 1857 p ?		
30 Jun 1859	Crisis			Belize T.	Financial crisis on collapse of 2 (of 5) leadg mahogany houses 1859-60		"speculation was completely paralyzed … [mah house failures] involved sev families in much temporary misery … c 1,584L re-routed to Govmt bank + c 4,000L to Govmt debentures for Yarboro Bridge"	price of labour fell	"as the usual amt of money was not in circulation, the shopkeepers suffered in proportion"	"Imp in 59 down 32,615L … Exp 92,216L"						CP 2841 p 12	?		
7 Feb 1860	Outbreak			"Belize T., Corozal"	Yellow fever	57 deaths	min 32 treated in hospital in 1861 [c 110 total?]									CP 2955 p 9	Times-Picayune XXIV 198 New Orleans 1860 p ?		
7 Mar 1861	Raid	Maya	Loggers	Hondo R.	Hondo raid fm Bacalar		sustrajo de varios establecimientos de cortes … cometiendo otras tropelías	superintendent sent 6-man commission / committee to Bacalar to get stolen property … imprisoned 5 days	Maya flee Bacalar … trade sanctions imposed for Maya ≤ 23 Aug 61	30 quarter barrels gunpowder to Santa Cruz eg in early 60s … seized by Icaiche							"Siglo Diez y Nueve II 183 Mexico City 16 Jul 1861 p 4
Siglo Diez y Nueve II 221 Mexico City 23 Aug 1861 p 3"		
11 Jul 1861	Crisis	Maya	Residents	Corozal T.		"1,000 Maya soldiers camping on Hondo R."	house burnt in Cor T. … [while] se oyó mucha grita de indios en sus inmediaciones	Supt asked for backup fm Jamaica									Siglo Diez y Nueve II 183 Mexico City 16 Jul 1861 p 4		
10 Mar 1863	Fire			Belize T.	Great mango tree fire		400 to 500 houses destroyed … remaining 1/3 houses in Southside saved by lg mango tree	"was deemed necessary to improve the site occupied by the buildings which were consumed … [= S of Belize Improvement Commissioners] = min $25,000 sum ≤ 26 Aug 65"									"vars
Colonist II 35 Belize City 26 Aug 1865 p 2
New era, and British Honduras Chronicle I 11 Belize City 18 Mar 1871 p 1
Colonial Guardian I 18 Belize City 6 May 1882 p 2"		
13 Aug 1863	Riots	Soldiers	Residents	Belize T.	West India Regiment Riots	min 2 dead	Constable Mr. Burke & sev others bayonetted										New York Herald ? NYC 1863 p ?		
