< 1820: Table 1
Start	End	Type	By	On	At	Name	L	P	P	P	P	P	P	P	State	Burney	Press	Academic	Cf
15 Apr 88	15 Apr 88	Assault	Spanish	Buccaneers	Gulf of Hon	Buccaneers’ battle	lost nine men	700 men attacked 83 buccanneers									https://gallica.bnf.fr/ark:/12148/bpt6k64416791/f304.image.r=Honduras?rk=107296;4 		
15 Apr 01	15 May 01	Assault	Spanish	Loggers	Coast of Hon	Sp descent of 1701		burnt Houses	drove away the People							GALE|Z2001376136	 		
15 Jun 18	15 Jun 18	Assault	Pirates	Sailors	Coast of Hon	Blackbeard’s Caesar assault		attacked and burnt 400 t ship								GALE|Z2001342325			??? A. B. State of the island of Jamaica London 1726 p 15
10 Jan 22	10 Jan 22	Assault	Pirates	Sailors	Bay of Hon	Capt. George Lowder’s assault		destroyed the Bay	"burnt 8 Vess [1 ship, 2 brigs, 4 sloops] … and all the Wood laid up there"	the Greyhound ship [Bos] made a stout resistance … her Men barbarously used	min. 1 man forced into service by Lowther [Capt. Charles Harris] for near 10 months					"GALE|Z2001344843
GALE|Z2001372211
GALE|Z2001588001
GALE|Z2001598233"			
09 Mar 23	09 Mar 23	Assault	"Spanish, Pirates"	"Sailors, Spanish"	Bay of Hon	Capts. Loe & Lowder’s massacre	c 45 to 53 Spaniards put to Sword … killed one Benja. Wickham … who lay Sick of the Small Pox	"seized 7 or 8 Eng Sloops, c upwards of 20 Sail"	the Men [of seized Sloops] were taken … as slaves	drove the People … from their Settlements	min 3 Sloops’ worth Logwood seized					"GALE|Z2000206697
GALE|Z2001394923
GALE|Z2001053060
GALE|Z2000266249
GALE|Z2001597842"	"Boston News-Letter 1007 Boston 1723 p 4
Boston News-Letter 1079 Boston 1724 p 1"		??? A. B. State of the island of Jamaica London 1726 p 15
15 Apr 24	15 Apr 24	Raid	Spanish	Loggers	Bay of Hon	Sp. Man-of-War surpise		Burrel seized	"c 7 or 8 to 14 or 15 sloops / craft with all cargo seized … min. 2 sloop escaped [Merriam, Shallop] "	"Men when taken, were sent as Slaves to work in the Spanish Mines during life"						"GALE|Z2000266921
GALE|Z2001053062
GALE|Z2000122736
GALE|Z2000267001
GALE|Z2001373336"			
15 Sep 24	15 Sep 24	Assault	Pirates	Sailors	Bay of Hon	Capt. Spriggs’s assault	"HM Man-of-War Diamond killed c 6 pirates, mortally wounded 5 or 6 more"	took 10 or 12 Eng Ships … recovered by HMS [likely w crew]	most of min. 1 sloop’s men taken after HMS defence							"GALE|Z2000267588
GALE|Z2000207604
GALE|Z2000123235"			
23 Dec 24	23 Dec 24	Assault	Pirates	Sailors	Bay of Hon	Capt. Shipton’s assault	1 sailor / pirate killed	John & Mary ship plundered	Capt. detained	mutiny against pirates by two enslaved Eng sailors						GALE|Z2000208080			
02 Mar 25	02 Mar 25	Assault	Pirates	Sailors	Bay of Hon	Capts. Spriggs & Shipton’s assault		"taken 16 Sail, destroyed one"	"HM MoW recovered 3,000L fm Shipton"							GALE|Z2000786052			
16 Dec 28	16 Dec 28	Raid	"Spanish, Pirates"	Sailors	Bay of Hon	Sp. & pirates’ assault		"taken 6 Eng Ships and Sloops, inc Will. & Elizabeth, Kidder"								"GALE|Z2000246523
GALE|Z2000247047"			
15 Jul 29	15 Jul 35	Assault	Spanish	"Baymen, Sailors"	Bay of Hon	Great siege & routing of 1729-35	"[Bay, 31] 2 killed in John & Jane

"	"[New, 29] taken all vessels ≥ 1 ship, 2 brig, 2 sloops

[Bay, 30] taken all sev vessels + brig

[Bay, 31] taken Ships, Sloops inc Frances, Mary, Essex, John & Jane, etc

[Bay, 32] sev ships taken

[Bay, 34] Sp seize Bay, sev vessels taken

= c 140 Vessels throughout"	"[New, 29] burnt … about 12 to 16,000 Tons of Wood / c 300,000 quintals Logwood ready cut and piled"	"[New, 29] carried of about 30 White Men
 
"	"[New, 29] burnt all Habitations, seized logging tools"	"[Bay, 30] Burrow, Baymen fight Sp

[Bay, 31] John & Jane fight Sp, 6 wounded, 9 imprisoned

[Bay, 34] Dursey fight Sp

[Bay, 37] Sp enter Bay, Baymen have built fort"	Forced evacuation by 31 Jan 32 ≤ 20 Oct 35			"GALE|Z2000248931
GALE|Z2000252377
GALE|Z2001242711
GALE|Z2001387498
GALE|Z2000250215
GALE|Z2000250271
GALE|Z2000133505
GALE|Z2000251058
GALE|Z2000632515
GALE|Z2001496196
GALE|Z2000253179
GALE|Z2001496194"	"Boston News-Letter 1497 Boston 1732 p 1
Boston Gazette 824 Boston 1735 p 3
New-England Weekly Journal CCXXVII Boston 1731 p 2
Weekly Rehearsal 107 Boston 1733 p 2
New-York Weekly Journal LXVIII NYC 1734 p 4"		
22 Oct 35	22 Oct 35	Raid	Spanish	Sailors	New R.	Sp. pettiaugers		2 vessels seized	min 1 vessels crew marooned … min 1 vessels crew carried off	"Capt. Cranston pursues, recovers 2 vessels"									
26 Apr 37	18 Jan 38	Assault	Spanish	"Baymen, Sailors"	Hon	Sp. Flota siege of 1737	3 killed	"took frigate Harle … six or seven other small vessels taken [Apr] … upwards of 20 Sail [sum?] … 2 sloops, 2 craft taken [Aug]"	"smart Engagement … [Aug] took one William Reeves living in the Bay, with two of his Neg"	burnt abundance of Log that was landed at Keys … min 26 t Wood taken [Aug]	Destruction happened	Provisions exceedingly scarce in Bay Apr ≥ Sep							
15 Mar 37	???	Outbreak		"Baymen, Sailors"	Bay of Hon	Diphtheria [?]	abundance of Bay-Men have died … as well as those belonging to the vessels										New-York Weekly Journal 203 NYC 1737 p 3		
15 Feb 39	01 Mar 39	Raid	Spanish	Sailors	"Bay of Hon, Turneffe"		"Cap Collis, 2 sailors killed"	Capt. Gwynn vessel taken … 1 sloop taken	crew of seized sloop imprisoned										
22 Oct 39	18 Oct 48	Raid	Spanish	Sailors	Bay of Hon	War of Jenkins’ Ear	"1 shipmate killed [40, friendly fire?] … 1 Capt. dies fm fatal wounds … 1 Capt. killed … 1 passenger dangerously wounded … 1 mate of Wickham killed … 1 of Burchel [41]"	"6 small [Baymen’s] Brigs seized = c 6*3000L loss

sev seized in Bay"	crews of seized sails [likely] imprisoned … some marooned on cayes	wounded 2 or 3 men [Wick]	"[Aug 40] 100 Mos take pretty rich town called Shasoon, near Bateloe

Baymen help Gov Hudson w siege / attack on Panama [Jun 42]"	"Sp take New R., likely Old R. later [Sep 45] ??? Or part of scheme"					"Boston News-Letter 1899 Boston 1740 p 2
Boston News-Letter 1930 Boston 1741 p 1
Boston News-Letter 1948 Boston 1741 p 1
Boston News-Letter 2022 Boston 1742 p 1
Boston News-Letter 2091 Boston 1744 p 2"	jstor.org/stable/43460260 p ?	
05 Oct 43	???	Crisis?	Baymen			Baymen’s scheme of 1743		"Baymen have contracted with the Hope’s in Holland … by Mr. Murphy’s advice … all the Bay-Men have met together, and have obliged themselves to deal with none but these Gentlemen"	"There is no Dependance of any [NE] Vessels getting Wood after Christmas [43], only Debts that are due, or Vessels that belong here"								Boston Evening-Post 440 Boston 1744 p 4		
07 Mar 50	???	Outbreak		Baymen	Bay of Hon	Fever & ague		"makes it impossible to cut Log, notwithstanding there are actually bw 30 and 40 Vessels there waiting"											
06 May 50	07 Oct 50	Assault	Spanish	"Sailors, Baymen"	"New, Belize R."	Sp. siege of 1750	1 of Capt. Heysham’s men killed [May 50]	"Capt. Kattur, 20 men, 3 women passengers imprisoned, sent to Havannah [late May 50]"	Baymen … went after the galley [7 Jun]	"Oswego seized off Rattan [Jul 50]

no less than 7 Eng vessels sent to Havannah [May to Sep 50]"							Pennsylvania Gazette 1127 Philadelphia 1750 p 2		
10 Jul 51	17 Jul 51	Assault	Spanish	Baymen	New R.	Sp sm flota attack		"took 18 Flatts, 7 sloops [New, Belize R]"	Eng taken by them are 129 [likely released unclothed at Mosq]	Sp are bldg fort at Rat … to intercept all Ships							"Boston Gazette 1643 Boston 1751 p 2
New-York Mercury 16 NYC 1752 p 2
Boston News-Letter 2559 Boston 1751 p 2"		
15 Nov 51	???	Outbreak		Baymen	Bay of Hon	Measles [?]	left sev Vessels without Hands … two [women] left in the whole Bay									GALE|Z2000139184	Boston Gazette 1659 Boston 1751 p 2		
25 Dec 51	09 Jan 52	Assault	Spanish	Baymen	"Belize R., Water Caye"	Sp Flota attack & evacuation of 1751		H. Stevenson in brig taken … returned	Eng form line of Battle … [Sp] Attack with great Vigour	"the Fleet, as well as the Baymen, being in great want of Provisions and other Necessaries, it was resolved … to quit the Bay in one Day"	"Fleet, 37 in number, quit … of the whole Fleet, but 4 or 5 of the smaller Vessels were loaded, and many had hardly a proper Set of Ballast in"								
20 Jun 52		Assault	Spanish	Baymen	Belize R.	Great siege & routing of 1752-?		"ten armed Crafts [fm Sp] … carried off all Neg belonging to the Eng

F McDonald imprisoned [early Sep 52]"	[loss of Neg] obliged most of the Heads of the Bay to depart	"3 Eng Voss left in Bay [3 Aug]

Sp cruising Jun ≤ Sep 52"									
																			
																			
																			
02 Aug 52		Assault	Spanish	Sailors	Hon		1 mate killed	3 men imprisoned	6 craft seized								Pennsylvania Gazette 1248 Philadelphia 1752 p 2		
01 Sep 52		Raid	Bracall Men	"Slaves, Baymen"	Bay of Hon	Bracall abduction		19 slaves imprisoned	drove Mr. Wells into the Bushes for 3 Days								New-York Mercury 16 NYC 1752 p 2		
30 Jan 53		Assault	Spanish	Sailors	English Caye	Sp vs Capt Conaway	3 Men killed … and one Woman	several wounded	"[ship of 14 Guns, 27 Men, likely seized]"								"Pennsylvania Gazette 1265 Philadelphia 1753 p 2
Pennsylvania Gazette 1274 Philadelphia 1753 p 2"		
