Intro: Table 1
								
0	0	0	work					
				we want to measure discordance and ambiguity within historical literature				
			data					
				working material for inclusion are				
				published				
				in eng or span				
				after 1570				
								
			note					
				Bay of Hond demarcated fm cape catoche to cape hond				
								
								
			data needed					
				on non-Sp non-Fr piracy in Bay 16th cent 17th cent 18th cent				
				on smuggling in Bay 16th cent 17th cent				
				maybe only peer reviewed authors				


SH: Table 1
	LCSH	STRING	URL			
	LCSH - Authorised - Geographic	Mosquitia (Nicaragua and Honduras)	https://id.loc.gov/authorities/subjects/sh85087473			
		"Fortaleza de San Fernando (Omoa, Cortés, Honduras)"	https://id.loc.gov/authorities/subjects/sh89002834			
		"Honduras, Gulf of"	https://id.loc.gov/authorities/subjects/sh85061838			
		Guanaja Island (Honduras)	https://id.loc.gov/authorities/subjects/sh93000228			
		Atlantic Coast (Honduras)	https://id.loc.gov/authorities/subjects/sh90003377			
		Utila Island (Honduras)	https://id.loc.gov/authorities/subjects/sh97000892			
		Trujillo Bay (Honduras)	https://id.loc.gov/authorities/subjects/sh95007243			
		Yucatán Peninsula	https://id.loc.gov/authorities/subjects/sh85149425			
		"Hondo River (Guatemala, Mexico, and Belize)"	https://id.loc.gov/authorities/subjects/sh87000882			
		Saint George's Cay (Belize)	https://id.loc.gov/authorities/subjects/sh98002817			
		Sibun River (Belize)	https://id.loc.gov/authorities/subjects/sh2012004747			
		Amatique Bay (Belize and Guatemala)	https://id.loc.gov/authorities/subjects/sh2021001384			
		Belize River (Guatemala and Belize)	https://id.loc.gov/authorities/subjects/sh96005103			
		Atlantic Coast (Belize)	https://id.loc.gov/authorities/subjects/sh92002307			
		"Dulce River (Izabal, Guatemala)"	https://id.loc.gov/authorities/subjects/sh2018002768			
		Atlantic Coast (Guatemala)	https://id.loc.gov/authorities/subjects/sh96005709			
		"Campeche, Bay of (Mexico)"	https://id.loc.gov/authorities/subjects/sh85019218			
		Campeche Bank (Mexico)	https://id.loc.gov/authorities/subjects/sh2010015538			
		"Carmen Island (Campeche, Mexico)"	https://id.loc.gov/authorities/subjects/sh96008270			
		Caribbean Area	https://id.loc.gov/authorities/subjects/sh85020279			
		"Caribbean, English-speaking"	https://id.loc.gov/authorities/subjects/sh88005643			
		West Indies	https://id.loc.gov/authorities/subjects/sh85146187			
		Atlantic Coast (Central America)	https://id.loc.gov/authorities/subjects/sh85009177			
		"West Indies, British"	https://id.loc.gov/authorities/subjects/sh85146203			
	LCSH - Authorised - PH - Bodies of Water	"Honduras, Gulf of"				
		Trujillo Bay (Honduras)				
		Amatique Bay (Belize and Guatemala)				
		"Dulce River (Izabal, Guatemala)"				
		Sibun River (Belize)				
		"Campeche, Bay of (Mexico)"	https://id.loc.gov/authorities/subjects/sh85019218			
		"Mexico, Gulf of"	https://id.loc.gov/authorities/subjects/sh85084621			
		Caribbean Sea	https://id.loc.gov/authorities/subjects/sh85020308			
	LCSH - Authorised - Topic	Piracy	https://id.loc.gov/authorities/subjects/sh2006001424			
		Pirates	https://id.loc.gov/authorities/subjects/sh85102432			
		Privateering	https://id.loc.gov/authorities/subjects/sh85107056			
		Buccaneers	https://id.loc.gov/authorities/subjects/sh85017409			
		Smugglers	https://id.loc.gov/authorities/subjects/sh85123712			
		Smuggling	https://id.loc.gov/authorities/subjects/sh85123713			
		Belize question	https://id.loc.gov/authorities/subjects/sh85013016			
		Honduras mahogany	https://id.loc.gov/authorities/subjects/sh96007913			
		Mahogany	https://id.loc.gov/authorities/subjects/sh85079856			
		Mahogany industry	https://id.loc.gov/authorities/subjects/sh2003005202			
		Logwood	https://id.loc.gov/authorities/subjects/sh85078147			
		Logwood industry	https://id.loc.gov/authorities/subjects/sh93004965			
		Turtle fisheries	https://id.loc.gov/authorities/subjects/sh85138958			
		Sea turtle fisheries	https://id.loc.gov/authorities/subjects/sh95000578			
		Green turtle	https://id.loc.gov/authorities/subjects/sh85057230			
		Miskito Indians	https://id.loc.gov/authorities/subjects/sh85087475			


Guides: Table 1
SOURCE	TITLE	FIELD	LINK				
Oxford Bibliographies	Colonial Central America	Latin American Studies	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199766581/obo-9780199766581-0076.xml				
	Mahogany	Atlantic History	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0241.xml?rskey=G8BPBz&result=5&q=Belize#firstMatch				
	The Archaeology of Mesoamerica	Latin American Studies	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199766581/obo-9780199766581-0263.xml?rskey=G8BPBz&result=6&q=Belize#firstMatch				
	The Pre-conquest Mesoamerican States	Latin American Studies	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199766581/obo-9780199766581-0203.xml?rskey=G8BPBz&result=8&q=Belize#firstMatch				
	16th-Century New Spain	Latin American Studies	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199766581/obo-9780199766581-0021.xml?rskey=G8BPBz&result=13&q=Belize#firstMatch				
	Mesoamerican Archaeology	Anthropology	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199766567/obo-9780199766567-0194.xml?rskey=G8BPBz&result=14&q=Belize#firstMatch				
	Etc						


Works: Table 1
^^^	PROVENANCE	QUERY	INC DATES	INC LANG	LC	H	IMPRINT	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=0&bibId=21873148&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/99155753427503941/catalog	"Gainesville : University Press of Florida, [2021]"	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=2&bibId=20252672&searchType=7&resultPointer=0	^^^	"Baltimore, Maryland : Clearfield, 2017."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=3&bibId=18626572&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990143809240203941/catalog	"Bondy, France : Institut de Recherche pour le Développement (IRD) ; Belize : Cubola Productions, 2014."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=4&bibId=18342386&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990141664080203941/catalog	"Zürich : Lit, 2014."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=5&bibId=18627561&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990144536640203941/catalog	"Belize City, Belize : Fred Hunter, 2013."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=6&bibId=17385899&searchType=7&resultPointer=0	^^^	"Kingston, Jamaica : University of the West Indies Press, c2011."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=7&bibId=16721854&searchType=7&resultPointer=0	^^^	"Bloomington, IN : AuthorHouse, c2010."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=8&bibId=16427951&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990127044740203941/catalog	"Guatemala, América Central : [s.n.], 2009"	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=9&bibId=16700739&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990120441850203941/catalog	"Benque Viejo del Carmen, Belize : Cubola Productions, 2008."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=10&bibId=15647510&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990121645320203941/catalog	"Benque Viejo del Carmen, Belize : Cubola Productions, 2007-"	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=11&bibId=14473696&searchType=7&resultPointer=0	https://hollis.harvard.edu/permalink/f/1lqd3jo/01HVD_ALMA512222071960003941	"Lincoln : University of Nebraska Press, c2007."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=12&bibId=13834184&searchType=7&resultPointer=0	^^^	"Salem, Or. : Dimi Press, c2005."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=13&bibId=14797595&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990098561820203941/catalog	"Benque Viejo del Carmen, Belize : Cubola Productions ; Barbados : University of the West Indes Press, 2003."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=14&bibId=13773231&searchType=7&resultPointer=0	^^^	"[Lawrence : Dept. of Anthropology, University of Kansas], c2003."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	https://catalog.loc.gov/vwebv/holdingsInfo?searchId=102&recCount=25&recPointer=15&bibId=12189221&searchType=7&resultPointer=0	http://id.lib.harvard.edu/alma/990085123990203941/catalog	"Belize City, Belize : Tropical Books, c1999-<c2000 >"	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	^^^	http://id.lib.harvard.edu/alma/99154054529903941/catalog	"Cambridge, United Kingdom ; New York, NY : Cambridge University Press, 2020."	^^^	^^^	^^^
^^^	LCSH cat query 8 Jul 2022	Belize--History	2022-2000	All	^^^	http://id.lib.harvard.edu/alma/99154202019403941/catalog	"Belize, City : Image Factory Art Foundation, April 2018."	^^^	^^^	^^^
