Cust Jamaica: Table 1
	Start	End	In	Log	p	for	Note		Start	End	Period	Value	Sum	Hon	Not Hon Not Camp	Sum	Camp	Hon	Other			
1	29 Sep 1685	25 Mar 1686	1	40	h				29 Sep 1685	25 Mar 1686	25w 2d	40	40	40		40	0	40	0			
10	25 Mar 1686	24 Jun 1686	1	14					25 Mar 1686	24 Jun 1686	13w	14	42			42	42	0	0			
				13					24 Jun 1686	29 Sep 1686	13w 6d	13				0	0	0	0			
				15					29 Sep 1686	25 Dec 1686	12w 3d	15				179.5	160	19.5	0			
14	24 Jun 1686	29 Sep 1686	1						25 Dec 1686	25 Mar 1687	12w 6d	0	0			106	66	40	0			
17	29 Sep 1686	25 Dec 1686	1	160					25 Mar 1687	25 Jun 1687	13w 1d	160	179.5	19.5		0	0	0	0			
				10	h		est		25 Jun 1687	29 Sep 1687	13w 5d	10				0	0	0	0			
				9.5	h		"est, plus 100 ? hauts ?? img19"		29 Sep 1687	25 Dec 1687	12w 3d	9.5				35	0	35	0			
21	25 Dec 1686	25 Mar 1687	1	40	h		plus 7 bags pimento		25 Dec 1687	25 Mar 1688	13w	40	106	40		307	24	283	0			
				50			est		25 Mar 1688	24 Jun 1688	13w	50				85	20	65	0			
				16					25 Jun 1688	24 Sep 1688	13w	16				125	125	0	0			
26	25 Mar 1687	25 Jun 1687	1						16 Sep 1689	25 Dec 1689	14w 2d	0	0			95	95	0	0			
34	25 Jun 1687	29 Sep 1687	1						25 Dec 1689	25 Mar 1690	12w 6d	0	0			130	130	0	0			
38	29 Sep 1687	25 Dec 1687	1	35	h				25 Mar 1690	25 Jun 1690	13w 1d	35	35	35		0	0	0	0			
47	25 Dec 1687	25 Mar 1688	1	12					24 Jun 1690	29 Sep 1690	13w 6d	12	307	283		10	0	0	10			
				30	h				29 Sep 1690	25 Dec 1690	12w 3d	30				20	0	20	0			
				28	h		est		25 Dec 1690	25 Mar 1691	12w 6d	28				0	0	0	0			
				150	h				25 Mar 1691	25 Jun 1691	13w 1d	150				0	0	0	0			
				35	h				25 Jun 1691	29 Sep 1691	13w 5d	35				0	0	0	0			
