Cust Jamaica: Table 1
	King?	Q end	Start OS	End OS	In	Log	p	img	Date OS	Name	for	Note								
1			29 Sep 1685	25 Mar 1686	1	40	h	4	14 dec 1685	"Success, 30t barque, of Jam"										
10			25 Mar 1686	24 Jun 1686	1	14		11	19 Apr 1686	"?, 14t sloop, of Jam"										
						13		11	21 apr 1686	"?, 7t barque, of Jam"										
						15		13	31 may 1686	"Endeavour, 15t sloop, of Jam"										
14			24 Jun 1686	29 Sep 1686	1															
17			29 Sep 1686	25 Dec 1686	1	160		17	16 oct 1686	"Swallow, 120t pink, of Jam"										
						10	h	18	20 nov 1686	"Sherlota, 10t brig, of Jam"		est								
						9.5	h	19	21 dec 1686	"Primrose, 10t sloop, of Jam"		"est, plus 100 ? hauts ?? img19"								
21			25 Dec 1686	25 Mar 1687	1	40	h	22	20 jan 1686	"Ann, 40t brig, of NY"		plus 7 bags pimento								
						50	Treece	22	24 jan 1686	"Dolphyn, 50t ketch, of Jam"		est								
						16	Treece	23	25 feb 1686	"Phillip & Martha, 16t sloop, of Jam"										
26			25 Mar 1687	25 Jun 1687	1															
34			25 Jun 1687	29 Sep 1687	1															
38			29 Sep 1687	25 Dec 1687	1	35	h	40	1 nov 1687	"Dove, 35t ketch, of Jam"										
47			25 Dec 1687	25 Mar 1688	1	12		49	3 jan 1687	"Prosperouse, 12t ketch, of Boston"										
						30	h	50	10 jan 1687	"Friendshipp, 30t ketch, of Bos"										
						28	h	51	23 jan 1687	"?, 28t sloop, of Jam"		est								
						150	h	51	2 feb 1687	"150t brig, of Lon"										
						35	h	52	4 feb 1687	"35t ketch, of NE"										
						12		52	7 feb 1687	"12t sloop, Jam"										
						40	h	54	7 mar 1687	40t pink NE		est								
57			25 Mar 1688	24 Jun 1688	1	20	h	57	16 apr 1688	20t sloop Jam										
						45	h	58	25 apr 1688	45t brig of Youghall										
						20		60	28 may 1688	20t ketch Jam										
63			25 Jun 1688	24 Sep 1688	1	40		69	16 aug 1688	"40t barque, Eng"										
						15		70	3 sep	15t sloop jam										
						25		70	10 sep	30t barque jam										
						45		71	15 sep	45t barque jam										
74			16 Sep 1689	25 Dec 1689	1	70		75	19 nov	70t brig lon										
						25		75	22 nov	25t ketch jam										
																				
78			25 Dec 1689	25 Mar 1690	1	35		79	22 jan	35 brig bos										
						15		79	25 jan	35 brig jam										
						80		81	21 Feb	80 pink jam										
																				
																				
																				
83			25 Mar 1690	25 Jun 1690	1															
88			24 Jun 1690	29 Sep 1690	1	10	carolina	91	25 sep	15t ketch bermuda										
93			29 Sep 1690	25 Dec 1690	1	20	h	96	16 dec	20t barque jam										
98			25 Dec 1690	25 Mar 1691	1															
105			25 Mar 1691	25 Jun 1691	1															
111			25 Jun 1691	29 Sep 1691	1															
119			29 Sep 1691	25 Dec 1691	1															
132			25 Dec 1691	25 Mar 1692	1	30	h	132	18 jan 1691	30 ketch jam		+ 1000 ? pimento // missing Dec?								
138			29 Sep 1685	25 Mar 1686	0	71.25					"Eng, Wales, Berwick upon Tweed"									
140			25 Mar 1686	24 Jun 1686	0	226					do									
142			24 Jun 1686	29 Sep 1686	0	160					do									
143			29 Sep 1686	25 Dec 1686	0	208					do									
145			25 Dec 1686	25 Mar 1687	0	170					do									
147			25 Mar 1687	24 Jun 1687	0	223					do									
149			24 Jun 1687	29 Sep 1687	0	47.5					do									
151			29 Sep 1687	25 Dec 1687	0	66					do									
153			25 Dec 1687	25 Mar 1688	0	197.5					do									
155			25 Mar 1688	24 Jun 1688	0	488.5					do									
158			24 Jun 1688	25 Sep 1688	0	302					do									
161			29 Sep 1685	25 Mar 1686	0						Colonies									
163			25 Mar 1686	24 Jun 1686	0						do									
165			24 Jun 1686	29 Sep 1686	0						do									
167			29 Sep 1686	25 Dec 1686	0						do									
169			25 Dec 1686	25 Mar 1687	0						do									
171			25 Mar 1687	24 Jun 1687	0						do									
173			24 Jun 1687	29 Sep 1687	0						do									
175			29 Sep 1689	25 Dec 1689	0	114					EWBuT									
177			29 Sep 1689	25 Dec 1689	0						Colonies									
179			25 Dec 1689	25 Mar 1690	0	70					EWBuT									
181			25 Mar 1690	25 Jun 1690	0	209					do									
183			25 Mar 1690	25 Jun 1690	0						Colonies									
185			25 Jun 1690	29 Sep 1690	0	461					EWBuT									
187			25 Jun 1690	29 Sep 1690	0						Colonies	"Stop recording exports to colonies, unless given together with exports to mother"								
191			25 Dec 1690	25 Mar 1691	0	64														
195			25 Mar 1691	25 Jun 1691	0	103														
199			25 Jun 1691	29 Sep 1691	0	550.5														
205			29 Sep 1691	25 Dec 1691	0	41														
208			25 Dec 1691	25 Mar 1692	0	5														
