Table 1
Source:	"EM-DAT, CRED / UCLouvain, Brussels, Belgium"																																									
	www.emdat.be (D. Guha-Sapir)																																									
Version:	2021-01-01																																									
File creation:	"Fri, 01 Jan 2021 18:04:26 CET"																																									
Table type:	Custom request																																									
# of records:	24																																									
Dis No	Year	Seq	Disaster Group	Disaster Subgroup	Disaster Type	Disaster Subtype	Disaster Subsubtype	Event Name	Entry Criteria	Country	ISO	Region	Continent	Location	Origin	Associated Dis	Associated Dis2	OFDA Response	Appeal	Declaration	Aid Contribution	Dis Mag Value	Dis Mag Scale	Latitude	Longitude	Local Time	River Basin	Start Year	Start Month	Start Day	End Year	End Month	End Day	Total Deaths	No Injured	No Affected	No Homeless	Total Affected	Reconstruction Costs ('000 US$)	Insured Damages ('000 US$)	Total Damages ('000 US$)	CPI
1931-0009-BLZ	1931	0009	Natural	Meteorological	Storm	Tropical cyclone			Kill	Belize	BLZ	Central America	Americas	Belize city									Kph					1931	9	10	1931	9	10	1500							7500	5.9618190612784
1955-0014-BLZ	1955	0014	Natural	Meteorological	Storm	Tropical cyclone		Janet	Kill	Belize	BLZ	Central America	Americas	Corozal area									Kph					1955	9	28	1955	9	28	16							5000	10.473000409773
1961-0013-BLZ	1961	0013	Natural	Meteorological	Storm	Tropical cyclone		Hattie	Kill	Belize	BLZ	Central America	Americas	Belize city other towns					No	No			Kph					1961	10	30	1961	10	31	275							60000	11.692075064479
1974-0046-BLZ	1974	0046	Natural	Meteorological	Storm	Tropical cyclone		Carmen & Fifi	Affect	Belize	BLZ	Central America	Americas	"Coast, Southern"				Yes					Kph					1974	9	2	1974	9	2			70000		70000			4000	19.2868744704009
1978-0117-BLZ	1978	0117	Natural	Meteorological	Storm	Tropical cyclone		Greta	Affect	Belize	BLZ	Central America	Americas	"South, Central coasts"				Yes				193	Kph					1978	9	18	1978	9	18	5		6000		6000			6000	25.5159153234703
1979-0109-BLZ	1979	0109	Natural	Hydrological	Flood				Affect	Belize	BLZ	Central America	Americas	Belize and Sibun R.				Yes					Km2					1979	12		1979	12				17000		17000				28.3875988971359
1982-0059-BLZ	1982	0059	Technological	Technological	Miscellaneous accident	Fire			Affect	Belize	BLZ	Central America	Americas	Belize city				Yes										1982	5	17	1982	5	17			273		273				37.7458220769372
1990-0641-BLZ	1990	0641	Natural	Meteorological	Extreme temperature 	Cold wave			Declar	Belize	BLZ	Central America	Americas										°C					1990			1990										2250	51.1067950003987
1990-0642-BLZ	1990	0642	Natural	Hydrological	Flood				Declar	Belize	BLZ	Central America	Americas										Km2					1990	5	20	1990	5	20								2200	51.1067950003987
1995-0460-BLZ	1995	0460	Natural	Hydrological	Flood				Affect	Belize	BLZ	Central America	Americas					Yes					Km2					1995	10		1995	10				2600		2600			500	59.6044948945252
1997-0389-BLZ	1997	0389	Technological	Technological	Transport accident	Water		"Boats ""Denovve"" and ""Nacy"""	Kill	Belize	BLZ	Central America	Americas															1997	7	16	1997	7	16	22								62.7858352045064
1998-0377-BLZ	1998	0377	Natural	Meteorological	Storm	Tropical cyclone		Mitch	Affect	Belize	BLZ	Central America	Americas					Yes	No	No		270	Kph					1998	10	25	1998	11	3	9		60000		60000			50	63.7604552373995
2000-0642-BLZ	2000	0642	Natural	Meteorological	Storm	Tropical cyclone		Keith	Kill	Belize	BLZ	Central America	Americas	"San Pedro and Belize cities, Cay Caulker and Ambergris Caye islands (Belize province), Corozal, Cayo, Orange Walk provinces"				Yes			2628	215	Kph					2000	9	30	2000	10	3	14	570	62000		62570			277460	67.355758979313
2001-0553-BLZ	2001	0553	Natural	Meteorological	Storm	Tropical cyclone		Iris	Kill	Belize	BLZ	Central America	Americas	"Toledo, Stann Creek provinces"								233	Kph					2001	10	8	2001	10	11	30		20000		20000			250000	69.259339950271
2001-0736-BLZ	2001	0736	Natural	Meteorological	Storm	Tropical cyclone		Chantal	Waiting	Belize	BLZ	Central America	Americas	"Belize, Corozal, Orange Walk provinces"								100	Kph					2001	8	21	2001	8	21									69.259339950271
2005-0585-BLZ	2005	0585	Natural	Meteorological	Storm	Tropical cyclone		"Hurricane ""Wilma"""	Affected	Belize	BLZ	Central America	Americas	"Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo provinces"									Kph					2005	10	21	2005	10	21									76.3880272118934
2005-0640-BLZ	2005	0640	Natural	Meteorological	Storm	Tropical cyclone		Gamma	Kill	Belize	BLZ	Central America	Americas	"Belize, Cayo, Corozal, Orange Walk, Stann Creek, Toledo provinces"									Kph					2005	11	14	2005	11	21	3								76.3880272118934
2007-0360-BLZ	2007	0360	Natural	Meteorological	Storm	Tropical cyclone		Dean	Waiting	Belize	BLZ	Central America	Americas	"Corozal, Sarteneja, Consejo cities (Corazal province)"				Yes					Kph					2007	8	21	2007	8	21			20000		20000			14847	81.1016589316606
2008-0233-BLZ	2008	0233	Natural	Meteorological	Storm	Tropical cyclone		Arthur	Affected	Belize	BLZ	Central America	Americas	"Corozal, Orange Walk, Stann Creek provinces"		Flood		Yes		Yes	362		Kph	17.3	-88.1			2008	5	31	2008	6	5	7		10000		10000				84.21522909277
2008-0484-BLZ	2008	0484	Natural	Hydrological	Flood	Riverine flood		Tropical Depression Sixteen	Affected	Belize	BLZ	Central America	Americas	"Bullet Tree Falls, Calla Creek, Santa Familia, Branch Mouth, Spanish Lookout, Blackman Eddy, Roaring Creek cities (Cayo province), Belize, Corozal, Orange Walk provinces"	Tropical depression 16			Yes		Yes			Km2	15.86	-89.28		"Mopan, Macal, Belize rivers"	2008	10	19	2008	11	12	1		38000		38000			9697	84.21522909277
2010-0503-BLZ	2010	0503	Natural	Meteorological	Storm	Tropical cyclone		Tropical storm Matthew	Kill	Belize	BLZ	Central America	Americas	"Toledo, Stann Creek provinces"									Kph					2010	9	25	2010	9	25									85.2920606019027
2015-0511-BLZ	2015	0511	Natural	Hydrological	Flood				Affected	Belize	BLZ	Central America	Americas	"Belize city (Belize province), Orange walk, Corozal provinces"	Heavy rains								Km2					2015	10	15	2015	10	19			20000		20000				92.7088219860826
2016-0284-BLZ	2016	0284	Natural	Meteorological	Storm	Tropical cyclone		Tropical storm Earl	Kill	Belize	BLZ	Central America	Americas	"San Pedro, Caye Caulker, Belize city, Ladyville, (Belize province), Orange Walk province, Belmopan (Cayo province)"								110	Kph					2016	8	4	2016	8	4			10355		10355				93.878436484259
2020-0474-BLZ	2020	0474	Natural	Meteorological	Storm	Tropical cyclone		Hurricane 'Eta'	Affected	Belize	BLZ	Central America	Americas	"Cayo, Belize, Stann Creek, and Toledo districts"									Kph					2020	11	4	2020	11	4			50000		50000				
