Sheet 1: Table 1
Body	Surname	Forenames	Disclosure Certified			
San Pedro Council	Alamilla	Hector				
San Pedro Council	Ancona	Flora				
Parliament	Aragon	Elodio	1			
Corozal Council	Arana	Guillermo	1			
Orange Walk Council	Arana Flores	Rozel				
Punta Gorda Council	Avila	Aphane	1			
Belmopan Council	Banner-Guy	Anna				
Parliament	Barnett	Carla	1			
Parliament	Barrow	Dean	1			
Belmopan Council	Belisle	Khalid	1			
Parliament	Bennett	Isabel				
Orange Walk Council	Bernard	Kevin	1			
San Ignacio & Santa Elena Council	Boiton	George	1			
Belize City Council	Bradley	Darrell	1			
Parliament	Briceno	Johnny	1			
Belmopan Council	Burns	Jacklyn				
Orange Walk Council	Cal	Ian	1			
Corozal Council	Campos	Hilberto	1			
Parliament	Campos	Angel	1			
Orange Walk Council	Carballo	Josue	1			
Orange Walk Council	Casimiro	Shartel	1			
Corozal Council	Castillo	Rafael	1			
Parliament	Castillo	Beverly				
Parliament	Castro	Edmond	1			
Punta Gorda Council	Cayetano	Lucia	1			
Parliament	Chebat	Michel				
Corozal Council	Chi Armstrong	Stacy				
Punta Gorda Council	Chun	Winston	1			
Benque Viejo Council	Coleman	Eroll				
Benque Viejo Council	Contreras	Manuel				
Parliament	Contreras	Erwin	1			
Parliament	Coy	Macario	1			
Corozal Council	Cruz	Estevan	1			
Belize City Council	Cuellar	Hyacinth	1			
Dangriga Council	Diego	Yadira				
Belize City Council	Edwards	Jason	1			
Belize City Council	Elrington	Alifa	1			
Parliament	Erlington	Wilfred	1			
Parliament	Espat	Julius	1			
Parliament	Espat	Michael	1			
Parliament	Faber	Patrick	1			
Parliament	Ferguson Sr.	Rodwell	1			
San Ignacio & Santa Elena Council	Fernandez	Bernadette				
Parliament	Figueroa	Omar	1			
Parliament	Finnegan	Michael	1			
Parliament	Fonseca	Francis	1			
Dangriga Council	Francisco	Gary				
Belmopan Council	Frazer	Ralston				
Parliament	Ghanwani	Payal				
Corozal Council	Gomez	Nicholas	1			
Orange Walk Council	Gomez	Lougie				
Benque Viejo Council	Gongora	Alvaro				
Belize City Council	Gonzalez	Alain	1			
San Pedro Council	Gonzalez	Ruben				
San Pedro Council	Greif	Gary				
Benque Viejo Council	Guerra	Elmer				
San Pedro Council	Guerrero	Daniel				
San Pedro Council	Guerrero	Severo				
Punta Gorda Council	Gutierrez	Fern	1			
Punta Gorda Council	Gutierrez	Luzanne				
Parliament	Habet	Orlando	1			
Parliament	Heredia	Manuel	1			
Parliament	Hulse	Godwin	1			
Dangriga Council	Humphreys	Francis	1			
Parliament	Hyde	Cordel	1			
Dangriga Council	Joseph	Alexander				
Benque Viejo Council	Kotch	Marcos				
President	Chang	Lee	1			
Belize City Council	Leslie	Dion	1			
Parliament	Lizarraga	Markhelm	1			
Belmopan Council	Lopez	Gene				
Dangriga Council	Lopez	Earth				
Parliament	Mai	Jose	1			
Parliament	Marin	Pablo	1			
Parliament	Marin Jr.	Florencio				
Parliament	Martinez	Anthony	1			
Punta Gorda Council	McKenzie	Ashton				
Parliament	Mena	Frank	1			
Dangriga Council	Molina	Cheryl				
Parliament	Montero	Rene	1			
San Ignacio & Santa Elena Council	Morey	David				
Parliament	Musa	Kareem	1			
Parliament	Musa	Said	1			
San Ignacio & Santa Elena Council	Neal	Vanessa				
Dangriga Council	Nicasio	Herbert				
San Pedro Council	Nunez	Gabriel				
Parliament	Panton	Tracy	1			
Belmopan Council	Pastrana	Angel				
Parliament	Patt	Hugo	1			
Corozal Council	Perez	Elva				
Speaker	Peyrefitte	Michael	1			
Belize City Council	Pitts Jr.	Bernard	1			
Punta Gorda Council	Polonio	Franklin				
Benque Viejo Council	Ramcharan	Heraldo				
Parliament	Requena	Ruben				
Parliament	Rocke	Ashley	1			
Parliament	Salas	Osmany				
San Ignacio & Santa Elena Council	Salazar	Michael				
Parliament	Salazar	Aldo	1			
Parliament	Saldivar	John				
Belize City Council	Samuels	Dean	1			
Orange Walk Council	Sheppard	Ladrick				
Belize City Council	Singh	Kevin	1			
San Ignacio & Santa Elena Council	Singh	Nick				
Parliament	Smith	Elena	1			
Belize City Council	Theus	Michael	1			
Benque Viejo Council	Thompson	Miguel				
San Ignacio & Santa Elena Council	Trapp	Earl				
Parliament	Vega	Gaspar	1			
Belmopan Council	Willis	Louise	1			
Belize City Council	Willoughby	Philip	1			
Parliament	Zabaneh	Louis				


Local: Table 1
Place	Party	Position	Surname	Forenames	Date	
Belize City	U	M	MOYA	Zenida Victoria	1 Mar 2006	
Belize City	U	C	ESQUIVEL	Laura Andrea	1 Mar 2006	
Belize City	U	C	KING	Mark Anthony	1 Mar 2006	
Belize City	U	C	LATCHMAN	Hyacinth E.	1 Mar 2006	
Belize City	U	C	MICHAEL	Anthony James	1 Mar 2006	
Belize City	U	C	MIDDLETON	Gilroy Hughdonald	1 Mar 2006	
Belize City	U	C	PEYREFITTE	Leila Amira	1 Mar 2006	
Belize City	U	C	QUILTER	Calvert Wayne	1 Mar 2006	
Belize City	U	C	SAMUELS	Dean Trevor	1 Mar 2006	
Belize City	U	C	USHER	Wayne Owen Maurice	1 Mar 2006	
Belize City	U	C	WILLOUGHBY	Philip Cordova	1 Mar 2006	
Belmopan	U	M	LOPEZ	Simeon	1 Mar 2006	
Belmopan	U	C	BALONA	Tita	1 Mar 2006	
Belmopan	U	C	BROWN	Eugene Michael	1 Mar 2006	
Belmopan	U	C	CARCAMO	Celso	1 Mar 2006	
Belmopan	U	C	CARRILLO	Pedro	1 Mar 2006	
Belmopan	U	C	MYERS	Olga	1 Mar 2006	
Belmopan	U	C	PERDOMO	Victor	1 Mar 2006	
Corozal	U	M	CAMPOS	Hilberto	1 Mar 2006	
Corozal	U	C	BABB	Aron	1 Mar 2006	
Corozal	U	C	BROOKS	Luis	1 Mar 2006	
Corozal	U	C	CRUZ	Joselle Willie	1 Mar 2006	
Corozal	U	C	GOMEZ	Abigail	1 Mar 2006	
Corozal	U	C	RAMIREZ	Nonita	1 Mar 2006	
Corozal	U	C	WILLIAMS	Rosalee Price	1 Mar 2006	
San Ignacio / Santa Elena	U	M	AUGUST	John Francis	1 Mar 2006	
San Ignacio / Santa Elena	U	C	CANO	Eduardo	1 Mar 2006	
San Ignacio / Santa Elena	U	C	FERNANDEZ	Bernadette	1 Mar 2006	
