Events: Table 1
		VOYAGE	CLG_0	CLG_1	FLR_0	FLR_1			ROUTE	ACTORS_0	ACTORS_1	FORCE_0	FORCE_1	SEC	PRIM_0	PRIM_1																								
		1	1 Jan 1536		31 Dec 1537		?	La nao gala zarpó de San Juan de Luz en Francia con cerca de 100 tripulantes	Saint-Jean-de-Luz / Nombre de Dios / Havana / Saint-Jean-de-Luz	Sagre de Saavedra		≥ 1 ship [c 100 men]		"O Torres pp 170-171 / Ullivarri pp 49, 53 / O Torres bb p 39"	"PT 267 ram 1 num 6 ff 1r-v [Testimonio de una información que hizo el licenciado Pedro Vázquez, Panamá a 15 de enero de 1537] /// SD 49 ram 8 num 54 / SD 49 ram 8 num 58A / SD 99 ram 1 num 12 ff 2v-3r [Carta de Gonzalo de Guzmán, governador de Cuba, Santiago a 8 de abril de 1537]"	"R Morel pp 275, 303"	"Primera Fase de Focalización Antillana, 1536-1543 Distribución inglesa y francesa en la subregión Panamá = 1 francesa, 0 inglesa = 1 total /v O Torres p p 176 /// Nov 1536. A lone French corsair vessel cuts out a Spanish ship anchored at Chagres (Panama). Feb 1537. Apparently the same single Fr corsair ship is sighted between Cartagena (Colombia) and Nombre de Dios (Panama), where it captures a Sp merchantman near the latter port as it is arriving with a consignment of horses fm Santo Domingo. 15 Mar 1537. This same Fr vessel materialises before Havana, prompting Gov. Gonzalo de Guzmán to order three of five 200-tn Sp merchantmen anchored in his port to sortie under Lt. Juan Velázquez. They overtake and trap the shallow-draught intruder inside the harbour at Mariel (then known as ""Puerto de Tablas""), only to run aground when the Fr vessel escapes out to sea, and so are boarded when this raider reverses course [...] Other Fr trespassers are also sighted near Santo Domingo. /v Marley 1 pp 78-79 /// 27 Oct. 1540 Real cedula directs Honduras-Higueras to build strong fortress given possible attack by French bc of Habsburg-Valois wars /GT 402 leg 2 [cedula 27 oct. 1540] /v Chamberlain p 253"																							
		1	1 Jan 1544				?	"Un conjunto naval compuesto por tres naves francesas capitaneadas, según Bermúdez Bermúdez, por Pedro Braques llegó en noviembre de 1544"	France / San Germán [Puerto Rico] / Cabo de la Vela [Colombia] / Santa Marta [Colombia] / Honduras / Matanzas [Cuba] / France	Pedro Braques		4 ships [>> 22 men]	"sn [nave] / sn [nave] / sn [nave] / sn [patax, 22 men]"	O Torres p 183 / B Bermudez pp 46-48 / O Torres bb p 43	"PA 30 num 6 f 1r [Carta del cabildo de Nombre de Dios, Nombre de Dios a 29 de diciembre de 1544] /// SD 49 ram 15 num 96"	H Tordesillas 7 lib x cap xviii pp 241-242 / R Morel p 439	"Fase de Focalización Compartida, 1543-1548 Distribución inglesa y francesa en la subregión Guatemala = 0 inglesas, 1 francesas = 1 total /v O Torres p 186 /// Segunda Fase de Focalización Antillana, 1548-1554 Totales por subregión de las entradas corsarias = 0 en subregión Guatemala, 33 total /v O Torres p 197 /// cf SD 49 [Audiencia of Santo Domingo to R, 1545], ""tenemos nueva q. ... se apartaron los dhos. corsarios y el un parte de los qu. llevava con veynte dos frances fue apartar a honduras donde fue tomada y los tienen presos y otra nao q. hazia mucha agua fue a reparar a la ysla de cuba de cabo al puerto q. dizen de matanza"" /v Chamberlain p 225 /// 27 Oct. 1540 Real cedula directs Honduras-Higueras to build strong fortress given possible attack by French bc of Habsburg-Valois wars /GT 402 leg 2 [cedula 27 oct. 1540] /v Chamberlain p 253"																							
			1 Jan 1552				?	"JUNE 18, 1552. A French ship becomes becalmed before Nombre de Dios; its 14-man crew is captured"						Marley 1 p 83																										
			1 Jan 1558				?	"SPRING 1558. Four French ships out of Bayonne and Saint-Jean-de-Luz sack Puerto Caballos (modern Puerto Cortés, Honduras)."	France / Trujillo			2 ships [200 men]		Marley 1 p 88 / Reichert aa pp 120-121	"AGCA A1 A1.23 leg 1512 f 285 [Real cédula de Felipe II para que se pongase mayor atención a las defensas de la provincia de Honduras, Madrid a 25 de marzo de 1561]"																									
			1 Jan 1559				?	Ese año una armada gala con cuatro navíos y seis zabras se hizo presente en el Golfo-Caribe	France / Isla de Margarita [Venezuela] / Santa Marta [Colombia] / Cartagena [Colombia] / Dzilam [Yucatan] / Canquel [Yucatan] / Mastunil [Yucatan] / Campeche [Yucatan] / Mexico [Mexico]			10 ships [>> 27 men]	sn [navío] / sn [navío] / sn [navío] / sn [navío] / sn [zabra] / sn [zabra] / sn [zabra] / sn [zabra] / sn [zabra] / sn [zabra]	"O Torres pp 215-216 / B Bermudez p 58 / O Torres aa pp 50, 95-96"	"PT 267 num 1 ram 34 ff 2r-8v [Información sobre el ataque corsario a Cartagena, Cartagena a 1 de junio de 1559] / PT 154 num 1 ram 2 ff 2r-4r [Información sobre el ataque corsario a Cartagena, Cartagena a 5 de junio de 1559] /// SF 49 ram 5 num 15 ff 1r-v [Carta de Rafael de Figueroa, Santa Marta a 21 de junio de 1559] /// MX 215 num 25 ff 1r-2r [Probanza de Francisco Hernández Pacho, Mérida a 10 de septiembre de 1580] /// AGN INQ vol 32 exp 1 ff 19r-v [Confesión de Pedro Buxel, Mérida de Yucatán a 18 de abril de 1560]"	Academia 13 pp 246-247	"Though see Segunda Fase de Focalización Antillana, 1548-1554 Totales por subregión de las entradas corsarias = 0 en subregión Guatemala, 33 total /v O Torres p 197 /// Though see Primera Fase de Actividad Generalizada en el Golfo-Caribe, 1555-1561 Distribución inglesa y francesa en la subregión Guatemala = 8 entradas francesas, 0 entradas inglesas = 8 total /v O Torres p 220"																							
			1 Jan 1561				?	"Otros franceses pasaron a Santo Domingo, Puerto Caballos y Trujillo"						O Torres p 217	SD 155 num 35	Huerga p 153	"Though see Segunda Fase de Focalización Antillana, 1548-1554 Totales por subregión de las entradas corsarias = 0 en subregión Guatemala, 33 total /v O Torres p 197 /// Though see Primera Fase de Actividad Generalizada en el Golfo-Caribe, 1555-1561 Distribución inglesa y francesa en la subregión Guatemala = 8 entradas francesas, 0 entradas inglesas = 8 total /v O Torres p 220 /// 1560. French corsairs sack Campeche, Puerto Caballos (modern Puerto Cortés), and Trujillo (Honduras).The Spanish in turn capture a 30-man French vessel off Guanaja Island, summarily executing three of its Huguenot crew members, while conveying the remainder as prisoners into Guatemala. Elsewhere, three Spanish galleons are ransacked, one being the 200-ton merchantman Santa María of the master Bartolomé Rodríguez, homeward bound from Honduras. /v Marley 1 p 89"																							
			1 Jan 1568				?	"En 1568 el capitán galo Dominique de Capdeville, con cuatro navíos y cuatro zabras, puso rumbo hacia Santa Marta, Tolú y Veragua"						O Torres pp 265-266	"PA 13 ram 9 num 22 ff 1r-v [Carta del presidente Vera, Panamá a 26 de junio de 1569] / PA 13 ram 9 num 23 ff 1r-v [Carta del fiscal Carasa, Panamá a 26 de junio de 1569] / PA 33 num 85 ff 1r-v [Carta de Cristóbal de Salinas, facto y veedor de Tierra Firme, Nombre de Dios a 24 de marzo de 1571] /// PT 267 ram 1 num 54 f 1r [Testimonio de Pedro de Morera, La Habana a 23 de julio de 1571]"																									
			1 Jan 1568				?	Otro navío de la flor de lis realizó varios robos de em- barcaciones en la costa de Veragua						O Torres p 264	"PA 13 ram 8 num 17 f 1r [Carta del oidor doctor Barrios de San Millán, Panamá a 1 de junio de 1568]"		"Doc No. 24 [SF 62 num 8 = A. de I. 72-4-31, I pliego, original] [city council of Cartagena to crown, 30 Sept. 1568] [...] we received word in this city that off the coast of Veragua another corsair had taken another frigate out of Nicaragua with a quantity of gold and silver. Understanding that this corsair, or still another, was at San Bernaldo island, which is fourteen leagues from here, with two ships and a frigate the gobernor went out in person in search of him with a good force, well equipped, and m et him and took from him two frigates he had seized. /v Wright p 124"																							
			1 Jan 1568				3rd Hawkins-Drake voyage	"Third voyage by John Hawkins, Francis Drake from Plymouth with 5 vessels inc Tierra Firme, Yucatan, New Spain"						O Torres p 263 / O Torres aa p 50 / R Armas pp 242-264 / B Bermudez pp 69-76 / I Rubio pp 105-119 / Marley 1 pp 97-100	"MX 100 [Probanza de Juan Céspedes de Simancas, Mérida, 1576] /// PT 267 ram 1 num 46 ff 1v-2r [Carta del cabildo de Nombre de Dios, Nombre de Dios a 29 de agosto de 1568]"		"Fase de Incremento Generalizado de Actividad Corsaria, 1567-1572 Totales por subregión de las entradas corsarias = 11 Yucatán, 8 Panamá, 4 Guatemala, 83 total general /v O Torres p 270"																							
			1 Jan 1569				xxx Drake voyage	Ese mismo año Francis Drake regresó a América para explorar y conocer la ciudad de Nombre de Dios y Panamá. Navegó desde Inglaterra en un patache con 12 tripulantes hasta el Golfo-Cari- be						O Torres p 267 / L Zea pp 119-120 / Wright aa pp xx-xxiv	"PA 32 num 13 [Cabildos seculares, Nombre de Dios a 6 de mayo de 1569; formerly Panama 32, 69-3-1, depositions made at Nombre de Dios in May 1569] /// PT 267 num 1 ram 53 [Robos perpetrados por corsarios franceses:(1559)-1571; formerly Patronato 267, 2-5-1/22, item no 53, ambassador’s memo of Sept. 1571] / PT 267 num 1 ram 54 [Robos perpetrados por piratas franceses tras la paz de 1559; formerly Patronato 267, 2-5-1/22, item no 54, deposition by Pedro Morera, Havana 23 (?) July 1572]"	"Wright aa part 1 docs no 3, 7, 9"																								
