Sources: Table 1
AID	SUBAID_0	SUBAID_1	ID	FORM	TYPE_0	OLD_ID	OLD_AID	OLD_NAME_0	TITLE	CAT_0	CAT_1	CAT_2	OCLC	HDL	PUB_0	PUB_1	DESC	NOTE																								
?				P	0				Dutch DNB	http://www.biografischportaal.nl					2010			references = http://www.biografischportaal.nl/en/faq/about/collecties																								
?				P					"Hakluyt 1904 (1586) ??? 1904 (1598-1600). The Principal Navigations, Voyage, Traffiques & Discoveries of the English Nation. Volume X. Glasgow, James MacLehose and Sons Press"																																	
A Fernandez				A	0				La construcción histórica de las Tierras Bajas Mayas del Sur por medio de mapas esquemáticos	https://historiamexicana.colmex.mx/index.php/RHM/article/view/174					2013			Historia Mexicana. 63 (2): 839–875																								
A Sandoval				P	0				Relaciones geográficas del siglo XVI: Guatemala						1982			"via UNAM catalogue [CATÁLOGO DE LA COLECCIÓN GUATEMALA, 2015] https://www.iei.unach.mx/images/publicaciones/catalogo_guatemala.pdf"																								
Academia	1	25		P	1				"Colección de documentos ineditos relativos al descubrimiento, conquista y organización de las antiguas posesiones españolas de ultramar"	http://id.lib.harvard.edu/alma/990012515700203941/catalog					1885	1932	vol 1 to 25 of 25 / 1st ed	"Second series (25 v., Madrid, Est. tip. ""Sucesores de Rivadeneyra,"" 1885-1932) / t. 1. Isla de Cuba.--t. 2-3. De las islas Filipinas.--t. 4. De la isla de Cuba, pte. 2.--t. 5. De los documentos legislativos.--t. 6. De la isla de Cuba, pte. 3.--t. 7-8. De los pleitos de Colón.--t. 9-10. De los documentos legislativos, pte. 2-3.--t. 11. Relaciones de Yucatán.--t. 12. Cartas, informes y memoriales de d. Gabriel Fernández de Villalobos. Vaticinios de la pérdida de las Indias.--t. 13. Relaciones de Yucatán, pte. 2--t. 14-19. Indice general de los papeles del consejo de Indias.--t. 20-25. Gobernación espiritual y temporal de las Indias."																								
Academia aa	1	42		P	1				Colección de documentos inéditos relativos al descubrimiento ... de las antiguas posesiones españolas de América y Oceanía	http://id.lib.harvard.edu/alma/99154275040603941/catalog					1864	1884	vol 1 to 42 of 42 / 1st ed	"First series (42 v., Madrid, 1864-1884) published under title : Colección de documentos inéditos relativos al descubrimiento ... de las antiguas posesiones españolas de América y Oceanía."																								
Academia bb				P	0				Spanish DNB	https://dbe.rah.es					2018																											
AGCA A1	1	???		M	1				"Sección colonial, documentos del Superior Gobierno"	???							???																									
AGN INQ	1	1911		M	1				Instituciones Coloniales / 61 Inquisición			https://archivos.gob.mx/GuiaGeneral/001-Documentacion-de-las-instituciones-coloniales.html					1911 volúmenes	Query in https://archivos.gob.mx/guiageneral/ yields Inquisición 1484-1842 [1522-1819] Fondo (nivel de descripción 2) of 1911 volúmenes (149.87 metros lineales)																								
Andrews				P	0				"English privateering voyages to the West Indies, 1588-1595 : documents relating to English voyages to the West Indies from the defeat of the armada to the last voyage of Sir Francis Drake"	http://id.lib.harvard.edu/alma/990015104550203941/catalog			504851		1959		vol 1 of 1 / 1st ed	"Works issued by the Hakluyt Society ; 2nd ser., no. 111"																								
Andrews aa				P	0				"The Spanish Caribbean : trade and plunder, 1530-1630"	http://id.lib.harvard.edu/alma/990007766060203941/catalog					1978		vol 1 of 1 / 1st ed																									
Andrews bb				P	0				"Trade, plunder, and settlement : maritime enterprise and the genesis of the British Empire, 1480-1630"	http://id.lib.harvard.edu/alma/990005199920203941/catalog					1984		vol 1 of 1 / 1st ed																									
Andrews cc				P	0				"Ships, money, and politics : seafaring and naval enterprise in the reign of Charles I"	http://id.lib.harvard.edu/alma/990021673450203941/catalog					1991		vol 1 of 1 / 1st ed																									
Andrews dd				P	0				"Elizabethan privateering : English privateering during the Spanish War, 1585-1603"	http://id.lib.harvard.edu/alma/990004023810203941/catalog					1964		vol 1 of 1 / 1st ed																									
Andrews ee				P	0				"The Westward enterprise : English activities in Ireland, the Atlantic, and America, 1480-1650"	http://id.lib.harvard.edu/alma/990008311930203941/catalog					1978		vol 1 of 1 / 1st ed																									
Anoveros				A	0				Presencia franciscana en la Taguzgalpa y la Tologalpa (la Mosquitia)	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_dialnet_primary_oai_dialnet_unirioja_es_ART0000515426					1988			"Mesoamérica (Antigua, Guatemala), 1988-06-01, Vol.9 (15), p.47-78"																								
Azpiroz				A	0				Establecimiento inglés de Belice	https://www.google.com/books/edition/_/uABGAQAAMAAJ?hl=en&gbpv=1					1871			Boletín de la Sociedad de Geografía y Estadística de la República Mexicana. ser 2. vol 4: pp 698–715																								
B Bermudez				P					Piratas en Santa Marta : piratas que atacarón la provincia de Santa Marta	https://biblioteca.academiahistoria.org.co/pmb/opac_css/index.php?lvl=notice_display&id=6285					1978		vol 1 of 1 / 1st ed	Bogotá : Academia de Historia del Magdalena																								
B Bermudez aa				P					Piratas en Santa Marta : piratas que atacaron la Provincia de Santa Marta	http://id.lib.harvard.edu/alma/990092414450203941/catalog					1993		"vol 1 of 1 / 2nd revised, expanded ed"	"Santa Marta : A.E. Bermúdez Bermúdez, 1993 (Santafé de Bogotá : Editorial Kimpres)"																								
B Geiger				P					"Los tres ataques británicos a la ciudad de San Juan Bautista de Puerto Rico: Drake 1595, Clifford 1598, Abercromby 1797"	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_32328462					1947		vol 1 of 1 / 1st ed	San Juan Bautista de Puerto Rico: publisher not identified																								
Baudot				A	0				Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	https://doi.org/10.3406%2Fcarav.1986.2260	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_persee_primary_oai_persee_article_carav_0008_0152_1986_num_46_1_2260				1986			Cahiers du monde hispanique et luso-brésilien. 46: 21–33																								
Bialuschewski				A	0				Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century	https://doi.org/10.1215%2F00141801-3688359					2017			Ethnohistory. 64 (1): 41–63																								
Bialuschewski aa				A	0				Juan Gallardo: A Native American Buccaneer	https://doi.org/10.1215%2F00182168-8178200					2020			Hispanic American Historical Review. 100 (2): 233–256																								
BOD ASH	1	1834		M	1				Ashmole Manuscripts	https://archives.bodleian.ox.ac.uk/repositories/2/resources/666							714 shelf marks																									
Bolanos				A	0				La ciudad trágica: monografía de Granada	https://www.enriquebolanos.org/revistaxfecha					1961			"Revista conservadora, vol 3 no 13 supplement no 3 pp 1-16 / series continued vol 2-3 nos 13-20 [1961-1962]"																								
Bradley				P	0				British maritime enterprise in the New World : from the late fifteenth to the mid-eighteenth century	http://id.lib.harvard.edu/alma/990083189360203941/catalog					1999		vol 1 of 1 / 1st ed	Studies in British history ; v. 57																								
Brady				T	0				Honduras' transisthmian corridor: An historical geography of roadbuilding in colonial Central America	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/honduras-transisthmian-corridor-historical/docview/304244710/se-2?accountid=11311					1996																											
Breuer				T	0				"Colonies of happenstance: The english settlements in central america, 1525-1787"	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311					1993																											
