Meta: Table 1
	Datapoints	Excluded		
< 1790	46	1		
> 1790	89	0		
Exports				


Sum: Table 1
Yr	Population	Note
1638	70	Median
1639	70	Median
1640	70	Median
1641	70	Median
1642	70	Median
1643	70	Median
1644	70	Median
1645	70	Median
1646	70	Median
1647	70	Median
1648	70	Median
1649	70	Median
1650	70	Median
1651	70	Median
1652	70	Median
1653	70	Median
1654	70	Median
1655	70	Median
1656	70	Median
1657	70	Median
1658	70	Median
1659	70	Median
1660	70	Median
1661	70	Median
1662	70	Median
1663	84	Median
1664	91	Median
1665	99	Median
1666	106	Median
1667	113	Median
1668	120	Median
1669	128	Median
1670	135	Median
1671	270	Median
1672	405	Median
1673	250	Median
1674	181	Median
1675	113	Median
1676	116	Median
1677	120	Median
1678	124	Median
1679	128	Median
1680	132	Median
1681	136	Median
1682	140	Median
1683	146	Median
1684	152	Median
1685	158	Median
1686	165	Median
1687	171	Median
1688	177	Median
1689	183	Median
1690	190	Median
1691	196	Median
1692	202	Median
1693	208	Median
1694	215	Median
1695	221	Median
1696	227	Median
1697	233	Median
1698	240	Median
1699	246	Median
1700	252	Median
1701	258	Median
1702	265	Median
1703	271	Median
1704	277	Median
1705	283	Median
1706	290	Median
1707	296	Median
1708	302	Median
1709	308	Median
1710	315	Median
1711	321	Median
1712	327	Median
1713	333	Median
1714	330	Median
1715	360	Median
1716	391	Median
1717	422	Median
1718	453	Median
1719	407	Median
1720	204	Median
1721	390	Median
1722	576	Median
1723	864	Median
1724	"1,037"	Median
1725	985	Median
1726	"1,035"	Median
1727	931	Median
1728	838	Median
1729	419	Median
1730	503	Median
1731	30	Median
1732	9	Median
1733	11	Median
1734	106	Median
1735	200	Median
1736	264	Median
1737	347	Median
1738	458	Median
1739	603	Median
1740	796	Median
1741	670	Median
1742	545	Median
1743	420	Median
1744	295	Median
1745	170	Median
1746	224	Median
1747	278	Median
1748	332	Median
1749	386	Median
1750	440	Median
1751	608	Median
1752	28	Median
1753	500	Median
1754	11	Median
1755	319	Median
1756	478	Median
1757	574	Median
1758	191	Median
1759	76	Median
1760	215	Median
1761	353	Median
1762	492	Median
1763	630	Median
1764	769	Median
1765	907	Median
1766	"1,092"	Median
1767	"1,038"	Median
1768	"1,090"	Median
1769	"1,144"	Median
1770	"1,201"	Median
1771	601	Median
1772	901	Median
1773	891	Median
1774	881	Median
1775	870	Median
1776	860	Median
1777	850	Median
1778	824	Median
1779	15	Median
1780	15	Median
1781	15	Median
1782	824	Median
1783	905	Median
1784	995	Median
1785	"1,092"	Median
1786	"1,200"	Median
1787	"3,408"	Median
1788	"3,103"	Median
1789	"2,798"	Median
1790	"2,493"	
1791	"2,606"	
1792	"2,719"	
1793	"2,831"	
1794	"2,944"	
1795	"3,057"	
1796	"3,170"	
1797	"3,282"	
1798	"3,395"	
1799	"3,508"	
1800	"3,621"	
1801	"3,733"	
1802	"3,846"	
1803	"3,959"	
1804	"3,914"	
1805	"3,869"	
1806	"3,824"	
1807	"3,841"	
1808	"3,857"	
1809	"3,874"	
1810	"3,891"	
1811	"3,907"	
1812	"3,924"	
1813	"3,941"	
1814	"3,957"	
1815	"3,974"	
1816	"3,990"	
1817	"4,007"	
1818	"4,024"	
1819	"4,040"	
1820	"4,057"	
1821	"4,074"	
1822	"4,090"	
1823	"4,107"	
1824	"4,622"	
1825	"5,138"	
1826	"5,653"	
1827	"5,180"	
1828	"4,708"	
1829	"4,235"	
1830	"4,336"	
1831	"4,436"	
1832	"4,537"	
1833	"3,872"	
1834	"3,208"	
1835	"2,543"	
1836	"3,492"	
1837	"4,440"	
1838	"5,389"	
1839	"6,338"	
1840	"7,286"	
1841	"8,235"	
1842	"8,718"	
1843	"9,201"	
1844	"9,685"	
1845	"10,168"	
1846	"10,651"	
1847	"11,134"	
1848	"11,618"	
1849	"12,101"	
1850	"12,584"	
1851	"13,067"	
1852	"13,550"	
1853	"14,034"	
1854	"14,517"	
1855	"15,000"	
1856	"16,773"	
1857	"18,545"	
1858	"20,318"	
1859	"22,090"	
1860	"23,863"	
1861	"25,635"	
1862	"25,543"	
1863	"25,450"	
1864	"25,358"	
1865	"25,265"	
1866	"25,173"	
1867	"25,080"	
1868	"24,988"	
1869	"24,895"	
1870	"24,803"	
