Not disastrous: Table 1
ID	No	Lower Start	Upper End	Name	Description	Cf	Via
E 1	1	1 January 1638	31 December 1638	Settlement	Buccaneers start Settlement		
E 3	3	1 February 1663	28 February 1663	Logging	Buccaneers and Jamaicans start logging logwood		
E 5	5		1 April 1729	Magistracy	Magistracy established		Seville 1944
E 7	7	7 July 1695	7 July 1695	Spanish embassy to Tipu	Captain Francisco de Hariza y Arruyo parlays with Tipu		Albuquerque 1989
E 9	9	1 August 1695	30 September 1695	Tipu embassy to Spanish	Tipu reciprocates Spanish embassy		Albuquerque 1989
E 11	11	1 January 1678	31 December 1678	Porras entrada	"Sergeant Major Antonio de Ayora Porras towards Chaclol, possibly towards Tipu"		
E 13	13	17 August 1686	28 April 1687	Toledo entrada	Captain Juan del Castillo y Toledo towards Paliac		
E 15	15	1 December 1784	1 December 1784	Superintendency	Col. E. M. Despard appointed Superintendent	CO 123/5	Campbell 2003
E 17	17	20 December 1786	20 December 1786	Col. Despard arrives		CO 123/5	Campbell 2003
E 19	19	1 January 1707	31 December 1707	Last reduction	Tipu reduced		Albuquerque 1989
E 21	21	1 August 1970	1 August 1970	Belmopan	Foundation of		
E 23	23	13 December 1870	13 December 1870	Crowning	Parliament vests government solely in Crown		Burdon III 1935
E 25	25	6 December 1825	6 December 1825	Printing	Magistrates resolve to purchase printing press		"Burdon III p288
Cave 1976"
E 27	27		19 September 1715		Exodus of English loggers from W Yucatan on account of famine	Boston News-Letter 596	
E 29	29	10 December 1716	10 December 1716	Routing from Terminos	Spanish rout English loggers in W Yucatan	484 X CSPC 29	
E 31	31		22 October 1790	First Census		CO 123/9	
E 33	33	19 May 1655	27 May 1655	Invasion of Jamaica			
E 35	35	22 January 1636	22 January 1636	Armada de Barlovento established	"By Diego de Sandi, relator in Sala del Crimen de la Real Audiencia"	"DIVERSOS-COLECCIONES,32,N.5
MEXICO,35,N.2
MEXICO,360,R.5,N.31"	
E 37	37	1 January 1638	8 July 1638		Buccaneers plan expeditions towards Yucatan	"MEXICO,360,R.5,N.21"	
E 39	39	1 January 1638	10 July 1638		Buccaneers camp in and raid Maya towns from Cozumel 2—6 April and early June	"MEXICO,360,R.5,N.22"	
E 41	41	1 January 1637	31 December 1637	Tipu embassy to Spanish	Tipu petitions Sp Gov Marqués de Santo Floro against their resident beneficiado and vicario and Bacalar vecinos	"MEXICO,360,R.5,N.24"	
E 43	43	1 January 1638	10 July 1638	Tipu revolt	"Tipu refuses Sp, other Maya hamlets follow suit"	"MEXICO,360,R.5,N.24
MEXICO,360,R.5,N.29"	
E 45	45						
E 47	47						
E 49	49						
E 51	51						
E 53	53						
E 55	55						
E 57	57						
E 59	59						
E 61	61						
E 63	63						
E 65	65						
E 67	67						
E 69	69						
E 71	71						
E 73	73						
E 75	75						
E 77	77						
E 79	79						
E 81	81						
E 83	83						
E 85	85						
E 87	87						
E 89	89						
E 91	91						
E 93	93						
E 95	95						
E 97	97						
E 99	99						
E 101	101						
E 103	103						
E 105	105						
E 107	107						
E 109	109						
E 111	111						
E 113	113						
E 115	115						
E 117	117						
E 119	119						
E 121	121						
E 123	123						
E 125	125						
E 127	127						
E 129	129						
E 131	131						
E 133	133						
E 135	135						
E 137	137						
E 139	139						
E 141	141						
E 143	143						
E 145	145						
E 147	147						
E 149	149						
E 151	151						
E 153	153						
E 155	155						
E 157	157						
E 159	159						
E 161	161						
E 163	163						
E 165	165						
E 167	167						
E 169	169						
E 171	171						
E 173	173						
E 175	175						
E 177	177						
E 179	179						
E 181	181						
E 183	183						
E 185	185						
E 187	187						
E 189	189						
E 191	191						
