Errors: A1—14 / False positives or false negatives in archival material.
ID	START	END	SOURCE	TYPE	DESCRIPTION	NOTE	
A1	1638	1663	Buccaneers	F neg	"Haphazard loss of records, or non-creation of records, by buccaneers or assignees."		
A2	1638	1707	Maya	F neg	"Non-creation of records on Settlement activities by lack of contact or state of revolt following 1638—95 Tipu-led revolt, or haphazard destruction or loss of these during Spanish reductions of Maya towns, hamlets or groups from our present-day territory, or haphazard loss of these during desertions of Maya towns or hamlets during 1638—95 Tipu-led revolt. /7"	"1707 = Spanish reduction of Maya towns or hamlets from our present-day territory to territory in present-day Guatemala and Mexico, and previous desertion of all other Maya towns or hamlets within our present-day territory during 1638—95 Tipu-led revolt. Via Alb 1989."	
A3	1638	1729	Spanish	F neg	Non-creation of records on Settlement activities by barriers to Spanish intelligence gathering following 1638—95 Tipu-led revolt and desertion of Bacalar in 1648—1729. /5	"Via Alb 1989. End of Tipu-led revolt set to 1695, on 7 July 1695 = Spanish embassy to Tipu under Captain Francisco de Hariza y Arruyo, and August—September 1695 = Tipu embassy to Merida. End date may alternatively be —
in 1678 = Spanish entrada or reduction expedition by Sergeant Major Antonio de Ayora Porras towards Chaclol (between present-day Campeche City in western coast of Yucatan and Negroman, Cayo), and possibly towards Tipu (near present-day Negroman, Cayo).
shortly after 17 August 1686—28 April 1687 = entrada by Captain Juan del Castillo y Toledo towards Paliac (on Rio Grande)."	
A4	1638	1786	Crown	F neg	Non-creation of records from absence of Crown from Settlement. /6	1 December 1784 = Col. E. M. Despard appointed Superintendent. 20 December 1786 = Col. Despard arrives. /CO 123/5 /via M. C. Campbell 2003.	
A5	1638	1849	Crown	F neg	"Haphazard loss of records during transit, destructive disasters, or gross negligence, and possible non-creation of records by some parts of Crown. /12 /13 /14"	"Following 14 August 1838 = passage of Act of British Parliament to consolidate scattered public records /Cmd. 367.
For gross negligence, etttspecially regarding handwritten or otherwise fragile records.
Following inferences by Cmd. 367."	
A6	1663	1729	Loggers	F neg	"Haphazard loss of records, or non-creation of records, by loggers, their government, or their assignees. /2 /3"	"We assume Public Meeting and Magistracy were not established as government immediately on the setting up of logging works in February 1663.
1 April 1729 = First evidence of Chief Magistrate xxx /xxx via Sev 1944."	
A7	1696	1799	"Loggers, Government"	F neg	"Haphazard destruction of records by circa 22 successful Spanish expeditions against Settlement, and haphazard loss of records by at least 8 Settlement-wide evacuations."		
A8	1720	1870	Government	F neg	"Haphazard loss of records during transit or from gross negligence, possible selective destruction or loss of records by custodians, and possible non-creation of records by some parts of Government. /9 /15"	"Assumed.
End date assumed 13 December 1870 = Parliament vests government solely in Crown /via Burdon III 1935."	
A9	1724	1838	Government	F neg	"Selective non-creation of records on groups lacking suffrage or otherwise marginalised, including women, slaves, Maya, native refugees, etc. /8 /9"	"Start date set at 1724, xxx /xxx. End date set at 1838, on emancipation of slaves.
Assumed."	
A10	1780	1789	Government	F neg	Haphazard loss of records during transfer of seat of government from St. George’s Caye to Belize City. /4	Via xxx.	
A11	1780	1970	Government	F neg	Haphazard loss of records during xxx fires and destructive disasters in Belize City. /9 /10 /11	"Assumed.
End date assumed 1 August 1970 = foundation of Belmopan.
Especially regarding records not forwarded to or copied for Great Britain."	
A12	1787	1859	Government	F neg	Non-creation or loss of records from outlying towns or hamlets by barriers to overland communication with Belize City. /9 /16		
A13	1638	1826	"Spanish, Government"	F pos	Distortion of sensitive details of campaigns by or against Settlement. /2 /3	"We assume Public Meeting and Magistracy were not established as government immediately on the setting up of logging works in February 1663.
1 April 1729 = First evidence of Chief Magistrate xxx /xxx via Sev 1944."	
A14	1720	1826	Government	F pos	"Distortion of sensitive details regarding marginalised groups, including slaves, etc. /2 /3"	"We assume Public Meeting and Magistracy were not established as government immediately on the setting up of logging works in February 1663.
1 April 1729 = First evidence of Chief Magistrate xxx /xxx via Sev 1944."	


Repositories: B1—25 / Catalogues and repositories of archival material.
ID	REPOSITORY	LOCATION	CATALOGUE	CATALOGUER	COUNT	CATALOGUED	DIGITISED	UNIT	NOTE	
B1	VARS	VARS	Discovery	TNA	"2,500"	"32,000,000"	"550,000"	r		
B2	VARS	VARS	PARES	MCD	12	"5,373,151"	"1,921,904"	r		
B3	VARS	VARS	WorldCat	OCLC	"16,857"	"507,187,386"	xxx	i		
B4	Archives and Records Service	Belize	xxx	xxx	1	xxx	0	i		
B5	Library Service	Belize	xxx	xxx	1	xxx	0	i		
B6	Biblioteca Nacional José Martí	Cuba	xxx	xxx	1	"148,812"	"19,168"	i		
B7	Archivo Nacional de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B8	Instituto de Historia de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B9	Universidad de La Habana	Cuba	xxx	xxx	1	"519,500"	xxx			
B10	Archivo General de Centroamérica	Guatemala	xxx	xxx	1	"63,000"	1	v		
B11	Centro de Investigaciones Regionales de Guatemala	Guatemala	xxx	xxx	1	"10,000,000"	0	i		
B12	Universidad de San Carlos de Guatemala	Guatemala	xxx	xxx	1	"139,100"	0	i		
B13	Universidad Rafael Landívar	Guatemala	xxx	xxx	1	"550,000"	"38,380"	i		
B14	Biblioteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B15	Hemeroteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B16	Archivo General de la Nación	Mexico	xxx	xxx	1	"375,000,000"	xxx	p		
B17	Biblioteca Central UNAM	Mexico	xxx	xxx	1	"1,445,109"	"6,085"	i		
B18	Biblioteca Palafoxiana	Mexico	xxx	xxx	1	"52,422"	xxx	i		
B19	Biblioteca Vasconcelos	Mexico	xxx	xxx	1	"575,000"	xxx	i		
B20	Biblioteca Cervantina	Mexico	xxx	xxx	1	"130,000"	xxx	i		
B21	Bilbioteca Nacional de México	Mexico	xxx	xxx	1	"1,560,000"	xxx	i		
B22	Hemeroteca Nacional de México	Mexico	xxx	xxx	1	xxx	xxx			
B23	Archivo Histórico de Mérida	Mexico	xxx	xxx	1	xxx	xxx			
B24	Archivo General del Estado de Yucatán	Mexico	xxx	xxx	1	xxx	xxx			
B25	Biblioteca Yucatanense	Mexico	xxx	xxx	1	xxx	xxx			


Collections: C1—30 / Online collections of archival material.
ID	COLLECTION	BEG	END	REPOSITORY	PUBLISHER	REC	DIGITISED	TYPE	NOTE	
C9	American Historical Periodicals	1607	1940	AAS	Gale	R	"7,000,000"	p		
C16	Archives Unbound	1500	2000	VAR	Gale	R	361	v		
C10	Associated Press Collections Online	1915	2009	AP	Gale	R	"1,910,000"	p		
C18	"British History Online, Version 5"	1000	1832	VAR	IHR	K	"1,300"	v		
C12	British Library Newspapers	1732	1950	BL	Gale	R	"6,350,000"	p		
C22	British Periodicals	1681	2007	xxx	ProQuest	R	490	t		
C11	Burney Collection	1604	1804	BL	Gale	R	"1,000,000"	p		
C6	Caribbean Blue Books	1824	1950	TNA	BOA	S	21	v		
C26	"Caribbean Newspapers, Series 1"	1718	1876	AAS	Readex	R	140	t		
C1	Colonial America	1606	1822	TNA	Adam Matthew	R	"1,450"	i		
C2	Confidential Print	1824	1961	TNA	Adam Matthew	R	371	i		
C14	Declassified Documents Online	1905	2002	TNA	Gale	R	"500,000"	p		
C29	Digital Library of the Caribbean	xxx	xxx	VAR	Smathers	R	"4,099,896"	p		
C25	"Early American Newspapers, Series 1"	1690	1876	AAS	Readex	R	"340,000"	i		
C28	"Early American Newspapers, Series 2—14"	1820	1922	VAR	Readex	R				
C21	Early English Books Online	1475	1700	VAR	ProQuest	R	"146,000"	i		
C20	Early European Books	1450	1700	VAR	ProQuest	R	"20,576,000"	p		
C19	Economist Intelligence Unit Country Reports Archive	1952	1995	EIU	ProQuest	R	662	i		
C3	Empire Online	1492	2007	VAR	Adam Matthew	R	970	i		
C4	Empire Studies	1734	1968	VAR	Adam Matthew	R	"1,132"	i		
C7	Factiva	1978	2021	VAR	Dow Jones	R	"33,000"	t		
C23	House of Commons Parliamentary Papers	1688	2021	xxx	ProQuest	R	"11,000,000"	p		
C24	House of Lords Parliamentary Papers	1800	1910	xxx	ProQuest	R	"2,100,000"	p		
C27	"Latin American Newspapers, Series 1—2"	1805	1922	CRL	Readex	R	300	t		
C5	Naval Office Shipping Lists	1678	1825	TNA	BOA	S	5	v		
C15	Sabin Americana	1500	1926	VAR	Gale	R	"13,000,000"	p		
C8	The British Newspaper Archive	1708	2009	BL	Findmypast	R	"41,900,432"	p		
C30	The London Gazette	1665	2021	TSO	TSO	R	"63,201"	i		
C13	The Times Digital Archive	1785	2014	News UK	Gale	R	"1,800,000"	p		
C17	"World Scholar, Latin America and the Caribbean"	xxx	xxx	VAR	Gale	R	"1,400,000"	p		


Non-press sources: C1—30 / Online collections of archival material.
ID	TYPE	YR	ALT ID	AUTHORS	PUBLICATION	P	TITLE	DESC	DESC	DESC	DESC	DESC	LINK				
I43	PEER	1902	Marsden 1902	R. G. Marsden	CU		"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"						http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118				
I50	PEER	1963	Ogelsby 1963	J. C. M. Ogelsby	UPR		The British and Panama — 1742	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756				
I52	PEER	1965	Grunewald 1965	D. Grunewald	UPR		The Anglo-Guatemalan Dispute over British Honduras	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880				
I53	PEER	1969	Sorsby 1969	W. S. Sorsby	UCL	84	"The British superintendency of the Mosquito Shore, 1749-1787"	 					"Sorsby, W. S. (1969). The british superintendency of the mosquito shore, 1749-1787 (Order No. 27822076). Available from ProQuest Dissertations & Theses Global. (2351282127). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/british-superintendency-mosquito-shore-1749-1787/docview/2351282127/se-2?accountid=11311"				
I55	PEER	1983	Gonzalez 1983	N. L. Gonzalez	KITLV	149	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION	Siege of Omoa	Settlement of Rat				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126				
I56	PEER	1986	Baudot 1986	G. Baudot	UT		Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	Tipu conspiracy	Bucc raids > 1638				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876				
I58	PEER	1989	Rossano 1989	G. L. Rossano	FAM		Down to the Bay	 					http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260				
I60	PEER	1989	Graham 1989	"E. Graham, et al."	YU		On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize	Maya conquest in Hon	Bucc raids > 1638				"Graham, E., Pendergast, D. M., & Jones, G. D. (1989). On the fringe of conquest: Maya-spanish contact in colonial belize. Science, 246(4935), 1254. Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311"				
I61	PEER	1991	McJunkin 1991	D. M. McJunkin	UCLA		Logwood						"McJunkin, D. M. (1991). Logwood: An inquiry into the historical biogeography of haematoxylum campechianum L. and related dyewoods of the neotropics (Order No. 9113559). Available from ProQuest Dissertations & Theses Global. (303932948). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311"				
I62	PEER	1993	Breuer 1993	K. H. Breuer	UT	116	"Colonies of happenstance: The english settlements in central america, 1525-1787 "	 					"Breuer, K. H. (1993). Colonies of happenstance: The english settlements in central america, 1525-1787 (Order No. 1352917). Available from ProQuest Dissertations & Theses Global. (230667983). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311"				
I63	PEER	1996	Bowett 1996	A. Bowett	BU	170	The english mahogany trade 1700-1793 	 					"Bowett, A. (1996). The english mahogany trade 1700-1793 (Order No. CA47977). Available from ProQuest Dissertations & Theses Global. (304303774). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/english-mahogany-trade-1700-1793/docview/304303774/se-2?accountid=11311"				
I64	PEER	1996	Wu 1996	Y. Wu	JHU		"Jamaican trade, 1688-1769"						"Wu, Y. (1996). Jamaican trade, 1688-1769: A quantitative study (Order No. 9617624). Available from ProQuest Dissertations & Theses Global. (304300587). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311"				
I65	PEER	1996	Camille 1996	M. A. Camille & R. Espejo-Saavedra	UT		Historical Geography of the Belizean Logwood Trade						http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830				
I66	PEER	1997	Elliott 1997	P. Elliott-Wright	UL	246	"The officers of the irish brigade and the british army, 1789-98 "	Outbreak yellow fever					"Elliott-Wright, P. (1997). The officers of the irish brigade and the british army, 1789-98 (Order No. U093336). Available from ProQuest Dissertations & Theses Global. (301519802). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311"				
I69	PEER	2002	Meide 2002	C. Meide	CWM		A Plague of Ships	Sp ships					https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf				
I73	PEER	2010	Wombwell 2010	J. A. Wombwell	CSIP		Long War Against Piracy						https://www.hsdl.org/?view&did=23760				
I75	PEER	2014	Restall 2014	M. Restall	DU		Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan	Af Slavery					https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300				
I76	PEER	2017	Bialuschewski 2017	A. Bialuschewski	DU		Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century						https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359				
I77	PEER	2017	Hoggarth 2017	"J. A. Hoggarth, et al."	WGF		Drought and Its Demographic Effects in the Maya Lowlands	Famine 1771					https://doi.org/10.1086/690046				
I79	PEER	2020	Fischbeck 2020	S. L. Fischbeck	UW		Agricultural Terrace Productivity in the Maya Lowlands of Belize	Maya agriculture					http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf				
I1	PRINT	1644	London 1644	W. Castell & B. Rudyerd	London	58	A short discoverie of the coasts and continent of America	"Sackings of P Cavallos 1591, 1616"					"Castell, William, et al. A short discoverie of the coasts and continent of America  from the equinoctiall northward and the adjacent isles. [s.n.], 1644. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102903240/SABN?u=camb55135&sid=SABN&xid=6db34e3d&pg=91. Accessed 19 Feb. 2021."				
