Errors: A1—14 / False positives or false negatives in archival material.
ID	NO	START	END	SOURCE	TYPE	DESCRIPTION	NOTE	
A1		1638	1663	Buccaneers	F neg	"Haphazard loss of records, or non-creation of records, by buccaneers or assignees."		
A2		1638	1707	Maya	F neg	"Non-creation of records on Settlement activities by lack of contact or state of revolt following 1638—95 Tipu-led revolt, or haphazard destruction or loss of these during Spanish reductions of Maya towns, hamlets or groups from our present-day territory, or haphazard loss of these during desertions of Maya towns or hamlets during 1638—95 Tipu-led revolt. /7"	"1707 = Spanish reduction of Maya towns or hamlets from our present-day territory to territory in present-day Guatemala and Mexico, and previous desertion of all other Maya towns or hamlets within our present-day territory during 1638—95 Tipu-led revolt. Via Alb 1989."	
A3		1638	1729	Spanish	F neg	Non-creation of records on Settlement activities by barriers to Spanish intelligence gathering following 1638—95 Tipu-led revolt and desertion of Bacalar in 1648—1729. /5	"Via Alb 1989. End of Tipu-led revolt set to 1695, on 7 July 1695 = Spanish embassy to Tipu under Captain Francisco de Hariza y Arruyo, and August—September 1695 = Tipu embassy to Merida. End date may alternatively be —
in 1678 = Spanish entrada or reduction expedition by Sergeant Major Antonio de Ayora Porras towards Chaclol (between present-day Campeche City in western coast of Yucatan and Negroman, Cayo), and possibly towards Tipu (near present-day Negroman, Cayo).
shortly after 17 August 1686—28 April 1687 = entrada by Captain Juan del Castillo y Toledo towards Paliac (on Rio Grande)."	
A4		1638	1786	Crown	F neg	Non-creation of records from absence of Crown from Settlement. /6	1 December 1784 = Col. E. M. Despard appointed Superintendent. 20 December 1786 = Col. Despard arrives. /CO 123/5 /via M. C. Campbell 2003.	
A5		1638	1849	Crown	F neg	"Haphazard loss of records during transit, destructive disasters, or gross negligence, and possible non-creation of records by some parts of Crown. /12 /13 /14"	"Following 14 August 1838 = passage of Act of British Parliament to consolidate scattered public records /Cmd. 367.
For gross negligence, etttspecially regarding handwritten or otherwise fragile records.
Following inferences by Cmd. 367."	
A6		1663	1729	Loggers	F neg	"Haphazard loss of records, or non-creation of records, by loggers, their government, or their assignees. /2 /3"	"We assume Public Meeting and Magistracy were not established as government immediately on the setting up of logging works in February 1663.
1 April 1729 = First evidence of Chief Magistrate xxx /xxx via Sev 1944."	
A7		1696	1799	"Loggers, Government"	F neg	"Haphazard destruction of records by circa 22 successful Spanish expeditions against Settlement, and haphazard loss of records by at least 8 Settlement-wide evacuations."		
A8		1720	1870	Government	F neg	"Haphazard loss of records during transit or from gross negligence, possible selective destruction or loss of records by custodians, and possible non-creation of records by some parts of Government. /9 /15"	"Assumed.
End date assumed 13 December 1870 = Parliament vests government solely in Crown /via Burdon III 1935."	
A9		1724	1838	Government	F neg	"Selective non-creation of records on groups lacking suffrage or otherwise marginalised, including women, slaves, Maya, native refugees, etc. /8 /9"	"Start date set at 1724, xxx /xxx. End date set at 1838, on emancipation of slaves.
Assumed."	
A10		1780	1789	Government	F neg	Haphazard loss of records during transfer of seat of government from St. George’s Caye to Belize City. /4	Via xxx.	
A11		1780	1970	Government	F neg	Haphazard loss of records during xxx fires and destructive disasters in Belize City. /9 /10 /11	"Assumed.
End date assumed 1 August 1970 = foundation of Belmopan.
Especially regarding records not forwarded to or copied for Great Britain."	
A12		1787	1859	Government	F neg	Non-creation or loss of records from outlying towns or hamlets by barriers to overland communication with Belize City. /9 /16		
A13		1638	1826	"Spanish, Government"	F pos	Distortion of sensitive details of campaigns by or against Settlement. /2 /3	"We assume Public Meeting and Magistracy were not established as government immediately on the setting up of logging works in February 1663.
1 April 1729 = First evidence of Chief Magistrate xxx /xxx via Sev 1944."	
A14		1720	1826	Government	F pos	"Distortion of sensitive details regarding marginalised groups, including slaves, etc. /2 /3"	"We assume Public Meeting and Magistracy were not established as government immediately on the setting up of logging works in February 1663.
1 April 1729 = First evidence of Chief Magistrate xxx /xxx via Sev 1944."	


Hidden: B1—25 / Catalogues and repositories of archival material.
ID		REPOSITORY	LOCATION	CATALOGUE	CATALOGUER	COUNT	CATALOGUED	DIGITISED	UNIT	NOTE	
B4		Archives and Records Service	Belize	xxx	xxx	1	xxx	0	i		
B5		Library Service	Belize	xxx	xxx	1	xxx	0	i		
B6		Biblioteca Nacional José Martí	Cuba	xxx	xxx	1	"148,812"	"19,168"	i		
B7		Archivo Nacional de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B8		Instituto de Historia de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B9		Universidad de La Habana	Cuba	xxx	xxx	1	"519,500"	xxx			
B10		Archivo General de Centroamérica	Guatemala	xxx	xxx	1	"63,000"	1	v		
B11		Centro de Investigaciones Regionales de Guatemala	Guatemala	xxx	xxx	1	"10,000,000"	0	i		
B12		Universidad de San Carlos de Guatemala	Guatemala	xxx	xxx	1	"139,100"	0	i		
B13		Universidad Rafael Landívar	Guatemala	xxx	xxx	1	"550,000"	"38,380"	i		
B14		Biblioteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B15		Hemeroteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B16		Archivo General de la Nación	Mexico	xxx	xxx	1	"375,000,000"	xxx	p		
B17		Biblioteca Central UNAM	Mexico	xxx	xxx	1	"1,445,109"	"6,085"	i		
B18		Biblioteca Palafoxiana	Mexico	xxx	xxx	1	"52,422"	xxx	i		
B19		Biblioteca Vasconcelos	Mexico	xxx	xxx	1	"575,000"	xxx	i		
B20		Biblioteca Cervantina	Mexico	xxx	xxx	1	"130,000"	xxx	i		
B21		Bilbioteca Nacional de México	Mexico	xxx	xxx	1	"1,560,000"	xxx	i		
B22		Hemeroteca Nacional de México	Mexico	xxx	xxx	1	xxx	xxx			
B23		Archivo Histórico de Mérida	Mexico	xxx	xxx	1	xxx	xxx			
B24		Archivo General del Estado de Yucatán	Mexico	xxx	xxx	1	xxx	xxx			
B25		Biblioteca Yucatanense	Mexico	xxx	xxx	1	xxx	xxx			


Availble: B1—25 / Catalogues and repositories of archival material.
ID		REPOSITORY	LOCATION	CATALOGUE	CATALOGUER	COUNT	CATALOGUED	DIGITISED	UNIT	NOTE	
B1		VARS	VARS	Discovery	TNA	"2,500"	"32,000,000"	"550,000"	r		
B2		VARS	VARS	PARES	MCD	12	"5,373,151"	"1,921,904"	r		
B3		VARS	VARS	WorldCat	OCLC	"16,857"	"507,187,386"	xxx	i		
B4		Archives and Records Service	Belize	xxx	xxx	1	xxx	0	i		
B5		Library Service	Belize	xxx	xxx	1	xxx	0	i		
B6		Biblioteca Nacional José Martí	Cuba	xxx	xxx	1	"148,812"	"19,168"	i		
B7		Archivo Nacional de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B8		Instituto de Historia de Cuba	Cuba	xxx	xxx	1	xxx	xxx			
B9		Universidad de La Habana	Cuba	xxx	xxx	1	"519,500"	xxx			
B10		Archivo General de Centroamérica	Guatemala	xxx	xxx	1	"63,000"	1	v		
B11		Centro de Investigaciones Regionales de Guatemala	Guatemala	xxx	xxx	1	"10,000,000"	0	i		
B12		Universidad de San Carlos de Guatemala	Guatemala	xxx	xxx	1	"139,100"	0	i		
B13		Universidad Rafael Landívar	Guatemala	xxx	xxx	1	"550,000"	"38,380"	i		
B14		Biblioteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B15		Hemeroteca Nacional de Guatemala	Guatemala	xxx	xxx	1	xxx	xxx			
B16		Archivo General de la Nación	Mexico	xxx	xxx	1	"375,000,000"	xxx	p		
B17		Biblioteca Central UNAM	Mexico	xxx	xxx	1	"1,445,109"	"6,085"	i		
B18		Biblioteca Palafoxiana	Mexico	xxx	xxx	1	"52,422"	xxx	i		
B19		Biblioteca Vasconcelos	Mexico	xxx	xxx	1	"575,000"	xxx	i		
