Primary P: C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	PERIOD	PERIOD	VOLS	ITEM	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
		P	Hon Alm	1638	1830	5	Honduras Almanack	Belize	Belize	1826	1830	Burdon 1			
		P	Laws 1857	1765	1857	1	The laws of the settlement of British Honduras in force in the twentieth year of the reign of Her Majesty Queen Victoria	Belize	Belize	1857	1857	Burdon 1			
		P	"Thompson, Maya"	xxx		1	The Maya of Belize	Belize	Belize	1972	1972	Jones 1	By John Eric Sydney Thompson / 1972 edition printed by Benex Press / later editions available	file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/the_maya_of_belize_hq.pdf	
		S	Bel G	1861	2021		Gazette	Belmopan	Belize				"Gazettes 1861–1975 in CO 127
Gazettes 1976–Present in Archives and Records Service, or in Library Service
Published in Belize City 1861–1973
Gazette notices 1826 to c 1839 in Hon Alm / 1826 to c 1829 in Hon Gazette and Commercial Advertiser / 1838 to c 1841 in Belize Advertiser / 1840 to c 1848 Honduras Observer / 1854 to xxx in Packet Intelligencer"		
		P	Labat	xxx		6	Nouveau voyage aux isles de l'Amérique	Paris	France	1722	1722	Gallica	1742 edition in 8 vols available at Gallica	"Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0100566201/MOME?u=camb55135&sid=MOME&xid=46a2a40e
Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k9800377b"	
		P	Charlevoix	xxx		2	Histoire de l'Isle espagnole ou de S. Domingue	Paris	France	1730	1731			"Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k6584020m
Gallica v2: https://gallica.bnf.fr/ark:/12148/bpt6k6582990r"	
		P	Terte	xxx		2	Histoire generale des Antilles habitées par les François	Paris	France	1667	1667			"Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k9801339z
Gallica v2: https://gallica.bnf.fr/ark:/12148/bpt6k98223993"	
		P	Ximenes	xxx		3	Historia de la Provincia de San Vicente de Chiapa y Guatemala de la Orden de Predicadores	Guatemala	Guatemala	1929	1931			"v 1: https://archive.org/details/historiadelaprov01ximguat/page/n5/mode/2up
v 2: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIHistoriaProvinciaSanVicenteDeChiapaGuatemala
v 3: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIIHistoriaProvinciaSanVicenteDeChiapaGuatemala3"	
		P	Tovilla	xxx		1	"Relaciones histórico-descriptivas de la Verapaz, el Manché y Lacandón en Guatemala"	Guatemala	Guatemala	1960	1960	Jones 2 p49	Edited by France V. Scholes y Eleanor B. Adams	file:///Users/angelnavidad/Downloads/tovilla.pdf	
		P	MacSparran	xxx		1	"America dissected : being a full and true account of all the American colonies : shewing, the intemperance of the climates : excessive heat and cold ... badness of money : danger from enemies : but, above all, the danger to the souls of the poor people that remove thither, from the multifarious wicked and pestilent heresies that prevail in those parts : in several letters, from a rev. divine of the Church of England, missionary to America ..."	Dublin	Ireland	1753	1753		Printed and sold by S. Powell	https://link.gale.com/apps/doc/CY0100561686/SABN?u=camb55135&sid=SABN&xid=3bc0a340	
		P	Jam Act d y	1681	1788	7	"Acts of Assembly, passed in the island of Jamaica"	Kingston	Jamaica	1738	1790		"Inc 1681 to 1737 by John Baskett / 1681 to 1754 for Curtis Brett and Co. / 1681 to 1768 by Lowry and Sherlock / 1770 to 1783 for James Jones by Lewis and Eberall / 1681 to 1769 by Alexander Aikman, in 2 vols / 1784 to 1788 by Alexander Aikman"		
		S	Jam G	1794	2021		Gazette	Kingston	Jamaica				"Gazettes 1794–1968 in CO 141
Gazette notices 1718 to c 1755 in Weekly Jamaica Courant / c 1745 to c 1775 in Jamaica Gazette / c 1760 to c 1776 in Kingston Journal / c 1781 to c 1836 in Royal Gazette"		
		P	Lara	xxx		xxx	"Museo Yucateco, Manuscritos inéditos anónimos"	Campeche	Mexico	1841	1842		"Attributed to friar José Nicolás de Lara
Copies in Biblioteca Yucatense, Mérida Mexico /v A. Taracena Arriola Link: http://www.scielo.org.mx/pdf/peni/v2n1/v2n1a1.pdf"	xxx	
		P	DHY	xxx		3	Documentos para la historia de Yucatán	Merida	Mexico	1936	1938	Gerhard xi	Recopilados por France V. Scholes y publicados por Carlos R. Menéndez		
		P	RDPY	1520	1844	1	Relación documental para la historia de la provincia de Yucatán	Merida	Mexico	1992	1992		By Sergio Quezada		
		P	Cardenas	1526	1639	1	"Relación historial eclesiástica de la provincia de Yucatán de la Nueva España, escrita el año de 1639"	Mexico	Mexico	1937	1937	Jones 1	= BL Egerton MS 1791		
