Style: Table 1
						
						


Peer: Table 1
ID	NO	STYLE	YR	AUTHORS	GROUP	TITLE	LINK				
		Marsden	1902	R. G. Marsden	Royal Historical Society	"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118				
		Thompson	1938	J. E. Thompson	xxx	Sixteenth and seventeenth century reports on the Chol Mayas	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/661615				
		Pargelis	1944	"S. Pargellis, R. L. Butler"	xxx	"Daniell Ellffryth's Guide to the Caribbean, 1631"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923731				
		Ogelsby	1963	J. C. M. Ogelsby	Institute of Caribbean Studies / University of Puerto Rico	The British and Panama — 1742	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756				
		Grunewald	1965	D. Grunewald	Institute of Caribbean Studies / University of Puerto Rico	The Anglo-Guatemalan Dispute over British Honduras	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880				
		Sorsby	1969	W. S. Sorsby	University College London / University of London	"The British superintendency of the Mosquito Shore, 1749-1787"	"Sorsby, W. S. (1969). The british superintendency of the mosquito shore, 1749-1787 (Order No. 27822076). Available from ProQuest Dissertations & Theses Global. (2351282127). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/british-superintendency-mosquito-shore-1749-1787/docview/2351282127/se-2?accountid=11311"				
		Gonzalez	1983	N. L. Gonzalez	"Koninklijk Instituut voor Taal-, Land- en Volkenkunde"	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126				
		Baudot	1986	G. Baudot	Institut Pluridisciplinaire d'Etudes sur l'Amérique Latine / Université de Toulouse	Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876				
		Sanchez	1987	A. C. Contreras Sanchez	xxx	"El palo de tinte, motivo de un conflicto entre dos naciones"	https://historiamexicana.colmex.mx/index.php/RHM/article/view/2034				
		Rossano	1989	G. L. Rossano	Fenimore Art Museum	Down to the Bay	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260				
