"ISSN";"Title";"Geographical sphere";"Comprises"
"2171-9632";"25 División";"Teruel";"n. 2 (1/1938)"
"2605-4213";"5 (Vitoria)";"Álava";"Del 4/1934 al 6/1934"
"2660-1257";"El ""606"" (Úbeda)";"Jaén";"14/10/1911"
"2660-1699";"El 6 d'octubre";"Gerona";"17/9/1911, 6/10/1911"
"1136-0143";"ABC (Madrid. Ed. impresa)";"Madrid";"Del 2002 al 2018"
"1136-0208";"ABC (Sevilla. Ed. impresa) ";"Sevilla";"De 2002 a 2018"
"1576-1940";"ABC deportes";"Sevilla";"Del 2/1/2002 al 26/3/2007"
"1889-1799";"La Abeja (Barcelona)";"Barcelona";"Del 1862 al 1870"
"0214-5715";"La Abeja (Madrid)";"Madrid";"Del 10/6/1834 al 31/12/1834"
"1886-130X";"La Abeja del Turia";"Valencia";"Del 01/04/1820 al 29/12/1820"
"1889-7916";"Abeja española";"Cádiz";"Del 12/09/1812 al 31/08/1813. Del n. 1 al n. 354"
"2487-9940";"La Abeja manresana";"Barcelona";"Del 04/07/1813 al 05/07/1813"
"1579-1580";"AC. Documentos de actividad contemporánea";"Barcelona";"De 1931 a 1935. Del n. 1 al n. 18"
"2174-9752";"Academia heráldica";"Madrid";"De 6/1906 a 12/1910"
"2340-0889";"Acción (Barcelona)";"Barcelona";"Del 15/2/1930 al 19/02/1931"
"2171-5181";"La Acción (Madrid. 1916)";"Madrid";"Del 28/02/1916 al 21/05/1924"
"1576-5466";"Acción española (Madrid)";"Madrid";"Del 15/12/1931 al 03/1937. Del n. 1 al n. 89"
"2660-2105";"Acción libertaria (Gijón. 1910)";"Asturias";"Del 18/11/1910 al 27/9/1911"
"0212-7741";"Acción naturista";"Madrid";"Del n. 1 (1919) al n. 186 (6/1934)"
"2173-2825";"La Acción social (Zaragoza)";"Zaragoza";"Del 1/1933 al 10/1933. Del n. 117 al n. 120"
"2172-6086";"Acción socialista (Madrid. 1914)";"Madrid";"Del 21/3/1914 al 26/12/1915"
"2340-0900";"La Actualidad (Barcelona. 1852)";"Barcelona";"Del 2/2/1852 al 26/10/1852"
"2172-0665";"La Actualidad (Barcelona. 1906)";"Barcelona";"Del n. 1 (5/8/1906) al n. 264 (22/8/1911)"
"2173-4259";"Actualidades, Nuevo Teatro";"Álava";"Del 10/1935 al 2/1936. Del n. 1 al n. 5"
"1887-3928";"Actualidades (Madrid. 1893)";"Madrid";"Del 01/1893 al 01/1894"
"1889-7924";"Actualidades (Madrid. 1901)";"Madrid";"Del 15/10/1901 al 19/04/1903. Del n. 1 al n. 51"
"1889-8556";"Actualidades (Madrid. 1908)";"Madrid";"Del 20/02/1908 al 25/05/1910"
"2171-8180";"La Actualidad financiera (Madrid)";"Madrid";"Del n. 1 (29/10/1902) al n. 1.748 (15/7/1936) "
"2172-7007";"Actualidad hispana";"Madrid";"Del n. 1 (2/1931) al n. 59 (12/1935)"
"2340-3950";"El Acusador (Madrid)";"Madrid";"n. 1 (24/1/1873) y n. 4 (5/2/1873)"
"2444-1074";"El Adelantado de Segovia";"Segovia";"De 1999 a 2009"
"2171-3286";"¡Adelante!-- (Madrid. 1911)";"Madrid";"Del 25/01/1911 al 31/12/1912. Del n. 1 al n. 82"
"2171-7397";"Adelante (Valencia)";"Valencia";"Del n. 78 (1937) al n. 232 (1937)"
"2444-1090";"El Adelanto (Salamanca)";"Salamanca";"De 1999 a 2009"
"2173-4275";"Aérea (Madrid)";"Madrid";"Del 6/1923 al 11/1930. Del n. 1 al n. 87"
"0001-9763";"África (Madrid)";"Madrid";"Del 01/02/1926 al 01/06/1936"
"2171-7532";"África española (Madrid)";"Madrid";"Del 30/07/1913 al 28/02/1917. Del n. 1 al n. 45"
"1889-7932";"El Agricultor español";"Madrid";"1850"
"2171-0333";"El Águila (Sevilla)";"Sevilla";"Del 08/02/1858 al 15/05/1858"
