Introduction: Loss of life or property in Belize from 1630 to present.
						


Sources: Series S 0—960 / Primary and secondary sources which are not deposited series or collections.
ID	NO	PRIM	COLL	TYPE	ALT ID	CITED	PERIOD	PERIOD	SIZE	UNITS	ITEM	REPOSITORY	CITY	COUNTRY	IMPRINT	CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I	VIA	NOTE	LINK	END	
S 230	230	0	0	P	Adams	4	np	np	3	vols	The Cambridge History of the Native Peoples of the Americas	np	np	np	xxx	Cambridge	UK	1996	xxx	xnp	"R. E. W. Adams, M. J. MacLeod"	np	np	np	xnp	xnp	https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/series/cambridge-history-of-the-native-peoples-of-the-americas/4C505D0578405CDB65145628352F3B82	###	
S xxx	xxx	0	0	T	Aguirre	xon	np	np	np	np	Política exterior de Guatemala hacia Belice 1985–1995	np	np	np	U de San Carlos	Guatemala	Guatemala	1996	np	N. A. Aguirre	np	np	np	np	xnp	xnp	http://biblioteca.usac.edu.gt/tesis/28/28_0063.pdf 	###	
S 796	796	1	0	S	AHA y	xon	1895	2020	xxx	issues	Annual report of the American Historical Association for the year 1898	np	np	np	xxx	Washington	USA	1896	2021	np	np	np	np	np	Readex / US Congressional Serial Set	xnp	https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:SERIAL&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=113940A2F120EB68&svc_dat=Digital:ssetdoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	###	
S 212	212	0	0	T	Aird	xon	np	np	np	np	The origins and evolution of Belizean higher education and factors influencing its development	np	np	np	xxx	xxx	xxx	2001	np	C. E. Aird	np	np	np	np	xnp	xnp	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/origins-evolution-belizean-higher-education/docview/304682347/se-2?accountid=11311 	###	
S 936	936	1	0	P	Aitzema	2	xxx	xxx	6	vols	Saken van staet en oorlogh in ende omtrent de Vereenigde Nederlanden	np	np	np	xxx	Hague	Netherlands	1669	1672	xnp	xnp	np	np	np	Goslinga	xnp	xnp	###	
S 74	74	1	0	A	Akers	3	xxx	xxx	np	np	"An extended and higher-resolution record of climate and land use from stalagmite MC01 from Macal Chasm, Belize, revealing connections between major dry events, overall climate variability, and Maya sociopolitical changes"	np	np	np	np	np	np	2016	np	"P. D. Akers, G. A. Brook, L. B. Railsback, F. Liang, G. Iannone, J. W. Webster, P. P. Reeder, H. Cheng, R. L. Edwards"	np	"Palaeogeography, Palaeoclimatology, Palaeoecology"	459	xnp	xnp	Not annually resolved	https://doi-org.ezp-prod1.hul.harvard.edu/10.1016/j.palaeo.2016.07.007 	###	
S xxx	xxx	1	0	P	Alcedo	xon	xxx	xxx	5	vols	"Diccionario geográfico-histórico de las Indias Occidentales o América: es a saber: de los Reynos del Perú, Nueva España, Tierra Firme, Chile y Nuevo Reyno de Granada"	np	np	np	xxx	Madrid	Spain	1786	1789	A. de Alcedo	np	np	np	np	Garcia P 2 145	xnp	https://wellcomecollection.org/works/essh6kmh	###	
S xxx	xxx	0	0	A	Aliphat	12	np	np	np	np	La construcción histórica de las Tierras Bajas Mayas del Sur por medio de mapas esquemáticos	np	np	np	np	np	np	2013	np	"M. Aliphat Fernández, L. Caso Barrera"	np	Historia Mexicana	63	2	Caso 84	xnp	https://historiamexicana.colmex.mx/index.php/RHM/article/view/174	###	
S 562	562	1	0	A	Allen	2	xxx	xxx	np	np	"Sketch of the Eastern Coast of Central America, Compiled from Notes of Captain Richard Owen and the Officers of Her Majesty's Ship Thunder, and Schooner Lark"	np	np	np	np	np	np	1841	np	B. Allen	np	Journal of the Royal Geographical Society	11	xnp	xnp	xnp	https://link-gale-com.ezp-prod1.hul.harvard.edu/apps/doc/WJSWUN066496772/NCCO?u=camb55135&sid=NCCO&xid=3aaff7ff	###	
S 498	498	0	0	P	Alsedo	2	np	np	1	vols	Piraterías y agresiones de los ingleses y de otros pueblos de Europa en la América española desde el siglo XVI al XVIII	np	np	np	xxx	Madrid	Spain	1883	np	D. de Alsedo y Herrera	xnp	np	np	np	xnp	xnp	https://www.google.com/books/edition/Pirater%C3%ADas_y_agresiones_de_los_ingleses/MasMAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover	###	
S 124	124	0	0	P	Alves	2	np	np	1	vols	Guerra y fiscalidad en la Iberoamérica colonial	np	np	np	xxx	Mexico	Mexico	2012	np	xnp	"A. Alves Carrara, E. Sánchez Santiró"	np	np	np	xnp	xnp	file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf	###	
S 506	506	0	0	P	Ancona	6	np	np	5	vols	"Historia de Yucatan, desde la època más remota hasta nuestros dias"	np	np	np	xxx	Merida	Mexico	1878	xxx	E. Ancona	xnp	np	np	np	xnp	xnp	"Google v 2,3,4: http://nrs.harvard.edu/urn-3:HUL.FIG:003871492"	###	
S 634	634	0	0	P	Anderson	19	np	np	1	vols	Mahogany: The Costs of Luxury in Early America	np	np	np	xxx	Cambridge	USA	2012	np	J. L. Anderson	xnp	np	np	np	xnp	xnp	https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/harvard.9780674067264	###	
S 646	646	0	0	T	Anderson 07	xon	np	np	np	np	"Nature's Currency: The Atlantic Mahogany Trade, 1720–1830"	np	np	np	xxx	xxx	xxx	2007	np	J. L. Anderson	np	np	np	np	xnp	xnp	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/natures-currency-atlantic-mahogony-trade-1720/docview/304841794/se-2?accountid=11311	###	
S 312	312	0	0	P	Andrews	6	np	np	1	vols	Maya salt production and trade	np	np	np	xxx	Tucson	USA	1983	np	A. P. Andrews	xnp	np	np	np	xnp	xnp	https://archive.org/details/mayasaltproducti0000andr	###	
S xxx	xxx	0	0	P	Andrews B	xon	np	np	1	vols	"The Spanish Caribbean: Trade and Plunder, 1530–1630"	np	np	np	Yale University Press	New Haven	USA	1978	np	K. R. Andrews	np	np	np	np	Joseph 80 66 fn 4	xnp	https://archive.org/details/spanishcaribbean0000andr	###	
S 890	890	1	0	S	Ann Reg	3	1758	2021	263	issues	The Annual Register	np	np	np	xxx	London	UK	1758	2021	np	np	np	np	np	xnp	xnp	To 1799: https://access-newspaperarchive-com.ezp-prod1.hul.harvard.edu/browse/uk/middlesex/london/london-annual-register/ / To 1830: http://nrs.harvard.edu/urn-3:HUL.FIG:000796411	###	
S 188	188	0	0	MS	Antochiw	5	np	np	1	items	ALEJANDRO JOSEPH DE GUELLE	np	np	np	np	np	np	2004	np	M. Antochiw	np	np	np	np	xnp	xnp	http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf	###	
S 790	790	1	0	P	APC Col	2	1613	1783	6	vols	Act of the Privy Council of England : colonial series	np	np	np	xxx	London	UK	1908	1912	xnp	xnp	np	np	np	Burdon 1	xnp	http://id.lib.harvard.edu/alma/99154274911603941/catalog	###	
S 654	654	0	0	P	Appelbaum	xon	np	np	1	vols	Race and Nation in Modern Latin America	np	np	np	xxx	Chapel Hill	USA	2003	np	xnp	"N. Appelbaum, A. S. Macpherson, K. A. Rosemblatt"	np	np	np	Dutt 150	xnp	https://ebookcentral-proquest-com.ezp-prod1.hul.harvard.edu/lib/harvard-ebooks/detail.action?docID=413215	###	
S xxx	xxx	0	0	T	Arana	xon	np	np	np	np	"Determinar beneficios y retos de la implementación de los trece acuerdos suscritos entre Guatemala y Belice, el 17 de diciembre de 2014 en Placencia, Stann Creek, Belice"	np	np	np	U de San Carlos	Guatemala	Guatemala	2018	np	A. R. Arana de León	np	np	np	np	xnp	xnp	http://biblioteca.usac.edu.gt/tesis/04/04_14633.pdf 	###	
S 62	62	0	0	P	Armstrong-Fumero	10	np	np	1	vols	"Legacies of Space and Intangible Heritage: Archaeology, Ethnohistory, and the Politics of Cultural Continuity in the Americas"	np	np	np	xxx	Boulder	USA	2017	np	"F. Armstrong-Fumero, J. H. Gutierrez"	xnp	np	np	np	xnp	xnp	https://www-jstor-org.ezp-prod1.hul.harvard.edu/stable/j.ctt1mmfthq 	###	
S 864	864	1	0	P	Arthur	40	xxx	xxx	1	vols	"A candid examination of ""The defense of the settlers of Honduras"" : or, A fair inquiry into the truth and justice of their accusations against Colonel George Arthur, late Superintendent of that settlement"	np	np	np	xxx	London	UK	1824	np	"G. Arthur, J. Armstrong"	xnp	np	np	np	xnp	Printed for J. Butterworth and son	https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc	###	
S 326	326	0	0	T	Ashdown	xon	np	np	np	np	"Race, class and the unofficial majority in British honduras 1890-1949."	np	np	np	xxx	xxx	xxx	1979	np	P. D. Ashdown	np	np	np	np	xnp	xnp	file:///Users/angelnavidad/Downloads/448203.pdf	###	
S xxx	xxx	0	0	A	Ashdown 78	xon	np	np	np	np	ANTONIO SOBERANIS AND THE DISTURBANCES IN BELIZE 1934-1937	np	np	np	np	np	np	1978	np	P. D. Ashdown	np	Caribbean Quarterly	24	1/2	Ashdown 230 no 63	xnp	http://proxygw.wrlc.org/login?url=https://www.jstor.org/stable/40653360	###	
S xxx	xxx	0	0	A	Ashdown 81	xon	np	np	np	np	"Marcus Garvey, the UNIA and the Black Cause in British Honduras, 1914-1949"	np	np	np	np	np	np	1981	np	P. D. Ashdown	np	Journal of Caribbean History	15	xnp	Goldthree 39 fn 28	xnp	https://wrlc-gwu.primo.exlibrisgroup.com/permalink/01WRLC_GWA/15suu1b/cdi_proquest_journals_1302653190	###	
S 912	912	1	0	P	Ashton	3	xxx	xxx	1	vols	"Ashton's memorial : An history of the strange adventures, and signal deliverances, of Mr. Philip Ashton, who, after he had made his escape from the pirates, liv'd alone on a desolate island for about sixteen months, &c. : With a short account of Mr. Nicholas Merritt, who was taken at the same time. : To which is added a sermon on Dan. 3. 17."	np	np	np	xxx	London	UK	1725	np	xnp	xnp	np	np	np	xnp	xnp	https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=0F2F82DC25AC64D8&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340	###	
S 576	576	1	0	P	ASP d	0	1789	1838	38	vols	American State Papers	np	np	np	xxx	Washington	USA	1831	1861	xnp	xnp	np	np	np	xnp	xnp	https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA512222786880003941&context=L&vid=HVD2&search_scope=everything&tab=everything&lang=en_US	###	
S 2	2	1	0	P	Assy y	1	1854	1869	6	vols	Votes of Assembly	np	np	np	xxx	Belize	Belize	1858	xxx	xnp	xnp	np	np	np	Burdon 3 364	"Titles = Votes of the first Legislative Assembly of British Honduras, in its five sessions, from 1854 to 1857, inclusive / xxx"	xxx	###	
S 770	770	0	0	P	Asturias	1	np	np	1	vols	Belice	np	np	np	xxx	Guatemala	Guatemala	1925	np	F. Asturias	xnp	np	np	np	xnp	xnp	https://hdl.handle.net/2027/txu.059173022907279	###	
S 896	896	1	0	P	Atkins	9	xxx	xxx	1	vols	"Voyage to Guinea, Brazil and the West Indies in HMS Swallow and Weymouth"	np	np	np	xxx	London	UK	1735	np	xnp	xnp	np	np	np	xnp	xnp	https://archive.org/details/voyagetoguineabr00atki	###	
S 90	90	0	0	A	Awe	5	np	np	np	np	The Sword and the Olive Jar: Material Evidence of Seventeenth-Century Maya-European Interaction in Central Belize	np	np	np	np	np	np	2015	np	"J. J. Awe, C. Helmke"	np	Ethnohistory	62	2	xnp	xnp	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-2854369	###	
S xxx	xxx	1	0	P	"Awe, Arch"	0	xxx	xxx	2	vols	Archaeological Investigations in the Eastern Maya Lowlands 	np	np	np	NICH	Belmopan	Belize	2004	2005	xnp	"J. Awe, J. Morris, S. Jones, C. Helmke"	np	np	np	"Graham 395, 403"	Vols = Research Reports in Belizean Archaeology	xxx	###	
S xxx	xxx	0	0	P	Ayon	0	np	np	3	vols	Historia de Nicaragua desde los tiempos más remotos hasta el año de 1852	np	np	np	"Tip. de ""El Centro-americano"""	Granada	Nicaragua	1882	1889	T. Ayón	xnp	np	np	np	Obando 16	xnp	v 1: https://www.google.fr/books/edition/Historia_de_Nicaragua_desde_los_tiempos_/pu08AQAAIAAJ?hl=fr&gbpv=0 / v 2: https://www.google.fr/books/edition/Historia_de_Nicaragua_desde_los_tiempos/U-08AQAAIAAJ?hl=fr&gbpv=1&kptab=overview / v 3: https://books.google.com.bz/books?id=8-w8AQAAIAAJ&printsec=frontcover&source=gbs_ViewAPI&redir_esc=y#v=onepage&q&f=false	###	
xxx	402	0	0	P	Bailyn	0	np	np	1	vols	The New England Merchants in the Seventeenth Century	np	np	np	xxx	Cambridge	USA	1955	np	B. Bailyn	xnp	np	np	np	xnp	xnp	xxx	###	
S 502	502	0	0	P	Bancroft	6	np	np	3	vols	History of Central America	np	np	np	A. L. Bancroft & Co	San Francisco	USA	1882	1887	H. H. Bancroft	xnp	np	np	np	xnp	xnp	Google: http://nrs.harvard.edu/urn-3:HUL.FIG:002653988 / LLMC: http://id.lib.harvard.edu/alma/99154275013303941/catalog	###	
S 458	458	0	0	A	Barbour	3	np	np	np	np	Privateers and Pirates of the West Indies	np	np	np	np	np	np	1911	np	V. Barbour	np	American Historical Review	16	3	xnp	xnp	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1834836	###	
S 126	126	0	0	T	Barke 12	23	np	np	np	np	BACALAR EN EL SIGLO XVII	np	np	np	xxx	xxx	xxx	2012	np	G. Vasquez Barke	np	np	np	np	xnp	xnp	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761	###	
S 76	76	0	0	T	Barke 16	43	np	np	np	np	Los poderes y los hombres	np	np	np	xxx	xxx	xxx	2016	np	G. Vasquez Barke	np	np	np	np	xnp	xnp	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336 	###	
S 946	946	1	0	P	Barlaeus	5	xxx	xxx	1	vols	"Rerum per octennium in Brasilia et alibi nuper gestarum sub praefectura J. Mauritii, Nassoviae, 1647"	np	np	np	xxx	Amsterdam	Netherlands	1647	np	xnp	xnp	np	np	np	Goslinga	"Barlaeus/Naber = Trans. and ed. S. P. l'Honoré Naber, Kaspar van Baerle. Nederlandsch Brazilië onder het bewind van Johan Maurits, grave van Nassau. 's-Gravenhage, 1923."	https://gallica.bnf.fr/ark:/12148/btv1b8556547p	###	
S 298	298	0	0	A	Baudot	2	np	np	np	np	Dissidences indiennes et complicités flibustières dans le Yucatán du XVII e siècle	np	np	np	np	np	np	1986	np	G. Baudot	np	Cahiers du monde hispanique et luso-brésilien	46	xnp	xnp	xnp	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/40852876	###	
S 158	158	0	0	P	Bechtold	xon	np	np	1	vols	Handbook of Natural Colorants	np	np	np	xxx	Chippenham	UK	2009	np	xnp	"T. Bechtold, R. Mussak"	np	np	np	xnp	xnp	"file:///Users/angelnavidad/Downloads/(Wiley%20series%20in%20renewable%20resources)%20Thomas%20Bechtold,%20Rita%20Mussak%20-%20Handbook%20of%20natural%20colorants-Wiley%20(2009).pdf"	###	
S 828	828	1	0	S	Bel G	29	1855	2021	xxx	issues	Gazette	np	np	np	xxx	Belmopan	Belize	1855	2021	np	np	np	np	np	xnp	"Gazettes 1855–1860 in xxx /v Burdon 3 364 / Gazettes 1861–1975 in CO 127 / Gazettes 1976–Present in Archives and Records Service, or in Library Service / Published in Belize City 1861–1973 / Gazette notices 1826 to c 1839 in Hon Alm / 1826 to c 1829 in Hon Gazette and Commercial Advertiser / 1838 to c 1841 in Belize Advertiser / 1840 to c 1848 Honduras Observer / 1854 to xxx in Packet Intelligencer / Possibly printed since 1835 as Govt Gazette /v Donohoe 52"	xnp	###	
S 0	0	1	0	P	Bel Met	15	xxx	xxx	xxx	xxx	xxx	np	np	np	xxx	Ladyville	Belize	xxx	xxx	xnp	xnp	np	np	np	xnp	"By Meteorological Service / 1865 = Start of instrumental records by Govt, ie Vicar of St John's Church / Jul 1866 = start of instrumental records by Surgeon of Public Hospital, Belize T /v Rushton 92"	xnp	###	
S 690	690	0	0	P	Bethell	21	np	np	11	vols	Cambridge History of Latin America	np	np	np	xxx	Cambridge	UK	1984	xxx	xnp	L. Bethell	np	np	np	xnp	xnp	https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/series/cambridge-history-of-latin-america/91F3260941408B240FD337BD8C94C28C#	###	
S 64	64	0	0	A	Bialuschewski	5	np	np	np	np	Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century	np	np	np	np	np	np	2017	np	A. Bialuschewski	np	Ethnohistory	64	1	xnp	xnp	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359	###	
S 20	20	0	0	A	Bialuschewski 20	7	np	np	np	np	Juan Gallardo: A Native American Buccaneer	np	np	np	np	np	np	2020	np	A. Bialuschewski	np	Hispanic American Historical Review	100	2	xnp	xnp	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-8178200	###	
S 942	942	1	0	P	Blaeu	2	xxx	xxx	11	vols	"Atlas maior, sive, Cosmographia Blaviana : qua solum, salum, cœlum, accuratissime describuntur"	np	np	np	xxx	Amsterdam	Netherlands	1662	1672	xnp	xnp	np	np	np	xnp	"v2, 6, 10, 11 missing from Harvard"	Harvard: http://id.lib.harvard.edu/alma/990040734920203941/catalog / Erfgoed Leiden en Omstreken: https://www.erfgoedleiden.nl/schatkamer/bladeren-door-blaeu 	###	
S 340	340	0	0	P	Bolland 1	0	np	np	1	vols	Land in Belize 1765—1871	np	np	np	xxx	Kingston	Jamaica	1975	np	"O. N. Bolland, A. Shoman"	xnp	np	np	np	xnp	xnp	file:///Users/angelnavidad/Downloads/land_in_belize_1765-1871_bolland_and_shoman.pdf	###	
S 330	330	0	0	P	Bolland 2	1	np	np	1	vols	Formation of a Colonial Society	np	np	np	xxx	Baltimore	USA	1977	np	O. N. Bolland	xnp	np	np	np	xnp	xnp	https://archive.org/details/formationofcolon0000boll 	###	
S 342	342	0	0	T	Bolland 75	66	np	np	np	np	"The formation of a colonial society : Belize, from conquest to Crown Colony"	np	np	np	xxx	xxx	xxx	1975	np	O. N. Bolland	np	np	np	np	xnp	xnp	file:///Users/angelnavidad/Downloads/content-hull_7151a.pdf	###	
S 294	294	0	0	A	Bolland 87	0	np	np	np	np	Alcaldes and Reservations: British Policy towards the Maya in Late Nineteenth Century Belize	np	np	np	np	np	np	1987	np	O. N. Bolland	np	America Indigena	47	1	Armstrong-Fumero 74	xnp	xxx	###	
S 620	620	1	0	P	Bonnet	2	xxx	xxx	1	vols	"The Tryals of Major Stede Bonnet, and Other Pirates who were condemn'd for piracy"	np	np	np	xxx	London	UK	1719	np	xnp	xnp	np	np	np	xnp	xnp	https://link.gale.com/apps/doc/Q0100334812/MMLT?u=camb55135&sid=bookmark-MMLT&xid=0fd225ac&pg=1	###	
S 152	152	0	0	A	Botella-Ordinas	xon	np	np	np	np	"DEBATING EMPIRES, INVENTING EMPIRES: British Territorial Claims Against the Spaniards in America, 1670—1714"	np	np	np	np	np	np	2010	np	E. Botella-Ordinas	np	Journal for Early Modern Cultural Studies	10	1	xnp	xnp	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23267356 	###	
S 232	232	0	0	T	Bowett	5	np	np	np	np	The english mahogany trade 1700-1793 	np	np	np	xxx	xxx	xxx	1996	np	A. Bowett	np	np	np	np	xnp	xnp	file:///Users/angelnavidad/Downloads/288218482-3.pdf	###	
S 464	464	1	0	P	Boyce	9	xxx	xxx	1	vols	"Report to the Government of British Honduras upon the outbreak of yellow fever in that Colony in 1905 : together with an account of the distribution of the Stegomyia fasciata in Belize, and the measures necessary to stamp out or prevent the recurrence of yellow fever"	np	np	np	xxx	London	UK	1906	np	R. W. Boyce	xnp	np	np	np	xnp	xnp	BHL: https://doi.org/10.5962/bhl.title.132224 / Google: https://www.google.com/books/edition/Report_to_the_Government_of_British_Hond/TiY6AQAAMAAJ?hl=en&gbpv=1&dq=subject:%22Belize%22&pg=PA50&printsec=frontcover	###	
S 206	206	0	0	P	Bracamonte	2	np	np	1	vols	"La conquista inconclusa de Yucatán : los mayas de la montaña, 1560-1680"	np	np	np	xxx	Mexico	Mexico	2001	np	P. Bracamonte y Sosa	xnp	np	np	np	xnp	xnp	"file:///Users/angelnavidad/Downloads/(Peninsular_%20Estudios)%20Pedro%20Bracamonte%20y%20Sosa%20-%20La%20conquista%20inconclusa%20de%20Yucatán_%20los%20mayas%20de%20la%20montaña,%201560-1680-CIESAS%20(2001).pdf"	###	
S 254	254	0	0	T	Breuer	2	np	np	np	np	"Colonies of happenstance: The english settlements in central america, 1525-1787 "	np	np	np	xxx	xxx	xxx	1993	np	K. H. Breuer	np	np	np	np	xnp	xnp	http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311	###	
S 360	360	0	0	P	Bridenbaugh	0	np	np	1	vols	"No peace beyond the line; the English in the Caribbean, 1624-1690"	np	np	np	xxx	New York	USA	1972	np	"C. Bridenbaugh, R. Bridenbaugh"	xnp	np	np	np	xnp	See pp 341–342 for Log data /v Joseph 80 70 fn 26	xnp	###	
S xxx	xxx	0	0	P	Bridges	0	np	np	2	vols	The Annals of Jamaica	np	np	np	xxx	London	UK	1828	1828	G. W. Bridges	np	np	np	np	Bolland 2 208 no 3	See v 2 pp 134–137 re Log /v Bolland 2 208 no 3	xnp	###	
S 778	778	0	0	P	Brindley	1	np	np	1	vols	"Sketches of the Wesleyan mission in British Honduras, to commemorate the jubilee of Wesley Church, Belize"	np	np	np	xxx	Belize	Belize	1916	np	J. B. Brindley	xnp	np	np	np	xnp	xnp	https://ufdc.ufl.edu/UF00095381/00001	###	
S 792	792	1	0	P	Bristow Rep	0	xxx	xxx	1	vols	Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War	np	np	np	xxx	Washington	USA	1905	np	xnp	xnp	np	np	np	Gale / World Scholar	xnp	https://worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227# 	###	
S 274	274	0	0	A	Brown	14	np	np	np	np	The Mosquito Shore and the Bay of Honduras during the era of the American Revolution	np	np	np	np	np	np	1990	np	W. Brown	np	Belizean Studies	18	2	xnp	xnp	xxx	###	
S 436	436	0	0	A	Brown 28	0	np	np	np	np	Contraband Trade: A Factor in the Decline of Spain's Empire in America	np	np	np	np	np	np	1928	np	V. L. Brown	np	Hispanic American Historical Review	8	xnp	xnp	xnp	xxx	###	
S 332	332	0	0	P	Buhler	1	np	np	1	vols	A History of the Catholic Church in Belize	np	np	np	xxx	Belize	Belize	1976	np	R. O. Buhler	xnp	np	np	np	xnp	xnp	xxx	###	
S 78	78	0	0	A	Bulmer	5	np	np	np	np	The Origins of the Belize Settlement	np	np	np	np	np	np	2016	np	"B. Bulmer-Thomas, V. Bulmer-Thomas"	np	Tempus	4	xnp	xnp	xnp	file:///Users/angelnavidad/Downloads/326161-Texto%20del%20art%3Fculo-119179-1-10-20161119.pdf	###	
S 22	22	0	0	A	Bulmer 20	xon	np	np	np	np	"Desempeño, estructura y política en la economía de Belice"	np	np	np	np	np	np	2020	np	V. Bulmer-Thomas	np	Anuario de Estudios Centroamericanos	46	xnp	xnp	SERVER DOWN 28 JUN 2021	https://revistas.ucr.ac.cr/index.php/anuario/article/view/43825 	###	
S 636	636	0	0	P	Bulmer-Thomas	3	np	np	1	vols	The Economic History of the Caribbean since the Napoleonic Wars	np	np	np	xxx	Cambridge	UK	2012	np	xnp	xnp	np	np	np	xnp	xnp	file:///Users/angelnavidad/Downloads/V.%20Bulmer-Thomas%20-%20The%20Economic%20History%20of%20the%20Caribbean%20Since%20the%20Napoleonic%20Wars-Cambridge%20University%20Press%20(2012).pdf	###	
S 632	632	0	0	P	"Bulmer-Thomas, Bel"	0	np	np	1	vols	The economic history of Belize : from the 17th century to post-independence	np	np	np	xxx	Benque Viejo	Belize	2012	np	xnp	xnp	np	np	np	xnp	xnp	xxx	###	
S 760	760	1	0	P	Burdon	808	1587	1884	3	vols	Archives of British Honduras	np	np	np	xxx	London	UK	1931	1935	xnp	xnp	np	np	np	xnp	xnp	"Lib Service v1: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf / Lib Service v2: file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf / Lib Service v3: file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf"	###	
S 768	768	0	0	P	"Burdon, Sketch"	0	np	np	1	vols	"Brief Sketch of British Honduras. Past, Present and Future"	np	np	np	xxx	xxx	xxx	1927	np	J. Burdon	xnp	np	np	np	xnp	xnp	xxx	###	
