Sheet 1: Table 1
	P	OCLC	ARCHON	CENSO	Cat 1	Cat 2
"National Art Library, Victoria & Albert Museum"	UK	AVA	72		Discovery	WorldCat
British Library: Asian and African Studies	UK	BRI			Discovery	WorldCat
"British Library, Manuscript Collections"	UK	BRI			Discovery	WorldCat
"British Film Institute, National Film and Television Archive"	UK	BRI			Discovery	WorldCat
Cambridge University Library: Royal Commonwealth Society Library	UK	CUD			Discovery	WorldCat
Cambridge University Library: Department of Manuscripts and University Archives	UK	CUD			Discovery	WorldCat
Cambridge University Library: Charles Close Society Archives	UK	CUD			Discovery	WorldCat
"Durham University Library, Special Collections"	UK	DHA			Discovery	WorldCat
Oxford University: Museum of Natural History	UK	EQO	462		Discovery	WorldCat
"Oxford University: Bodleian Library, Special Collections"	UK	EQO	161		Discovery	WorldCat
Oxford University: Alexander Library of Ornithology	UK	EQO	480		Discovery	WorldCat
"Leeds University Library, Special Collections"	UK	ERL	206		Discovery	WorldCat
Manchester University: University of Manchester Library	UK	EUM	133		Discovery	WorldCat
London University: Goldsmiths Library: Special Collections and Archives	UK	GSM	2603		Discovery	WorldCat
King's College London: Liddell Hart Centre for Military Archives	UK	KIJ	99		Discovery	WorldCat
"London University: London School of Economics, The Women's Library"	UK	LSD	106		Discovery	WorldCat
"London University: London School of Economics Library, Archives and Special Collections"	UK	LSD	97		Discovery	WorldCat
London University: Institute of Education	UK	LUIOE	366		Discovery	WorldCat
London University: University College London (UCL) Special Collections	UK	LUN	103		Discovery	WorldCat
"The Natural History Museum Archives, London"	UK	N8Q			Discovery	WorldCat
University of Reading: Special Collections	UK	REU	6		Discovery	WorldCat
Tower Hamlets Local History Library and Archives	UK	UKLTH	92		Discovery	WorldCat
"National Maritime Museum: The Caird Library, Manuscripts Section"	UK	UKNMM			Discovery	WorldCat
National Maritime Museum: The Caird Library and Archive	UK	UKNMM	64		Discovery	WorldCat
Yale University Libraries: Sterling Memorial Library	USA	YUS	701		Discovery	WorldCat
Yale University Libraries: Beinecke Library	USA	YUS	700		Discovery	WorldCat
Archives and Records Department	Jamaica		3223		Discovery	
National Library of Jamaica	Jamaica		944		Discovery	
"University of the West Indies, Mona Campus"	Jamaica		667		Discovery	
"University of the West Indies, Mona Campus"	Trinidad and Tobago		759		Discovery	
The National Archives	UK		66		Discovery	
Yorkshire Archaeological and Historical Society	UK		207		Discovery	
York Merchant Adventurers' Company	UK		2616		Discovery	
Worcestershire Archive and Archaeology Service	UK		45		Discovery	
Wolverhampton City Archives	UK		149		Discovery	
Wiltshire and Swindon History Centre	UK		190		Discovery	
Wigan Archives and Local Studies	UK		132		Discovery	
"West Yorkshire Archive Service, Leeds"	UK		205		Discovery	
"West Yorkshire Archive Service, Kirklees"	UK		204		Discovery	
"West Yorkshire Archive Service, Calderdale"	UK		203		Discovery	
"West Yorkshire Archive Service, Bradford"	UK		202		Discovery	
West Sussex Record Office	UK		182		Discovery	
Warwickshire County Record Office	UK		187		Discovery	
Walsall Local History Centre	UK		148		Discovery	
V&A Department of Theatre and Performance	UK		71		Discovery	
University of Kent: Special Collections & Archives	UK		1089		Discovery	
United Kingdom Hydrographic Office (UKHO) Archive	UK		2624		Discovery	
Unilever Archives and Records Management	UK		1752		Discovery	
Tyne and Wear Archives	UK		183		Discovery	
The Rothschild Archive	UK		2058		Discovery	
The Postal Museum	UK		813		Discovery	
Teesside Archives	UK		20		Discovery	
Tameside Local Studies and Archives	UK		131		Discovery	
Surrey History Centre	UK		176		Discovery	
"Suffolk Record Office, Lowestoft Branch"	UK		175		Discovery	
"Suffolk Record Office, Ipswich Branch"	UK		173		Discovery	
"Suffolk Record Office, Bury St Edmunds Branch"	UK		174		Discovery	
Staffordshire Regiment Museum	UK		858		Discovery	
Staffordshire and Stoke-on-Trent Archive Service: Staffordshire County Record Office	UK		169		Discovery	
St Helens Local History and Archives Library	UK				Discovery	
Southampton Archives Office	UK		43		Discovery	
Somerset Heritage Centre (South West Heritage Trust)	UK		168		Discovery	
Society of Antiquaries of London	UK		118		Discovery	
Shropshire Archives	UK		166		Discovery	
Sheffield Industrial Museums Trust	UK		1448		Discovery	
Sheffield City Archives	UK		199		Discovery	
Shakespeare Birthplace Trust	UK		188		Discovery	
"Seven Stories, the Centre for Children's Books"	UK		1840		Discovery	
See information in published source ??	UK				Discovery	
Sedbergh School Archive and Heritage Centre	UK		2493		Discovery	
Santander Group Archives	UK		2060		Discovery	
Sandwell Community History and Archives Service	UK		146		Discovery	
Salford University Archives and Special Collections	UK		427		Discovery	
Royal Northern College of Music	UK		1179		Discovery	
Royal Logistic Corps Museum	UK		1820		Discovery	
Royal Institution of Great Britain	UK		116		Discovery	
Royal Geographical Society	UK		402		Discovery	
Royal College of Veterinary Surgeons Trust	UK		3290		Discovery	
Royal College of Physicians of London	UK		113		Discovery	
"Royal Botanic Gardens, Kew, Library and Archives"	UK		68		Discovery	
Queen's University Archives	UK		651		Discovery	
Portsmouth History Centre	UK		42		Discovery	
Plymouth and West Devon Record Office	UK				Discovery	
Parliamentary Archives	UK		61		Discovery	
Oxfordshire History Centre	UK		160		Discovery	
Oxfordshire Health Archives	UK		2094		Discovery	
Oswestry Town Council	UK		2106		Discovery	
Nottinghamshire Archives	UK		157		Discovery	
"Nottingham University Library, Department of Manuscripts and Special Collections"	UK		159		Discovery	
Norwood Historical Archives	UK		3491		Discovery	
Northumberland Archives	UK		155		Discovery	
Northamptonshire Record Office	UK				Discovery	
North Yorkshire County Record Office	UK		191		Discovery	
North Devon Record Office (South West Heritage Trust)	UK		821		Discovery	
Norfolk Record Office	UK		153		Discovery	
Natural History Museum Library and Archives	UK		60		Discovery	
National Records of Scotland (formerly National Archives of Scotland)	UK		234		Discovery	
National Museums Liverpool: Maritime Archives and Library	UK		136		Discovery	
National Maritime Museum	UK				Discovery	
