Introduction: Loss of life or property in Belize from 1630 to present.
						


Clusters: Table 1
ALT ID	ID	NO	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
Crs 5			Estenoz Prohibition	23 Dec 1763	5 Mar 1765	Sp	 	Yucatan prohibits logging along northern rivers				"[G]overnor of Yucatan and the commandant of Baccalar, interrupted their [Baymen's] trade in general, by requiring them to produce a regular licence, either from their own sovereign, or rom the king of Spain. This interruption was followed by the expulsion of the settlers from those points of the coast which were considered as beyond the limits assigned in the recent treaty [of Paris 1763]. They were commanded to retire from Rio Hondo within the space of two months; they were confined to the south bank of Rio Nuevo; and both at Rio Nuevo and Rio Wallis, they were restricted from ascending to the distance of more than twenty leagues from the sea. By these aggressions, more than five hundred settlers were driven from their habitations, with the loss of their property, amounting to above £27,000 sterling. /v Coxe v 4 316 /Lord Auckland's Collections [MS. Remarks on the article of the treaty of 1763, relating to the settlements in the bay of Mexico, by a british settler] = BL Add MS xxx

See CO 5/119 Part 1 Link: http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_012"	
Crs 1			Alien Logging	1 Jan 1765	30 Dec 1770	 	Du Fr	Alien loggers saturate Settlement				Possibly see Flanagan statement in Massachusetts Spy XV 769 p4 = 29 Dec 1785 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A10284A66F6BC7768%40EANX-102F3C5BC9CE6E2F%402373381-102F3C5C6CD33EA4%403-102F3C5E5B23642E%40%255BDefence%253B%2BReaders%253B%2BDennis%2BFlanagan%253B%2BSchoolmaster%253B%2BEye%2BConought%253B%2BIreland%255D / clearer copy in State Gazette of South-Carolina XLIV 2366 p2 = 9 Jan 1786 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1076626283585A90%40EANX-107677E6CB449908%402373392-107677E70240C458%401-107677E7CF2B9738%40Charleston%252C%2BJanuary%2B9	
Crs 6			Logwood Exhaustion	1 Jun 1765	30 Nov 1766	 	 	Logwood becomes significantly scarce				"Possibly started in 1763 /v Finamore 35 /v Burdon 1 183 /BL Add MS 34903 [Dyer to Lordship 12 Feb 1790]

Possibly see, NEW-YORK, March 11 [1751]. By Capt. Jones, who arrived here last Week in 28 Days from the Bay of Hon, we have Advice, that there are now near 50 Eng Vessels in that Place getting Wood; some of whom, he believes will not be loaded before next Christmass. /New-York Gazette, or Weekly Post-Boy 426 p3 = 18 Mar 1751"	
Crs 2			Zayas Asylum	1 Jan 1766	30 Dec 1771	Sp	 	Yucatan offers asylum to Settlement slaves			Bolland 75 158	"See Guat asylum 1800, ESTADO,49,N.74 / ESTADO,49,N.92 / ESTADO,49,N.107
See Yuc asylum 1802 ESTADO,35,N.46"	
Crs 23			Logwood Crash	1 Jan 1767	30 Dec 1772			Logwood prices crash			"Bowett 156
McJunkin 145
Joseph 74 35"		
Crs 22				1 Jan 1768	30 Dec 1771			Civil unrest / xxx					
Crs 4			Despard Affair	1 Jun 1787	30 May 1791	Sp		Shoremen evacuated to Settlement / Civil unrest / Constitutional crisis / Market destabilised	"Independent Journal NYC NY 295 p2
Independent Journal NYC NY 311 p2
New-York Journal 2091 p2
Morning Chronicle 5680 LON = 1787"	"MEXICO,3109 [L. Gálvez a Valdés, Mérida a 8 jun 1790]
MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	"Calderon 368 no 18 img 984
Calderon 384 img 1020
Bolland 75 p69"	"DIARIO DE D. RAFAEL LLOBET, BACALAR A 3-12-790. Día 23.--Fuí a comer en casa de Mr. Francisco O'Brien, llegué antes que los convidados y entre otras cosas dijo: que la conducta de D. Juan Bautista Gual era lo que tenía al Coronel Despard en muy mal estado; le respondí, me alegrara tener yo una conducta irreprensible como la de Gual, y arguyó que D. Juan Bautista Gual nunca debió haberles cortado los plátanos ni menos el dicho coronel haber convenido en ello, pues todo lo que no determinaba prohibido la Convención era concedido; ... /via Calderon 384 img 1020 /MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	
Crs 7			Mahogany Depression	1 Jan 1827	30 Dec 1834			Depression in mahogany prices	"Honduras Gazette and Commercial Advertiser I 1 p4 = 1 Jul 1826
Honduras Gazette and Commercial Advertiser I 28 p8 = 6 Jan 1827"			London Mah prices = 0.1.1(1/2) to 0.1.4 p ft Jul 26 / 0.0.8 to 0.0.9 p ft Jan 27 /xxx	
Crs 8			Battle of La Arada	2 Feb 1851				Refugees from Guatemala		"CP 2567 p 47
CP 1693 p 40"			
Crs 9			Mahogany Collapse	1 Jun 1859	30 Jun 1859			Collapse of leading mahogany firms in Hon		"CP 2841 p 12
R 66 [4 Apr 1860]"	Burdon 3 228	"Possibly see Dominica Colonist VII New Series 347 p3 = 13 Feb 1847 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145F9FFAB4F60D2E%40EANACN-14C427722CE020F0%402395706-14C3E2A772DBAF10%402-14C3E2A772DBAF10%40 / Dominica Colonist VI New Series 326 p4 = 26 Sep 1846 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145F9FFAB4F60D2E%40EANACN-14C4276178069338%402395566-14C3E2A723F52788%403-14C3E2A723F52788%40 / Dominica Colonist VII New Series 371 p1 = 31 Jul 1847 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145F9FFAB4F60D2E%40EANACN-14C4278169708540%402395874-14C3E2A7DA954C40%400-14C3E2A7DA954C40%40 / Royal Gazette [Hamilton] XXIII 29 p3 = 16 Jul 1850 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145EB409234A954C%40EANACN-14995E4B87FB2AC8%402396955-149953F6B634FFB8%402-149953F6B634FFB8%40

Possibly see Hon letter 27 Nov 1849 in Times-Picayune [sn] p6 = 18 Dec 1849 Link: https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANX&docref=image/v2%3A1223BCE5B718A166%40EANX-1224798E601E4E28%402396745-1224211A04A400E8%405-124F692CDD0B0521%40Important%2Bfrom%2BHonduras%2Band%2B%255BIllegible%255D"	
Crs 10			WIR Riots	13 Aug 1863	13 Aug 1863			WIR soldiers riot 					
Crs 11			Long Depression	1 Sep 1873	30 Jul 1880			Depression in export trade		"C.1825 p 6
C.1622 p 56
C.2149 p 10
C.2444 p 37"			
Crs 12			Totoposte Refugees	1 Jun 1890				Refugees from Totopose Wars in Sp CA					
Crs 13			Silver Crisis	1 Jul 1891	30 Dec 1894			Depression and instability in silver market		"C.6857-23
C.6857-44
C.7319-14
C.7944-14"			
Crs 14			Constabulary Riots	1 Nov 1894	30 Nov 1894			Constables and loggers riot					
Crs 15			Short Depression	1 Dec 1901	30 Dec 1902			Depression in export trade		Cd. 1388-14			
