Introduction: Table 1
												
												
												
	0	Collection of collection sources										
		Import from collection sources in manuscript projects by Navidad	finished 4 Aug 2022	139 new unique records								
		Query in TNA Discovery for honduras or hondur* to 1799	finished 4 Aug 2022	no new records								
		Query in TNA Discovery for honduras or hondur* to 1899	finished 4 Aug 2022	vars new unique records								
		Query in FranceArchives for honduras or campeche to 1849	finished 4 Aug 2022	vars new unique records								
		Query in Archieven.nl for hondur* or campec* or campel* or campes* to 1799	finished 5 Aug 2022	no new records								
		Query in Openarch.nl - Transcriptions for hondur* or campec* or campel* or campes* to 1799	finished 5 Aug 2022	no new records								
		Query in Doorzoek koloniale archieven dekok.xyz for hondur* or campec* etc to 1799	finished 5 Aug 2022	no new records								
		Query in ProQuest Archive Finder for logwood etc to 1799	finished 5 Aug 2022	vars new unique records								
		Query in OAIster for logwood etc to 1799	could not query due to technical malfunctions on 5 Aug 2022									
		Query in ArchiveGrid for logwood etc to 1799										
												
		Note - could not categorise S 153 [Harv Digital Collection] as being compilation of pamphlets from vars Harvard repositories on 6 AUG 2022										
		Note - could not categorise S 407 [Metzgen personal property] as being private on 6 AUG 2022										


Collections: Table 1
	ver_1.4_ids_	collections_	country_	district_	url_	cat_0_	directory_0_	directory_1_	directory_2_	directory_3_	notes_					
	-^-	of the Consejo Latinoamericano de Ciencias Sociales > Biblioteca Virtual in Buenos Aires Argentina	Argentina	Ciudad Autónoma de Buenos Aires	https://www.clacso.org	http://biblioteca.clacso.edu.ar	^^^	^^^	^^^	^^^	^^^					
	S 397	of the University of the West Indies > Cave Hill > Sidney Martin Library in Cave Hill Barbados	Barbados	St Michael	https://www.cavehill.uwi.edu/mainlibrary/home.aspx	-^-	^^^	^^^	^^^	^^^	^^^					
	S 9 / S 11 / S 13 / S 15 / S 17 / S 19 / S 21 / S 23 / S 25 / S 27 / S 29 / S 31 / S 33 / S 35 / S 37 / S 39	of the Archives and Records Service in Belmopan Belize	Belize	Cayo	https://www.archives.gov.bz/	-^-	https://discovery.nationalarchives.gov.uk/details/a/A17851071	^^^	^^^	^^^	^^^					
	-^-	of the National Heritage Library in Belmopan Belize	Belize	Cayo	https://www.bnlsis.org/nationalheritagelibrary	https://bnlsis.mlasolutions.com/m5/catalog/(S(ttd01a5orqks4t4zpdg4hhmk))/Default.aspx?internal=1&installation=NationalHeritage	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Archivo Nacional de Costa Rica in San José Costa Rica	Costa Rica	San José	https://www.archivonacional.go.cr	https://www.archivonacional.go.cr/index.php/institucional/content-component-4/archivo-historico	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=52746	^^^	^^^	^^^	"tel (506) 22831400 e-mail: directora@dgan.go.cr y ancost@ice.co.crn sitio web www.archivonacional.go.cr /v Silva p 161 / La institución custodia actualmente 18000 metros lineales de documentos en los tres archivos a su cargo: Archivo Histórico, Archivo Notarial y Archivo Intermedio /v Silva p 163 / En 1936 se edita la *Revista del Archivo Nacional*, cuyo objetivo era difundir los fondos documentales en custodia, así como las investigaciones históricas /v Silva p 164"					
	-^-	of the Archives Départementales de Charente-Maritime in La Rochelle France	France	Charente-Maritime	https://archives.charente-maritime.fr/	https://archives.charente-maritime.fr/inventaires	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRAD017	https://francearchives.fr/fr/service/33520	^^^	^^^	^^^					
	-^-	of the Archives Départementales de l'Hérault in Montpelier France	France	Hérault	http://pierresvives.herault.fr/	https://pierresvives.herault.fr/1289-recherches-archives-en-ligne.htm	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRAD034	https://francearchives.fr/fr/service/33680	^^^	^^^	^^^					
	-^-	of the Archives Départementales de la Gironde in Bordeaux France	France	Gironde	https://archives.gironde.fr	https://archives.gironde.fr/archive/resultats/avance/n:127?type=avance	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRAD033	https://francearchives.fr/fr/service/33661	^^^	^^^	^^^					
	S 41	of the Ministère de le Culture > Archives > Archives Nationales d'Outre-Mer in Aix-en-Provence France	France	Bouches-du-Rhône	http://www.archivesnationales.culture.gouv.fr/anom/fr/	http://www.archivesnationales.culture.gouv.fr/anom/fr/Recherches/IREL.html	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/FR-FRANOM	https://francearchives.fr/fr/service/34641	https://www.culture.gouv.fr/Espace-documentation/Repertoire-des-ressources-documentaires/Archives/Archives-nationales-d-outre-mer-ANOM?step=288644	^^^	^^^					
	-^-	of the Ministère de le Culture > Archives > Archives Nationales in Paris France	France	Paris	http://www.archives-nationales.culture.gouv.fr/	https://www.archives-nationales.culture.gouv.fr/fr/web/guest/faire-une-recherche	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRAN	https://francearchives.fr/fr/service/34633	https://www.culture.gouv.fr/Espace-documentation/Repertoire-des-ressources-documentaires/Archives/Archives-nationales-Paris?step=288498	^^^	review at http://dissertationreviews.org/archives-nationales-bibliotheque-nationale-de-france-bnf/					
	S 99 / S 101	of the Bibliothèque Nationale de France in Paris France	France	Paris	https://www.bnf.fr/fr	https://archivesetmanuscrits.bnf.fr	https://www.archivesportaleurope.net/es/directory/-/dir/ai/code/FR-00000028785	https://francearchives.fr/fr/service/26288072	https://www.culture.gouv.fr/Espace-documentation/Repertoire-des-ressources-documentaires/Bibliotheques/Bibliotheque-nationale-de-France-BnF-Site-Francois-Mitterrand?step=288671	^^^	review at http://dissertationreviews.org/archives-nationales-bibliotheque-nationale-de-france-bnf/					
	-^-	of the Muséum National d'Histoire Naturelle > Musée de l'Homme ie Muséum National d'Histoire Naturelle > Bibliothèques in Paris France	France	Paris	https://www.museedelhomme.fr/en	https://www.mnhn.fr/fr/collections-documentaires-archivistiques-et-artistiques	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Ministère de le Culture > Archives > FranceArchives in Paris France	France	Paris	https://www.culture.gouv.fr/Thematiques/Archives	https://francearchives.fr	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Ministère de le Culture > Bases de Données in Paris France	France	Paris	https://www.culture.gouv.fr/Espace-documentation/Bases-de-donnees	https://www.culture.gouv.fr/Espace-documentation/Bases-de-donnees	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Karlsruher Institut für Technologie > Karlsruhe Virtual Catalogue ie Karlsruher Virtueller Katalog in Karlsruhe Germany	Germany	Baden-Württemberg	https://www.bibliothek.kit.edu/kvk-hilfe.php	https://kvk.bibliothek.kit.edu/?digitalOnly=0&embedFulltitle=0&newTab=0	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Universität Bielefeld > Universitätsbibliothek > Bielefeld Academic Search Engine in Bielefeld Germany	Germany	Nordrhein-Westfalen	https://www.ub.uni-bielefeld.de/ub/	https://www.base-search.net	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Academia de Geografía e Historia de Guatemala in Guatemala Guatemala	Guatemala	Guatemala	https://academiageohist.org.gt/	https://academiageohist.org.gt/acerca-de-la-biblioteca/	^^^	^^^	^^^	^^^	^^^					
	S 45	of the Archivo General de Centro América ie Archivo General de Centroamérica in Guatemala Guatemala	Guatemala	Guatemala	-^-	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=50950	^^^	^^^	^^^	"tel (502) 22516695, fax (502) 22323037, contáctenos también por el e-mail: agcasecretaria@yahoo.com /v Silva p 307 / Custodia 22 kilómetros de documentación y 8 kilómetros de documentos procedentes de la extinta Policía Nacional, custodiados en la sede del Archivo Histórico de la Policía Nacional. Los documentos abarcan desde el año de 1527 hasta el año de 2002 /v Silva p 308"					
	S 429	of the Archivo Histórico Arquidiocesano in Guatemala Guatemala	Guatemala	Guatemala	https://m.arzobispadodeguatemala.com/arquidiocesis/c/0/i/30298609/archivo-historico-arquidiocesano	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=50948	https://ilamdir.org/recurso/461/archivo-histórico-arquidiocesano-del-arzobispado-de-guatemala	^^^	^^^	^^^					
	-^-	of the Biblioteca Nacional de Guatemala ie Biblioteca Luis Cardoza y Aragón in Guatemala Guatemala	Guatemala	Guatemala	https://mcd.gob.gt/biblioteca-nacional/	-^-	^^^	^^^	^^^	^^^	^^^					
	-^-	of the Centro de Investigaciones Regionales de Mesoamérica in Antigua Guatemala	Guatemala	Sacatepequez	http://cirma.org.gt/glifos/index.php/Página_principal	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=51555	^^^	^^^	^^^	review at http://dissertationreviews.org/historical-archive-at-the-center-for-meso-american-research/					
	-^-	of the Ministerio de Relaciones Exteriores > Archivo in Guatemala Guatemala	Guatemala	Guatemala	https://www.minex.gob.gt/Consulta_Archivos.aspx	-^-	https://history.state.gov/countries/archives/guatemala	^^^	^^^	^^^	^^^					
	-^-	of the Archivo Nacional de Honduras ie Archivo Antonio Ramón Vallejo in Tegucigalpa Honduras	Honduras	Francisco Morazán	https://cdihh.ihah.hn/archivo-nacional-de-honduras/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=48454	^^^	^^^	^^^	"tel (504) 2222-8338 / 2238-0027 / 99845837. También por e-mail archivonacionaldehonduras@yahoo.es. Para conocer más de la institución visite su sitio web http://www.cdihh.ihah.hn/site/, integrado con el Centro Documental de Investigaciones Históricas de Honduras – CDIHH, del Instituto Hondureño de Antropología e Historia - IHAH. /v Silva p 333 /// Guía available at https://cdihh.ihah.hn/fondos-del-archivo-nacional-de-honduras/"					
	-^-	of the Secretaría de Relaciones Exteriores > Archivo Central in Tegucigalpa Honduras	Honduras	Francisco Morazán	http://www.sre.gob.hn/	-^-	https://archivosiberoamericanos.org/directorio-archivos/	^^^	^^^	^^^	^^^					
	S 43	of the Archives and Records Department > Archives Unit in Spanish Town Jamaica	Jamaica	St Catherine	https://www.jard.gov.jm	-^-	https://discovery.nationalarchives.gov.uk/details/a/A13533073	^^^	^^^	^^^	^^^					
	S 247	of the National Library of Jamaica in Kingston Jamaica	Jamaica	Kingston	https://nlj.gov.jm	https://nlj.gov.jm/manuscripts-2/	https://discovery.nationalarchives.gov.uk/details/a/A13532522	^^^	^^^	^^^	^^^					
	S 395	of the University of the West Indies > Mona > Main Library in Mona Jamaica	Jamaica	St Andrew	https://www.mona.uwi.edu/library/	-^-	https://discovery.nationalarchives.gov.uk/details/a/A13530151	^^^	^^^	^^^	^^^					
	S 69 / S 71	of the Archivo General de la Nación in Mexico Mexico	Mexico	Ciudad de Mexico	https://www.gob.mx/agn	https://archivos.gob.mx/guiageneral/	http://sic.gob.mx/ficha.php?table=archivo&table_id=216	^^^	^^^	^^^	"tel (52 55) 5133-9903 / 5133-9906, conmutador (52 55) 5133-9900. Contáctenos también por el e-mail: direcciongeneral@agn.gob.mx y para conocer más la institución visite su sitio web en www.gob.mx/agn. /v Silva p 353 / resguarda 52 kilómetros de documentos y a la fecha tiene contabilizados un total de 543 fondos documentales /v Silva p 357"					
	S 425	of the Archivo General del Estado de Quintana Roo in Chetumal Mexico	Mexico	Quintana Roo	https://qroo.gob.mx/segob/age/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=1251508	http://sic.gob.mx/ficha.php?table=archivo&table_id=942	^^^	^^^	^^^					
	S 81 / S 427	of the Archivo General del Estado de Yucatán in Merida Mexico	Mexico	Yucatan	http://www.archivogeneral.yucatan.gob.mx	-^-	http://sic.gob.mx/ficha.php?table=archivo&table_id=1138	^^^	^^^	^^^	guía available at http://www.archivogeneral.yucatan.gob.mx/secciones/guia-del-archivo					
	S 431	of the Archivo Histórico de la Arquidiócesis de Yucatán ie Archivo Histórico de la Diócesis de Yucatán in Merida Mexico	Mexico	Yucatan	http://archivohistoricoarquiyuc.org.mx	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54691	https://archivos.gob.mx/DirectorioArchivos/Yucatan.html	^^^	^^^	^^^					
	-^-	of the Archivo Histórico Municipal de Mérida in Merida Mexico	Mexico	Yucatan	http://www.merida.gob.mx/archivohistorico/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54793	http://sic.gob.mx/ficha.php?table=archivo&table_id=1149	https://merida.es/servicios-municipales/archivo-historico/	^^^	^^^					
	-^-	of the Archivo Municipal de Chetumal in Chetumal Mexico	Mexico	Quintana Roo	-^-	-^-	http://sic.gob.mx/ficha.php?table=archivo&table_id=948	^^^	^^^	^^^	^^^					
	S 451	of the Centro de Investigaciones y Estudios Superiores en Antropología Social > Unidad Peninsular > Biblioteca Peninsular ie Biblioteca Stella María González Cicero in Merida Mexico	Mexico	Yucatan	https://peninsular.ciesas.edu.mx	http://aleph.ciesas.edu.mx/F	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54813	^^^	^^^	^^^	^^^					
