Sheet 1: Table 1
file	sources not collections					
version	1.2					
begun	7 Aug 2022 19:06					
reason for version upgrade	control character encoding and format for export to XML and JSON file formats					
to be done	get rules for well formed XML files					
	get rules for well formed JSON files					
action	re XML	https://www.w3.org/TR/2008/REC-xml-20081126/				
		encoded in	UTF 8 and UTF 16			
		characters which must be escaped	&			
			<			
			>			
			""""			
			'			
action	re XML	ended research into XML without verifying accuracy of collected data as may just control for JSON				
action	re JSON	https://en.wikipedia.org/wiki/JSON				
		encoded in	UTF 8			
		characters which must be escaped	{			
			}			
			:			
			","			
			[			
			]			
	re JSON	https://stackoverflow.com/questions/19176024/how-to-escape-special-characters-in-building-a-json-string				
action	re ver 1.1	import data				


Sheet 1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		


Collections: Table 1
id	ver_1.4_id_0	ver_1.4_id_1	ver_1.4_id_2	ver_1.4_id_3	ver_1.4_id_4	ver_1.4_id_5	ver_1.4_id_6	ver_1.4_id_7	ver_1.4_id_8	ver_1.4_id_9	ver_1.4_id_10	ver_1.4_id_11	ver_1.4_id_12	ver_1.4_id_13	ver_1.4_id_14	ver_1.4_id_15	ver_1.4_id_16	collections_	IE	>	repository_main_display	repository_sub	repository_sub_sub	repository_sub_sub_sub		repository_main_type	town	country_	district_	url_	cat_0_	directory_0_	directory_1_	directory_2_	directory_3_	notes_					
																		of the Academia de Geografía e Historia de Guatemala in Guatemala Guatemala	0	0	Academia de Geografía e Historia de Guatemala					company non-profit	Guatemala	Guatemala	Guatemala	https://academiageohist.org.gt/	https://academiageohist.org.gt/acerca-de-la-biblioteca/	^^^	^^^	^^^	^^^	^^^					
	S 3																	of the American Antiquarian Society > Library in Worcester USA	0	1	American Antiquarian Society					company non-profit	Worcester	USA	Massachusetts	https://www.americanantiquarian.org/using-the-library	https://catalog.mwa.org	https://discovery.nationalarchives.gov.uk/details/a/A13529894	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:MA985-70	^^^	^^^	^^^					
	S 5																	of the American Bible Society > Library in New York USA	0	1	American Bible Society					company non-profit	York	USA	New York	https://americanbible.org	-^-	http://gateway.proquest.com.ezp-prod1.hul.harvard.edu/openurl?url_ver=Z39.88-2004&res_dat=xri:archives-us&rft_dat=xri:archives:repository:NY586-280	^^^	^^^	^^^	^^^					
																		of the Ancestry > ancestryLibrary in Lehi USA	0	1	Ancestry					company for-profit	Lehi	USA	Utah	https://www.ancestry.com	http://nrs.harvard.edu/urn-3:hul.eresource:ancestry	^^^	^^^	^^^	^^^	^^^					
																		of the Ancestry > Newspapers.com in Lehi USA	0	1	Ancestry					company for-profit	Lehi	USA	Utah	https://www.ancestry.com	https://newscomwc.newspapers.com	^^^	^^^	^^^	^^^	^^^					
	S 43																	of the Archives and Records Department > Archives Unit in Spanish Town Jamaica	0	1	Archives and Records Department					government main	Town	Jamaica	St Catherine	https://www.jard.gov.jm	-^-	https://discovery.nationalarchives.gov.uk/details/a/A13533073	^^^	^^^	^^^	^^^					
	S 9	S 11	S 13	S 15	S 17	S 19	S 21	S 23	S 25	S 27	S 29	S 31	S 33	S 35	S 37	S 39		of the Archives and Records Service in Belmopan Belize	0	0	Archives and Records Service					government main	Belmopan	Belize	Cayo	https://www.archives.gov.bz/	-^-	https://discovery.nationalarchives.gov.uk/details/a/A17851071	^^^	^^^	^^^	^^^					
																		of the Archives Départementales de Charente-Maritime in La Rochelle France	0	0	Archives Départementales de Charente-Maritime					government sub	Rochelle	France	Charente-Maritime	https://archives.charente-maritime.fr/	https://archives.charente-maritime.fr/inventaires	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRAD017	https://francearchives.fr/fr/service/33520	^^^	^^^	^^^					
																		of the Archives Départementales de l'Hérault in Montpelier France	0	0	Archives Départementales de l'Hérault					government sub	Montpelier	France	Hérault	http://pierresvives.herault.fr/	https://pierresvives.herault.fr/1289-recherches-archives-en-ligne.htm	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRAD034	https://francearchives.fr/fr/service/33680	^^^	^^^	^^^					
																		of the Archives Départementales de la Gironde in Bordeaux France	0	0	Archives Départementales de la Gironde					government sub	Bordeaux	France	Gironde	https://archives.gironde.fr	https://archives.gironde.fr/archive/resultats/avance/n:127?type=avance	https://www.archivesportaleurope.net/directory/-/dir/ai/code/FR-FRAD033	https://francearchives.fr/fr/service/33661	^^^	^^^	^^^					
																		of the Archives Portal Europe Foundation > Archives Portal Europe in Hague Netherlands	0	1	Archives Portal Europe Foundation					company non-profit	Hague	Netherlands	Zuid-Holland	http://www.archivesportaleuropefoundation.eu	https://www.archivesportaleurope.net	^^^	^^^	^^^	^^^	^^^					
	S 45																	of the Archivo General de Centro América ie Archivo General de Centroamérica in Guatemala Guatemala	1	0	Archivo General de Centro América					government main	Guatemala	Guatemala	Guatemala	-^-	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=50950	^^^	^^^	^^^	"tel (502) 22516695, fax (502) 22323037, contáctenos también por el e-mail: agcasecretaria@yahoo.com /v Silva p 307 / Custodia 22 kilómetros de documentación y 8 kilómetros de documentos procedentes de la extinta Policía Nacional, custodiados en la sede del Archivo Histórico de la Policía Nacional. Los documentos abarcan desde el año de 1527 hasta el año de 2002 /v Silva p 308"					
																		of the Archivo General de la Nación in Managua Nicaragua	0	0	Archivo General de la Nación					government main	Managua	Nicaragua	Managua	https://www.inc.gob.ni/bibliotecas-y-archivos/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=47325	https://ilamdir.org/recurso/7747/archivo-general-de-la-nación	^^^	^^^	tel (505) 2222-2722. También por e-mail archivogeneraldenic@gmail.com. Para conocer más de la institución visite su sitio web www.inc.gob.ni /v Silva p 449					
	S 69	S 71																of the Archivo General de la Nación in Mexico Mexico	0	0	Archivo General de la Nación					government main	Mexico	Mexico	Ciudad de Mexico	https://www.gob.mx/agn	https://archivos.gob.mx/guiageneral/	http://sic.gob.mx/ficha.php?table=archivo&table_id=216	^^^	^^^	^^^	"tel (52 55) 5133-9903 / 5133-9906, conmutador (52 55) 5133-9900. Contáctenos también por el e-mail: direcciongeneral@agn.gob.mx y para conocer más la institución visite su sitio web en www.gob.mx/agn. /v Silva p 353 / resguarda 52 kilómetros de documentos y a la fecha tiene contabilizados un total de 543 fondos documentales /v Silva p 357"					
	S 425																	of the Archivo General del Estado de Quintana Roo in Chetumal Mexico	0	0	Archivo General del Estado de Quintana Roo					government sub	Chetumal	Mexico	Quintana Roo	https://qroo.gob.mx/segob/age/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=1251508	http://sic.gob.mx/ficha.php?table=archivo&table_id=942	^^^	^^^	^^^					
	S 81	S 427																of the Archivo General del Estado de Yucatán in Merida Mexico	0	0	Archivo General del Estado de Yucatán					government sub	Merida	Mexico	Yucatan	http://www.archivogeneral.yucatan.gob.mx	-^-	http://sic.gob.mx/ficha.php?table=archivo&table_id=1138	^^^	^^^	^^^	guía available at http://www.archivogeneral.yucatan.gob.mx/secciones/guia-del-archivo					
	S 429																	of the Archivo Histórico Arquidiocesano in Guatemala Guatemala	0	0	Archivo Histórico Arquidiocesano					company non-profit	Guatemala	Guatemala	Guatemala	https://m.arzobispadodeguatemala.com/arquidiocesis/c/0/i/30298609/archivo-historico-arquidiocesano	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=50948	https://ilamdir.org/recurso/461/archivo-histórico-arquidiocesano-del-arzobispado-de-guatemala	^^^	^^^	^^^					
	S 431																	of the Archivo Histórico de la Arquidiócesis de Yucatán ie Archivo Histórico de la Diócesis de Yucatán in Merida Mexico	1	0	Archivo Histórico de la Arquidiócesis de Yucatán					company non-profit	Merida	Mexico	Yucatan	http://archivohistoricoarquiyuc.org.mx	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54691	https://archivos.gob.mx/DirectorioArchivos/Yucatan.html	^^^	^^^	^^^					
																		of the Archivo Histórico Municipal de Mérida in Merida Mexico	0	0	Archivo Histórico Municipal de Mérida					government sub	Merida	Mexico	Yucatan	http://www.merida.gob.mx/archivohistorico/	-^-	http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54793	http://sic.gob.mx/ficha.php?table=archivo&table_id=1149	https://merida.es/servicios-municipales/archivo-historico/	^^^	^^^					
																		of the Archivo Municipal de Chetumal in Chetumal Mexico	0	0	Archivo Municipal de Chetumal					government sub	Chetumal	Mexico	Quintana Roo	-^-	-^-	http://sic.gob.mx/ficha.php?table=archivo&table_id=948	^^^	^^^	^^^	^^^					
