Intro: Table 1
						
						
						
						
	sheet	description				
	Mana 3	manuscripts or pre-prints				


Mana 3: Table 1
	Authors	Type	Location	Title	URL	DATE		
	A Navidad	M	Harvard Dataverse > Historical series re Belize	Introduction and series v 1.4	https://dataverse.harvard.edu/privateurl.xhtml?token=135a1006-cd54-4d9e-ba7b-d961b93f1bc4	4 Nov 2021		
	A Navidad	M	Harvard Dataverse > Historical series re Belize	1638 series 1.5	https://dataverse.harvard.edu/privateurl.xhtml?token=85f85706-c4f7-4105-8a64-9c988cf1a1c3	3 Aug 2022		
	A Navidad	M	Harvard Dataverse > Historical series re Belize	Foundation series 1.2	https://dataverse.harvard.edu/privateurl.xhtml?token=64fefd3c-0916-4658-821b-4268f2125b32	3 Aug 2022		


Sheet 1-1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		


Sheet 1-1-1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		


Sheet 1-1-1-1-1: Table 1
						
						
						
						
						
						
						
						
			dasd			
						
						
						
						
						
						
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 	asd sad f pdf pdf sd f. dfa sdf. ds ds asd a sd 		
						
		asdf	asdf	asdf		
