Log f All: Table 1
	t Eng	Qs	Cf	t King	Qs	Cf	t Bos	Qs	Cf	t NYC	Qs	Cf
1670												
1671												
1672												
1673												
1674												
1675												
1676												
1677												
1678												
1679												
1680												
1681												
1682												
1683				0.0	1.0	CO 142/13						
1684				300.0	1.0	CO 142/13						
1685				40.0	1.0	CO 142/13						
1686				221.5	4.0	CO 142/13						
1687				141.0	4.0	CO 142/13						
1688				881.0	4.0	CO 142/13						
1689				520.0	4.0	CO 142/13						
1690				160.0	4.0	CO 142/13						
1691				0.0	4.0	CO 142/13						
1692				30.0	1.0	CO 142/13						
1693												
1694												
1695												
1696												
1697	622.56	4.0	Cust 3/81									
1698	"1,067.00"	4.0	Cust 3/1									
1699	"2,843.09"	4.0	Cust 3/3									
1700	"6,618.30"	4.0	Cust 3/4									
1701	"4,791.55"	4.0	Cust 3/5									
1702	"4,434.48"	4.0	Cust 3/6									
1703	"2,421.88"	4.0	Cust 3/7									
1704	"1,209.03"	4.0	Cust 3/8									
1705												
1706	320.95	4.0	Cust 3/9									
1707	829.47	4.0	Cust 3/10									
1708	"1,289.52"	4.0	Cust 3/11									
1709	825.73	4.0	Cust 3/12	321.5	3.0	CO 142/14						
1710	653.33	4.0	Cust 3/13	372.0	4.0	CO 142/14						
1711	470.33	4.0	Cust 3/14	239.0	3.0	CO 142/14						
1712				0.0	3.0	CO 142/14						
1713	"2,189.80"	4.0	Cust 3/15	0.0	4.0	CO 142/14						
1714	"4,766.50"	4.0	Cust 3/16				"1,434.0"	4.0	CO 5/848			
1715	"5,859.67"	4.0	Cust 3/17				969.0	4.0	CO 5/848	440.0	2.0	CO 5/1222
1716	"2,055.62"	4.0	Cust 3/18				275.0	4.0	CO 5/848	127.0	4.0	CO 5/1222
1717	"1,148.45"	4.0	Cust 3/19				60.0	2.0	CO 5/848	60.0	4.0	CO 5/1222
1718	"1,174.86"	4.0	Cust 3/20	45.0	3.0	CO 142/14	0.0	1.5	CO 5/848	13.5	4.0	CO 5/1222
1719	739.63	4.0	Cust 3/21	40.0	4.0	CO 142/14	0.0	2.5	CO 5/848	60.0	4.0	CO 5/1222
1720	342.75	4.0	Cust 3/22	35.0	2.0	CO 142/14				12.0	4.0	CO 5/1222
