Series C 0—992 / Data on buccaneering or piratical activity in the Bay of Honduras from Spanish correspondence.
ID	NO	SER	CF	REL	EXT	START	STOP	PIR	DEF	IMG	FOL	NOTE	END	
C 0	0	Gob	"GUATEMALA,39,R.14,N.93"	1	0	28 Sep 1610	np	0	0	np	np	xnp	###	
C 1	1	Gob	"GUATEMALA,39,R.14,N.94"	1	0	15 May 1611	np	0	0	np	np	xnp	###	
C 2	2	Gob	"GUATEMALA,39,R.14,N.95"	1	0	21 May 1611	np	0	0	np	np	xnp	###	
C 3	3	Gob	"GUATEMALA,39,R.14,N.96"	1	0	12 Nov 1611	np	0	0	np	np	xnp	###	
C 4	4	Gob	"GUATEMALA,39,R.14,N.97"	0	0	np	np	np	np	np	np	xnp	###	
C 5	5	Gob	"GUATEMALA,39,R.14,N.98"	0	0	np	np	np	np	np	np	xnp	###	
C 6	6	Gob	"GUATEMALA,39,R.14,N.99"	0	0	np	np	np	np	np	np	xnp	###	
C 7	7	Gob	"GUATEMALA,39,R.15,N.100"	1	0	3 Mar 1615	np	0	0	np	np	xnp	###	
C 8	8	Gob	"GUATEMALA,39,R.15,N.101"	1	0	15 Mar 1615	np	0	0	np	np	xnp	###	
C 9	9	Gob	"GUATEMALA,39,R.15,N.103"	1	0	sd sd 1617	np	0	0	np	np	xnp	###	
C 10	10	Gob	"GUATEMALA,39,R.15,N.102"	1	0	22 Nov 1617	np	0	0	np	np	xnp	###	
C 11	11	Gob	"GUATEMALA,39,R.16,N.105"	1	0	18 Jun 1622	np	0	0	np	np	xnp	###	
C 12	12	Gob	"GUATEMALA,39,R.16,N.106"	1	0	18 Jun 1622	np	0	0	np	np	xnp	###	
C 13	13	Gob	"GUATEMALA,39,R.16,N.107"	1	0	22 Jun 1622	np	1	1	1	xxx	xnp	###	
C 14	14	Gob	"GUATEMALA,39,R.16,N.108"	1	0	16 Sep 1623	np	0	1	1	xxx	xnp	###	
C 15	15	Gob	"GUATEMALA,39,R.15,N.104"	1	0	25 May 1625	np	0	0	np	np	xnp	###	
C 16	16	Gob	"GUATEMALA,39,R.17,N.111"	1	0	4 Jun 1625	np	0	0	np	np	xnp	###	
C 17	17	Gob	"GUATEMALA,39,R.17,N.112"	1	0	4 Jun 1625	np	0	0	np	np	xnp	###	
C 18	18	Gob	"GUATEMALA,39,R.17,N.109"	1	0	4 Jun 1625	np	0	0	np	np	xnp	###	
C 19	19	Gob	"GUATEMALA,39,R.17,N.110"	1	0	4 Jun 1625	np	0	0	np	np	xnp	###	
C 20	20	Gob	"GUATEMALA,39,R.18,N.113"	1	0	13 Dec 1629	np	0	1	1	xxx	See Cardona 106	###	
C 21	21	Gob	"GUATEMALA,39,R.18,N.114"	1	0	18 Jan 1630	np	0	0	np	np	xnp	###	
C 22	22	Gob	"GUATEMALA,39,R.18,N.115"	1	0	18 Jan 1630	np	0	0	np	np	xnp	###	
C 23	23	Gob	"GUATEMALA,39,R.18,N.116"	0	0	np	np	np	np	np	np	xnp	###	
C 24	24	Gob	"GUATEMALA,39,R.18,N.118"	1	0	4 Dec 1630	np	0	0	np	np	See Cardona 106	###	
C 25	25	Gob	"GUATEMALA,39,R.18,N.117"	1	0	4 Dec 1630	np	0	1	1	xxx	xnp	###	
C 26	26	Gob	"GUATEMALA,39,R.18,N.119"	1	0	18 Nov 1631	np	0	0	np	np	xnp	###	
C 27	27	Gob	"GUATEMALA,39,R.18,N.120"	0	0	np	np	np	np	np	np	xnp	###	
C 28	28	Gob	"GUATEMALA,39,R.18,N.122"	1	0	22 Sep 1634	np	1	1	2	xxx	xnp	###	
C 29	29	Gob	"GUATEMALA,39,R.18,N.121"	1	0	22 Sep 1634	np	1	1	1	xxx	See Cardona 106	###	
C 30	30	Gob	"GUATEMALA,39,R.19,N.126"	1	0	7 Oct 1634	np	0	0	np	np	xnp	###	
C 31	31	Gob	"GUATEMALA,39,R.19,N.125"	1	0	7 Oct 1634	np	0	0	np	np	xnp	###	
C 32	32	Gob	"GUATEMALA,39,R.19,N.127"	1	0	5 Jun 1635	np	0	0	np	np	xnp	###	
C 33	33	Gob	"GUATEMALA,39,R.19,N.128"	1	0	22 Sep 1636	np	0	0	np	np	xnp	###	
C 34	34	Gob	"GUATEMALA,39,R.19,N.129"	1	0	14 Dec 1636	np	1	0	1	xxx	See Cardona 106	###	
C 35	35	Gob	"GUATEMALA,39,R.18,N.123"	0	0	np	np	np	np	np	np	xnp	###	
C 36	36	Gob	"GUATEMALA,39,R.18,N.124"	1	0	14 Jun 1638	np	0	0	np	np	xnp	###	
C 37	37	Gob	"GUATEMALA,39,R.20,N.130"	1	0	24 Jan 1640	np	1	1	1	xxx	xnp	###	
C 38	38	Gob	"GUATEMALA,39,R.20,N.132"	1	0	1 Sep 1642	np	0	1	1	xxx	See Cardona 106	###	
C 39	39	Gob	"GUATEMALA,39,R.20,N.131"	1	0	1 Sep 1642	np	0	1	1	xxx	See Cardona 106	###	
C 40	40	Gob	"GUATEMALA,39,R.21,N.133"	0	0	np	np	np	np	np	np	xnp	###	
C 41	41	Gob	"GUATEMALA,39,R.22,N.134"	1	0	27 Mar 1645	np	0	0	np	np	xnp	###	
C 42	42	Gob	"GUATEMALA,39,R.23,N.135"	1	0	5 Sep 1645	np	0	1	1	xxx	xnp	###	
C 43	43	Gob	"GUATEMALA,39,R.23,N.136"	1	0	1 Aug 1651	np	0	0	np	np	xnp	###	
C 44	44	Gob	"GUATEMALA,39,R.24,N.137"	0	0	np	np	np	np	np	np	Inc re defence	###	
C 45	45	Gob	"GUATEMALA,39,R.24,N.138"	0	0	np	np	np	np	np	np	xnp	###	
C 46	46	Gob	"GUATEMALA,39,R.25,N.139"	1	0	4 Sep 1664	np	0	0	np	np	xnp	###	
C 47	47	Gob	"GUATEMALA,39,R.26,N.141"	1	0	15 Apr 1671	np	0	0	np	np	xnp	###	
C 48	48	Gob	"GUATEMALA,39,R.25,N.140"	1	0	5 Aug 1671	np	0	0	np	np	xnp	###	
C 49	49	Gob	"GUATEMALA,39,R.26,N.142"	1	0	2 Nov 1671	np	0	0	np	np	xnp	###	
C 50	50	Gob	"GUATEMALA,39,R.26,N.143"	0	0	np	np	np	np	np	np	xnp	###	
C 51	51	Gob	"GUATEMALA,39,R.26,N.144"	0	0	np	np	np	np	np	np	xnp	###	
C 52	52	Gob	"GUATEMALA,39,R.26,N.145"	1	0	26 Jun 1675	np	0	0	np	np	xnp	###	
C 53	53	Gob	"GUATEMALA,39,R.26,N.146"	1	0	26 Jun 1675	np	0	0	np	np	xnp	###	
C 54	54	Gob	"GUATEMALA,39,R.26,N.147"	1	0	15 Mar 1676	np	0	0	np	np	xnp	###	
C 55	55	Gob	"GUATEMALA,39,R.27,N.148"	1	0	22 May 1680	np	0	0	np	np	xnp	###	
C 56	56	Gob	"GUATEMALA,39,R.27,N.149"	1	0	15 Sep 1680	np	0	0	np	np	xnp	###	
C 57	57	Gob	"GUATEMALA,39,R.28,N.150"	0	0	np	np	np	np	np	np	Inc re defence	###	
C 58	58	Gob	"GUATEMALA,39,R.29,N.151"	1	0	10 May 1688	np	1	0	1	xxx	xnp	###	
C 59	59	Gob	"GUATEMALA,39,R.30,N.153"	1	0	23 Feb 1696	np	0	0	np	np	xnp	###	
C 60	60	Gob	"GUATEMALA,39,R.30,N.154"	1	0	1 Mar 1696	np	0	0	np	np	xnp	###	
C 61	61	Gob	"GUATEMALA,39,R.30,N.155"	1	0	2 Mar 1696	np	0	0	np	np	xnp	###	
C 62	62	Gob	"GUATEMALA,39,R.29,N.152"	1	0	12 Jan 1698	np	xxx	xxx	xnp	xnp	Damaged	###	
C 63	63	Gob	"GUATEMALA,39,R.31,N.156"	0	0	np	np	np	np	np	np	xnp	###	
C 64	64	Aud	"GUATEMALA,13,R.7,N.64"	0	0	np	np	np	np	np	np	xnp	###	
C 65	65	Aud	"GUATEMALA,13,R.7,N.65"	1	0	15 Jul 1615	np	0	0	np	np	xnp	###	
C 66	66	Aud	"GUATEMALA,13,R.7,N.66"	1	0	10 Oct 1615	np	0	0	np	np	xnp	###	
C 67	67	Aud	"GUATEMALA,13,R.7,N.67"	0	0	np	np	np	np	np	np	xnp	###	
C 68	68	Aud	"GUATEMALA,13,R.8,N.68"	1	0	10 Jun 1616	np	0	0	np	np	xnp	###	
C 69	69	Aud	"GUATEMALA,13,R.8,N.69"	1	0	17 Nov 1616	np	0	1	5	xxx	xnp	###	
C 70	70	Aud	"GUATEMALA,13,R.9,N.70"	1	1	17 Jan 1617	13 Jun 1617	0	0	np	np	xnp	###	
C 71	71	Aud	"GUATEMALA,13,R.9,N.71"	1	0	10 Jun 1617	np	0	0	np	np	xnp	###	
C 72	72	Aud	"GUATEMALA,13,R.9,N.72"	1	0	13 Jun 1617	np	0	0	np	np	xnp	###	
C 73	73	Aud	"GUATEMALA,13,R.9,N.73"	1	0	14 Jun 1617	np	0	0	np	np	xnp	###	
C 74	74	Aud	"GUATEMALA,13,R.9,N.74"	1	0	14 Jun 1617	np	0	0	np	np	xnp	###	
C 75	75	Aud	"GUATEMALA,13,R.9,N.75"	0	0	np	np	np	np	np	np	xnp	###	
C 76	76	Aud	"GUATEMALA,13,R.9,N.76"	0	0	np	np	np	np	np	np	xnp	###	
C 77	77	Aud	"GUATEMALA,13,R.9,N.77"	1	0	1 Nov 1617	np	0	0	np	np	xnp	###	
C 78	78	Aud	"GUATEMALA,13,R.9,N.78"	0	0	np	np	np	np	np	np	xnp	###	
