ID	NO	LOSSY	INVASN	SIEGE	SER 0	SER 1	START	STOP	NAME	DESC	PLACE	SP	NON—SP 0	NON—SP 1	PRESS	CF	VIA	NOTE	LOSS 0	LOSS 1	LOSS 2	LOSS 3	LOSS 4	LOSS 5	END	
E 1	1	0	0	0	Con	xnp	5 Aug 1100	5 Aug 1100	Charter of Liberties	xxx	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
E 3	3	0	0	0	Con	xnp	1 Jan 1166	30 Dec 1166	Assize of Clarendon	xxx	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
E 5	5	0	0	0	Con	xnp	12 Sep 1213	27 Jul 1273	Armada Española est	xxx	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
E 7	7	0	0	0	Con	xnp	15 Jun 1215	15 Jun 1215	Magna Carta	xxx	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
E 9	9	0	0	0	Con	xnp	6 Nov 1217	6 Nov 1217	Charter of the Forest	xxx	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
E 11	11	0	0	0	Con	xnp	20 Jan 1265	15 Mar 1265	Simon de Montford’s Parliament	xxx	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
E 13	13	0	0	0	Met	Storm	1 Jun 1493	30 Nov 1493	Unnamed H / TD / TS	One or more hurricanes or tropical storms pass near or land on Hon	Turneffe	xnp	xnp	xnp	xnp	Schmitt xxx [Supp 1]	xnp	xnp	np	np	np	np	np	np	###	
E 15	15	0	0	0	Soc	xnp	30 Jul 1502	14 Aug 1502	Honduras Leg of 4th Columbus Voyage	"Christopher Columbus arrives at Guanaja, where he meets native cacao merchants, before continuing south"	Guanaja	"Christopher Columbus, Pedro de Ledesma"	xnp	xnp	xnp	xnp	Reichert 13 / Garcia P 1 53–56	xnp	np	np	np	np	np	np	###	
E 17	17	0	0	0	Soc	xnp	29 Jun 1508	xxx	Solis–Pinzon Expedition	Casa de Contratación buques Magdalena and Isabelita survey Golfo Dulce and possibly Hon coast in search of passage to Pacific Ocean	Gulf Dulce	"Juan Díaz de Solís, Vicente Yáñez Pinzón, Pedro de Ledesma 2 Ships"	xnp	xnp	xnp	CDI 22 5–13	Reichert 14 / Graham 122–123	"See *Historia Mexicana* 6(2), José Torre Revello ""El viaje de Yáñez Pinzón y Díaz de Solís (1508)” 1956 /v Reichert 14 fn 7 / Samuel Eliot Morison, *The European Discovery of America: The Southern Voyabes 1492–1616* [New York, OUP, 1974], 230–233 /Graham 346 no 88, 90 /// 1498–1499 Pinzon possibly surveys Bay of Hon in 1496–99, most likely 1498–99 /v Graham 123 / See James Roxburgh McClymont, *Vicente Añes Pinçon* [Lon, Bernard Quaritch, 1916], 8–9 /// Dated 1506 in Lujan 2 814"	np	np	np	np	np	np	###	
E 19	19	0	0	0	Hos	xnp	1 Jan 1511	30 Dec 1511	Stranding of Guerrero	c 10 Spaniards inc Jerónimo de Aguilar and Gonzalo Guerrero arrive in Yuc after being stranded in Sp Jam	"Jam, E Yuc"	"Jerónimo de Aguilar, Gonzalo Guerrero 1 Batel 20 men"	xnp	xnp	xnp	Oviedo lib 32 cap 3	RAH DNB xxx / Reichert 14	"See pre-Columbian Yuc maps in Graham 31–33 /// 1511 trip sent by Vasco Núñez de Balboa, fm Golfo de Urabá [Colombia] to Santo Domingo, under Capt Juan de Valdivia /v Reichert 14 / Possibly see Ortwin Sauer, *Descubrimiento y la dominación española del Caribe* [Mexico, FCE, 1984], 260–67 /v Reichert 14 fn 8 / Samuel K. Lothrop, *Indian Notes* 4(4), ""The Word 'Maya' and the Fourth Voyage of Columbus"" [1927] /v Graham 346 no 102"	np	np	np	np	np	np	###	
E 21	21	0	0	0	Con	xnp	27 Dec 1512	27 Dec 1512	Leyes de Burgos	xxx	Burgos	xnp	xnp	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
E 23	23	0	0	0	Hos	xnp	1 Jan 1514	30 Dec 1514	Guerrero under Nachan Can	"Gonzalo Guerrero enters service of Nachan Can, Halach Uinic or Lord of Chetumal Province"	Chactemal	Gonzalo Guerrero	Nachan Can	xnp	xnp	Oviedo lib 32 cap 3	RAH DNB xxx	"Chactemal = Chetumal = Santa Rita Corozal per Diane Chase, Arlen Chase /v Walker 13 / [T]wo most likely candidates for the Contact period capital of Chetumal are situated equidistant north and south of the mouth of the Rio Hondo. ... excavations at Santa Rita Corozal revealed substantial and compelling evidence that it was the location of the ancient Chetumal (Chase & Chase 1988 7), yet other potential locales [Oxtankah / Isla Tamalcab region, the walled city of Ichpaatun] cannot be eliminated entirely. /v Walker 23"	np	np	np	np	np	np	###	
E 25	25	0	0	0	Met	Storm	1 Jun 1514	30 Nov 1514	Unnamed H / TD / TS	One or more hurricanes or tropical storms pass near or land on Hon	Turneffe	xnp	xnp	xnp	xnp	Schmitt xxx [Supp 1]	xnp	xnp	np	np	np	np	np	np	###	
E 27	27	0	0	0	Hos	xnp	1 Feb 1517	xxx	Hernandez de Cordoba entrada	"Gov of Cuba, Diego Velázquez de Cuellar, sends Francisco Hernández de Córdoba on slaving trip to Bay Islands, during which voyage Sp battle Maya, possibly first instance"	"Cuba, Cape Catoche, Champoton [Yuc]"	Francisco Hernández de Córdoba 3 buques 110 men	xnp	xnp	xnp	xnp	Reichert 15 / Chamberlain xxx / Murillo 9 112	"1516 Cuban slave ship returns with 20,000 pesos of gold seized fm Guanajes / See Robert Florstedt, “Diego Velázquez, first governor of Cuba”, MA Thesis for Ohio State U, 1942, p 45 Link: https://etd.ohiolink.edu/apexprod/rws_etd/send_file/send?accession=osu1184951843&disposition=inline"	np	np	np	np	np	np	###	
E 29	29	0	0	0	Con	xnp	31 Oct 1517	31 Oct 1517	Ninety-five Theses	Martin Luther publishes Ninety-five Theses	Wittenberg	xnp	Martin Luther	xnp	xnp	xnp	xnp	xnp	np	np	np	np	np	np	###	
