ID	NO	LOSSY	INVASN	SIEGE	SER 0	SER 1	START	STOP	NAME	DESC	PLACE	SP	NON—SP 0	NON—SP 1	PRESS	CF	VIA	NOTE	LOSS 0	LOSS 1	LOSS 2	LOSS 3	LOSS 4	LOSS 5	END	
E 0	0	1	0	xxx	Met	Storm	1 Jun 1634	30 Nov 1634	xnp	One or more hurricanes or tropical storms pass near or land on Hon	Turneffe	xnp	xnp	xnp	xnp	Schmitt [Supp 1]	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 2	2	1	1	xxx	Hos	xnp	1 Apr 1636	12 May 1636	xnp	"During a cruise along Sp Main, Capt Neckere leads Eng buccaneers or privateers and Miskito allies in march on Truxillo from Mos Shore, but the party fall ill and abandon the plan, after which Capt Neckere continues cruising about the Bay Islands for some time before moving to Cuba or returning to Netherlands"	"Mos Shore, Truxillo, Guanaxa, Mos Islands"	"Gov Pedro Carrillo de Sayas, Hernando Sarco, Capt Andrés de Rodavallo"	60 Eng 100 Mos allies / later Capt “Nacre” 1 Frig 25 t 30 Eng men	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 1r-10r"	"Cardona 111, 24-6"	"“ordeno y mando @ne atento en el puerto de dicha ciudad [Truxillo] se hallan de Pressente tres Ffragatas las quales no son ni pueden ser de provecho ninguno en dicho Puerto antes de Daño y estorvo, y por estar la una de ellas cargada de caxones mandava se hiziessen a la vela y se bayan al puerto de matique las dos dellas que estan de vassio luego de camino, y la cargada @ntebaya primero a poner en guarda sus caxones como se le esta mandado al puerto ante llaman ffrances en la ysla de Roatan en el qual otras muchas besses se an guardado y amparado en semejantes ocaciones” /GUATEMALA,16,R.2,N.13 f 3v, and see also “la Real Audiencia tomaría [a 5 jul 1639] varias resoluciones para asegurar la defense de su distrito [Sp Hon] ... [eg] el retiro de las mercancías del Golfo Dulce 20 leguas tierra adentro para disuadir al enemigo a atacar” /v Cardona 64, 68 /// Sp pilot of frigate of Diego Sánchez de Rivera, vecino of Truxillo, maestre Simón Alemán, “se llebaron un piloto platico que trayan por ser conocido de ellos que abia sido otra bes su pricionero” /GUATEMALA,16,R.2,N.13 f 4r /// Imprisoned former slaves = Tomás Verdugo, Francisco Carreño, of Cartagena, previously seized by Capt. Nacre on Oct 1635, en route to Villa de Monpor in frigate of Capt. Burón. Had been to Mosquito Islands, Santa Catalina, Isla de San Andrés /// Nacre = Jonathan de Neckere? /v Goslinga 221, 224, 232, 290"	xnp	2 Neg former slaves liberated then imprisoned by Sp / 1 Sp pilot impressed [possibly]	xnp	1 Sp craft / later escaped	xnp	xnp	###	
E 4	4	1	0	xxx	Hos	xnp	1 May 1636	30 Jun 1636	xnp	"Buccaneers or privateers Diego el Mulato and Gen Letier cruise off Yucatan, to surprise Sp craft with logwood, during which they raid and burn Cozumel"	"Cuba, Cozumel, Cape Catoche, Sisal, Campeachy"	"Gov Marqués de Santo Floro, Gen Andres Perez Franco, Luis Fernando de Cordova"	"Diego el Mulato, Gen Letier 1 Urca 35 men 2 Naos 2 Pataches 200 men"	xnp	xnp	"MEXICO,360,R.5,N.17"	xnp	"Los dhos dos baxeles que eran de olandeses fueron por la marina hazia canpeche y mas adelante hacia la nueba españa a una marina q llaman el baradero adonde cargaron cosa de seyscientos quintales de palo ... /MEXICO,360,R.5,N.17 /// En ella [Cozumel] avian dado fondo ocho o nuebe baxeles de franceses y quemado las casas de los yndios que son de paja y saqueado todo quanto pudierion de cosas de comer porque otras no las tienen y asta loss hornamentos de la yglesia se llevaron mas no la quemaron aunq maltrataron el rretablo y echo lo dho se avian ydo y como benian por la costa y unas beces se dividian y enmaravan algunos de diferentes partes me benian avisos cada ora de baxeles que se beyan y no pudiendo tener certeça si era de los mismos o otros prevenia con cuydado lo que se podia stando a punto con dos conpanias para yr a la parta adonde el enemigo saltase en tierra. ... /MEXICO,360,R.5,N.17 /// En La Billa y puerto de san francisco de campeche de la provincia y governacion de yucatan en veinte y cinco dias del mes de Junio de mil y sseiscientos y treinta y sseis años El seños general Don andres perez franco ... dixo que oy d.ho dia an entrado en el dos nabios que largo y dexo el enemigo olandez que esta a la vista de este d.ho puerto abiendo hecha pressa de ellos en la costa de esta provincia y que en el uno de los d.hos nabios a benido un mozo que dicen ser yrlandez que biniendo con los d.hos enemigos sse passo y bino en los d.hos nabios y para ssaber el digssinio del d.ho enemigo sus naos y fuerça y lo que mal conbenga para dar quenta al señor marquez de santo ffloro governador y capp.an general de estas provinz.as mando Recebir las declaraciones del d.ho yrlandez y de los dueños de los d.hos nabios ... en el d.ho dia veinte y cinco de junio del d.ho año el señor general don andres perez franco hiço pareçer Ante ssi a un mozo que mediante salbador perdomo Español que habla la lengua ynglessa ... fuele [al declarante] Preguntado como sse llama que hedad y officio tiene de donde es natural cuando y con quien passo a estas partes de las yndias = y con que sse a entretenido en ellas Dixo = que sse llama miguel talconi y es de hedad de diez y nuebe años poco mas o menos y que es labrador y de nacion yrlandez de un lugar de yrlanda llamada = yal = y que abra tres años que passo a estas partes de las yndias en serbicio del capitan guillermo xalez yngles en una nao del susso d.ho que ssalio de la d.ha ysla de yrlanda de un puerto que llaman =del Rey= que bino derecho a la ysla de San xystoval con ochenta hombres unos para quedarsse alli al trato de la tierra que es sembrar tavaco y algodon y otros a Resgatar estos generos atueque de agua ardiente, vino, biscoyo, zerbeça, carne de que bino cargada La d.ha nao y abiendo estado alli el d.ho capitan mes y medio cargado su nabio de tabaco y algodon que contrato con los ynglesses que en la d.ha ysla de san xystobal estando beados se bolbio a su tierra y este que ver lares [?] se quedo en la d.ha ysla con un capitan yngles llamado xari niber a serbirle en sembrar tabaco y algodon y abiendo estado alli tres años oar [?] pado en esto abra dos messes poco mas o menos que llego a la d.ha ysla de san xystoval una urca olandessa de que es dueño y capitan un mulato llamado Diego con treynta y cinco hombres olandeçes y la urca sera de quatrocientas toneladas que fue a la d.ha yssla a hacer aguada y abiendo este que declara ydo abordo de la d.ha urca a trocar tabaco por agua ardiente abiendo vendido bien se quedo en la d.ha urca Dormido y sarparon sus velas y sse traxeron a este declarante y see binieron haciendo viaje hasta el cabo de smanton donde tanbien dio ffondo el d.ho capitan diego con la dha urca y estando alli surto llegaron dos naos y dos patachez de françesses de que es general musiur Letier y abiendo passado el dho capitan Diego a las d.has naos de los ffrançessez en tendio este declarante por lo que oyo a la gente marineros y soldados que consertaron los ffrançeçez con el d.ho capitan diego de andar xuntos en consserba cinco messes por la trabiessa y costas de cuba y esta provincia y que seria todo lo qual dijo capitan diego quissiesse y de alli passaron a la costa de cuba y coxieron un barco que traya vino y huyo la gente y los ffrançezes le quitaron al barco todas las obras muertas para leña y de alli passaron a la ysla de cozumel Donde estubieron tres dias y ssaqueraron El pueblo coxiendo gallinas y platanos y se binieron por la costa de esta provincia y hicieron pressa los francezes de una ffragata que abia salido de esta puerto de campeche cargado de palo de tinta y gallinas y luego vinieron siguiendo la costa y sobre la desconoçida El d.ho capitan diego con su urca hiço pressa de otro nabio que tanbien abia ssalido de este puerto cargado de palo de tinta y atrabessaron para ssotavento de esta puerto y los ffrançezes Hicieron Pressa de una ffragata que ssalio del para el de la bera cruz cargada de ssal y prendieron la gente en la capitana del ffrançes y largaron las dos pressas que abian coxido primero cargados de palo y biendo este declarane que largaban estas pressas le dixo al d.ho capitan diego que si no le pagaba que el era catolico y se quiera benir a tierra y el subsso d.ho dixo =que no le abia de pagar ninguna cossa y que se viniesse y biendo que ya se queria venir a bista de toda la gente española de las dos pressas loz iço estropear y amarrar al arbol mayor y a costa y de esta manera se bino con los Robados de las d.has presas y llego a esta puerto ---- fuele preguntado que naos trae el d.ho enemigo de que porte que xente y artilleria y que es su diccignio dixo = que sson por todas cinco belas la urca olandeza del d.ho capitan diego sera de quatroçientas toneladas con treinta y cinco hombres olandeçez = diez y ocho pieças de artilleria de fiero diez y acho moxquetes cinco pistolas y doze picae = dos naos françezes dos pataques que la capitana sera de ciento y cinquenta toneladas con veinte y quatro pieças las veinte y dos de ffierro y las dos de bronce = y la almiranta ssera de setenta toneladas con quinze piecas de fierro = y los dos pataques de bela de gabia ambos y en cada uno dos picas y en todas quatro belas docientos hombres de mar y guerra y el dissignio del d.ho enemigo es a lo que pudo entender de andarsse por esta costa a coxer los nabios que entraren y ssaliren en este puerto desseando coxer palo de tinta hasta cargar sus naos e yrsse a su tierra ---- /MEXICO,360,R.5,N.17"	xnp	xnp	xnp	2 craft cargo / craft released	600 quintales Log / 1 Amerindian hamlet	xnp	###	
E 6	6	1	0	xxx	Hos	xnp	1 Sep 1637	30 Sep 1637	xnp	"Eng privateers, Capt. Thomas Newman, on Providence, chased off Utila"	"Utila, Guanaxa"	"Gov Pedro Carrillo de Sayas, Juan Francisco Perez"	Capt Thomas Newman 1 Ship 2 Craft	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 12v-13v, 21r-40v"	"Cardona 112, 31-xxx / Newman 263"	"Were anchored in western coast of Utila; one ship was Sp prize of Juan Rodriguez de Olmeda; had been on voyage from Prov or Lon since Sep 36; inform at least three pirate or priv crews interested in attacking Sp Hon = Pie de Palo, Diego el Mulato, Thomas Newman /v Cardona 45 /// Sp prizes = Nuestra Señora del Carmen, San Francisco Solano / Privateers under licence from King Charles I, as revenge for massacre by Sp of Eng at Tortuga / Prisoners inc = Guillermo Drode, Richard Prisinstein, Juan Pincar [possibly John Prinkard] / 6 Dec 1638 -- Capt. Newman sells hides and tallow in Boston, still under commission of Prov Co /Winthrop 1 183"	xnp	12 Eng bucc or priv held	xnp	2 Sp craft	xnp	xnp	###	
E 8	8	1	0	xxx	Hos	Slav	1 Jan 1638	30 Dec 1665	Tortugan Slavery	Buccaneers or privateers impress or enslave Amerindians inc Mayas	xnp	xnp	xnp	xnp	xnp	xnp	xnp	"Upper End possibly = 1665 /v Bialuschewski G 239 /GUATEMALA,22,R.1,N.11"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 10	10	1	0	xxx	Hos	xnp	1 Jan 1638	31 Dec 1640	xnp	Buccaneers or privateers raid at least one Maya hamlet	Bennett’s or Northern R Lagoon	xnp	xnp	xnp	xnp	"MEXICO,250,N.1"	Jones 289 fn 59	"Zacatan location /v Jones xv—xvii, 289 / Upper End inferred as previous to Lower Start of next raids of Maya hamlets."	xnp	xxx Ma taken	xnp	xnp	Zacatan town raided	xnp	###	
E 12	12	1	0	xxx	Hos	xnp	1 Jan 1638	8 Jul 1638	xnp	"Yuc receives intelligence of a planned buccaneer assault on Campeachy, for which the same were building low draught craft, and so fortifies the city, after or during which buccaneers abandon their plans"	"Merida, Campeachy"	"Gov Marqués de Santo Floro, Capt Francisco Sandoval 50 men"	xnp	xnp	xnp	"MEXICO,360,R.5,N.21"	xnp	"Con los galeones del cargo del Marq.s de Cardinosa a hora un año [= Jul 1637] embie a V Mg.d una declaracion que havia echo un Capp.n y otros a quien el enemigo havia Rovado y tenidos pressos, de como por entender su lengua sin que ellos lo supiesen supo como para principios deste año [1638] estavan algunos de sus compañeros con resolucion de venir al Puerto y Villa de Campeachy muy temprano para por lo menos saquearla y que por haver poco fondo en aquellas marinas estavan fabricando lanchas chatas, para desembarcar la gente con facilidad, despues, del Gov.dor de Xamaica tuve haviso como le havia el tenido de que al dicho Camp.e Vendrian enemigos, ... /MEXICO,360,R.5,N.21 f 1r"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 14	14	1	0	xxx	Hos	xnp	12 Mar 1638	30 Jun 1638	xnp	Diego el Mulato assaults Sp craft off Sp Hon coast from Truxillo to Amatique	"Truxillo, Amatique Bay"	"Hernando Sarco, Capt Miguel de Aratigui xxx vecinos of Olancho"	Diego el Mulato	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 51v"	"Cardona 112-114, 45-46"	xnp	xnp	xnp	xnp	2 Sp craft	xnp	300 pesos extraordinary defence spending	###	
E 16	16	1	0	xxx	Hos	xnp	2 Apr 1638	15 Jun 1638	xnp	Buccaneers or privateers water or careen at and raid Cozumel twice	Cozumel	xnp	1 Bajel / later 1 Bajel	xnp	xnp	"MEXICO,360,R.5,N.22"	xnp	"= Martes Sancto del [1638] estuvo un bajel de enemigos dado fondo asta el savado de la misma semana en la Isla de Cozumel que hay desta Ciu.d a ella poco menos de Cient leguas, salto gente en tierra, el beneficiado y los Yndios se retiraron al Monte, no quemaron la Yglessia ni cosa ning.a, solo hicieron aguada, y algunas gallinas, y Ceusnes, que no los pudieron retirar, se llevaron que fue poca cantidad, segun el haviso que tuve a los principios de el mes pasado [junio] Vino otro bajel que tambien hiço agua y para leña quito las puertas de la Yglesia y las Ventanas y el pulpito, y asi mismo rrobo los Ornamentos della, segun lo que me havisa el beneficiado, y maltrato a tres o quatro Yndios, es ymposible el que govierna pueda evitar esto, ni poner prevenciones, y mas no haviendo soldados pagados, qe son bien neçesarios, que con ellos a muchas cosas, se pudiere acudir que de ninguna suerte como esta esto oy se puede haçer, ... /MEXICO,360,R.5,N.22"	xnp	xnp	xnp	xnp	xnp	xnp	###	
E 18	18	1	0	xxx	Hos	xnp	1 May 1638	30 May 1638	xnp	"Buccaneers or privateers roam off Truxillo, after which a Sp prisoner of theirs escapes"	"Truxillo, Utila"	"Gov Francisco de Ávila Lugo, Hernando Sarco, el Velador de Punta de Castilla"	2 Ships 5 Frigs	xnp	xnp	"GUATEMALA,16,R.2,N.13 f 46r-47v"	"Cardona 112, 47-48"	xnp	xnp	1 Sp prisoner / escaped May 38	xnp	xnp	xnp	xnp	###	
