Historical series on Belize from earliest times to present.											
											
Version 1.4 / 21 Oct 2021 / Belmopan / A. N.											
"Copyright (c) and related rights reserved 2021–2021 Angel Navidad. This work is licensed under the Creative Commons Attribution-NonCommercial 4.0 International Licence. To view a copy of this licence, visit http://creativecommons.org/licenses/by-nc/4.0/ or post a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."											
											
Introduction											
"This introduction contains four tables which describe the contents, limitations, variables and data in these historical series. Keys or legends are appended to the end of each table."											
Descriptions of previous versions of these series are not available.											
This version is not for publication and is not finalised.											
											
											
Table 0 / Contents / This table describes the contents of each series or partition or part thereof.											
NO	SERIES	PARTITION	TITLE	START	STOP	DESCRIPTION	VARIABLES	RECORDS	DATAPOINTS	END	
0	S	even	Sources	0	2021	Primary and non-primary documentary material available from more than one source	27	815	22005	###	
1	S	odd	Sources 2	0	2021	Primary documentary material available only from a particular source	19	292	5548	###	
2	E	odd	Events 2	0	2021	"Events certainly not involving loss of life, limb or property by Belizeans, their allies, persons friendly to their interests, or sustained in Belizean territory or waters"	18	1082	19476	###	
3	E	even	Events	1634	2021	"Events possibly or definitely involving loss of life, limb or property by Belizeans, their allies, persons friendly to their interests, or sustained in Belizean territory or waters"	24	539	12936	###	
4	C	np	Cartas	1610	1680	"Buccaneering or piratical activity by non-Spanish actors in the Bay of Honduras, as evidenced by Spanish correspondence"	12	993	11916	###	
5	W	odd	Weather 2	1550	1983	Sub-annually resolved meteorological data	7	3584	25088	###	
6	W	even	Weather	1500	2021	Annually resolved meteorological data	12	522	6264	###	
7	L	np	Currency	1638	2021	Annually resolved currency and exchange data	18	383	6894	###	
8	F	np	Finances	1800	2021	Annually resolved public financing data	14	171	2394	###	
9	T	odd	Trade 2	1630	2021	Annually resolved foreign market data	6	391	2346	###	
10	T	even	Trade	1670	1970	Annually resolved foreign trade data	57	301	17157	###	
11	O	np	Towns	xnp	xnp	Settlements present at or established during or after Columbus	16	38	608	###	
12	A	np	Estimates	1636	1867	"Pre-censal or pre-statistical estimates of population, trade, public finances, and related matters"	15	113	1695	###	
"Key 0 / SERIES = one-letter identifier of series / PARTITION = part or partition of series which have been split in two, where np = series has not been split or partitioned, odd = partition with odd numbering, even = partition with even numbering / START = earliest year for which a record is available in a series with variables accepting dates only, where 0 = a BC or BCE date, xnp = missing or unavailable value / STOP = latest year for which a record is available in a series with variables accepting dates only / VARIABLES = number of variables in series or partition thereof, not including variables NO and END, nor variables for which values in every record = np / RECORDS = number of records in series or partition thereof / DATAPOINTS = number of data-points in series or partition thereof"											
											
											
											
											
Table 1 / Caveats / This table describes sources of inaccuracies or errors possibly present in more than one series.											
NO	PRIMARY	START	STOP	PLACE	DESCRIPTION	RESULT	NOTE	END			
