ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 1	1	1	1	M	AHD zzz	xnp	0	1821	1995	16404	feet	Archivo Histórico Genaro Estrada	Acervo Histórico Diplomático	Mexico	Mexico	np	np	np	np	np	np	np	np	np	np	xnp	xnp	np	"Inc Biblioteca José María Lafragua, Archivo Histórico Genaro Estrada / See Censo-Guía: http://censoarchivos.mcu.es/CensoGuia/archivodetail.htm?id=54839 / See Mercedes de Vega & Luz María Hernández Vite, *Archivo Histórico ""Genaro Estrada"" : Guía temática* [Mexico, Dirección General del Acervo Histórico Diplomático : Secretaría de Relaciones Exteriores, 1996–xxx] xxx vols ISBN = 9688105724 Digitised copies https://acervo.sre.gob.mx/index.php/catalogos-electronicos?id=213 / See Mario González Sánchez, *Relaciones consulares y diplomáticas México-Belice, 1827-1943 ; Relaciones consulares y diplomáticas México-Costa Rica, 1880-1960 ; Relaciones consulares y diplomáticas México-Honduras, 1880-1960 ; Relaciones consulares y diplomáticas México-Panamá, 1826-1946 : guías documentales* [Mexico, Dirección General de Archivo, Biblioteca y Publicaciones : Secretaría de Relaciones Exteriores, 1988] OCLC = http://www.worldcat.org/oclc/651196231 / See Guadalupe Rodríguez de Ita, María del Consuelo Rodríguez Muñoz & Gabriela Ugalde García, *Guía del archivo de límites y ríos México-Belice 1723-1980* [Mexico, Instituto de Investigaciones Doctor José Ma. Luis Mora : Secretaría de Relaciones Exteriores, 1994] OCLC = http://www.worldcat.org/oclc/253548931 Digitised copy https://acervo.sre.gob.mx/index.php/catalogos-electronicos?id=213 / See Antonio Higuera Bonfil, *Quintana Roo en el Archivo Histórico de la Secretaría de Relaciones Exteriores : guía documental* [Chetumal, Editora Norte-Sur, 1996] OCLC = http://www.worldcat.org/oclc/947632463"	xnp	###	
S 3	3	1	1	P	xxx	xnp	0	1690	1922	18000	titles	Newspapers & Periodicals	American Antiquarian Society	Worcester	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://www.americanantiquarian.org/newspapers-periodicals	np	"Possibly see K. E. Ingram, *Manuscripts Relating to Commonwealth Caribbean Countries in United States and Canadian Repositories* [St. Lawrence, Caribbean Universities Press, 1975]"	xnp	###	
S 5	5	1	1	M	xxx	xnp	0	1885	1985	8	feet	"Records, United Bible Societies, Latin America Regional Center"	American Bible Society	Philadelphia	USA	np	np	np	np	np	np	np	np	np	np	xnp	xnp	np	Assume ABS records moved from NY to PA in 2015 / Guide not found	xnp	###	
S 7	7	1	1	M	xxx	xnp	0	1778	1778	1	items	"Account for repairs done at Honduras to sloop ""Cupid"", (captain Wm. Carlyon), and stores taken on board"	Archives and Cornish Studies Service	Redruth	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://kresenkernow.org/SOAP/detail/705e3e93-af54-4a53-b1f0-1cff231ea54d/?tH=%5B%22CN%7C3389%22%5D / http://discovery.nationalarchives.gov.uk/details/r/9d6e7f1b-4243-47e8-8086-07a8b583b0de	np	"Ref CN/3389 / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530781 / Possibly see Peter Walne, *A Guide to Manuscript Sources for the History of Latin America and the Caribbean in the British Isles* [London, Oxford University Press : University of London, 1973]"	xnp	###	
S 9	9	1	1	M	Assy nn	Ass nn	0	1863	1864	2	vols	Votes of Assembly	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 3 xxx	xnp	np	"nn = 1863, 1864 / Guide not found / Possibly see Kirsti Nilsen, *Government Publications Review* Part A 7(6), ""Commonwealth Caribbean Government Publications: Biographies and Acquisition Aids"" [1980], 489–503"	xnp	###	
S 11	11	1	1	M	Civ List	Civil List	0	1786	1896	1	vols	"British Honduras Civil List, 1895–1896"	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 2 xxx	xnp	np	Guide not found	xnp	###	
S 13	13	1	1	M	CR nn	xnp	0	1850	1853	2	vols	Civil Records	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 3 xxx	xnp	np	"nn = 1, 2 / Guide not found"	xnp	###	
S 15	15	1	1	M	GC zzz	xnp	0	1790	1854	16	vols	Grand Court of Assize	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 1 xxx	xnp	np	"Inc Summary Courts in earlier vols /v Burdon 1 / nn = F, T, Q, U, X, AA, BB, CC, DD, EE, FF, GG, HH, II, C1, C2 / Guide not found"	xnp	###	
S 17	17	1	1	M	IP	xnp	0	1829	1829	1	vols	Indian Papers	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 2 xxx	xnp	np	"Inc uncompleted, unsigned, undated questionnaire with answers, on the subject of the constitution of the Law Courts, the law, and the Judiciary procedure of the Settlement /v Burdon 2 / Guide not found"	xnp	###	
S 19	19	1	1	M	Laws 1810	Laws 1765–1810	12	1765	1810	1	vols	"Laws of Honduras, 1806–1810"	Archives and Records Service	Belmopan	Belize	np	np	np	np	np	np	np	np	np	np	Burdon 1 xxx	xnp	np	Guide not found	http://www.frontierlife.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/MS-RCMS-00270-00056	###	
