ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
S 0	0	1	0	P	Bel Met	xnp	15	xxx	xxx	xxx	xxx	xxx	np	np	np	xxx	Ladyville	Belize	xxx	xxx	xnp	xnp	np	np	np	xnp	xnp	xxx	"By Meteorological Service / 1865 = Start of instrumental records by Govt ie Vicar of St John's Church / Jul 1866 = start of instrumental records by Surgeon of Public Hospital, Belize T /v Rushton 92"	xnp	###	
S 2	2	1	0	P	Assy nn	Ass nn	1	1854	1869	6	vols	Votes of Assembly	np	np	np	xnp	Belize	Belize	1858	xxx	xnp	xnp	np	np	np	Burdon 3 364	xnp	xxx	"Titles = *Votes of the first Legislative Assembly of British Honduras, in its five sessions, from 1854 to 1857, inclusive* / Possibly inc *Minutes of British Honduras Public Meeting and House of Assembly, 1853–1855* /v Bolland F 223 no 34 /v Bolland L 98 no 47 / Possibly inc *Votes of the Public Meeting at its Special Sitting in January 1853* [Belize, sn, 1853] /v Bolland F 223 no 56, 227 / Possibly inc *Votes of the Honourable House of Assembly, Sessions 1854–1859* /v Bolland L 97 no 33 /v Bolland F 219 no 12 / Possibly inc *A collection of the acts passed in the twenty-eighth and twenty-ninth years of the reign of Her Majesty Queen Victoria during the fifth session of the fourth General Assembly of British Honduras : 28th & 29th Victoriae, 1865* [Belize, Printed at the Colonist Office, 1865] OCLC Link: http://gw.worldcat.org.proxygw.wrlc.org/oclc/22444185"""	xxx	###	
S 4	4	0	0	P	Sell	xnp	21	np	np	1	vols	Trouble of the World: Slavery and Empire in the Age of Capital	np	np	np	University of North Carolina Press	Chapel Hill	USA	2021	np	Z. Sell	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1224369070	340 pages : illustrations ; 24 cm	xnp	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/10.5149/9781469660479_sell.1	###	
S 6	6	0	0	P	Grainger	xnp	11	np	np	1	vols	The British Navy in the Caribbean	np	np	np	Boydell Press	Woodbridge	UK	2021	np	J. D. Grainger	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1224004723	"vii, 271 pages : illustrations, maps ; 25 cm"	xnp	https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/j.ctv1850j2f	###	
S 8	8	0	0	P	Rogers	xnp	14	np	np	1	vols	"Blood Waters: War, Disease and Race in the Eighteenth-Century British Caribbean"	np	np	np	Boydell Press	Woodbridge	UK	2021	np	N. Rogers	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1252422112	"viii, 229 pages : illustrations"	"= vol 39 ser *Studies in early modern cultural, political and social history*"	https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/j.ctv1q16rrn	###	
S 10	10	0	0	P	Wilson	xnp	13	np	np	1	vols	"Suppressing Piracy in the Early Eighteenth Century: Pirates, Merchants and British Imperial Authority in the Atlantic and Indian Oceans"	np	np	np	Boydell Press	Woodbridge	UK	2021	np	D. Wilson	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1237867246	"xix, 280 pages : illustrations, maps"	xnp	https://doi-org.ezp-prod1.hul.harvard.edu/10.2307/j.ctv1850j4g	###	
S 12	12	0	0	A	Mongey	xnp	38	np	np	np	np	"Protecting Foreigners: The Refugee Crisis on the Belize–Yucatán Border, 1847–71"	np	np	np	np	np	np	2021	np	V. Mongey	np	Law and History Review	39	1	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/8947379063	pp 69–95	xnp	https://hollis.harvard.edu/primo-explore/fulldisplay?docid=TN_cdi_webofscience_primary_000629566000003&context=PC&vid=HVD2&search_scope=everything&tab=everything&lang=en_US	###	
S 14	14	0	0	P	Dutt	xnp	146	np	np	1	vols	"Empire on Edge : The British Struggle for Order in Belize during Yucatan's Caste War, 1847—1901"	np	np	np	Cambridge University Press	Cambridge	UK	2020	np	R. Dutt	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1141019593	"xiii, 185 pages : illustrations, maps"	xnp	https://doi-org.ezp-prod1.hul.harvard.edu/10.1017/9781108642309	###	
S 16	16	1	0	A	Schmitt	xnp	600	132	2017	np	np	Caribbean cyclone activity: an annually-resolved Common Era record	np	np	np	np	np	np	2020	np	"D. Schmitt, E. Gischler, F. S. Anselmetti, H. Vogel"	np	Scientific Reports	10	1	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/8629406538	pp 1–17	= article no 11780	https://doi.org/10.1038/s41598-020-68633-8	###	
S 18	18	0	0	P	Cardona	Cardona Amaya	31	np	np	1	vols	Invasiones de corsarios a la Honduras de Felipe IV (1633-1643)	np	np	np	"Facultad de Cienias Universidad Nacional de Agricultura (UNAG) ; Tegucigalpa, Honduras : Departamento de Historia de la Universidad Nacional Autónoma de Honduras (UNAH) ; Danlí, El Paraíso : Centro Regional UNAH-TEC Daní"	Catacamas	Honduras	2020	np	J. M. Cardona Amaya	xnp	np	np	np	xnp	http://gw.worldcat.org.proxygw.wrlc.org/oclc/1192967317	119 pages : tables ; 22 cm	xnp	https://halshs.archives-ouvertes.fr/halshs-02540842/document	###	
