no	standard	link	no	adoption	note	extract
1	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1	yes	`work` must be replicable	`null`
2	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 2	yes	`v-1.5` must be human-readable	`null`
3	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 3	yes	`v-1.5` must be machine-readable	`null`
4	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.1	yes	`work-files` must cite sources	`null`
5	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.2	yes	`work-files` must be archived	`null`
6	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.3	yes	`work` must be logged	`null`
7	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.4	yes	`work` must be registered	`null`
8	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.5	yes	`pre-git-files` and `work-files` must be licensed	`null`
9	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.6	yes	`work-files` must be citeable	`null`
10	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.7	yes	`v-1.5` must inc metadata	`null`
11	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 1 lvl iii	yes	`work-files` must *appropriately* cite sources	Article is not published until providing appropriate citation for data and materials
12	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 2 lvl ii	yes	`work-files` must be archived *in trusted repository*	Data must be posted to a trusted repository. Exceptions must be identified at article submission
13	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 3 lvl ii	yes	as no 2 lvl ii	Code must be posted to a trusted repository. Exceptions must be identified at article submission
14	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 4 lvl ii	yes	as no 2 lvl ii	Materials must be posted to a trusted repository. Exceptions must be identified at article submission
15	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 5 lvl iii	yes	`pre-print` must inc design and log details of `work`	Journal requires and enforces adherence to design transparency standards for review and publication
16	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 6 lvl i	no	may not be possible as study started oct 2020	"Article states whether preregistration of study exists, and, if so, where to access it"
17	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 7 lvl i	yes	`work` must be registered	"Article states whether preregistration of study exists, and, if so, where to access it"
18	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 8 lvl i	no	may not be possible as requires third-party	Journal encourages submission of replication studies
19	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 2	no	re URIs but language is too vague	global naming leads to global network effects
20	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.1	yes	`work-files` must identify resources via URIs	agents should provide URIs as identifiers for resources
21	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	constraint 2.2	yes	as practice 2.1 adding *distinct resources via distinct URIs*	assign distinct URIs to distinct resources
22	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.3.1	yes	as practice 2.1 adding *in one-to-one mapping*	a URI owner SHOULD NOT associate arbitrarily different URIs with the same resource
23	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.3.1	no	may not be possible (eg given journal-imposed citation styles)	"an agent that receives a URI SHOULD refer to the associated resource using the same URI, character-by-character"
24	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.4	yes	as practice 2.1 adding *URI conforming to existing scheme eg https*	a specification SHOULD reuse an existing URI scheme (rather than create a new one) when it provides the desired properties of identifiers and their relation to resources
25	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.5	no	not relevant	agents making use of URIs SHOULD NOT attempt to infer properties of the referenced resource
26	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.2	no	not relevant	new protocols created for the Web SHOULD transmit representations as octet streams typed by Internet media types
27	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	contraint 3.3	no	not relevant	agents MUST NOT ignore message metadata without the consent of the user
28	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.3	no	not relevant	server managers SHOULD allow representation creators to control the metadata associated with their representations
29	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 3.4	no	not relevant	agents do not incur obligations by retrieving a representation
30	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.5	no	not relevant	a URI owner SHOULD provide representations of the resource it identifies
31	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 3.5	no	not relevant	an application developer or specification author SHOULD NOT require networked retrieval of representations each time they are referenced
32	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.5.1	no	may not be possible (eg copyrighted material)	a URI owner SHOULD provide representations of the identified resource consistently and predictably
33	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.2.1	no	not relevant	a data format specification SHOULD provide for version information
34	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.7	no	xml-specific	"in general, a representation provider SHOULD NOT assign Internet media types beginning with ""text/"" to XML representations"
35	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.7	no	xml-specific	"in general, a representation provider SHOULD NOT specify the character encoding for XML data in protocol headers since the data is self-describing"
36	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.5	no	xml-specific	a specification in which QNames serve as resource identifiers MUST provide a mapping to URIs
37	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	constraint 4.5.5	no	xml-specific	do not allow both QNames and URIs in attribute values or element content where they are indistinguishable
