id	file	ext	date	event
50	HURR BZ V1	.numbers	25 November 2020 at 15:25	created file
50	HURR BZ V1	.numbers	6 January 2021 at 11:09	versioned file
50	HURR BZ V1	.numbers	7 January 2021 at 00:03	versioned file
50	HURR BZ V1	.numbers	8 January 2021 at 00:00	versioned file
49	blue books data v1	.numbers	10 January 2021 at 02:21	created file
49	blue books data v1	.numbers	10 January 2021 at 03:21	modified file
48	hurr bz v2	.numbers	10 January 2021 at 16:28	created file
48	hurr bz v2	.numbers	10 January 2021 at 16:31	modified file
47	Bz hurr hist 1	.numbers	10 January 2021 at 21:24	created file
47	Bz hurr hist 1	.numbers	10 January 2021 at 23:30	versioned file
47	Bz hurr hist 1	.numbers	11 January 2021 at 00:01	versioned file
47	Bz hurr hist 1	.numbers	12 January 2021 at 14:10	versioned file
46	Hurricanes bz v2.1	.numbers	12 January 2021 at 17:27	created file
46	Hurricanes bz v2.1	.numbers	12 January 2021 at 18:00	versioned file
45.5	Hurricanes bz v3 writing	.numbers	12 January 2021 at 22:20	created file
47	Bz hurr hist 1	.numbers	12 January 2021 at 22:21	modified file
46	Hurricanes bz v2.1	.numbers	13 January 2021 at 16:33	modified file
46	Hurricanes bz v2.1	.numbers	13 January 2021 at 16:33	versioned file
45	asdfsaf	.numbers	17 January 2021 at 21:10	created file
45	asdfsaf	.numbers	17 January 2021 at 22:18	modified file
44	dis bz v1.1	.numbers	18 January 2021 at 00:20	created file
44	dis bz v1.1	.numbers	18 January 2021 at 01:00	versioned file
43	econ bz 1700s	.numbers	18 January 2021 at 20:39	created file
43	econ bz 1700s	.numbers	18 January 2021 at 20:52	modified file
45.5	Hurricanes bz v3 writing	.numbers	18 January 2021 at 21:06	versioned file
45.5	Hurricanes bz v3 writing	.numbers	19 January 2021 at 00:03	versioned file
44	dis bz v1.1	.numbers	19 January 2021 at 00:13	versioned file
42	early gdp dis bz v1	.numbers	19 January 2021 at 21:46	created file
42.b	early gdp dis bz v1 RAW	.numbers	19 January 2021 at 21:46	created file
42.a	early gdp dis bz v1 FORMS	.numbers	23 January 2021 at 19:27	created file
42.a	early gdp dis bz v1 FORMS	.numbers	23 January 2021 at 19:27	versioned file
42.a	early gdp dis bz v1 FORMS	.numbers	24 January 2021 at 02:50	versioned file
42.b	early gdp dis bz v1 RAW	.numbers	25 January 2021 at 00:21	versioned file
41.5	early gdp raw data	.numbers	25 January 2021 at 02:29	created file
42.b	early gdp dis bz v1 RAW	.numbers	26 January 2021 at 00:10	versioned file
42.b	early gdp dis bz v1 RAW	.numbers	27 January 2021 at 12:14	versioned file
42.b	early gdp dis bz v1 RAW	.numbers	28 January 2021 at 00:01	versioned file
41	pop bz v1.4	.numbers	28 January 2021 at 16:38	created file
41.5	early gdp raw data	.numbers	28 January 2021 at 17:00	versioned file
41	pop bz v1.4	.numbers	28 January 2021 at 17:00	versioned file
45.5	Hurricanes bz v3 writing	.numbers	28 January 2021 at 17:50	versioned file
41.5	early gdp raw data	.numbers	29 January 2021 at 00:00	versioned file
41	pop bz v1.4	.numbers	29 January 2021 at 00:01	versioned file
45.5	Hurricanes bz v3 writing	.numbers	29 January 2021 at 00:03	versioned file
42.b	early gdp dis bz v1 RAW	.numbers	29 January 2021 at 02:52	versioned file
42.a	early gdp dis bz v1 FORMS	.numbers	29 January 2021 at 17:52	versioned file
45.5	Hurricanes bz v3 writing	.numbers	30 January 2021 at 00:47	versioned file
41	pop bz v1.4	.numbers	30 January 2021 at 00:51	versioned file
42.b	early gdp dis bz v1 RAW	.numbers	30 January 2021 at 03:09	modified file
41.5	early gdp raw data	.numbers	30 January 2021 at 03:09	versioned file
40	shipping bz v1.1	.numbers	30 January 2021 at 19:41	created file
40	shipping bz v1.1	.numbers	30 January 2021 at 20:05	versioned file
42.a	early gdp dis bz v1 FORMS	.numbers	30 January 2021 at 22:25	versioned file
40	shipping bz v1.1	.numbers	31 January 2021 at 00:10	versioned file
41.5	early gdp raw data	.numbers	31 January 2021 at 00:14	versioned file
39	trade raw bz v1.4	.numbers	31 January 2021 at 19:29	created file
39	trade raw bz v1.4	.numbers	2 February 2021 at 00:03	versioned file
38	trade bz v1.3	.numbers	2 February 2021 at 23:09	created file
37	trade bz v1.5	.numbers	2 February 2021 at 23:12	created file
38	trade bz v1.3	.numbers	2 February 2021 at 23:12	modified file
40	shipping bz v1.1	.numbers	2 February 2021 at 23:18	versioned file
40	shipping bz v1.1	.numbers	2 February 2021 at 23:28	modified file
37	trade bz v1.5	.numbers	2 February 2021 at 23:50	versioned file
39	trade raw bz v1.4	.numbers	3 February 2021 at 00:00	versioned file
37	trade bz v1.5	.numbers	3 February 2021 at 00:54	versioned file
36	swi cust 3 cust 17 v1.1 copy	.numbers	3 February 2021 at 01:12	versioned file
45.5	Hurricanes bz v3 writing	.numbers	3 February 2021 at 04:11	versioned file
36	swi cust 3 cust 17 v1.1 copy	.numbers	3 February 2021 at 04:56	created file
39	trade raw bz v1.4	.numbers	4 February 2021 at 12:49	versioned file
36	swi cust 3 cust 17 v1.1 copy	.numbers	4 February 2021 at 12:59	modified file
35	trade raw bz v1.4 WORKG COPY	.numbers	4 February 2021 at 15:28	versioned file
37	trade bz v1.5	.numbers	4 February 2021 at 15:28	versioned file
35	trade raw bz v1.4 WORKG COPY	.numbers	4 February 2021 at 15:29	created file
37	trade bz v1.5	.numbers	5 February 2021 at 00:00	versioned file
39	trade raw bz v1.4	.numbers	5 February 2021 at 00:45	versioned file
35	trade raw bz v1.4 WORKG COPY	.numbers	5 February 2021 at 01:35	versioned file
34	trade bz v1.4 WORKING	.numbers	5 February 2021 at 15:10	created file
34	trade bz v1.4 WORKING	.numbers	5 February 2021 at 15:10	versioned file
33	disasters non-hurr bz v1.5 REVIEW	.numbers	5 February 2021 at 16:03	created file
44	dis bz v1.1	.numbers	5 February 2021 at 16:36	versioned file
37	trade bz v1.5	.numbers	6 February 2021 at 01:05	versioned file
35	trade raw bz v1.4 WORKG COPY	.numbers	6 February 2021 at 11:33	versioned file
35	trade raw bz v1.4 WORKG COPY	.numbers	6 February 2021 at 12:21	modified file
37	trade bz v1.5	.numbers	6 February 2021 at 14:41	modified file
45.5	Hurricanes bz v3 writing	.numbers	6 February 2021 at 16:47	versioned file
44	dis bz v1.1	.numbers	7 February 2021 at 15:21	versioned file
44	dis bz v1.1	.numbers	8 February 2021 at 00:00	versioned file
33	disasters non-hurr bz v1.5 REVIEW	.numbers	8 February 2021 at 04:54	versioned file
34	trade bz v1.4 WORKING	.numbers	8 February 2021 at 06:41	versioned file
34	trade bz v1.4 WORKING	.numbers	8 February 2021 at 06:43	modified file
